gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
Zfp219,0.031149590483472878,8.291860620954115,8.260711030470642,320.4589576677316,321.9981611581944,0.10822391682395986,0.9169211184600823,11.0,0.8412698412698413,0.06844681489366582,0.9887954446302123,0.9961866853217314
Rps13-ps5,0.02606731541083107,3.6209463716315233,3.5948790562206923,11.561459342773016,11.507224760448734,0.10784710182001865,0.9169629619213897,12.0,1.0,0.0682084961598699,0.9887954446302123,1.0
Nr2c2ap,-0.030754276102187283,5.19370180767308,5.224456083775268,38.05039345094554,37.04716203243074,-0.10850870562047894,0.9170526084642568,11.0,0.8412698412698413,-0.06862693114348552,0.9888021030978853,0.9961866853217314
Spcs2,0.03264639072691189,10.467282401448955,10.434636010722043,1479.9561773379294,1445.2277317139892,0.10742088759808706,0.9171003384401537,13.0,1.0,0.06793893461737785,0.9888021030978853,1.0
Slc16a13,-0.026754655032079633,6.605168788358833,6.631923443390913,99.69834295101771,100.79644158667631,-0.10729188804366123,0.9172226076914546,12.0,1.0,-0.06785734813555135,0.9888220998742915,1.0
Shank1,0.06882132289971032,7.0367826149583355,6.967961292058625,144.0518738687668,167.22147679543158,0.10784488315779713,0.9174665338665595,14.0,0.8412698412698413,0.0682070929546742,0.9888220998742915,0.9961866853217314
Arl16,-0.021243091348748244,7.045154392254858,7.066397483603606,132.4134593835578,136.9023659551512,-0.10763868689453296,0.9175380121396303,13.0,1.0,-0.06807668298728808,0.9888220998742915,1.0
Hint3,-0.019993663808067552,7.110857774199344,7.1308514380074115,138.0531883725048,142.85530446378294,-0.10816398787299658,0.9175526969439582,11.0,0.8412698412698413,-0.06840891249710013,0.9888220998742915,0.9961866853217314
Shprh,-0.02973648426314668,10.089181022995954,10.1189175072591,1113.133157876336,1166.8289939652516,-0.10732777487030828,0.9175682732152728,12.0,1.0,-0.06788004495759142,0.9888220998742915,1.0
Unc13d,-0.032078024533253924,8.308048906438243,8.340126930971497,320.29410617675285,347.61080152910864,-0.10834873634008474,0.9175740369735184,14.0,0.8412698412698413,-0.06852575768714475,0.9888220998742915,0.9961866853217314
Gfi1,0.04492029455084001,3.360206350595539,3.315286056044699,9.82287382017126,10.041762246101896,0.10728123085929471,0.9175781006396679,12.0,1.0,0.06785060794034284,0.9888220998742915,1.0
