accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
OMIX009983	PRJCA039413	Targeting branched-chain amino acids alleviates pulmonary fibrosis	Mus musculus	Open	2026-03-17	https://ngdc.cncb.ac.cn/omix/release/OMIX009983	True	False	False	False	False	lung
OMIX010147	PRJCA040084	Metabolite profiling of mouse lung tumor tissue before and after immunotherapy	Mus musculus	Open	2025-08-29	https://ngdc.cncb.ac.cn/omix/release/OMIX010147	True	True	False	False	False	lung+ici
OMIX010154	PRJCA040044	Gut microbiome-linked SCFA production in 25 NSCLC patients.	Homo sapiens environmental sample	Open	2025-05-16	https://ngdc.cncb.ac.cn/omix/release/OMIX010154	True	False	False	False	False	lung
OMIX010173	PRJCA040175	Magnetic Field Suppresses Non-Small Cell Lung Cancer via RSRP1-Mediated Secretory Signaling Axis	Homo sapiens	Open	2025-05-28	https://ngdc.cncb.ac.cn/omix/release/OMIX010173	True	False	False	False	False	lung
OMIX010271	PRJCA040526	Untargeted metabolomics analysis of lung tissue of asthma mice	Mus musculus	Open	2025-08-10	https://ngdc.cncb.ac.cn/omix/release/OMIX010271	True	False	False	False	False	lung
OMIX010367	PRJCA040834	RNA sequencing of murine pulmonary tissue following shock wave-induced acute lung injury in a high-altitude model	Mus musculus	Open	2025-05-30	https://ngdc.cncb.ac.cn/omix/release/OMIX010367	True	False	False	False	False	lung
OMIX010440	PRJCA041210	10x scRNA-Seq data of CD45+ cells isolated from mouse lung tissue	Mus musculus	Open	2025-06-11	https://ngdc.cncb.ac.cn/omix/release/OMIX010440	True	False	False	False	False	lung
OMIX010537	PRJCA041569	Genomic pathogenic alterations in the SWI/SNF complex compromise the outcomes of immunotherapy in Chinese patients with KRAS-mutant NSCLC by downregulating STING expression	Homo sapiens	Open	2025-08-08	https://ngdc.cncb.ac.cn/omix/release/OMIX010537	True	True	False	False	False	lung+ici
OMIX010606	PRJCA041728	Untargeted metabolomics sequencing of gut microbiota metabolites in methamphetamine-abuse-induced lung toxicity	Mus	Open	2025-06-24	https://ngdc.cncb.ac.cn/omix/release/OMIX010606	True	False	False	False	False	lung
OMIX010825	PRJCA042393	GSDMC drives metabolic reprogramming in LUAD progression	Homo sapiens	Open	2026-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX010825	True	False	False	False	False	lung
OMIX010826	PRJCA042393	GSDMC drives lipid metabolism  reprogramming in LUAD progression	Homo sapiens	Open	2026-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX010826	True	False	False	False	False	lung
OMIX010885	PRJCA042721	5-HT2aR Contributes to Pulmonary Arterial Hypertension by Modulating the AHR Pathway	Rattus	Open	2025-07-10	https://ngdc.cncb.ac.cn/omix/release/OMIX010885	True	False	False	False	False	lung
OMIX010916	PRJCA042963	Q300 metabolomics analysis of lung tissues from mouse infected by C. neoformans	Mus	Open	2026-08-01	https://ngdc.cncb.ac.cn/omix/release/OMIX010916	True	False	False	False	False	lung
OMIX011074	PRJCA043344	Guben Qingfei alleviates LPS-induced lung inflammation by regulating PPAR signaling and arachidonic acid metabolism pathway	Mus musculus	Open	2026-08-10	https://ngdc.cncb.ac.cn/omix/release/OMIX011074	True	False	False	False	False	lung
OMIX011087	PRJCA043227	Remodeling of the tumor microenvironment by PD-1 blockade plus tyrosine kinase inhibitor in advanced renal cell carcinoma	Mus	Open	2026-01-05	https://ngdc.cncb.ac.cn/omix/release/OMIX011087	False	True	False	False	False	ici
