Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
PEX11B	1q21.1	9.89	9.67	0.5	0.43	0.22	3.5240000000000001E-5	3.3999999999999998E-3	 CLDN4 High 
ITPRIPL1	2q11.2	4.5599999999999996	5.13	1.28	1.1299999999999999	-0.57999999999999996	3.5630000000000003E-5	3.421E-3	 CLDN4 Low
SDC4	20q13.12	12.34	11.98	0.7	0.82	0.37	3.6130000000000001E-5	3.4350000000000001E-3	 CLDN4 High 
TSR1	17p13.3	9.7799999999999994	10.050000000000001	0.55000000000000004	0.56999999999999995	-0.27	3.629E-5	3.4350000000000001E-3	 CLDN4 Low
KLHL11	17q21.2	5.43	5.79	0.74	0.76	-0.36	3.629E-5	3.4350000000000001E-3	 CLDN4 Low
GRIN2A	16p13.2	5.87	7.14	2.71	2.62	-1.27	3.7329999999999997E-5	3.5170000000000002E-3	 CLDN4 Low
GPR63	6q16.1	4.47	5.0599999999999996	1.24	1.23	-0.59	3.7620000000000002E-5	3.5279999999999999E-3	 CLDN4 Low
RAB3A	19p13.11	7.56	7.16	0.8	0.89	0.4	3.8529999999999999E-5	3.5959999999999998E-3	 CLDN4 High 
ZSWIM4	19p13.13	10.64	10.19	0.94	0.94	0.45	3.888E-5	3.6120000000000002E-3	 CLDN4 High 
ICA1	7p21.3	8.73	8.32	0.82	0.91	0.41	3.9539999999999998E-5	3.6570000000000001E-3	 CLDN4 High 
AGFG2	7q22.1	9.7899999999999991	9.41	0.74	0.84	0.38	4.049E-5	3.7160000000000001E-3	 CLDN4 High 
S100A4	1q21.3	10.96	10.23	1.6	1.49	0.74	4.0559999999999998E-5	3.7160000000000001E-3	 CLDN4 High 
LCN2	9q34.11	11.95	10.95	1.98	2.19	0.99	4.0769999999999998E-5	3.718E-3	 CLDN4 High 
USP22	17p11.2	11.85	12.1	0.53	0.53	-0.25	4.1140000000000003E-5	3.735E-3	 CLDN4 Low
GDF15	19p13.11	8.01	7.3	1.52	1.49	0.71	4.1449999999999998E-5	3.735E-3	 CLDN4 High 
ACACA	17q12	10.050000000000001	10.35	0.61	0.63	-0.3	4.1520000000000002E-5	3.735E-3	 CLDN4 Low
JUN	1p32.1	12.62	12.18	1	0.84	0.44	4.1879999999999999E-5	3.751E-3	 CLDN4 High 
IL6ST	5q11.2	8.1	8.51	0.88	0.84	-0.41	4.3319999999999999E-5	3.8630000000000001E-3	 CLDN4 Low
MPV17	2p23.3	10.6	10.36	0.54	0.48	0.24	4.4140000000000001E-5	3.9179999999999996E-3	 CLDN4 High 
DUSP1	5q35.1	11.83	11.18	1.37	1.41	0.66	4.545E-5	4.0159999999999996E-3	 CLDN4 High 
PPP2R5E	14q23.2	9.2200000000000006	9.44	0.5	0.44	-0.22	4.8699999999999998E-5	4.2859999999999999E-3	 CLDN4 Low
CD24	6q21	14.5	13.92	1.1200000000000001	1.34	0.57999999999999996	4.9979999999999999E-5	4.3540000000000002E-3	 CLDN4 High 
PNPLA2	11p15.5	11.73	11.43	0.61	0.67	0.3	5.0349999999999997E-5	4.3540000000000002E-3	 CLDN4 High 
TCIM	8p11.21	8.7899999999999991	8	1.69	1.64	0.78	5.041E-5	4.3540000000000002E-3	 CLDN4 High 
SQSTM1	5q35.3	13.22	12.87	0.83	0.63	0.35	5.0590000000000002E-5	4.3540000000000002E-3	 CLDN4 High 
DEDD	1q23.3	10.31	10.14	0.36	0.36	0.17	5.0640000000000003E-5	4.3540000000000002E-3	 CLDN4 High 
S100PBP	1p35.1	9.01	9.27	0.59	0.49	-0.26	5.079E-5	4.3540000000000002E-3	 CLDN4 Low
RASSF3	12q14.2	6.88	7.27	0.82	0.82	-0.38	5.1159999999999998E-5	4.3670000000000002E-3	 CLDN4 Low
ZNF302	19q13.11	8.86	9.17	0.61	0.73	-0.32	5.1950000000000002E-5	4.4149999999999997E-3	 CLDN4 Low
PDCD4-AS1	10q25.2	5.8	6.18	0.82	0.81	-0.38	5.219E-5	4.4169999999999999E-3	 CLDN4 Low
PRKDC	8q11.21	11.96	12.23	0.57999999999999996	0.57999999999999996	-0.27	5.2809999999999998E-5	4.4460000000000003E-3	 CLDN4 Low
GID4	17p11.2	8.07	8.27	0.43	0.43	-0.2	5.2979999999999998E-5	4.4460000000000003E-3	 CLDN4 Low
PARP11	12p13.32	7.67	8.1300000000000008	1.05	0.94	-0.46	5.4089999999999999E-5	4.496E-3	 CLDN4 Low
SMG1	16p12.3	10.71	10.97	0.54	0.54	-0.25	5.41E-5	4.496E-3	 CLDN4 Low
HELLS	10q23.33	6.96	7.39	0.95	0.91	-0.43	5.4289999999999997E-5	4.496E-3	 CLDN4 Low
PRPF8	17p13.3	12.65	12.93	0.56999999999999995	0.62	-0.28000000000000003	5.4469999999999999E-5	4.496E-3	 CLDN4 Low
POLR2J	7q22.1	10.78	10.49	0.62	0.63	0.28999999999999998	5.5080000000000001E-5	4.5139999999999998E-3	 CLDN4 High 
ZNF460	19q13.43	6	6.37	0.73	0.85	-0.37	5.5179999999999997E-5	4.5139999999999998E-3	 CLDN4 Low
ZFX	Xp22.11	9.48	9.6999999999999993	0.49	0.48	-0.23	5.537E-5	4.5139999999999998E-3	 CLDN4 Low
PTPN21	14q31.3	8.3699999999999992	8.68	0.69	0.65	-0.31	5.66E-5	4.5960000000000003E-3	 CLDN4 Low
TIMM17B	Xp11.23	10.63	10.25	0.9	0.71	0.38	5.7059999999999999E-5	4.6119999999999998E-3	 CLDN4 High 
LRCH4	7q22.1	10.86	10.57	0.63	0.63	0.28999999999999998	5.7569999999999999E-5	4.6119999999999998E-3	 CLDN4 High 
VGLL1	Xq26.3	8.06	7.03	2.0699999999999998	2.33	1.03	5.77E-5	4.6119999999999998E-3	 CLDN4 High 
SPINT1	15q15.1	12.87	12.43	0.7	1.1299999999999999	0.44	5.7920000000000001E-5	4.6119999999999998E-3	 CLDN4 High 
IREB2	15q25.1	9.82	10.050000000000001	0.5	0.48	-0.23	5.8019999999999997E-5	4.6119999999999998E-3	 CLDN4 Low
BAG2	6p12.1	7.71	8.2200000000000006	1.1000000000000001	1.0900000000000001	-0.51	5.8189999999999997E-5	4.6119999999999998E-3	 CLDN4 Low
NOLC1	10q24.32	11.27	11.51	0.5	0.54	-0.24	5.9360000000000001E-5	4.6839999999999998E-3	 CLDN4 Low
MCM3	6p12.2	11.04	11.35	0.64	0.7	-0.31	5.9559999999999999E-5	4.6839999999999998E-3	 CLDN4 Low
MAP4	3p21.31	12.46	12.71	0.54	0.54	-0.25	6.0170000000000002E-5	4.7130000000000002E-3	 CLDN4 Low
ABAT	16p13.2	8.27	8.84	1.19	1.26	-0.56999999999999995	6.0600000000000003E-5	4.7130000000000002E-3	 CLDN4 Low
KBTBD8	3p14.1	4.49	4.8899999999999997	0.81	0.88	-0.39	6.0640000000000002E-5	4.7130000000000002E-3	 CLDN4 Low
DUSP23	1q23.2	10.32	9.9600000000000009	0.84	0.72	0.36	6.1879999999999997E-5	4.7689999999999998E-3	 CLDN4 High 
CBX5	12q13.13	11.84	12.16	0.72	0.67	-0.32	6.1950000000000001E-5	4.7689999999999998E-3	 CLDN4 Low
CDK5R1	17q11.2	5.47	5.9	0.9	0.94	-0.43	6.2189999999999999E-5	4.7689999999999998E-3	 CLDN4 Low
NLGN3	Xq13.1	5.75	6.39	1.43	1.34	-0.64	6.232E-5	4.7689999999999998E-3	 CLDN4 Low
S100A13	1q21.3	11.41	10.98	0.93	0.93	0.43	6.334E-5	4.829E-3	 CLDN4 High 
SMIM10	Xq26.3	6.24	6.71	0.99	1.03	-0.47	6.3629999999999999E-5	4.8329999999999996E-3	 CLDN4 Low
AKAP13	15q25.3	10.56	10.86	0.62	0.67	-0.3	6.3999999999999997E-5	4.8419999999999999E-3	 CLDN4 Low
ATP5MF	7q22.1	12.13	11.76	0.76	0.84	0.37	6.5699999999999998E-5	4.9519999999999998E-3	 CLDN4 High 
ENTPD5	14q24.3	7.43	7.72	0.62	0.63	-0.28999999999999998	6.711E-5	5.0369999999999998E-3	 CLDN4 Low
ACACB	12q24.11	8.09	8.5	0.95	0.86	-0.42	6.7329999999999994E-5	5.0369999999999998E-3	 CLDN4 Low
PDAP1	7q22.1	11.04	10.85	0.39	0.43	0.19	6.8540000000000004E-5	5.1079999999999997E-3	 CLDN4 High 
UBALD2	17q25.1	11.17	10.85	0.68	0.7	0.32	6.9109999999999994E-5	5.1320000000000003E-3	 CLDN4 High 
FAM169A	5q13.3	6.22	6.75	1.17	1.1499999999999999	-0.54	6.9369999999999995E-5	5.1320000000000003E-3	 CLDN4 Low
GRM4	6p21.31	4.95	5.82	1.84	1.93	-0.87	6.9989999999999999E-5	5.1549999999999999E-3	 CLDN4 Low
ATP6V0C	16p13.3	13.01	12.77	0.53	0.49	0.24	7.0560000000000002E-5	5.1549999999999999E-3	 CLDN4 High 
PANK3	5q34	8.25	8.5299999999999994	0.63	0.57999999999999996	-0.28000000000000003	7.0699999999999997E-5	5.1549999999999999E-3	 CLDN4 Low
PRKCD	3p21.1	11	10.69	0.63	0.73	0.31	7.0720000000000001E-5	5.1549999999999999E-3	 CLDN4 High 
TDP1	14q32.11	8.86	9.1	0.53	0.52	-0.24	7.1279999999999995E-5	5.1720000000000004E-3	 CLDN4 Low
ZNF394	7q22.1	8.9499999999999993	8.7799999999999994	0.36	0.39	0.17	7.1470000000000005E-5	5.1720000000000004E-3	 CLDN4 High 
SMAD9	13q13.3	3.95	4.5599999999999996	1.27	1.39	-0.61	7.2100000000000004E-5	5.195E-3	 CLDN4 Low
KANSL3	2q11.2	10.49	10.73	0.49	0.56000000000000005	-0.24	7.2299999999999996E-5	5.195E-3	 CLDN4 Low
HSBP1L1	18q23	7.88	7.47	0.84	0.94	0.41	7.2600000000000003E-5	5.1980000000000004E-3	 CLDN4 High 
UNC79	14q32.12	4.75	5.33	1.23	1.3	-0.57999999999999996	7.5030000000000005E-5	5.352E-3	 CLDN4 Low
MAL	2q11.1	9.9499999999999993	8.84	2.15	2.65	1.1000000000000001	7.6089999999999998E-5	5.4089999999999997E-3	 CLDN4 High 
KCNK15	20q13.12	10.91	10.27	1.35	1.46	0.64	7.6379999999999997E-5	5.4099999999999999E-3	 CLDN4 High 
AREG	4q13.3	5.15	4.2	2.1800000000000002	1.96	0.95	7.7070000000000006E-5	5.4400000000000004E-3	 CLDN4 High 
FNDC11	20q13.33	4.92	4.2300000000000004	1.48	1.56	0.7	7.7890000000000001E-5	5.4739999999999997E-3	 CLDN4 High 
FHL1	Xq26.3	9.11	9.74	1.33	1.39	-0.62	7.8109999999999996E-5	5.4739999999999997E-3	 CLDN4 Low
SEL1L	14q31	10.51	10.76	0.52	0.56999999999999995	-0.25	7.8510000000000006E-5	5.483E-3	 CLDN4 Low
LRRC58	3q13.33	10.19	10.43	0.55000000000000004	0.5	-0.24	7.8789999999999996E-5	5.483E-3	 CLDN4 Low
INMT	7p14.3	4.7699999999999996	5.42	1.39	1.47	-0.65	7.9289999999999995E-5	5.4990000000000004E-3	 CLDN4 Low
GPR182	12q13.3	1.03	1.39	0.75	0.85	-0.37	8.0090000000000001E-5	5.535E-3	 CLDN4 Low
CDC7	1p22.1	7.69	8.1199999999999992	0.96	0.9	-0.42	8.0500000000000005E-5	5.5440000000000003E-3	 CLDN4 Low
AMY1A	1p21.1	6.57	5.15	3.02	3.19	1.42	8.1699999999999994E-5	5.5989999999999998E-3	 CLDN4 High 
TGFBR1	9q22.33	9.3800000000000008	9.6199999999999992	0.49	0.54	-0.24	8.1940000000000005E-5	5.5989999999999998E-3	 CLDN4 Low
ZBTB26	9q33.2	6.65	6.93	0.6	0.64	-0.28000000000000003	8.2139999999999996E-5	5.5989999999999998E-3	 CLDN4 Low
HSPB1P1	9q21.13	3.43	3.03	0.86	0.89	0.4	8.2810000000000002E-5	5.6259999999999999E-3	 CLDN4 High 
ORC1	1p32.3	7.28	7.69	0.91	0.86	-0.4	8.3640000000000006E-5	5.6629999999999996E-3	 CLDN4 Low
AK1	9q34.11	9.3000000000000007	8.92	0.94	0.69	0.37	8.4930000000000002E-5	5.7279999999999996E-3	 CLDN4 High 
PLPP2	19p13.3	9.3699999999999992	8.69	1.42	1.54	0.67	8.5249999999999999E-5	5.7279999999999996E-3	 CLDN4 High 
HS1BP3	2p24.1	9.34	9.11	0.56999999999999995	0.45	0.23	8.5610000000000002E-5	5.7279999999999996E-3	 CLDN4 High 
AGGF1	5q13.3	9.3000000000000007	9.5	0.45	0.42	-0.2	8.5749999999999997E-5	5.7279999999999996E-3	 CLDN4 Low
CEP128	14q31.1	6.31	6.67	0.87	0.73	-0.37	8.632E-5	5.7470000000000004E-3	 CLDN4 Low
STXBP2	19p13.2	11.13	10.83	0.64	0.7	0.31	8.7390000000000002E-5	5.7990000000000003E-3	 CLDN4 High 
RFC5	12q24.23	8.9600000000000009	9.23	0.57999999999999996	0.59	-0.27	8.9560000000000003E-5	5.9230000000000003E-3	 CLDN4 Low
PRIM1	12q13.3	7.34	7.71	0.85	0.78	-0.37	8.988E-5	5.9249999999999997E-3	 CLDN4 Low
ELP1	9q31.3	9.5	9.73	0.48	0.56000000000000005	-0.24	9.1349999999999998E-5	5.9890000000000004E-3	 CLDN4 Low
ATM	11q22.3	9.17	9.4600000000000009	0.6	0.68	-0.28999999999999998	9.1459999999999995E-5	5.9890000000000004E-3	 CLDN4 Low
WDR76	15q15.3	7.35	7.71	0.82	0.78	-0.36	9.2070000000000004E-5	5.9959999999999996E-3	 CLDN4 Low
RBM12	20q11.22	10.75	10.89	0.3	0.3	-0.14000000000000001	9.2159999999999999E-5	5.9959999999999996E-3	 CLDN4 Low
INVS	9q31.1	7.62	7.87	0.56000000000000005	0.55000000000000004	-0.25	9.3620000000000002E-5	6.0720000000000001E-3	 CLDN4 Low
SLC34A2	4p15.2	14.14	13.37	1.26	2.06	0.77	9.4409999999999999E-5	6.0850000000000001E-3	 CLDN4 High 
SLC39A9	14q24.1	10.58	10.79	0.46	0.47	-0.21	9.4439999999999997E-5	6.0850000000000001E-3	 CLDN4 Low
FOS	14q24.3	12.22	11.49	1.63	1.6	0.73	9.5379999999999998E-5	6.0920000000000002E-3	 CLDN4 High 
PDE4C	19p13.11	6.27	5.5	1.52	1.85	0.76	9.5519999999999993E-5	6.0920000000000002E-3	 CLDN4 High 
MTOR	1p36.22	10.59	10.87	0.67	0.56999999999999995	-0.28000000000000003	9.5619999999999996E-5	6.0920000000000002E-3	 CLDN4 Low
SYNJ2BP	14q24.2	9.5299999999999994	9.73	0.42	0.46	-0.2	9.5979999999999999E-5	6.0920000000000002E-3	 CLDN4 Low
CYB561	17q23.3	10.95	10.66	0.6	0.68	0.28999999999999998	9.6280000000000007E-5	6.0920000000000002E-3	 CLDN4 High 
KNTC1	12q24.31	8.74	9.1199999999999992	0.85	0.84	-0.38	9.6379999999999995E-5	6.0920000000000002E-3	 CLDN4 Low
TRAF4	17q11.2	10.69	10.37	0.75	0.67	0.32	9.7990000000000002E-5	6.1739999999999998E-3	 CLDN4 High 
SYNPO2L	10q22.2	3.3	3.86	1.33	1.1599999999999999	-0.56000000000000005	9.9530000000000004E-5	6.2370000000000004E-3	 CLDN4 Low
EGR1	5q31.2	12.36	11.68	1.54	1.5	0.68	9.9690000000000003E-5	6.2370000000000004E-3	 CLDN4 High 
ZZEF1	17p13.2	9.58	9.86	0.57999999999999996	0.68	-0.28000000000000003	1.0009999999999999E-4	6.2370000000000004E-3	 CLDN4 Low
WRN	8p12	7.64	7.94	0.66	0.67	-0.3	1.002E-4	6.2370000000000004E-3	 CLDN4 Low
SYNE1	6q25.2	7.92	8.36	1.01	0.96	-0.44	1.0060000000000001E-4	6.2370000000000004E-3	 CLDN4 Low
LZTS3	20p13	11.36	10.93	0.89	1.03	0.43	1.0170000000000001E-4	6.2890000000000003E-3	 CLDN4 High 
RCC1L	7q11.23	9.82	9.6300000000000008	0.39	0.45	0.19	1.021E-4	6.2919999999999998E-3	 CLDN4 High 
PON2	7q21.3	10.8	10.52	0.59	0.66	0.28000000000000003	1.025E-4	6.2940000000000001E-3	 CLDN4 High 
FAM98C	19q13.2	8.4600000000000009	8.15	0.64	0.74	0.31	1.031E-4	6.2940000000000001E-3	 CLDN4 High 
NASP	1p34.1	10.72	11	0.63	0.61	-0.28000000000000003	1.033E-4	6.2940000000000001E-3	 CLDN4 Low
LEF1	4q25	8.7200000000000006	9.35	1.4	1.41	-0.63	1.0340000000000001E-4	6.2940000000000001E-3	 CLDN4 Low
KRT19	17q21.2	13.68	13.22	0.88	1.17	0.47	1.0399999999999999E-4	6.2989999999999999E-3	 CLDN4 High 
SPTLC2	14q24.3	10.029999999999999	10.29	0.57999999999999996	0.59	-0.26	1.041E-4	6.2989999999999999E-3	 CLDN4 Low
GNB2	7q22.1	12.6	12.39	0.47	0.46	0.21	1.05E-4	6.3160000000000004E-3	 CLDN4 High 
BTBD7	14q32.12	9.68	9.92	0.56999999999999995	0.52	-0.24	1.0509999999999999E-4	6.3160000000000004E-3	 CLDN4 Low
CDK5RAP2	9q33.2	9.9700000000000006	10.23	0.61	0.55000000000000004	-0.26	1.053E-4	6.3160000000000004E-3	 CLDN4 Low
PDE4D	5q11.2-q12.1	7	7.5	1.1100000000000001	1.1299999999999999	-0.5	1.059E-4	6.3330000000000001E-3	 CLDN4 Low
PRR15L	17q21.32	8.75	8.1199999999999992	1.29	1.51	0.63	1.064E-4	6.3449999999999999E-3	 CLDN4 High 
CCDC93	2q14.1	8.92	9.17	0.57999999999999996	0.53	-0.25	1.071E-4	6.3530000000000001E-3	 CLDN4 Low
CCNT1	12q13.11-q13.12	7.21	7.51	0.72	0.59	-0.28999999999999998	1.072E-4	6.3530000000000001E-3	 CLDN4 Low
SMC1A	Xp11.22	11.01	11.3	0.65	0.61	-0.28000000000000003	1.083E-4	6.3940000000000004E-3	 CLDN4 Low
TXLNA	1p35.2	10.85	11.07	0.51	0.45	-0.22	1.088E-4	6.3940000000000004E-3	 CLDN4 Low
CAMSAP3	19p13.2	10.43	10.01	0.73	1.0900000000000001	0.42	1.088E-4	6.3940000000000004E-3	 CLDN4 High 
UBR4	1p36.13	11.68	11.91	0.54	0.51	-0.24	1.105E-4	6.4700000000000001E-3	 CLDN4 Low
TTLL5	14q24.3	9.58	9.81	0.51	0.55000000000000004	-0.24	1.1129999999999999E-4	6.5009999999999998E-3	 CLDN4 Low
MPHOSPH9	12q24.31	7.65	7.97	0.72	0.7	-0.32	1.1230000000000001E-4	6.5240000000000003E-3	 CLDN4 Low
RAPGEF6	5q31.1	7.33	7.62	0.61	0.65	-0.28000000000000003	1.1239999999999999E-4	6.5240000000000003E-3	 CLDN4 Low
NDUFA13	19p13.11	11.89	11.55	0.75	0.74	0.33	1.133E-4	6.5620000000000001E-3	 CLDN4 High 
RBBP8NL	20q13.33	7.34	6.62	1.26	1.91	0.72	1.141E-4	6.5890000000000002E-3	 CLDN4 High 
TCF7	5q31.1	8.56	9.02	1.08	0.99	-0.46	1.16E-4	6.6420000000000003E-3	 CLDN4 Low
ARIH2	3p21.31	10.26	10.46	0.45	0.44	-0.2	1.16E-4	6.6420000000000003E-3	 CLDN4 Low
CARD8	19q13.33	8.33	8.57	0.53	0.54	-0.24	1.1620000000000001E-4	6.6420000000000003E-3	 CLDN4 Low
DDHD1	14q22.1	8.11	8.39	0.6	0.65	-0.28000000000000003	1.166E-4	6.6420000000000003E-3	 CLDN4 Low
CERS6	2q24.3	9.7200000000000006	9.9700000000000006	0.55000000000000004	0.56999999999999995	-0.25	1.17E-4	6.6420000000000003E-3	 CLDN4 Low
NOP10	15q14	10.45	10.11	0.77	0.71	0.33	1.171E-4	6.6420000000000003E-3	 CLDN4 High 
ZSCAN20	1p35.1	6.23	6.52	0.67	0.6	-0.28000000000000003	1.1739999999999999E-4	6.6420000000000003E-3	 CLDN4 Low
SACS	13q12.12	7.65	7.98	0.73	0.74	-0.33	1.184E-4	6.6670000000000002E-3	 CLDN4 Low
ARHGAP27P2	17q24.2	3.08	2.31	1.86	1.57	0.77	1.187E-4	6.6670000000000002E-3	 CLDN4 High 
PCGF6	10q24.33	6.8	7.06	0.57999999999999996	0.57999999999999996	-0.26	1.188E-4	6.6670000000000002E-3	 CLDN4 Low
MYL12A	18p11.31	12.39	12.12	0.63	0.55000000000000004	0.26	1.206E-4	6.7470000000000004E-3	 CLDN4 High 
FAM174C	19p13.3	9.5399999999999991	9.2200000000000006	0.79	0.65	0.32	1.21E-4	6.7530000000000003E-3	 CLDN4 High 
CD82	11p11.2	10.49	10.039999999999999	1	1.02	0.45	1.214E-4	6.757E-3	 CLDN4 High 
ADSS2	1q44	10.51	10.3	0.48	0.47	0.21	1.2180000000000001E-4	6.7580000000000001E-3	 CLDN4 High 
ZNF417	19q13.43	7.02	7.3	0.66	0.57999999999999996	-0.28000000000000003	1.228E-4	6.7920000000000003E-3	 CLDN4 Low
SYCE3	22q13.33	3.16	2.5099999999999998	1.52	1.4	0.65	1.2320000000000001E-4	6.7999999999999996E-3	 CLDN4 High 
PPP4R2	3p13	8.5299999999999994	8.7899999999999991	0.62	0.53	-0.26	1.238E-4	6.8110000000000002E-3	 CLDN4 Low
PTPN11	12q24.13	10.66	10.89	0.52	0.53	-0.23	1.2410000000000001E-4	6.8110000000000002E-3	 CLDN4 Low
SLC7A3	Xq13.1	3.24	4.2300000000000004	2.0699999999999998	2.37	-0.99	1.2449999999999999E-4	6.8110000000000002E-3	 CLDN4 Low
NEU3	11q13.4	7.12	7.43	0.79	0.6	-0.31	1.259E-4	6.8649999999999996E-3	 CLDN4 Low
MTMR4	17q22	9.7899999999999991	10.029999999999999	0.48	0.56999999999999995	-0.23	1.2640000000000001E-4	6.8649999999999996E-3	 CLDN4 Low
NEMP1	12q13.3	9.4	9.66	0.61	0.59	-0.26	1.2679999999999999E-4	6.8649999999999996E-3	 CLDN4 Low
DMC1	22q13.1	3.04	3.72	1.54	1.52	-0.68	1.2750000000000001E-4	6.8649999999999996E-3	 CLDN4 Low
MLH3	14q24.3	8.17	8.39	0.49	0.53	-0.23	1.2769999999999999E-4	6.8649999999999996E-3	 CLDN4 Low
THEMIS2	1p35.3	10.24	9.73	1.1499999999999999	1.1499999999999999	0.51	1.282E-4	6.8649999999999996E-3	 CLDN4 High 
TRPM7	15q21.2	9.1	9.36	0.6	0.55000000000000004	-0.25	1.283E-4	6.8649999999999996E-3	 CLDN4 Low
PDCD7	15q22.31	9.0299999999999994	9.23	0.47	0.46	-0.21	1.283E-4	6.8649999999999996E-3	 CLDN4 Low
NDUFB3	2q33.1	9.8800000000000008	9.6	0.68	0.59	0.28000000000000003	1.2850000000000001E-4	6.8649999999999996E-3	 CLDN4 High 
CRIP2	14q32.33	12.75	12.39	0.79	0.84	0.36	1.294E-4	6.8910000000000004E-3	 CLDN4 High 
C19ORF33	19q13.2	10.98	10.35	1.31	1.57	0.64	1.306E-4	6.9379999999999997E-3	 CLDN4 High 
DPF1	19q13.2	4.3099999999999996	5.21	2.11	1.93	-0.89	1.325E-4	6.9940000000000002E-3	 CLDN4 Low
SDR9C7	12q13.3	0.39	0.74	0.62	0.93	-0.35	1.327E-4	6.9940000000000002E-3	 CLDN4 Low
ZSCAN22	19q13.43	6.85	7.12	0.64	0.59	-0.27	1.3300000000000001E-4	6.9940000000000002E-3	 CLDN4 Low
POMZP3	7q11.23	7.75	7.31	0.94	1.03	0.43	1.3329999999999999E-4	6.9940000000000002E-3	 CLDN4 High 
XPOT	12q14.2	10.8	11.06	0.54	0.61	-0.26	1.3339999999999999E-4	6.9940000000000002E-3	 CLDN4 Low
RBSN	3p25.1	9.19	9.39	0.45	0.49	-0.21	1.34E-4	7.0089999999999996E-3	 CLDN4 Low
HIRA	22q11.21	9.52	9.77	0.6	0.52	-0.25	1.359E-4	7.0860000000000003E-3	 CLDN4 Low
DNAJC17	15q15.1	7.54	7.29	0.54	0.59	0.25	1.373E-4	7.143E-3	 CLDN4 High 
CHCHD5	2q14.1	9.15	8.8800000000000008	0.65	0.6	0.28000000000000003	1.384E-4	7.1669999999999998E-3	 CLDN4 High 
COMMD7	20q11.21	10.8	10.57	0.5	0.55000000000000004	0.23	1.3870000000000001E-4	7.1669999999999998E-3	 CLDN4 High 
PFDN2	1q23.3	9.64	9.39	0.57999999999999996	0.54	0.25	1.3889999999999999E-4	7.1669999999999998E-3	 CLDN4 High 
NDUFA7	19p13.2	10.29	9.92	0.88	0.81	0.37	1.3970000000000001E-4	7.1910000000000003E-3	 CLDN4 High 
TAF1	Xq13.1	9.2899999999999991	9.5500000000000007	0.6	0.59	-0.26	1.4100000000000001E-4	7.2110000000000004E-3	 CLDN4 Low
AGR2	7p21.1	6.5	5.36	2.48	2.68	1.1399999999999999	1.4100000000000001E-4	7.2110000000000004E-3	 CLDN4 High 
GIPC1	19p13.12	12.2	11.89	0.74	0.64	0.3	1.4119999999999999E-4	7.2110000000000004E-3	 CLDN4 High 
FAM107A	3p14.3-p14.2	10.54	9.6999999999999993	1.95	1.9	0.84	1.4660000000000001E-4	7.4700000000000001E-3	 CLDN4 High 
GADD45B	19p13.3	9.14	8.65	1.02	1.21	0.49	1.471E-4	7.4780000000000003E-3	 CLDN4 High 
LRRC8E	19p13.2	8.02	7.62	0.81	0.97	0.39	1.4799999999999999E-4	7.5050000000000004E-3	 CLDN4 High 
SIGIRR	11p15.5	10.07	9.77	0.66	0.72	0.3	1.4909999999999999E-4	7.5290000000000001E-3	 CLDN4 High 
USP13	3q26.33	8.2799999999999994	8.6300000000000008	0.83	0.73	-0.34	1.493E-4	7.5290000000000001E-3	 CLDN4 Low
GET4	7p22.3	10.27	10.01	0.57999999999999996	0.61	0.26	1.4990000000000001E-4	7.5290000000000001E-3	 CLDN4 High 
ADAT3	19p13.3	7.16	6.87	0.67	0.62	0.28000000000000003	1.5029999999999999E-4	7.5290000000000001E-3	 CLDN4 High 
C19ORF53	19p13.13	11.7	11.36	0.82	0.71	0.34	1.504E-4	7.5290000000000001E-3	 CLDN4 High 
TOB1	17q21.33	10.53	10.25	0.66	0.65	0.28999999999999998	1.5349999999999999E-4	7.6660000000000001E-3	 CLDN4 High 
TGFBRAP1	2q12.1-q12.2	8.2799999999999994	8.5299999999999994	0.59	0.55000000000000004	-0.25	1.5469999999999999E-4	7.7079999999999996E-3	 CLDN4 Low
MED1	17q12	9.84	10.07	0.55000000000000004	0.49	-0.23	1.5530000000000001E-4	7.7159999999999998E-3	 CLDN4 Low
SMIM29	6p21.31	9.08	8.77	0.78	0.63	0.31	1.5640000000000001E-4	7.7499999999999999E-3	 CLDN4 High 
YLPM1	14q24.3	10.41	10.63	0.55000000000000004	0.49	-0.23	1.5870000000000001E-4	7.8440000000000003E-3	 CLDN4 Low
CYBA	16q24.2	12.4	12.01	0.88	0.92	0.39	1.5909999999999999E-4	7.8440000000000003E-3	 CLDN4 High 
LIMD1	3p21.31	9.34	9.57	0.52	0.5	-0.22	1.5970000000000001E-4	7.8569999999999994E-3	 CLDN4 Low
MCM6	2q21.3	10.08	10.39	0.69	0.72	-0.31	1.615E-4	7.9249999999999998E-3	 CLDN4 Low
ALMS1	2p13.1	9.2799999999999994	9.59	0.69	0.72	-0.31	1.627E-4	7.953E-3	 CLDN4 Low
SPAG9	17q21.33	9.5399999999999991	9.7799999999999994	0.51	0.61	-0.25	1.629E-4	7.953E-3	 CLDN4 Low
SLC1A4	2p14	9.0299999999999994	9.34	0.72	0.72	-0.31	1.638E-4	7.9780000000000007E-3	 CLDN4 Low
