project	organism	n_runs_total	n_runs_lung_selected	n_runs_lung_rnaseq	selection_basis	lung_run_frac	study_level_lung	n_tissue	n_cell_line	n_culture_organoid	n_sorted_or_fluid	single_cell_frac	median_spots	study_title	selected_runs
SRP013565	human	2212	73	73	run_level	0.033	False	40	31	2	0	0.0	105100541	GSE35585: RIP-seq from ENCODE/SUNY Albany	SRR3191759,SRR3191760,SRR3191867,SRR3191868,SRR3192341,SRR3192342,SRR3192356,SRR3192357,SRR3192362,SRR3192363,SRR3192374,SRR3192375,SRR3192376,SRR3192377,SRR3192378,SRR3192379,SRR3192380,SRR3192381,SRR3192382,SRR3192383,SRR3192441,SRR3192442,SRR3192467,SRR3192468,SRR3192492,SRR3192493,SRR3192497,SRR3192498,SRR3192502,SRR3192503,SRR3192630,SRR3192637,SRR3192638,SRR3192639,SRR3192640,SRR3192669,SRR3192670,SRR3192689,SRR3192690,SRR4235534,SRR4235535,SRR4421631,SRR4421758,SRR4421779,SRR4421929,SRR4422189,SRR4422346,SRR4422527,SRR4422574,SRR5048109,SRR5048110,SRR5048133,SRR5048134,SRR5048137,SRR5048138,SRR5048139,SRR5048140,SRR5048143,SRR5048144,SRR5048145,SRR5048146,SRR5048147,SRR5048148,SRR5170982,SRR5170983,SRR5171000,SRR5171001,SRR5171002,SRR5171003,SRR5171004,SRR5171005,SRR5171074,SRR5171075
SRP014027	human	6	6	6	run_level	1.0	True	0	6	0	0	0.0	62275269	Lung adenocarcinoma metastasis is suppressed by the alveolar lineage transcription factors GATA6 and HOPX.	SRR518622,SRR518623,SRR518624,SRR518625,SRR518626,SRR518627
SRP015764	human	16	10	10	run_level	0.625	True	0	10	0	0	0.0	6227200	Characteristics of Cross-Hybridization and Cross-Alignment in Pseudo-Xenograft samples by RNA-Seq and Microarrays [RNA-Seq]	SRR570435,SRR570436,SRR570437,SRR570438,SRR570439,SRR570440,SRR570441,SRR570442,SRR570443,SRR570444
SRP017019	human	6	6	6	run_level	1.0	False	2	4	0	0	0.0	14801206	Translatome of A549, H1299 and HBE cells	SRR611119,SRR611120,SRR611121,SRR611122,SRR768267,SRR768268
SRP017262	human	43	3	3	run_level	0.07	False	3	0	0	0	0.0	16745984	Homo sapiens Transcriptome or Gene expression	SRR620137,SRR620138,SRR620140
SRP017395	human	13	1	1	run_level	0.077	False	1	0	0	0	0.0	9403484	Homo sapiens Genome sequencing	SRR628225
SRP017465	human	23	2	2	run_level	0.087	False	0	2	0	0	0.0	9305395	RNA sequencing results	SRR629564,SRR629565
SRP017631	human	14	8	8	run_level	0.571	False	0	8	0	0	0.0	83449629	Genome-wide Analysis of Chromatin Interactions in Human Cells	SRR639050,SRR639051,SRR882006,SRR882007,SRR882008,SRR882009,SRR882010,SRR882011
SRP018883	human	8	8	8	run_level	1.0	True	0	0	8	0	0.0	25228474	Multiple roles for Grainyheadlike transcription factors in the establishment and maintenance of human mucociliary airway epithelium	SRR766064,SRR766065,SRR766066,SRR766067,SRR766068,SRR766069,SRR766070,SRR766071
SRP019275	human	8	4	4	run_level	0.5	True	0	4	0	0	0.0	144581937	Mutational activation of a mechanosensitive megachannel drives metastatic cell survival.	SRR773097,SRR773098,SRR773101,SRR773102
SRP019807	human	12	1	1	run_level	0.083	False	1	0	0	0	0.0	50542311	Identification of expressed and conserved human non-coding RNAs	SRR787277
SRP024274	human	52	52	52	run_level	1.0	True	52	0	0	0	0.0	16000000	Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2	SRR886565,SRR886566,SRR886567,SRR886568,SRR886569,SRR886570,SRR886571,SRR886572,SRR886573,SRR886574,SRR886575,SRR886576,SRR886577,SRR886578,SRR886579,SRR886580,SRR886581,SRR886582,SRR886583,SRR886584,SRR886585,SRR886586,SRR886587,SRR886588,SRR886589,SRR886590,SRR886591,SRR886592,SRR886593,SRR886594,SRR886595,SRR886596,SRR886597,SRR886598,SRR886599,SRR886600,SRR886601,SRR886602,SRR886603,SRR886604,SRR886605,SRR886606,SRR886607,SRR886608,SRR886609,SRR886610,SRR886611,SRR886612,SRR886613,SRR886614,SRR886615,SRR886616
SRP026620	human	12	12	12	study_level	0.0	True	0	12	0	0	0.0	136596610	RNA-seq of Tumor Initiating Cells (TICs) from Lung Squamous Cell Carcinoma (LSCC) lines reveals PRKCI dependent Hedgehog (HH) Signalling	SRR927166,SRR927167,SRR927168,SRR927169,SRR927170,SRR927171,SRR927172,SRR927173,SRR927174,SRR927175,SRR927176,SRR927177
