ligand	receptor	pathway	n_patients	n_cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	n_gse207422	n_gse131907	n_gse148071	n_gse205335	pval	padj
CXCL14	CXCR4	T_recruit_partial	7	2	0.0023721158504486084	0.004266726119177682	0.26290023353482994	0.2586335074156523	1.0	0.8571428571428571	6	1	0	0	0.9375	1.0
CCL5	ACKR2	T_recruit_partial	8	4	0.018496040254831314	0.025956764144615993	1.0791058883898788	1.0531491242452629	1.0	0.3333333333333333	2	3	1	3	0.00390625	0.01185344827586207
CCL4	ACKR2	T_recruit_partial	7	3	0.02000945433974266	0.027732376649510115	0.545874651055783	0.5181422744062729	1.0	0.375	2	3	0	3	0.0078125	0.022177419354838707
PTGES2	PTGER4	other	7	2	-0.02492736466228962	-0.05414685966180904	0.1253118198364973	0.17945867949830635	0.8571428571428571	0.5714285714285714	0	1	0	6	0.21875	0.37019230769230765
COL1A1	ITGA2+ITGB1	other	4	1	-0.01569490134716034	-0.01818409189581871	0.37229579128324986	0.39047988317906857	1.0	1.0	0	0	4	0	0.125	0.2391304347826087
COL3A1	ITGA2+ITGB1	other	4	1	-0.01569490134716034	-0.01818409189581871	0.3027004040777683	0.32088449597358704	1.0	1.0	0	0	4	0	0.125	0.2391304347826087
CD58	CD2	other	11	4	-0.01542681735008955	-0.07401957910042256	0.13844922995970896	0.21246880906013152	0.5	0.8333333333333334	1	6	1	4	0.2333984375	0.38752948113207547
VEGFA	NRP1	other	3	3	-0.015134420245885849	-0.01551759367187818	0.14615891873836517	0.16167651241024336	1.0	1.0	1	0	1	1	0.5	0.676923076923077
CXCL2	DPP4	other	3	2	-0.012742817401885986	-0.05059519410133362	0.3572724834084511	0.4078676775097847	1.0	1.0	0	2	1	0	0.5	0.676923076923077
TNF	TNFRSF1B	other	10	4	-0.01114687044173479	-0.06010353835299611	0.2039520747028291	0.26405561305582526	0.6	0.7	2	2	1	5	0.322265625	0.48066737288135597
FN1	ITGAV+ITGB1	other	3	2	-0.008465126156806946	-0.04033247629801432	0.1674657811721166	0.20779825747013092	1.0	1.0	0	2	1	0	0.25	0.4
COL1A2	ITGA2+ITGB1	other	5	1	-0.00824282318353653	-0.012089937925338745	0.4279290407896042	0.44001897871494294	1.0	1.0	0	0	5	0	0.3125	0.47413793103448276
SEMA4D	PTPRC	other	27	4	-0.007804118096828461	-0.07933215613894422	0.2362907675961996	0.31562292373514383	0.6551724137931034	0.6551724137931034	4	12	4	9	0.012943167239427567	0.03451511263847351
PTGES3	PTGER2	other	8	3	-0.007751393131911755	-0.004448730265721679	0.4031977135455236	0.40764644381124526	0.625	0.75	0	5	1	2	0.546875	0.7291666666666666
CD40LG	ITGA5+ITGB1	other	8	3	-0.00637753214687109	-0.011881003039889038	0.16897702612914145	0.1808580291690305	0.75	0.625	3	1	0	4	0.4609375	0.6542338709677419
CD44	TYROBP	other	41	4	-0.0060532428324222565	-0.01293178533457897	0.6244913577102125	0.6374231430447914	0.9545454545454546	0.9772727272727273	5	25	7	7	0.2679653647409168	0.421088430307155
