n_kl	n_kp	n5vs5	mean_kl	mean_kp	sd_kl	sd_kp	delta	welch_t	welch_df	welch_p	abs_t	min_kl	max_kp	complete_separation	U	mw_p	cliffs_delta	endpoint	dropped	arm_dropped	short
5	5	True	7.5184194381370375	2.826407111455132	0.24453092215100225	0.977786861395037	4.692012326681906	10.409423509244212	4.498394999049383	0.0002569734874943325	10.409423509244212	7.27436068398421	3.436730161736123	True	25.0	0.007936507936507936	1.0	TJ_EPCAM	none	none	
5	4	False	7.5184194381370375	2.709462964916548	0.24453092215100225	1.0879261490061831	4.80895647322049	8.667179886739222	3.2434259086159303	0.002377329334509625	8.667179886739222	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	7.5184194381370375	2.6738263488848846	0.24453092215100225	1.0580880245576079	4.844593089252153	8.967676962168037	3.257385663316195	0.0020986654363242324	8.967676962168037	7.27436068398421	3.2941836976094705	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	7.5184194381370375	3.260483356552112	0.24453092215100225	0.13641218679326156	4.257936081584925	33.0369043412013	6.4216417413277105	2.0549620262945662e-08	33.0369043412013	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	7.5184194381370375	2.7370884889035794	0.24453092215100225	1.1052469194071362	4.781330949233459	8.48747186990652	3.2358368418014174	0.0025622024196126957	8.48747186990652	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	7.5184194381370375	2.751174398018537	0.24453092215100225	1.1122154110672344	4.7672450401185005	8.411426707932414	3.2328833392465337	0.002644674449552352	8.411426707932414	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	7.5794341266752445	2.826407111455132	0.23432572998840034	0.977786861395037	4.753027015220113	10.499202615252802	4.563572511489401	0.00022848100116607627	10.499202615252802	7.424802072482157	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	7.541823779550758	2.826407111455132	0.2758177076814071	0.977786861395037	4.715416668095626	10.284196660253363	4.772333511067227	0.00019503898930285128	10.284196660253363	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	7.537619458850643	2.826407111455132	0.2779740225536796	0.977786861395037	4.711212347395511	10.267739458317786	4.783926279734457	0.0001938091563321128	10.267739458317786	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	KLC-RNA	KL	KL KLC
4	5	False	7.4169048178352215	2.826407111455132	0.10500337272621328	0.977786861395037	4.59049770638009	10.422997957667015	4.115014635666194	0.00041287937741600644	10.422997957667015	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	KLD-RNA	KL	KL KLD
4	5	False	7.516315007773321	2.826407111455132	0.2823077015179025	0.977786861395037	4.689907896318189	10.20660429848606	4.8074328927479675	0.00019379526784301808	10.20660429848606	7.27436068398421	3.436730161736123	True	20.0	0.015873015873015872	1.0	TJ_EPCAM	KLE-RNA	KL	KL KLE
5	5	True	0.9446165849163991	-1.996295584439754	0.5288780047188864	1.2933578718931324	2.940912169356153	4.706228760639503	5.301328942491923	0.004566097288925115	4.706228760639503	0.21773113712566694	0.2934080548773126	False	24.0	0.015873015873015872	0.9199999999999999	Cldn4_minus_Epcam	none	none	
5	4	False	0.9446165849163991	-1.7774262318409657	0.5288780047188864	1.3823919450251765	2.722042816757365	3.726050063246955	3.705597884816038	0.023326520096012476	3.726050063246955	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	0.9446165849163991	-1.8921919239085576	0.5288780047188864	1.4690526308284346	2.836808508824957	3.6762040127562887	3.6251473907061547	0.025244948600564372	3.6762040127562887	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	0.9446165849163991	-2.568721494269021	0.5288780047188864	0.214219431327205	3.51333807918542	13.531379051855298	5.500404036964716	1.9717554389797593e-05	13.531379051855298	0.21773113712566694	-2.412710226564541	True	20.0	0.015873015873015872	1.0	Cldn4_minus_Epcam	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	0.9446165849163991	-1.8533005226468249	0.5288780047188864	1.4470828800508115	2.797917107563224	3.675573694782194	3.644205663183687	0.02503001064260001	3.675573694782194	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	0.9446165849163991	-1.889837749533402	0.5288780047188864	1.467927442222851	2.834454334449801	3.6757039948533907	3.626103041073164	0.025243709989758827	3.6757039948533907	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	1.1263379468640822	-1.996295584439754	0.3908941492438862	1.2933578718931324	3.122633531303836	5.114575399453276	4.880749127367605	0.003988801173870241	5.114575399453276	0.5720747204584882	0.2934080548773126	True	20.0	0.015873015873015872	1.0	Cldn4_minus_Epcam	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	1.0377520510308769	-1.996295584439754	0.5613565339231092	1.2933578718931324	3.034047635470631	4.719230562807201	5.685291240505121	0.003758240585786105	4.719230562807201	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	0.8536514973156133	-1.996295584439754	0.5637241737638921	1.2933578718931324	2.849947081755367	4.42930942719514	5.696967059590061	0.005012764021865049	4.42930942719514	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	KLC-RNA	KL	KL KLC
4	5	False	0.8136298113585585	-1.996295584439754	0.508493552420566	1.2933578718931324	2.8099253957983126	4.447352097044617	5.4250200535113535	0.005533416282406739	4.447352097044617	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	KLD-RNA	KL	KL KLD
4	5	False	0.8917116180128648	-1.996295584439754	0.5952223856230655	1.2933578718931324	2.888007202452619	4.439793066020956	5.851491149497261	0.00464962997824375	4.439793066020956	0.21773113712566694	0.2934080548773126	False	19.0	0.031746031746031744	0.8999999999999999	Cldn4_minus_Epcam	KLE-RNA	KL	KL KLE
5	5	True	-2.074756088556782	-2.6842685846630667	0.444286032481846	0.9086085206755319	0.6095124961062846	1.3475298407179233	5.809331757309897	0.22798457099807753	1.3475298407179233	-2.7720204485884388	-1.232660756790275	False	18.0	0.30952380952380953	0.43999999999999995	Tacstd2_minus_Epcam	none	none	
5	4	False	-2.074756088556782	-2.552438398817535	0.444286032481846	0.992420243206033	0.4776823102607528	0.89368020390121	3.9627193437205794	0.4224467529723419	0.89368020390121	-2.7720204485884388	-1.232660756790275	False	13.0	0.5555555555555556	0.30000000000000004	Tacstd2_minus_Epcam	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	-2.074756088556782	-2.4473185838759948	0.444286032481846	0.8523246091165119	0.3725624953192126	0.7923413111580391	4.293824346165251	0.4696467571878317	0.7923413111580391	-2.7720204485884388	-1.232660756790275	False	13.0	0.5555555555555556	0.30000000000000004	Tacstd2_minus_Epcam	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	-2.074756088556782	-3.0471705416312647	0.444286032481846	0.471989112851048	0.9724144530744825	3.152086089101891	6.362697457683772	0.018269493732264643	3.152086089101891	-2.7720204485884388	-2.5764807544331942	False	18.0	0.06349206349206349	0.8	Tacstd2_minus_Epcam	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	-2.074756088556782	-2.711215542220535	0.444286032481846	1.0468611822880551	0.6364594536637527	1.1367928673199559	3.8666234129354224	0.32113038118158627	1.1367928673199559	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	-2.074756088556782	-2.663199856770005	0.444286032481846	1.047759506355677	0.5884437682132226	1.050243333097905	3.8651572047907523	0.3547828316086709	1.050243333097905	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	-2.0825522233035185	-2.6842685846630667	0.512622252181225	0.9086085206755319	0.6017163613595482	1.2524638092493217	6.453978072844818	0.2538739605166572	1.2524638092493217	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	-1.9004399985488682	-2.6842685846630667	0.2461966219108185	0.9086085206755319	0.7838285861141985	1.8461325625313723	4.71493483229135	0.12768132728785758	1.8461325625313723	-2.120121445521699	-1.232660756790275	False	16.0	0.19047619047619047	0.6000000000000001	Tacstd2_minus_Epcam	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	-2.0634147493155535	-2.6842685846630667	0.5121808909354022	0.9086085206755319	0.6208538353475133	1.2926148565373152	6.451523286951435	0.2405073320343092	1.2926148565373152	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	KLC-RNA	KL	KL KLC
4	5	False	-2.2021230122610835	-2.6842685846630667	0.3937485024546736	0.9086085206755319	0.4821455724019832	1.067819735254906	5.680972041731996	0.32886221706809715	1.067819735254906	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	KLD-RNA	KL	KL KLD
4	5	False	-2.1252504593548878	-2.6842685846630667	0.49617425869947085	0.9086085206755319	0.559018125308179	1.1741873072144728	6.359633968543401	0.2824077955473314	1.1741873072144728	-2.7720204485884388	-1.232660756790275	False	14.0	0.4126984126984127	0.3999999999999999	Tacstd2_minus_Epcam	KLE-RNA	KL	KL KLE
