Gene_Name	welch_t
MAGEA11	0.9645076362167636
TTLL10	0.9643348352443434
NAT2	0.9633298410368669
NOMO1	0.9629490749188061
BRS3	0.9629457584629072
XPC	0.9621884277574256
DMP1	0.9618993759347032
AC011462.1	0.9618405075361153
AL445524.2	0.9610539384155837
USP41	0.960752842952082
TMEM211	0.9602649955150314
CLEC7A	0.9601554108632722
BARX1	0.9599324248438166
LRRC74B	0.9591089476342869
AC005020.2	0.9587983542631385
MRAS	0.9584754121397518
C1QB	0.9583205265387111
INSYN2B	0.9581486384564253
EHMT1	0.9579516593301702
ADGRG5	0.9578784698433944
SYNGR1	0.9575346923559459
KLHL3	0.9570653733503952
PEBP4	0.956749791816829
OLIG2	0.9565293992000506
MITF	0.956465352286143
AL049844.3	0.9564647811802219
RBFOX2	0.9553716627083838
CST5	0.9541346004356854
HDGFL3	0.9539995524419118
OR2A2	0.953510704821567
SMARCA4	0.9529777047405289
RGCC	0.9527436518168599
OR10H5	0.9525573109734032
OR1I1	0.9522661710764422
KNCN	0.952022369940688
GNG3	0.9518701427597255
OR5A2	0.9518482135213392
HELT	0.9513891274760164
STAC3	0.951241342549715
NCR3	0.9510552583506603
AL121594.1	0.9508411633611464
AD000671.1	0.9505155264547677
SLC17A4	0.9500544594327353
FLRT2	0.9500335340167992
RASL11B	0.9496358718159104
AQP10	0.949264978073713
CACNA2D4	0.949192198046632
RAET1G	0.9490977731659352
RARRES2	0.9489794223058232
PCDHGA5	0.9488018623689838
MAGEE1	0.9482949207855439
ANXA13	0.9479035648355958
GNL3L	0.9478121255870211
CYP1A2	0.9476880324529777
CASC1	0.9474684239057545
MUSTN1	0.9465873893699013
CDC7	0.945958906224012
CYLC2	0.9458273253623631
FCGR3A	0.9456115196474931
TBX19	0.9455293472611449
ZNF112	0.9454817922910774
ENO3	0.9454799366894087
TBC1D15	0.9447008201747324
AL138752.2	0.9444991299163333
NRROS	0.9434596466241888
NOL8	0.9430222201249654
DCAF8L2	0.9424230272571381
FANCD2OS	0.9419328624882304
FAM205C	0.9416455807393261
CA5A	0.9411509835692817
DOCK9	0.9409118220245317
CHST5	0.9407729043715719
AICDA	0.9396404227420796
PNLIPRP1	0.9396374952895714
REC8	0.939589863384249
OR1A1	0.9394229851707567
CLEC1B	0.9386693435471809
ZNF609	0.9385539979343314
