accession	title	taxon	n_samples	gdstype	pdat	suppfile	ftp	queries	summary
GSE241977	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/06/08	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241977/	lung_ici_blood	While immunotherapy has shown efficacy in non-small cell lung cancer (NSCLC) patients, many respond only partially or not at all. One limitation in improving outcomes is the lack of a complete understanding of factors regulating immune checkpoint targets. Here, we sought to address a possible link between an environmental chemical receptor implicated in NSCLC and immune regulation, the aryl hydrocarbon receptor (AhR), and a known but counterintuitive mediator of immunosuppression, IFN    , in regulation of two immune checkpoints, PD-L1 and the IDO1, in lung adenocarcinoma (LUAD). To this end we used AhR, PD-L1, and IFN    R gene-edited LUAD cell lines, a syngeneic LUAD mouse model, bulk- and single cell-RNA sequencing of LUADs and tumor-infiltrating leukocytes, and existing human transcriptomic databases. The data demonstrate that: 1) the AhR regulates both PD-L1 and IDO1 in murine and human LUAD cells, 2) AhR-driven IDO1 results in production of Kyn which likely mediates an AhR→IDO1→Kyn→AhR amplification loop, 3) the previously characterized induction by IFN    of PD-L1 and IDO is mediated by the AhR, 4) transplantation of LUAD cells in which the AhR is deleted results in long-term tumor immunity in approximately half of the mice; slow growing tumors in the other half exhibit significantly higher densities of CD4+ and CD8+ T cells expressing immunocompetence markers, and 5) deletion of either IFN    R1 or PD-L1 does not provide the same level of immune protection as AhR deletion. The data definitively link IFN    - mediated immunosuppression to the AhR and support the targeting of the AhR in the context of LUAD.
GSE242780	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/08/31	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242780/	lung_ici_blood;lung_ici_pbmc;named_accessions	The purpose of the study was to investigate the potential role of the immune system in renal irAEs by analyzing the features of peripheral blood mononuclear cells (PBMC) from patients with renal irAEs using single-cell RNA sequencing (scRNA-seq).
GSE243934	Effect of carboplatin-paclitaxel or -gemcitabine combinations on lung cancer cells spheroids	Homo sapiens	23	Expression profiling by high throughput sequencing	2024/04/10	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243934/	lung_ici_blood	Background: Lung cancers represent the main cause of cancer related-death in the world. Recently, immunotherapy alone or in combination with chemotherapies have deeply impacted the therapeutic care leading to an improved overall survival. However, relapse will finally occur, with no efficient second line treatments so far. The development of new therapies based on comprehension of mechanisms of resistance is necessary. However, the difficulties to obtain tumor samples before and after first line treatment hampers to clearly understand the consequence of these molecules on tumor cells and then, to identify adapted second line therapies. Methods: To overcome this difficulty, we developed multicellular tumor spheroids (MCTS) using characterized Non-Small Cell Lung Cancer (NSCLC) cell lines, monocytes from healthy donors and fibroblasts (Human Foreskin Fibroblasts-2, HFF2). MCTS were treated with carboplatin-paclitaxel or -gemcitabine combinations according to clinic schedule of administration consisting on three repetitions of treatments (one combination and two single treatments (paclitaxel or gemcitabine)). The impact of treatments was studied using cell viability assay, histology, 3’RNA sequencing, real-time PCR, flow cytometry and confocal microscopy. Results: We showed that treatments induced a decrease of cell viability and strong modifications in the transcriptomic profile notably at the level of pathways involved in DNA damages repair and the cell cycle. Interestingly, we also observed a modification of the expression of genes considered as hallmarks of response/resistance to immune check point inhibitors and immunogenicity and particularly an increase of CD274 gene expression, coding for PD-L1. This result was validated at the protein level and showed to be restricted to tumor cells on MCTS containing fibroblasts and macrophages. This increase was also observed on an additional cell line, expressing low basal level of CD274. These results are consistent with previous observations on patients showing higher PD-L1 tumoral expression after chemotherapy exposure. Conclusions: This study shows that MCTS could be interesting models to study the impact of first line therapies using conditions close to the clinical practice and then, to identify more adapted second line or concomitant therapies for the treatment of lung cancers.
GSE244416	Small RNA Landscape of Platelet Dust: Platelet-Derived Extracellular Vesicles from Patients with Non-Small-Cell Lung Cancer	Homo sapiens	25	Non-coding RNA profiling by high throughput sequencing	2025/05/07	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244416/	lung_ici_blood;named_accessions	Abstract: Background: Platelet-derived Extracellular Vesicles, or “Platelet Dust” (PD), are reported as the most-abundant extracellular vesicles in plasma. However, the PD molecular content, especially the small RNA profile, is still poorly characterized. This study aims to characterize PD and other extracellular vesicles (EVs) in patients with non- small-cell lung cancer (NSCLC), focusing on their small RNA signatures and diagnostic potential. Methods: The EVs were isolated directly from the plasma of healthy donors and patients with NSCLC using the surface markers CD9, CD63, CD81 (overall EVs), and CD61 (PD). Small RNA sequencing was then performed to comprehensively profile the miRNAs. Results: Our analysis revealed distinct small RNA profiles in the EVs and the PD from the patients with NSCLC. The EVs (CD9-, CD63-, and CD81-positive) showed the enrichment of four miRNAs and the depletion of ten miRNAs, while the PD (CD61- positive) exhibited a more complex profile, with nineteen miRNAs enriched and nine miRNAs depleted in the patients with NSCLC compared to those of the healthy controls. Conclusions: This exploratory study enhances our understanding of miRNA composition within different plasma vesicle populations, shedding light on the biology of plasma vesicles and their contents. Furthermore, utilizing an extracellular vesicle isolation method with potential clinical applicability offers the prospect of improved cancer characterization and detection by selecting the most informative subpopulation of plasma vesicles.
GSE247754	Homeostatic Dysregulation of Systemic CD8+ T Cell Compartment in Lung Cancer Patients	Homo sapiens	2	Expression profiling by high throughput sequencing	2025/06/16	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247754/	lung_ici_blood;named_accessions	Cancer adapts to evolve various resistant mechanisms to counteract CD8+ T cell attacks. While this suppression for antigen-specific CD8+ T cells is common within the tumor microenvironment, little is known about how tumors affect overall CD8+ T cell compartment systemically. Here we show a new link in lung cancer patients between tumor-associated homeostatic dysregulation and uncontrolled differentiation of peripheral blood CD8+ T cells. These CD8+ T cells exhibited coordinated alterations indicative of reduced quiescence, increased spontaneous activation, and a progressive transition toward proliferation-incompetent late differentiated effector subsets. This phenomenon was not limited to tumor-reactive cells but was also broadly applicable to tumor non-specific cells, which correlated with poor clinical responses to immune checkpoint inhibitor therapy. Malignant diseases continue to confront newly primed CD8+ T cells, and here we uncover a new mechanism by which cancer impairs potentially tumor-reactive CD8+ T cells via dysregulating homeostasis of systemic CD8+ T cell populations.
GSE249262	Circulating tumor cell analysis from stage III lung cancer patients	Homo sapiens	76	Expression profiling by array	2024/01/18	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249262/	lung_ici_blood	Imaging technologies only detect progression after it has occurred, which may be well after tumor growth or disease progression has begun. In this work, we determined whether circulating tumor cell (CTC) quantification, PD-L1 expression on CTCs, or CTC gene expression can be used as a blood-based biomarker to predict patient outcomes in stage III NSCLC. The primary endpoint was disease progression, either locoregional, distant, or death. We used immunoaffinity graphene oxide (GO) chip to isolated CTCs from stage III NSCLC patients, and extracted bulk RNA materials from isolated CTC samples and conducted microarray gene expression profiling.
GSE250254	Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC	Homo sapiens	8	Expression profiling by high throughput sequencing	2023/12/17	XLS, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250254/	lung_ici_blood	Introduction: Tobacco smoking generates airway inflammation in chronic obstructive pulmonary disease (COPD), and its involvement in the development of lung cancer is still among the leading causes of early death. Therefore, we aimed to have a better understanding of the disbalance in immunoregulation in chronic inflammatory conditions in smoker subjects with stable COPD (stCOPD), exacerbating COPD (exCOPD), or non-small cell lung cancer (NSCLC). Methods: Smoker controls without chronic illness were recruited as controls. Through extensive mapping of single cells, surface receptor quantification was achieved by single-cell mass cytometry (CyTOF) with 29 antibodies. The CyTOF characterized 14 main immune subsets such as CD4+, CD8+, CD4+/CD8+, CD4 −/CD8−, and g/d T cells and other subsets such as CD4+ or CD8+ NKT cells, NK cells, B cells, plasmablasts, monocytes, CD11cdim, mDCs, and pDCs. The CD4+ central memory (CM) T cells (CD4+/CD45RA−/CD45RO+/CD197+) and CD4+ effector memory (EM) T cells (CD4+/CD45RA−/CD45RO+/CD197−) were FACSsorted for RNA-Seq analysis. Plasma samples were assayed by Luminex MAGPIX® for the quantitative measurement of 17 soluble immuno-oncology mediators (BTLA, CD28, CD80, CD27, CD40, CD86, CTLA-4, GITR, GITRL, HVEM, ICOS, LAG-3, PD-1, PD-L1, PD-L2, TIM-3, TLR-2) in the four studied groups. Results: Our focus was on T-cell-dependent differences in COPD and NSCLC, where peripheral CD4+ central memory and CD4+ effector memory cells showed a significant reduction in exCOPD and CD4+ CM showed elevation in NSCLC. The transcriptome analysis delineated a perfect correlation of differentially expressed genes between exacerbating COPD and NSCLCderived peripheral CD4+ CM or CD4+ EM cells. The measurement of 17 immuno-oncology soluble mediators revealed a disease-associated phenotype in the peripheral blood of stCOPD, exCOPD, and NSCLC patients. Discussion: The applied single-cell mass cytometry, the whole transcriptome profiling of peripheral CD4+ memory cells, and the quantification of 17 plasma mediators provided complex data that may contribute to the understanding of the disbalance in immune homeostasis generated or sustained by tobacco smoking in COPD and NSCLC.
GSE253013	Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma	Homo sapiens	89	Expression profiling by high throughput sequencing	2024/01/31	RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253013/	lung_ici_blood	Cancer immunotherapy has revolutionized the treatment of lung adenocarcinoma (LUAD); however, a significant fraction of patients fails to respond. Recent studies to understand transcriptomic determinants of immunotherapy response have pinpointed stroma-mediated resistance mechanisms. To gain a better understanding of the stromal biology at the cellular and molecular levels in LUAD, we obtained the transcriptomes of 256,379 single cells with 13,857 mesenchymal cells from 9 treatment-naïve patients. Among the mesenchymal cells, we identify subsets of FAP+PDPN+ cancer-associated fibroblasts (CAFs) and ACTA2+MCAM+ pericytes, which enrich in tumors, differentiate from lung resident fibroblasts and possess a myofibroblast phenotype.  By utilizing imaging-mass cytometry, we found that both subsets are topographically adjacent to the perivascular niche and have close spatial interaction with endothelial cells (ECs). Modelling of ligand and receptor interactomes between mesenchymal and ECs identifies that NOTCH3/NOTCH signaling drives the cell-cell interaction in tumors, with pericytes and CAFs as the signal receivers and arterial and PLVAPhigh immature neovascular ECs as the signal senders. Either pharmacologically blocking NOTCH signaling or tuning down NOTCH3 level in mesenchymal cells reduced collagen production and suppressed cell invasion. By evaluating the clinical relevance of NOTCH signaling using bulk-RNA sequencing data, we demonstrate that NOTCH3 correlates with poor survival in stroma-rich patients and that a T-cell inflammation gene signature predicts survival only in low-NOTCH3 expressing patients.  Our study underscores the importance of NOTCH3 in regulating tumor stroma biology and may serve as a potential target for immunotherapy combination strategies.
GSE259407	Anti-EGFR aptamer exhibits direct anti-cancer effects in NSCLC cells harboring EGFR L858R mutations	Homo sapiens	36	Expression profiling by high throughput sequencing	2024/11/21	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259407/	lung_ici_blood	Non-small cell lung cancer (NSCLC) lung adenocarcinoma (LUAD) is a leading cause of death worldwide. Activating mutations in the tyrosine kinase domain of the oncogene epidermal growth factor receptor (EGFR) are responsible for ~10-50% of all LUAD cases. Although EGFR tyrosine kinase inhibitors (TKIs) have been effective in prolonging NSCLC patient survival and quality of life, acquired resistance mechanisms and disease progression are inevitable. Contemporary second- and third-line treatments, such as immunotherapy, remain ineffective for these patients, presenting a clear and unmet need for alternative or adjuvant therapeutics for the treatment of mutant EGFR positive NSCLC. Here we show that an anti-EGFR aptamer (EGFRapt) decreases viability of NSCLC cell lines harboring the L858R ± T790M mutation in EGFR but not cell lines harboring wild-type or exon 19 deletions. In a humanized xenograft mouse model, EGFRapt decreased tumor burden compared to controls when delivered intratumorally over multiple doses. To elucidate the mechanism by which EGFRapt exerts these effects, we examined kinase-dependent and kinase-independent mechanisms and found that it is cell line dependent, either inhibiting cellular proliferation or inducing cell death. Post hoc transcriptomics analysis comparing EGFRapt to control aptamer or vehicle validated these findings and provided additional mechanistic insights. Overall, these data establish that EGFRapt has direct anti-cancer activity in mutant EGFR positive NSCLC via targetable mechanisms that are independent of existing approaches and provide a foundation for further development of nucleic acid-based therapies that target EGFR.
GSE260575	Bojungikki-Tang Enhances the Efficacy of Pembrolizumab Treatment in Human PBMC-Injected H460 Tumor-Bearing Mice	Homo sapiens	12	Expression profiling by high throughput sequencing	2024/03/05	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260575/	lung_ici_pbmc	Immune checkpoint inhibitors (ICIs) have become a major treatment option for non-small cell lung cancer, but their efficacy is still limited because only a subset of patients responded to ICIs. Bojungikki-Tang (BJIKT), a widely used herbal medicine extracted from 10 medicinal plants, has been largely investigated as a combined treatment with anticancer agents. In this study, we examined the potential anti-tumor effect of co-administration of BJIKT and pembrolizumab in human peripheral blood mononuclear cell (PBMC)-injected H460 tumor-bearing MHC Ⅰ/Ⅱ double knockout NSG mice. We found that combination treatment with BJIKT and pembrolizumab significantly suppressed tumor growth by regulating the activation of immune cells. Immunohistochemistry analysis showed that the combination therapy decreased the exhausted proportion of CD8(+) and CD4(+) T cells expressing PD-1 and LAG-3 markers in the tumor tissues. Our transcriptome analysis indicated that BJIKT strengthened T cell function and TNF signaling and inhibited TGF-β signaling to induce cell cycle arrest and apoptosis. Additionally, BJIKT synergistically exhibited anti-tumor effects along with immune-related pathways when combined with pembrolizumab. Taken together, combination therapy altered immune cells and regulated anti-tumor immune response, paving the way for a more effective understanding of the role of BJIKT in the tumor microenvironment.
GSE260597	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (human)	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/03/04	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260597/	lung_ici_pbmc	We recently reported that resistance to PD-1-blockade in a refractory lung cancer-derived model involved increased collagen deposition and the collagen-binding inhibitory receptor leukocyte-associated immunoglobulin-like receptor 1 (LAIR1), and thus we hypothesized that LAIR1 and collagen cooperated to suppress therapeutic response. Here, we report LAIR1 is associated with tumor stroma and is highly expressed by intratumoral myeloid cells in both human tumors and mouse models of cancer. Stroma-associated myeloid cells exhibit a suppressive phenotype and correlate with LAIR1 expression in human cancer. NGM438, a novel humanized LAIR1 antagonist monoclonal antibody, elicits myeloid inflammation and allogeneic T cell responses by binding to LAIR1 and blocking collagen engagement. Further, a mouse-reactive NGM438 surrogate antibody sensitized refractory KP mouse lung tumors to anti-PD-1 therapy and resulted in increased intratumoral CD8+ T cell content and inflammatory gene expression. These data place LAIR1 at the intersection of stroma and suppressive myeloid cells and support the notion that blockade of the LAIR1/collagen axis can potentially address resistance to checkpoint inhibitor therapy in the clinic.
GSE260598	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (GeoMx)	Homo sapiens	48	Expression profiling by high throughput sequencing	2024/03/04	DCC, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260598/	lung_ici_blood	We recently reported that resistance to PD-1-blockade in a refractory lung cancer-derived model involved increased collagen deposition and the collagen-binding inhibitory receptor leukocyte-associated immunoglobulin-like receptor 1 (LAIR1), and thus we hypothesized that LAIR1 and collagen cooperated to suppress therapeutic response. Here, we report LAIR1 is associated with tumor stroma and is highly expressed by intratumoral myeloid cells in both human tumors and mouse models of cancer. Stroma-associated myeloid cells exhibit a suppressive phenotype and correlate with LAIR1 expression in human cancer. NGM438, a novel humanized LAIR1 antagonist monoclonal antibody, elicits myeloid inflammation and allogeneic T cell responses by binding to LAIR1 and blocking collagen engagement. Further, a mouse-reactive NGM438 surrogate antibody sensitized refractory KP mouse lung tumors to anti-PD-1 therapy and resulted in increased intratumoral CD8+ T cell content and inflammatory gene expression. These data place LAIR1 at the intersection of stroma and suppressive myeloid cells and support the notion that blockade of the LAIR1/collagen axis can potentially address resistance to checkpoint inhibitor therapy in the clinic.
GSE260599	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors	Homo sapiens; Mus musculus	61	Expression profiling by high throughput sequencing	2024/03/04	DCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260599/	lung_ici_pbmc	This SuperSeries is composed of the SubSeries listed below.
GSE260770	The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients	Homo sapiens	50	Expression profiling by high throughput sequencing	2024/05/01	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE260nnn/GSE260770/	lung_ici_blood	Lung cancer is the second most commonly diagnosed cancer and the leading cause of cancer death worldwide, of which approximately 85% are non-small cell lung cancer (NSCLC). The overall survival (OS) of patients with advanced NSCLC was significantly prolonged with immune checkpoint inhibitors (ICIs) targeting the programmed cell death-1 (PD-1) and programmed death-ligand 1 (PD-L1) axis. For early-stage lung cancer, the 5-year survival rate for patients ranges from 80% in stage IA to 41% in stage IIIA, and many cases relapse after surgical resection. Currently, multiple clinical trials have manifested the encouraging efficacy of neoadjuvant immunotherapy in stage I-IIIA resectable NSCLC. However, the effect of immunotherapy in ultra early-stage NSCLC patients with micro-invasive or even pre-invasive lesions remains unclear. In this study, we aimed to evaluate the activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients.
GSE266035	Divergent gene expression and kinetics of circulating tumor-infiltrating lymphocytes with highly homologous T-cell receptor sequences during immunotherapy	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2025/02/20	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266035/	lung_ici_pbmc	single-cell RNA/TCR sequencing (scRNA/TCR-seq) of circulating T cells from longitudinally obtained blood samples from the same a patient with NSCLC who had a response and a subsequent progression to anti-PD-1/CTLA-4 blockade therapy.
GSE266219	Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	Homo sapiens	79	Expression profiling by high throughput sequencing	2024/05/07	RDS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266219/	lung_ici_blood;named_accessions	Persistent inflammation driven by cytokines like type-one interferon (IFN-I) can cause immunosuppression. We show that administration of the JAK1 inhibitor itacitinib after anti-PD1 immunotherapy improves immune function and anti-tumor responses in mice, and results in high response rates (67%) in a phase-2 clinical trial for metastatic non-small cell lung cancer. Patients who failed to respond to initial anti-PD1 immunotherapy but responded after addition of itacitinib had multiple features of poor immune function to anti-PD1 alone that improved after JAK inhibition. Itacitinib promoted CD8 T cell plasticity and therapeutic responses of exhausted- and effector-memory-like T cell clonotypes. Patients with persistent inflammation refractory to itacitinib showed progressive CD8 T cell terminal differentiation and progressive disease. Thus, JAK inhibition may improve the efficacy of anti-PD1 immunotherapy by pivoting T cell differentiation dynamics.
GSE266364	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	Homo sapiens; Mus musculus	33	Expression profiling by high throughput sequencing	2024/10/30	TXT, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266364/	lung_ici_blood	Immunogenic cell death (ICD) represents a spectacular approach to boosting tumor immunotherapy by inducing an adaptive immune response, and it is urgent to identify effective and safe ICD inducers. Here, we identified a conserved, ICD-related circular RNA-cEmsy/cEMSY by performing a systematic screening utilizing immunogenic cell death models induced by multiple cell stressors in lung adenocarcinoma (LUAD). cEmsy/cEMSY triggers ICD in LUAD both in vitro and in vivo, leading to the release of damage-associated molecular patterns (DAMPs) and promoting T-cell cross-priming by dendritic cells (DCs). Notably, in the immunosuppressive tumor model, intratumoral delivery of in vitro-transcribed cEmsy encapsulated in lipid nanoparticles (LNP) induces a potent anti-tumor immune response, which synergizes with PD-1 blockade to facilitate long-term cancer immunity with no apparent toxicities. Mechanistically, cEmsy/cEMSY facilitates TDP-43 aggregation in mitochondria and leverages mitochondrial DNA leakage, activating the cGAS-STING pathway and initiating an antiviral immune response. Clinically, elevated expression level of cEMSY correlates with enhanced DCs and CD8+ T cell infiltration, and favorable immunotherapy response in LUAD. Hence, cEmsy/cEMSY emerges as a safe and potent ICD inducer, offering a dual advantage as a mechanism-based target and a biomarker for enhancing ICI responses in LUAD treatment.
GSE267026	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]	Homo sapiens	24	Expression profiling by high throughput sequencing; Other	2026/02/05	CSV, MTX, TAR, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267026/	lung_ici_pbmc	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE267027	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2026/02/05	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267027/	lung_ici_pbmc	The priming, expansion, and function of CD8⁺ T cells are helped by CD4⁺ T cells via dendritic cells. Precursor exhausted T cells (Tpex) maintain self-renewal and supply cytotoxic CD8⁺ T cells in the tumor microenvironment (TME), but the identity of their CD4⁺ T-cell partners remains unclear. Here, we perform scRNA-seq, scTCR-seq, and mass cytometry analysis on peripheral blood, tumor, and lymph nodes derived from lung cancer patients and identify a population of IL-7Rhigh CCR6⁺ Th1-like CD4⁺ T cells, namedTh7R, that is numerically and spatially partnered with Tpex cells. Th7R cells express lymphotoxin-β and CXCL13, correlate with high endothelial venules, and co-localize with Tpex in tertiary lymphoid structures. Furthermore, Th7R cell abundance correlates with Tpex numbers in the TME and lymph nodes, and adoptive transfer of Th7R increases Tpex in a preclinical mouse model of skin cancer. In lung cancer patients, Th7R and Tpex in TME are associated with better response to neoadjuvant PD-1 blockade therapy. Thus, these results suggest that Th7R cells act as partners of Tpex CD8 T cells to sustain antitumor T-cell immunity.
GSE269551	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/02/26	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269551/	lung_ici_blood	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE269618	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1975 and HCC44]	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/02/26	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269618/	lung_ici_blood	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE269686	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner II	Homo sapiens	8	Genome binding/occupancy profiling by high throughput sequencing	2025/02/26	BROADPEAK	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE269nnn/GSE269686/	lung_ici_blood	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
