accession	model	gene	sample	group	value
GSE274351	LCM adenoma	Cldn4	NL3_S20_L00	NL	0.0
GSE274351	LCM adenoma	Cldn4	NL4_S21_L00	NL	0.0
GSE274351	LCM adenoma	Stk11	K1_S8_L00	K	0.1
GSE274351	LCM adenoma	Stk11	K2_S28_L00	K	8.76
GSE274351	LCM adenoma	Stk11	K3_S9_L00	K	0.13
GSE274351	LCM adenoma	Stk11	K4_S10_L00	K	7.98
GSE274351	LCM adenoma	Stk11	KL1_S16_L00	KL	21.26
GSE274351	LCM adenoma	Stk11	KL2_S17_L00	KL	56.38
GSE274351	LCM adenoma	Stk11	KL3_S29_L00	KL	4.1
GSE274351	LCM adenoma	Stk11	KL4_S30_L00	KL	105.05
GSE274351	LCM adenoma	Stk11	KL5_S31_L00	KL	2.99
GSE274351	LCM adenoma	Stk11	KP1_S11_L00	KP	36.65
GSE274351	LCM adenoma	Stk11	KP2_S12_L00	KP	17.37
GSE274351	LCM adenoma	Stk11	KP3_S13_L00	KP	14.13
GSE274351	LCM adenoma	Stk11	KP4_S14_L00	KP	228.95
GSE274351	LCM adenoma	Stk11	KP5_S15_L00	KP	4.28
GSE274351	LCM adenoma	Stk11	NL1_S18_L00	NL	173.94
GSE274351	LCM adenoma	Stk11	NL2_S19_L00	NL	172.79
GSE274351	LCM adenoma	Stk11	NL3_S20_L00	NL	134.68
GSE274351	LCM adenoma	Stk11	NL4_S21_L00	NL	105.95
GSE274351	LCM adenoma	Cd8a	K1_S8_L00	K	0.0
GSE274351	LCM adenoma	Cd8a	K2_S28_L00	K	0.1
GSE274351	LCM adenoma	Cd8a	K3_S9_L00	K	0.0
GSE274351	LCM adenoma	Cd8a	K4_S10_L00	K	0.0
GSE274351	LCM adenoma	Cd8a	KL1_S16_L00	KL	1.83
GSE274351	LCM adenoma	Cd8a	KL2_S17_L00	KL	6.48
GSE274351	LCM adenoma	Cd8a	KL3_S29_L00	KL	0.0
GSE274351	LCM adenoma	Cd8a	KL4_S30_L00	KL	0.0
GSE274351	LCM adenoma	Cd8a	KL5_S31_L00	KL	0.0
GSE274351	LCM adenoma	Cd8a	KP1_S11_L00	KP	3.07
GSE274351	LCM adenoma	Cd8a	KP2_S12_L00	KP	7.23
GSE274351	LCM adenoma	Cd8a	KP3_S13_L00	KP	0.0
GSE274351	LCM adenoma	Cd8a	KP4_S14_L00	KP	0.0
GSE274351	LCM adenoma	Cd8a	KP5_S15_L00	KP	7.78
GSE274351	LCM adenoma	Cd8a	NL1_S18_L00	NL	3.81
GSE274351	LCM adenoma	Cd8a	NL2_S19_L00	NL	3.17
GSE274351	LCM adenoma	Cd8a	NL3_S20_L00	NL	11.45
GSE274351	LCM adenoma	Cd8a	NL4_S21_L00	NL	0.0
GSE338923	Lacun3 vitro	Cldn4	chr	chr	
GSE338923	Lacun3 vitro	Cldn4	DB	DB	
GSE338923	Lacun3 vitro	Cldn4	Type	Type	
GSE338923	Lacun3 vitro	Cldn4	start	start	134973973.0
GSE338923	Lacun3 vitro	Cldn4	end	end	134975788.0
GSE338923	Lacun3 vitro	Cldn4	strand	strand	
GSE338923	Lacun3 vitro	Cldn4	C1_S1	STK11_WT	-1.69784725481593
GSE338923	Lacun3 vitro	Cldn4	C2_S2	STK11_WT	-1.52515820180615
GSE338923	Lacun3 vitro	Cldn4	C3_S3	STK11_WT	-1.20533341620678
GSE338923	Lacun3 vitro	Cldn4	C4_S4	STK11_WT	-0.32656816203978
GSE338923	Lacun3 vitro	Cldn4	S1_S5	STK11_KO	-2.52622058778238
GSE338923	Lacun3 vitro	Cldn4	S2_S6	STK11_KO	-3.82178021919357
GSE338923	Lacun3 vitro	Cldn4	S3_S7	STK11_KO	-5.68263502134893
GSE338923	Lacun3 vitro	Cldn4	S4_S8	STK11_KO	-3.84348568912805
GSE338923	Lacun3 vitro	Stk11	chr	chr	
GSE338923	Lacun3 vitro	Stk11	DB	DB	
GSE338923	Lacun3 vitro	Stk11	Type	Type	
GSE338923	Lacun3 vitro	Stk11	start	start	55527143.0
GSE338923	Lacun3 vitro	Stk11	end	end	55532466.0
GSE338923	Lacun3 vitro	Stk11	strand	strand	
GSE338923	Lacun3 vitro	Stk11	C1_S1	STK11_WT	6.77757441060827
GSE338923	Lacun3 vitro	Stk11	C2_S2	STK11_WT	6.70910040102285
GSE338923	Lacun3 vitro	Stk11	C3_S3	STK11_WT	6.70503317395367
GSE338923	Lacun3 vitro	Stk11	C4_S4	STK11_WT	6.7950489050348
GSE338923	Lacun3 vitro	Stk11	S1_S5	STK11_KO	7.19561099541091
GSE338923	Lacun3 vitro	Stk11	S2_S6	STK11_KO	7.22466172881375
GSE338923	Lacun3 vitro	Stk11	S3_S7	STK11_KO	7.34544370135596
GSE338923	Lacun3 vitro	Stk11	S4_S8	STK11_KO	7.19062545696854
GSE330941	LLC	Tacstd2	D1727T149	WT	6.96
GSE330941	LLC	Tacstd2	D1727T150	WT	7.98
GSE330941	LLC	Tacstd2	D1727T151	WT	0.63
GSE330941	LLC	Tacstd2	D1727T152	WT	2.0
GSE330941	LLC	Tacstd2	D1727T157	Ago2KO	6.07
GSE330941	LLC	Tacstd2	D1727T158	Ago2KO	9.52
GSE330941	LLC	Tacstd2	D1727T159	Ago2KO	14.59
GSE330941	LLC	Tacstd2	D1727T160	Ago2KO	17.23
GSE330941	LLC	Cldn4	D1727T149	WT	3.24
GSE330941	LLC	Cldn4	D1727T150	WT	2.17
GSE330941	LLC	Cldn4	D1727T151	WT	0.87
GSE330941	LLC	Cldn4	D1727T152	WT	1.43
GSE330941	LLC	Cldn4	D1727T157	Ago2KO	3.74
GSE330941	LLC	Cldn4	D1727T158	Ago2KO	4.67
GSE330941	LLC	Cldn4	D1727T159	Ago2KO	7.2
GSE330941	LLC	Cldn4	D1727T160	Ago2KO	10.76
GSE330941	LLC	Cd8a	D1727T149	WT	1.04
GSE330941	LLC	Cd8a	D1727T150	WT	1.19
GSE330941	LLC	Cd8a	D1727T151	WT	0.2
GSE330941	LLC	Cd8a	D1727T152	WT	0.97
GSE330941	LLC	Cd8a	D1727T157	Ago2KO	3.4
GSE330941	LLC	Cd8a	D1727T158	Ago2KO	0.82
GSE330941	LLC	Cd8a	D1727T159	Ago2KO	0.7
GSE330941	LLC	Cd8a	D1727T160	Ago2KO	0.83
GSE330941	LLC	Cd274	D1727T149	WT	7.17
GSE330941	LLC	Cd274	D1727T150	WT	7.83
GSE330941	LLC	Cd274	D1727T151	WT	6.96
GSE330941	LLC	Cd274	D1727T152	WT	5.1
GSE330941	LLC	Cd274	D1727T157	Ago2KO	10.05
GSE330941	LLC	Cd274	D1727T158	Ago2KO	25.14
GSE330941	LLC	Cd274	D1727T159	Ago2KO	15.98
GSE330941	LLC	Cd274	D1727T160	Ago2KO	17.17
GSE260596	344SQ	Tacstd2	aKLH_PD1_W4_LOHM_a	aPD1+aKLH	0.0
GSE260596	344SQ	Tacstd2	aLair1_PD1_W4_WTSV_ae	aPD1+aLAIR1	3.0
GSE260596	344SQ	Tacstd2	aLair1_PD1_W4_WTSV_af	aPD1+aLAIR1	0.0
GSE260596	344SQ	Tacstd2	aLair1_PD1_W4_WTSV_ai	aPD1+aLAIR1	0.0
GSE260596	344SQ	Tacstd2	aKLH_PD1_W4_KWM_a	aPD1+aKLH	0.0
GSE260596	344SQ	Tacstd2	aKLH_PD1_W4_LOHM_d	aPD1+aKLH	6.0
GSE260596	344SQ	Tacstd2	aLair1_PD1_W4_WTSV_ah	aPD1+aLAIR1	0.0
GSE260596	344SQ	Cldn4	aKLH_PD1_W4_LOHM_a	aPD1+aKLH	7.0
GSE260596	344SQ	Cldn4	aLair1_PD1_W4_WTSV_ae	aPD1+aLAIR1	15.0
GSE260596	344SQ	Cldn4	aLair1_PD1_W4_WTSV_af	aPD1+aLAIR1	20.0
GSE260596	344SQ	Cldn4	aLair1_PD1_W4_WTSV_ai	aPD1+aLAIR1	1.0
GSE260596	344SQ	Cldn4	aKLH_PD1_W4_KWM_a	aPD1+aKLH	5.0
GSE260596	344SQ	Cldn4	aKLH_PD1_W4_LOHM_d	aPD1+aKLH	16.0
GSE260596	344SQ	Cldn4	aLair1_PD1_W4_WTSV_ah	aPD1+aLAIR1	1.0
GSE260596	344SQ	Cd8a	aKLH_PD1_W4_LOHM_a	aPD1+aKLH	117.0
GSE260596	344SQ	Cd8a	aLair1_PD1_W4_WTSV_ae	aPD1+aLAIR1	60.0
GSE260596	344SQ	Cd8a	aLair1_PD1_W4_WTSV_af	aPD1+aLAIR1	22.0
GSE260596	344SQ	Cd8a	aLair1_PD1_W4_WTSV_ai	aPD1+aLAIR1	160.0
GSE260596	344SQ	Cd8a	aKLH_PD1_W4_KWM_a	aPD1+aKLH	6.0
GSE260596	344SQ	Cd8a	aKLH_PD1_W4_LOHM_d	aPD1+aKLH	10.0
GSE260596	344SQ	Cd8a	aLair1_PD1_W4_WTSV_ah	aPD1+aLAIR1	129.0
GSE260596	344SQ	Cd274	aKLH_PD1_W4_LOHM_a	aPD1+aKLH	634.0
GSE260596	344SQ	Cd274	aLair1_PD1_W4_WTSV_ae	aPD1+aLAIR1	570.0
GSE260596	344SQ	Cd274	aLair1_PD1_W4_WTSV_af	aPD1+aLAIR1	314.0
GSE260596	344SQ	Cd274	aLair1_PD1_W4_WTSV_ai	aPD1+aLAIR1	920.0
GSE260596	344SQ	Cd274	aKLH_PD1_W4_KWM_a	aPD1+aKLH	291.0
GSE260596	344SQ	Cd274	aKLH_PD1_W4_LOHM_d	aPD1+aKLH	161.0
GSE260596	344SQ	Cd274	aLair1_PD1_W4_WTSV_ah	aPD1+aLAIR1	365.0
GSE197260	EGFR NSCLC	Tacstd2	vehicle_d3	vehicle_d3	15.1
GSE197260	EGFR NSCLC	Tacstd2	gef_d3	gef_d3	7.4
GSE197260	EGFR NSCLC	Tacstd2	gef_d14	gef_d14	67.1
GSE197260	EGFR NSCLC	Tacstd2	gef_vehicle_d21	gef_vehicle_d21	93.0
GSE197260	EGFR NSCLC	Tacstd2	gef_dc101_d21	gef_dc101_d21	45.0
GSE197260	EGFR NSCLC	Tacstd2	gef_4h2_d21	gef_4h2_d21	1.0
GSE197260	EGFR NSCLC	Tacstd2	gef_comb_d21	gef_comb_d21	12.0
GSE197260	EGFR NSCLC	Cldn4	vehicle_d3	vehicle_d3	26.9
GSE197260	EGFR NSCLC	Cldn4	gef_d3	gef_d3	2.8
GSE197260	EGFR NSCLC	Cldn4	gef_d14	gef_d14	34.5
GSE197260	EGFR NSCLC	Cldn4	gef_vehicle_d21	gef_vehicle_d21	209.0
GSE197260	EGFR NSCLC	Cldn4	gef_dc101_d21	gef_dc101_d21	94.1
GSE197260	EGFR NSCLC	Cldn4	gef_4h2_d21	gef_4h2_d21	1.3
GSE197260	EGFR NSCLC	Cldn4	gef_comb_d21	gef_comb_d21	13.1
GSE197260	EGFR NSCLC	Cd8a	vehicle_d3	vehicle_d3	0.7
GSE197260	EGFR NSCLC	Cd8a	gef_d3	gef_d3	10.6
GSE197260	EGFR NSCLC	Cd8a	gef_d14	gef_d14	58.8
GSE197260	EGFR NSCLC	Cd8a	gef_vehicle_d21	gef_vehicle_d21	30.6
GSE197260	EGFR NSCLC	Cd8a	gef_dc101_d21	gef_dc101_d21	21.1
GSE197260	EGFR NSCLC	Cd8a	gef_4h2_d21	gef_4h2_d21	56.0
GSE197260	EGFR NSCLC	Cd8a	gef_comb_d21	gef_comb_d21	34.2
GSE197260	EGFR NSCLC	Cd274	vehicle_d3	vehicle_d3	7.6
GSE197260	EGFR NSCLC	Cd274	gef_d3	gef_d3	45.5
GSE197260	EGFR NSCLC	Cd274	gef_d14	gef_d14	74.2
GSE197260	EGFR NSCLC	Cd274	gef_vehicle_d21	gef_vehicle_d21	36.0
GSE197260	EGFR NSCLC	Cd274	gef_dc101_d21	gef_dc101_d21	23.1
GSE197260	EGFR NSCLC	Cd274	gef_4h2_d21	gef_4h2_d21	88.9
GSE197260	EGFR NSCLC	Cd274	gef_comb_d21	gef_comb_d21	83.0
GSE256071	KP cells	Tacstd2	KPCt.SIY.1.KPCt	KP_ctrl	0.0
GSE256071	KP cells	Tacstd2	KPCt.SIY.3.KPCt	KP_ctrl	0.0
GSE256071	KP cells	Tacstd2	KPCt.SIY.4.KPCt	KP_ctrl	0.0199850889315219
GSE256071	KP cells	Tacstd2	KPS2.SIY.5.KPS2	SOX2	0.0
GSE256071	KP cells	Tacstd2	KPS2.SIY.6.KPS2	SOX2	0.0
GSE256071	KP cells	Tacstd2	KPS2.SIY.7.KPS2	SOX2	0.0
GSE256071	KP cells	Cldn4	KPCt.SIY.1.KPCt	KP_ctrl	0.167781809685439
GSE256071	KP cells	Cldn4	KPCt.SIY.3.KPCt	KP_ctrl	0.294647213373213
GSE256071	KP cells	Cldn4	KPCt.SIY.4.KPCt	KP_ctrl	0.245786484720151
GSE256071	KP cells	Cldn4	KPS2.SIY.5.KPS2	SOX2	0.222063861655422
GSE256071	KP cells	Cldn4	KPS2.SIY.6.KPS2	SOX2	0.221619754319235
GSE256071	KP cells	Cldn4	KPS2.SIY.7.KPS2	SOX2	0.317593504623471
