gene	distance	Z	FC	p.value	p.adj
POLR2K	1.53746120899585e-07	0.753997271562889	0.000348045775153	0.985115541044073	0.99999999999513
PTMS	1.53440995249823e-07	0.753168097299593	0.0003466656777259	0.985145077430923	0.99999999999513
CRABP2	1.53416117764805e-07	0.753100426111865	0.00034655327659	0.985147485590631	0.99999999999513
CTSD	1.53321328614167e-07	0.752842490005492	0.0003461251684735	0.985156661254648	0.99999999999513
EIF3H	1.51120013312286e-07	0.746810635716599	0.0003362575144908	0.985369750849597	0.99999999999513
MYL6B	1.49322432157588e-07	0.741824673652127	0.000328305487841	0.985543759336932	0.99999999999513
SEPTIN7	1.45932645058243e-07	0.732269941023899	0.0003135688697318	0.985871897555183	0.99999999999513
FOSB	1.45153353651e-07	0.730044460179692	0.0003102288484349	0.985947334872803	0.99999999999513
WFDC2	1.43028415123542e-07	0.723919670275412	0.0003012122878421	0.98615303476515	0.99999999999513
RAD21	1.40160206029141e-07	0.715518111821102	0.0002892527433294	0.986430686749405	0.99999999999513
ZNF706	1.3696649054841e-07	0.705974498248926	0.0002762209969135	0.98673985074462	0.99999999999513
RAC1	1.36541154166478e-07	0.704688040323795	0.0002745081047034	0.986781025100648	0.99999999999513
CAPNS1	1.34554598474617e-07	0.698630214464649	0.000266578500871	0.986973332536263	0.99999999999513
TUBB4B	1.33901836730578e-07	0.696621668594773	0.000263998282012	0.987036522945101	0.99999999999513
TM4SF1	1.31987293616805e-07	0.690678124356387	0.0002565029000987	0.987221860196284	0.99999999999513
HLA-DRB1	1.31332559995771e-07	0.688627307587459	0.000253964405288	0.987285241810738	0.99999999999513
TPM4	1.29971284894982e-07	0.684333050894346	0.0002487269571794	0.987417020565805	0.99999999999513
SEC61G	1.29277996609279e-07	0.682130053582031	0.0002460805330012	0.98748413473476	0.99999999999513
SNHG7	1.28637885214822e-07	0.680086339404233	0.0002436496633258	0.987546101162999	0.99999999999513
HMGN2	1.28629285892697e-07	0.680058820169856	0.0002436170889112	0.987546933626864	0.99999999999513
ATP1B1	1.28228986500387e-07	0.678775915907547	0.0002421031563834	0.987585684926468	0.99999999999513
