gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
ACTN4,20.947,15.828,21.005,16.681,14.031,8.01,14.881
ACTR10,48.241,50.061,49.966,47.993,43.856,48.473,52.828
ACTR1A,52.926,59.612,58.417,63.105,55.05,32.659,59.264
ACTR1B,7.756,7.241,7.746,6.602,7.196,6.171,7.427
ACTR2,46.408,75.084,70.807,95.435,108.332,50.925,103.753
ACTR3,118.746,132.679,125.549,137.185,123.982,109.336,143.919
ACTR3B,1.139,1.492,1.333,1.889,1.754,3.332,1.3
ACTR3BP2,0.0,0.0,0.532,0.0,0.0,0.0,0.0
ACTR3BP5,0.0,0.0,0.104,0.0,0.0,0.0,0.0
ACTR3C,1.022,1.686,1.26,2.661,2.206,4.229,2.698
ACTR5,6.848,5.252,3.825,8.494,4.364,7.872,6.702
ACTR6,13.51,9.871,10.331,10.318,9.753,19.298,8.727
ACTR8,13.628,11.911,9.799,9.469,10.925,6.039,9.316
ACTRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT3,0.893,0.387,0.501,0.448,0.855,0.271,1.111
ACVR1,13.513,13.571,13.865,12.15,12.388,10.435,14.048
ACVR1B,0.97,1.304,0.694,1.075,1.422,1.227,1.038
ACVR1C,0.013,0.0,0.018,0.016,0.0,0.0,0.0
ACVR2A,1.064,1.621,1.6,1.511,1.592,2.696,1.506
ACVR2B,0.123,0.136,0.174,0.203,0.264,0.25,0.13
ACVR2B-AS1,0.0,0.0,0.0,0.0,0.051,0.0,0.0
ACVRL1,4.789,7.211,10.193,8.211,6.888,0.217,7.344
ACY1,9.935,12.66,10.612,16.246,6.178,10.504,12.941
ACY3,0.21,0.51,0.0,0.123,0.542,1.229,0.166
ACYP1,10.719,4.401,6.108,8.976,4.801,17.361,9.924
ACYP2,8.714,8.648,9.486,10.076,10.743,14.082,8.608
ADA,14.626,8.817,3.06,5.171,9.287,31.018,9.463
ADAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAL,3.187,2.231,1.169,1.827,1.947,3.569,1.707
ADAM10,52.64,59.711,79.753,47.059,76.501,34.999,75.915
ADAM11,0.027,0.0,0.0,0.0,0.056,0.0,0.0
ADAM12,0.582,0.725,0.287,0.213,0.587,3.23,0.782
ADAM15,19.43,30.739,27.698,27.481,24.102,21.158,30.942
ADAM17,44.263,46.227,56.269,51.772,44.965,19.251,52.55
ADAM18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM19,1.788,0.832,0.591,1.354,0.354,2.036,1.23
ADAM1A,0.304,0.79,0.455,0.305,0.672,0.046,0.413
ADAM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM20,0.0,0.0,0.0,0.0,0.091,0.423,0.0
ADAM20P1,0.0,0.098,0.053,0.095,0.042,0.0,0.064
ADAM21,0.0,0.0,0.0,0.0,0.144,0.0,0.0
ADAM21P1,0.0,0.075,0.0,0.0,0.0,0.0,0.0
ADAM22,0.802,0.0,0.0,0.015,0.0,0.853,0.339
ADAM23,0.0,0.0,0.0,0.044,0.0,0.0,0.0
ADAM28,3.564,0.997,0.259,2.085,2.402,12.291,1.22
ADAM29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM32,0.0,0.0,0.0,0.0,0.0,0.82,0.0
ADAM33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM6,0.0,0.0,0.092,0.0,0.0,0.074,0.0
ADAM7,0.0,0.0,0.047,0.0,0.0,0.0,0.0
ADAM8,8.039,9.571,1.79,6.314,2.257,21.225,5.62
ADAM9,53.106,52.951,47.834,40.826,58.224,63.075,56.341
ADAMDEC1,2.903,1.685,0.0,0.663,0.818,64.782,0.807
ADAMTS1,0.0,6.795,0.404,2.138,0.318,0.164,0.285
ADAMTS10,0.084,0.068,0.0,0.0,0.029,0.0,0.0
