gene	t
Rps4l	-0.6397859447280707
Lrmda	-0.6397859447280707
Prim1	-0.6398535580691888
9330136K24Rik	-0.6400010507795936
Pkn3	-0.640513966232411
4833408A19Rik	-0.6411303650027377
Coq2	-0.6412855223235844
Gm15889	-0.6417474305485119
Gm37383	-0.6417474305485119
Ndufs5-ps	-0.6419147846506312
Pop4	-0.6422780257180758
Abcf2	-0.6422844884165112
Ctsh	-0.642322919083082
Sntb2	-0.6423350776123754
BC065397	-0.6425115960134319
Dll1	-0.6426610237516922
Gm43793	-0.6431818903415163
Cul9	-0.6432026396010635
Oxa1l	-0.6432892122731407
Mroh3	-0.6436463821747604
Cilp2	-0.6436977770998112
Phf20-ps	-0.6437948984623222
Nup54	-0.6441063696973285
Hspd1-ps3	-0.6443960004297864
Tor1aip2	-0.644610437143511
Gm12191	-0.6447919777675979
Alg12	-0.6448168888921982
Ocrl	-0.6448580526543529
Krtap1-5	-0.644880219543805
Spn	-0.64495612007475
Gm10638	-0.644985873681505
Nfatc1	-0.6451994364496427
Gm12905	-0.6452875279009324
Tmub1	-0.6453252828989886
Gm43466	-0.6456121903548866
Pbld2	-0.6457631796064748
Lrrc4c	-0.6459946155536969
Wasf1	-0.6461072482391527
Gm14336	-0.6465075710865756
Ccdc142os	-0.6465796890103811
Flt3	-0.6466642478955216
Gm49499	-0.647188113847551
Gm6560	-0.6477991186566469
Rnf216	-0.6478184085469902
Snd1	-0.6478599877829728
Gm43920	-0.6480385470619262
Cgn	-0.6480761147648808
Cct5	-0.6482926199330443
Tnfrsf10b	-0.6484120743103272
Gm37666	-0.6488399782639039
Synpo2	-0.6488399782639039
Rpl21-ps4	-0.6488399782639039
Rflnb	-0.6494592240048113
Gm13483	-0.6495215302462586
Eif3s6-ps3	-0.6496288524759141
Zfp995	-0.6497123693132627
Ncaph	-0.6501381139054181
Baz1b	-0.65054547183332
Usp38	-0.6506049884281533
Ift27	-0.6506615302920868
2900009J06Rik	-0.6509203392171108
Rab11fip3	-0.6512845413294582
Gm49594	-0.6519990497095167
Lce1h	-0.6524918369933664
Gtf3c2	-0.652939640727341
Taf11	-0.6531654843533086
Gm11633	-0.6532439457087009
Gm11809	-0.6534990229456088
B930059L03Rik	-0.6536282001347509
Gm37399	-0.6536458295486998
Camk2n2	-0.6537772291530295
1700057G04Rik	-0.6546163156794121
Rps18-ps6	-0.6552361280329556
Dnajb5	-0.6552883312215175
Kif3c	-0.6557618696816363
Vta1	-0.6560174583698392
Gm7988	-0.6563166068206103
Csn3	-0.6566845955297833
Capn6	-0.6568113423095577
Atp5pb-ps	-0.6569065647028026
Gpr89	-0.6570808486933718
Gm12734	-0.6571465750069432
Cenpx	-0.6573414908008753
Rpl13-ps6	-0.6580052158570552
Oas3	-0.6580052158570552
Slc3a1	-0.6580052158570552
Gm7967	-0.6580052158570552
Pate8	-0.6580052158570552
Gm10925	-0.658132458008366
Ctsz	-0.6581882424366396
Gnrh1	-0.6586096150794785
Hsd17b4	-0.6586651361573823
Slc22a21	-0.6591330920031141
Ndel1	-0.659144001035018
Ankrd39	-0.659559342696505
