Protein	Description	Exp. q-value: Combined	Protein FDR Confidence: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Razor Peptides	Abundances (Normalized): A1: Pg_1	Abundances (Normalized): A2: Pg_2	Abundances (Normalized): A3: Pg_3	Found in Sample: A1: Pg_1	Found in Sample: A2: Pg_2	Found in Sample: A3: Pg_3
EOS20270	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1151266:1153818:1 gene:C803_00952 transcript:EOS20270 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.902	10	8	12	8	850	97.7	9.07	7.97	0	8090431.899	7339883.375	7538665.666	High	High	High
EOS19002	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1415696:1417360:-1 gene:C803_01165 transcript:EOS19002 gene_biotype:protein_coding transcript_biotype:protein_coding description:DNA repair protein RecN	0	High	28.831	17	7	12	7	554	62.6	5	18.17	0	8988540.861	7767737.438	8987568.351	High	High	High
EOS15427	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:480224:481003:1 gene:C803_03737 transcript:EOS15427 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.589	22	7	19	7	259	28.8	5.97	25.61	0	20928269.56	21035900.19	21755178.55	High	High	High
EOS20271	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1154029:1155264:-1 gene:C803_00953 transcript:EOS20271 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.499	19	8	15	8	411	47.1	9.41	11.92	0	11640079.98	11638417.31	12469071.61	High	High	High
EOS14583	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:312390:313148:1 gene:C803_04724 transcript:EOS14583 gene_biotype:protein_coding transcript_biotype:protein_coding description:3-deoxy-manno-octulosonate cytidylyltransferase	0	High	28.271	27	5	16	5	252	28.6	5.86	33.23	0	8178806.816	5389471.375	7138562.089	High	High	High
EOS13224	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:153482:154036:-1 gene:C803_05166 transcript:EOS13224 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.248	33	5	14	5	184	20.6	5.25	20.01	0	13762275.69	13872279.75	19736010.48	High	High	High
EOS12560	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:55999:56784:1 gene:C803_05691 transcript:EOS12560 gene_biotype:protein_coding transcript_biotype:protein_coding description:methionine aminopeptidase, type I"	0	High	28.196	26	7	23	7	261	28.4	5.82	24.26	0	21476073.21	21731922.88	22338291.65	High	High	High
EOS19050	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1462756:1464216:1 gene:C803_01213 transcript:EOS19050 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.149	15	6	13	2	486	54.3	7.21	23.87	0	7604232.002	8235836.938	7718559.914	High	High	High
EOS18915	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1309391:1310617:-1 gene:C803_01078 transcript:EOS18915 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	28.099	11	2	13	2	408	44.9	4.56	47.13	0	160599580.9	159956534	158329058.5	High	High	High
EOS18818	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1658204:1660324:-1 gene:C803_01387 transcript:EOS18818 gene_biotype:protein_coding transcript_biotype:protein_coding description:KamA family protein	0	High	28.033	8	5	9	5	706	81.6	7.2	12.91	0	5560567.69	5156697.875	3795697.446	High	High	High
EOS18221	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2205490:2207931:1 gene:C803_01882 transcript:EOS18221 gene_biotype:protein_coding transcript_biotype:protein_coding description:aspartate kinase	0	High	27.946	10	7	16	7	813	89.3	5.88	21.51	0	9699146.806	10168652.13	9672435.348	High	High	High
EOS14449	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:156252:156533:1 gene:C803_04590 transcript:EOS14449 gene_biotype:protein_coding transcript_biotype:protein_coding description:dihydroorotate dehydrogenase (fumarate)	0	High	27.91	81	5	20	5	93	10.5	4.97	42.79	0	89244877.21	80222452.25	82952434.55	High	High	High
EOS16069	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1363126:1366566:1 gene:C803_04384 transcript:EOS16069 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	27.854	8	9	16	8	1146	127.4	5.91	18.39	1	11841878.65	10872971.69	12591892.96	High	High	High
EOS16320	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:194936:196027:-1 gene:C803_03537 transcript:EOS16320 gene_biotype:protein_coding transcript_biotype:protein_coding description:2-aminoethylphosphonate-pyruvate transaminase	0	High	27.764	19	7	21	7	363	40.2	6.55	26.23	0	14144998.53	13382489.56	12812080.03	High	High	High
EOS19384	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:76858:78048:-1 gene:C803_00063 transcript:EOS19384 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.7	17	5	11	5	396	44.4	6.37	16.45	0	12120943.42	12386154.22	12468054.96	High	High	High
EOS14497	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:203635:206049:1 gene:C803_04638 transcript:EOS14497 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.669	9	7	10	7	804	90.4	8.56	14.2	0	7585109.531	5877108	7690784.94	High	High	High
EOS19820	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:637538:640006:1 gene:C803_00501 transcript:EOS19820 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.565	9	6	7	6	822	92.1	5.47	8.86	0	7244788.607	6994129.25	5821697.224	High	High	High
EOS17279	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1074243:1075439:1 gene:C803_02916 transcript:EOS17279 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.455	19	6	9	6	398	45.5	6.81	13.01	0	4838140.417	4130853.188	4260945.975	High	High	High
EOS15798	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1022893:1023564:1 gene:C803_04111 transcript:EOS15798 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.158	27	6	19	6	223	26.1	5.52	22.67	0	17190299.17	15765093.63	17220774.07	High	High	High
EOS13987	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:87006:87455:1 gene:C803_04813 transcript:EOS13987 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	27.146	45	6	18	6	149	17.1	7.83	34.87	0	13713932.38	12451729.88	13039751.2	High	High	High
EOS19382	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:74820:75593:-1 gene:C803_00061 transcript:EOS19382 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.918	22	7	25	7	257	29.5	6.44	22.15	0	77753403.23	76342011.06	75193314.03	High	High	High
EOS18751	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1591879:1592178:1 gene:C803_01320 transcript:EOS18751 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.88	56	5	11	5	99	11.6	6.54	23.76	0	30042790.37	24108673.88	24628908.41	High	High	High
EOS17064	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1120948:1121526:-1 gene:C803_02962 transcript:EOS17064 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.836	22	3	15	3	192	20.7	9.47	27.79	0	69883605.38	74859169.94	72678360.21	High	High	High
EOS12578	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:69541:72615:-1 gene:C803_05709 transcript:EOS12578 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.821	8	9	19	9	1024	114.6	8.62	12.94	0	8914916.782	7648839.875	8541449.553	High	High	High
EOS12546	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:49633:50067:1 gene:C803_05677 transcript:EOS12546 gene_biotype:protein_coding transcript_biotype:protein_coding description:50S ribosomal protein L16	0	High	26.739	35	7	39	7	144	16.3	10.87	19.22	0	84989529.61	87821734.38	84455352.2	High	High	High
EOS14146	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:285613:286671:1 gene:C803_04972 transcript:EOS14146 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.662	19	6	18	6	352	39.6	4.89	16.26	0	19147428.1	22859253.5	25482830.12	High	High	High
EOS16179	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:2388:4442:1 gene:C803_03395 transcript:EOS16179 gene_biotype:protein_coding transcript_biotype:protein_coding description:alpha-L-fucosidase	0	High	26.644	10	6	14	6	684	77.3	5.77	24.77	0	7888755.824	9916627.625	6329746.913	High	High	High
EOS17993	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:172078:173109:-1 gene:C803_02199 transcript:EOS17993 gene_biotype:protein_coding transcript_biotype:protein_coding description:ribosomal RNA large subunit methyltransferase N	0	High	26.538	22	6	9	6	343	38	6.54	17.76	0	10102175.21	11108426.88	11134152.35	High	High	High
EOS17543	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:604425:605738:1 gene:C803_02555 transcript:EOS17543 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.533	19	8	20	6	437	49	6.98	8.31	2	18097955.32	17046930	16681916.77	High	High	High
EOS18769	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1609855:1610817:1 gene:C803_01338 transcript:EOS18769 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.417	18	5	10	5	320	36.9	5.3	12.71	0	5831113.487	5963902.625	5368412.011	High	High	High
EOS13015	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:271152:271820:-1 gene:C803_05520 transcript:EOS13015 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.302	25	3	9	3	222	25.6	6.54	13.43	0	6594597.102	5922254.625	5607954.412	High	High	High
EOS17787	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:897662:899878:-1 gene:C803_02801 transcript:EOS17787 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	26.223	11	9	21	9	738	81.7	6.51	15.15	0	12591427.23	17273314.5	16492098.75	High	High	High
EOS18356	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2365970:2366848:-1 gene:C803_02018 transcript:EOS18356 gene_biotype:protein_coding transcript_biotype:protein_coding description:fructokinase	0	High	26.183	18	4	13	4	292	32.4	4.86	18.86	0	7591439.02	7046547.5	7019855.253	High	High	High
EOS16284	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:150394:150999:-1 gene:C803_03501 transcript:EOS16284 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.869	23	4	13	4	201	23.4	5.9	26.63	0	13064038.85	12067829	12921661.16	High	High	High
EOS17229	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1001468:1004494:-1 gene:C803_02863 transcript:EOS17229 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.838	5	2	24	1	1008	109.3	5.29	61.15	0	1284029.594	1536972.75	1021737.664	High	High	High
EOS17082	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1151275:1154478:1 gene:C803_02980 transcript:EOS17082 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	25.799	7	6	14	4	1067	118.2	5.54	17.78	0	3438501.607	2271313.5	3659287.242	High	High	High
EOS14456	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:163560:164090:-1 gene:C803_04597 transcript:EOS14456 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.486	38	6	15	6	176	19.7	10.1	7.91	0	13940428.74	13980540.75	14053282.59	High	High	High
EOS19585	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:344712:348098:1 gene:C803_00264 transcript:EOS19585 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	25.434	5	6	17	4	1128	127.4	5.86	28.71	0	8894672.586	9764473	7355824.007	High	High	High
EOS19010	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1423233:1423472:-1 gene:C803_01173 transcript:EOS19010 gene_biotype:protein_coding transcript_biotype:protein_coding description:50S ribosomal protein L28	0	High	25.405	47	7	23	7	79	8.9	10.26	21.33	0	75853947.12	71957975.44	77708011.33	High	High	High
EOS18914	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1307498:1308961:-1 gene:C803_01077 transcript:EOS18914 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.234	8	4	22	4	487	52	4.74	32.1	0	289067539.9	262481498.7	275176454.5	High	High	High
EOS16070	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1366599:1368359:1 gene:C803_04385 transcript:EOS16070 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.219	10	5	10	5	586	66.8	5.02	13.51	0	5518547.342	5566364.438	5291733.447	High	High	High
EOS16358	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:246231:246842:1 gene:C803_03575 transcript:EOS16358 gene_biotype:protein_coding transcript_biotype:protein_coding description:KpsF/GutQ family sugar isomerase	0	High	25.214	38	5	10	5	203	21.8	6.28	17.75	0	10419854.61	15321773.81	16131358.63	High	High	High
EOS19957	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:814238:815434:1 gene:C803_00638 transcript:EOS19957 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	25.075	8	3	4	3	398	42.5	4.82	6.11	0	4310515.231	4188439	4048498.035	High	Peak Found	High
EOS17843	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:11910:12512:-1 gene:C803_02049 transcript:EOS17843 gene_biotype:protein_coding transcript_biotype:protein_coding description:riboflavin synthase, alpha subunit"	0	High	25.018	22	4	14	4	200	22.2	5.06	34.16	0	56076656.98	60492581.38	56729814.96	High	High	High
EOS19897	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:747131:747457:1 gene:C803_00578 transcript:EOS19897 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.953	44	4	8	4	108	12.4	9.09	12.5	0	11844144.21	10960920.25	11446714.24	High	High	High
EOS18891	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1280285:1282093:-1 gene:C803_01054 transcript:EOS18891 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.885	11	7	14	7	602	67	8.66	17.63	0	16884332.8	14561163.25	16606940.01	High	High	High
EOS12539	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:45731:46348:1 gene:C803_05670 transcript:EOS12539 gene_biotype:protein_coding transcript_biotype:protein_coding description:50S ribosomal protein L3	0	High	24.865	30	6	16	6	205	22.1	9.32	19.85	0	12230066.43	12311020.94	11982917.22	High	High	High
EOS15864	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1098610:1099224:1 gene:C803_04177 transcript:EOS15864 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.808	32	6	13	6	204	23.2	6.54	15.5	0	8256959.726	8500406.625	7820853.51	High	High	High
EOS17128	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1232000:1234084:1 gene:C803_03027 transcript:EOS17128 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.639	12	8	11	8	694	79.1	6.67	5.76	0	5212380.317	7375592.563	7951329.617	High	High	High
EOS17553	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:615621:616211:-1 gene:C803_02565 transcript:EOS17553 gene_biotype:protein_coding transcript_biotype:protein_coding description:3-isopropylmalate dehydratase, small subunit"	0	High	24.618	22	3	5	3	196	21.6	5.43	13.15	0	4656839.557	5114227.25	4271075.043	High	High	High
EOS19895	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:744977:745534:1 gene:C803_00576 transcript:EOS19895 gene_biotype:protein_coding transcript_biotype:protein_coding description:peptide deformylase	0	High	24.544	41	4	6	4	185	20.7	5.33	6.01	0	3957922.879	6425979.469	7435092.82	High	High	High
EOS18994	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1408017:1409018:-1 gene:C803_01157 transcript:EOS18994 gene_biotype:protein_coding transcript_biotype:protein_coding description:malate dehydrogenase	0	High	24.474	18	5	14	5	333	36.3	6.13	23.29	0	13220514.81	9783893	13404621.4	High	High	High
EOS14155	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:296797:299820:-1 gene:C803_04981 transcript:EOS14155 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	24.394	6	6	12	5	1007	109.9	6.11	12.06	0	2401552.417	1996137.469	2311743.729	High	High	High
EOS15556	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:701746:702462:1 gene:C803_03867 transcript:EOS15556 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.384	24	6	16	6	238	26	4.49	13.49	0	92871149.93	87494520.13	91592075.9	High	High	High
EOS18026	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:212577:214070:1 gene:C803_02232 transcript:EOS18026 gene_biotype:protein_coding transcript_biotype:protein_coding description:inosine-5'-monophosphate dehydrogenase	0	High	24.315	13	7	16	7	497	54.6	5.97	22.83	0	11701193.43	11074711.44	11546934.64	High	High	High
EOS16343	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:225193:227520:-1 gene:C803_03560 transcript:EOS16343 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.273	10	8	15	8	775	88.7	7.44	14.96	0	11385143.88	11095615.81	12203360	High	High	High
EOS17555	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:617776:619272:-1 gene:C803_02567 transcript:EOS17555 gene_biotype:protein_coding transcript_biotype:protein_coding description:2-isopropylmalate synthase	0	High	24.146	14	7	15	7	498	54.6	5.85	21.05	0	12698081.63	12253311.25	12766194.97	High	High	High
EOS14135	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:270444:271985:1 gene:C803_04961 transcript:EOS14135 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.045	12	4	9	4	513	57.5	5.97	9.72	0	4805346.632	3834210.25	4644111.798	High	High	High
EOS17349	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:365824:368175:-1 gene:C803_02359 transcript:EOS17349 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	24.01	7	6	12	6	783	90.2	9.28	14.99	0	6121362.995	6566456.125	6591573.402	High	High	High
EOS15354	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:381792:382451:-1 gene:C803_03664 transcript:EOS15354 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.947	14	3	13	3	219	24.6	9.14	8.7	0	11236226.96	11145812.88	10208822.13	High	High	High
EOS13165	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:78089:79135:1 gene:C803_05102 transcript:EOS13165 gene_biotype:protein_coding transcript_biotype:protein_coding description:methylthioribose-1-phosphate isomerase	0	High	23.942	14	4	10	4	348	38	5.27	23.41	0	13814888.46	12843537	12291376.86	High	High	High
EOS17992	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:170985:172022:-1 gene:C803_02198 transcript:EOS17992 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.78	26	6	13	6	345	38.6	6.09	19.25	0	15487515.85	15459965.25	15394179.14	High	High	High
EOS12891	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:110136:111866:1 gene:C803_05396 transcript:EOS12891 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.738	10	5	10	5	576	64.6	5.4	17.33	0	8255912.278	6755414.625	6065419.608	High	High	High
EOS15775	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:993735:994070:-1 gene:C803_04088 transcript:EOS15775 gene_biotype:protein_coding transcript_biotype:protein_coding description:ribosome-binding factor A	0	High	23.73	38	5	31	5	111	12.5	9.48	32.03	0	233450345.1	214214660.9	216149756.7	High	High	High
EOS18240	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2226637:2227929:1 gene:C803_01902 transcript:EOS18240 gene_biotype:protein_coding transcript_biotype:protein_coding description:myo-inositol-1-phosphate synthase	0	High	23.673	17	6	16	6	430	48.2	5.67	15.29	0	12140688.17	11309816.75	12762532.54	High	High	High
EOS19587	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:350004:350492:1 gene:C803_00266 transcript:EOS19587 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.669	48	4	7	4	162	17.4	6.67	21.43	0	5212824.138	5289222.25	4268539.313	High	High	High
EOS17788	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:899892:902336:-1 gene:C803_02802 transcript:EOS17788 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.662	8	7	19	7	814	91.4	6.29	25.27	0	4576636.466	4141683.438	4158855.152	High	High	High
EOS18030	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:216480:218525:1 gene:C803_02237 transcript:EOS18030 gene_biotype:protein_coding transcript_biotype:protein_coding description:ATP-dependent zinc metalloprotease FtsH	0	High	23.652	7	4	8	4	681	75.8	5.94	14.41	0	4534713.749	4353148.25	4699224.137	High	High	High
EOS19505	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:240245:243667:-1 gene:C803_00184 transcript:EOS19505 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	23.645	3	4	24	1	1140	125.4	5.96	40.2	0	26308123.42	26706676	25007422.55	High	High	High
EOS17673	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:744438:744977:-1 gene:C803_02685 transcript:EOS17673 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.598	27	5	12	5	179	20.6	7.97	18.26	0	10590533.24	11137370.38	9364788.315	High	High	High
EOS17944	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:112274:113500:1 gene:C803_02150 transcript:EOS17944 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.369	14	5	10	5	408	45.3	7.88	11.2	0	6857910.086	7022672.438	7341029.152	High	High	High
EOS17921	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:81055:81756:1 gene:C803_02127 transcript:EOS17921 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.274	19	3	6	3	233	26.8	8.57	15.36	0	5470882.699	4582623.125	4212745.417	High	High	High
EOS14072	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:184176:185336:1 gene:C803_04898 transcript:EOS14072 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.235	16	7	13	7	386	44.9	7.11	19.59	0	7092172.188	6590869.25	8711857.775	High	High	High
EOS19484	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:208216:209769:1 gene:C803_00163 transcript:EOS19484 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.158	14	7	14	7	517	58.7	5.49	14.88	0	10051213.71	9642945.125	9256358.926	High	High	High
EOS17455	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:516514:517248:1 gene:C803_02466 transcript:EOS17455 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	23.134	26	4	8	4	244	27.7	7.93	10.65	0	6106148.541	5189161.375	5160321.146	High	High	High
EOS19525	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:275037:275792:1 gene:C803_00204 transcript:EOS19525 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	22.828	27	6	11	6	251	29.6	5.21	11.32	0	12428471.78	11649564.44	11785486.01	High	High	High
EOS15321	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:339154:340278:-1 gene:C803_03631 transcript:EOS15321 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	22.749	15	5	6	5	374	42.3	4.83	10.61	0	8758362.328	11356083.63	8877778.314	High	High	High
EOS12890	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:106770:110123:1 gene:C803_05395 transcript:EOS12890 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	22.699	8	7	10	5	1117	123.4	5.41	10.17	0	5335752.992	5145346.875	4102530.86	High	High	High
EOS16229	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:86712:86981:1 gene:C803_03446 transcript:EOS16229 gene_biotype:protein_coding transcript_biotype:protein_coding description:30S ribosomal protein S15	0	High	22.536	45	4	11	3	89	10.3	9.85	19.86	0	26311863.06	25965358.5	26395028.59	High	High	High
EOS13315	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:260578:261420:-1 gene:C803_05262 transcript:EOS13315 gene_biotype:protein_coding transcript_biotype:protein_coding description:orotidine 5'-phosphate decarboxylase	0	High	22.51	30	9	23	9	280	31.4	5.71	9.81	0	15824314.41	15038140.75	15693376.28	High	High	High
EOS12579	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:72751:73098:1 gene:C803_05710 transcript:EOS12579 gene_biotype:protein_coding transcript_biotype:protein_coding description:50S ribosomal protein L19	0	High	22.385	31	6	19	6	115	13.4	10.35	32.47	0	37277607.36	35231270.38	35938720.69	High	High	High
EOS15688	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:881034:882488:-1 gene:C803_04000 transcript:EOS15688 gene_biotype:protein_coding transcript_biotype:protein_coding description:RNA polymerase sigma-54 factor	0	High	22.376	14	6	9	6	484	55.8	4.81	18.27	0	8561262.077	8233387.75	9071624.768	High	High	High
EOS18351	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2359983:2360654:1 gene:C803_02013 transcript:EOS18351 gene_biotype:protein_coding transcript_biotype:protein_coding description:peptidyl-prolyl cis-trans isomerase B (cyclophilin B)	0	High	22.36	25	4	10	4	223	25.5	6.32	16.27	0	4868587.939	5716786.25	5285319.49	High	High	High
EOS20002	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:866511:868508:1 gene:C803_00684 transcript:EOS20002 gene_biotype:protein_coding transcript_biotype:protein_coding description:DNA ligase	0	High	22.271	12	9	13	9	665	74.8	5.36	17.5	0	11373974.6	10116823.81	11274031.76	High	High	High
