set	gene	n_in_set
IFNa	PSMB9	96
IFNa	HERC6	96
IFNa	SAMD9	96
IFNa	CMPK2	96
IFNa	IFITM3	96
IFNa	RTP4	96
IFNa	STAT2	96
IFNa	SAMD9L	96
IFNa	LY6E	96
IFNa	IFITM2	96
IFNa	PRIC285	96
IFNa	CXCL11	96
IFNa	TRIM21	96
IFNa	PARP14	96
IFNa	TRIM26	96
IFNa	PARP12	96
IFNa	NMI	96
IFNa	RNF31	96
IFNa	HLA-C	96
IFNa	CASP1	96
IFNa	TRIM14	96
IFNa	TDRD7	96
IFNa	DHX58	96
IFNa	PARP9	96
IFNa	PNPT1	96
IFNa	TRIM25	96
IFNa	PSME1	96
IFNa	WARS	96
IFNa	EPSTI1	96
IFNa	UBA7	96
IFNa	PSME2	96
IFNa	B2M	96
IFNa	TRIM5	96
IFNa	C1S	96
IFNa	LAP3	96
IFNa	LAMP3	96
IFNa	GBP4	96
IFNa	NCOA7	96
IFNa	TMEM140	96
IFNa	CD74	96
IFNa	GMPR	96
IFNa	PROCR	96
IFNa	IL7	96
IFNa	IFI30	96
IFNa	IRF2	96
IFNa	CSF1	96
IFNa	IL15	96
IFNa	CNP	96
IFNa	FAM46A	96
IFNa	IL4R	96
IFNa	FTSJD2	96
IFNa	CD47	96
IFNa	LPAR6	96
IFNa	MOV10	96
IFNa	CASP8	96
IFNa	TXNIP	96
IFNa	SLC25A28	96
IFNa	SELL	96
IFNa	TRAFD1	96
IFNa	BATF2	96
IFNa	RIPK2	96
IFNa	CCRL2	96
IFNa	NUB1	96
IFNa	OGFR	96
IFNa	FAM125A	96
IFNa	ELF1	96
STING_reactome	DDX41	11
STING_reactome	DTX4	11
STING_reactome	IFI16	11
STING_reactome	IRF3	11
STING_reactome	NLRC3	11
STING_reactome	NLRP4	11
STING_reactome	STAT6	11
STING_reactome	TMEM173	11
STING_reactome	TBK1	11
STING_reactome	TREX1	11
STING_reactome	TRIM21	11
STING_core	TMEM173	5
STING_core	TBK1	5
STING_core	IKBKE	5
STING_core	IRF3	5
STING_core	IFI16	5
APM	HLA-A	19
APM	HLA-B	19
APM	HLA-C	19
APM	HLA-E	19
APM	B2M	19
APM	TAP1	19
APM	TAP2	19
APM	TAPBP	19
APM	PSMB8	19
APM	PSMB9	19
APM	PSMB10	19
APM	PSME1	19
APM	PSME2	19
APM	ERAP1	19
APM	ERAP2	19
APM	NLRC5	19
APM	CALR	19
APM	PDIA3	19
APM	CANX	19
APM_nonIFN	HLA-C	8
APM_nonIFN	HLA-E	8
APM_nonIFN	TAP2	8
APM_nonIFN	ERAP1	8
APM_nonIFN	ERAP2	8
APM_nonIFN	CALR	8
APM_nonIFN	PDIA3	8
APM_nonIFN	CANX	8
