gene	A006	A015	A021	A027	A028	A033	A037	A062	A063	A066	A068	A072	A074	A100	A101	A102	A103	A104	A110	A111	A112	A117	A120	A124	A126	A131	A134	A138	A143	A144	A148	A150	A153	A156	A157	A158	A159	A162	A163	A165	A168	A169	A177	A182	A183	A185	A186	A187	A188	A190	A191	A192	A193	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A204	A205	A206	A207	A208	A209	A210	A211	A212	A213	A214	A215	A216	A217	A218	A219	A220	A221	A222	A232	A233	A234	A239	A240	A241	A243	A247	A249	A250	A252	A255	A258	A259	A260	A261	A262	A263	A264	A265	A266	A267	A268	A269	A270	A271	A272	A273	A274	A275	A276	A277	A278	A279	A280	A281	A282	A283	A284	A285	A306	A307	A310	A315	A316	A320	A322	A323	A375	A377	A379	A380	A381	A425	A426	A428	A430	A432	A433	A434	A483	A486	A488	A490	A492	A493	A496	A499	A500	A503	A504	A508	A509	A510	A511	A512	A514	A517	A519	A521	A522	A524	A530	A532	A534	A537	A538
DDX58	1.1352	-0.5373	0.8329	0.1542	-1.3733	2.1627	-0.4497	-0.378	-2.9464	-0.849	1.6138	-1.3811	-1.1874	-1.6046	2.0875	-0.4243	-0.1372	0.5513	-0.1593	-1.1314	1.225	0.9886	-1.4211	-0.675	-0.3441	-4.4805	0.5512	0.6156	-1.251	-1.956	-0.2306	0.7912	-1.3443	1.6354	1.7871	-0.4428	-0.5534	-0.0227	-0.5731	-0.4486	0.0153	-1.3388	1.7488	-0.4057	-0.2909	0.369	-0.2745	0.3193	-0.615	-1.0421	-0.6052	0.9004	1.0462	-0.2484	-0.3508	-0.0017	0.9128	-0.1402	1.4873	-0.4889	-0.6841	-1.1181	0.6609	1.1732	1.3246	1.4004	-0.5411	1.7352	-0.6257	-1.2801	0.4637	0.7075	-0.6711	0.2101	0.9281	0.2339	-0.2801	-0.0293	-0.918	-0.3348	1.0395	-0.6196	0.0119	1.5271	-0.0893	-0.5359	-0.6319	0.7063	-0.4399	0.2047	0.5739	-0.0173	0.4313	-0.6406	1.288	-0.0691	1.852	2.1986	0.1671	-0.2814	0.3786	-0.5508	0.1309	0.0427	0.8863	-1.4291	0.3524	0.2445	0.3632	0.5686	0.9112	2.2097	0.1203	-1.1198	-0.2754	0.3223	-1.3506	0.3898	0.2606	0.346	1.8948	0.6264	-0.2057	-0.456	-0.0162	-0.7806	0.1005	-0.4497	-0.7349	1.16	1.1576	-0.942	-0.6417	-0.7828	-2.2359	1.3365	-0.899	-1.257	-1.1427	1.4516	1.1821	1.8107	0.1029	-0.5741	0.4862	-0.1144	0.0919	0.6984	-0.1228	0.187	0.6903	-0.9786	0.2976	-0.0374	0.8011	-0.7394	-0.5454	-1.4019	0.2144	-0.3313	0.5146	0.0922	-0.0635	0.2927	-0.2552	-0.1532	-1.7447	-0.289	0.047
DLG1	0.3127	0.2668	-0.2792	-1.1359	-0.1149	0.2655	-0.2951	0.9004	-0.9033	0.2535	-0.4343	0.2129	-0.4893	0.8405	1.7487	-0.2201	-0.4798	0.4832	0.7834	1.1816	0.6366	0.661	-1.3744	1.2586	-0.0455	4.6055	-0.1821	1.2362	0.9022	0.5278	0.0813	0.9524	-0.547	1.2205	0.4066	-0.705	-0.6342	0.6378	-0.5041	-0.072	2.1012	-0.5693	0.862	0.9135	1.0444	0.9109	-0.01	-0.1146	-0.43	0.3885	0.665	-0.5106	1.6122	0.3788	-0.0054	0.7366	2.9465	-0.7888	-0.3084	0.7589	-0.2433	1.3183	1.1389	-0.0049	0.3165	-0.1078	0.5817	0.4949	-1.0636	0.2363	0.6084	0.2493	0.0412	-1.5922	0.3744	-0.0289	-0.0299	-0.2255	-0.5827	-0.8524	0.7025	-0.0815	0.4683	0.5749	-0.0467	0.6646	0.1022	-0.3788	-0.0063	-0.8807	-0.6935	0.2446	0.5959	0.1788	-0.3105	-0.3676	1.9605	0.1288	0.4406	-0.1301	-0.1943	-0.7243	0.4904	-1.2761	0.1767	-0.0764	-0.1737	0.7715	-0.4179	0.3926	0.3243	0.4364	-0.3273	0.9395	-0.2837	-0.2511	0.0012	-0.5067	0.7797	0.2886	1.0601	0.4133	-0.0618	0.0525	-0.7336	0.5019	0.034	0.6718	0.0416	-0.1802	1.1451	-0.1374	-0.0175	0.3143	0.1636	0.2954	-0.0378	0.1352	0.5783	-0.3565	0.1148	-0.174	-1.8189	-2.6644	-3.1159	-3.9056	-0.1799	-1.8085	-1.9072	-2.8045	-1.5977	-1.3981	-0.7499	-3.8832	-1.52	-0.7241	-0.3949	-0.0129	-0.5473	-0.2985	-0.9333	-0.5003	0.1724	-0.0165	0.4589	-0.1301	0.741	-0.1393	-0.8496
ECT2	-0.78	-1.3257	-1.2319	-0.2356	0.0024	0.5114	-0.9975	-0.1354	0.2899	-0.0995	0.8395	-0.7286	-0.3099	-0.2428	0.5233	-0.6657	0.4327	-0.1496	2.2006	-0.0342	0.4117	-0.7272	-0.8956	0.5132	0.807	2.1946	-0.8263	-0.6982	-0.0403	-0.0921	0.5984	-0.3368	-2.124	2.192	1.4547	0.499	-0.4667	1.7111	0.9674	-0.3742	-0.2313	-2.0484	0.7519	0.7295	1.4419	0.022	0.1457	1.243	-0.281	2.1481	0.5073	1.0641	2.2957	0.0986	0.3821	0.383	2.5073	-0.0078	0.079	1.8278	-1.0457	0.3401	1.0582	-0.8658	0.9537	0.4207	1.1696	0.6102	-1.5028	1.8963	-0.2522	-0.252	-0.265	-2.5762	-0.9375	1.2652	0.1937	0.3432	0.038	1.0272	-0.2993	-0.5012	0.4967	1.0461	-0.2308	0.464	0.4506	0.6159	0.145	-0.6672	0.6487	2.2268	-0.8779	-0.7055	-0.1973	0.8313	2.3743	1.1675	-0.2199	0.2867	-0.5048	-0.1702	1.0796	-0.1703	-0.953	-0.7708	-0.3743	1.4475	-0.3954	0.0068	-0.0307	1.6467	-0.0389	-0.2193	-0.5676	0.0337	-0.5456	-0.6961	0.2738	-0.244	0.4392	0.3816	1.4784	0.213	-1.2334	-0.2908	0.3241	-0.5545	0.7088	-1.1361	0.2502	-0.4015	-0.7582	-0.5441	-0.789	0.0666	-0.5931	-0.455	0.3124	-0.0238	0.3178	-0.5617	-2.0025	-2.2352	-1.1532	-2.6173	1.0599	-0.817	-2.1326	-2.0982	-1.1902	-0.4028	-0.1568	-3.2108	-0.1377	-0.586	0.193	-0.0226	-0.3356	-1.0127	-0.2977	0.5011	-0.6437	-0.3392	-0.023	0.5363	-0.6573	-0.213	-0.3256
EPCAM	-1.0307	0.7157	0.6442	0.1866	0.7606	0.7293	0.0592	1.812	0.0772	0.4923	0.5688	0.0027	0.1922	0.8397	-0.4304	-0.1436	1.7267	0.8546	1.4793	1.9744	1.3304	0.7491	0.079	0.2793	1.1436	-2.3234	0.7991	-1.1257	0.7739	0.8585	0.4559	0.566	-0.1767	0.7167	-0.9621	0.5449	-0.3713	0.9792	1.3644	-0.4848	1.068	0.0926	-0.4278	-0.2579	1.053	0.4579	-0.2061	0.3798	-0.1681	1.0391	0.6618	0.6848	-0.1019	-1.1921	-2.3044	-0.3722	0.5091	0.7979	-0.0413	0.2464	0.0411	1.435	-0.6526	0.2375	-0.4634	0.0431	1.3255	-0.4737	-6.0543	0.7056	-1.6242	-1.6034	-0.0342	-1.7543	-1.0239	0.6692	0.2818	-1.6177	0.4992	0.0323	-1.4052	-0.3767	1.4046	-0.8626	-1.1835	-0.2679	-0.1624	-0.6183	0.9695	-0.4455	0.2508	-0.3959	-1.4616	-0.1906	-0.5461	0.7554	1.5687	0.7838	0.5707	0.1587	-2.1913	0.1105	-0.0941	-0.2141	-1.4177	0.7467	-1.1011	-0.4866	0.4478	0.1998	0.1738	-0.2814	-0.5075	0.2116	-0.4766	0.0168	0.3451	-1.1447	0.1194	-1.0416	0.5543	0.1221	0.5556	1.0374	0.9072	-0.5011	0.1511	0.2657	0.9924	-0.0344	0.7373	0.6656	0.2452	-0.9384	1.1656	-0.5504	0.3232	0.9195	0.3598	0.663	0.0904	0.8631	0.1871	-0.416	0.4743	1.1646	0.0043	-0.166	-2.3938	-1.6742	-2.6548	0.2006	0.8919	-1.656	0.6686	-0.0346	-0.1691	0.4988	-1.4557	-0.9684	-0.4731	0.391	-1.0153	-0.5025	0.4813	-0.9324	1.0122	0.3023	-0.9141
F11R	0.5492	-1.127	-1.186	-1.916	-0.1737	-1.8113	-0.5714	-0.3769	0.0943	-0.4031	-1.9507	-0.213	-0.4417	1.431	-1.0331	0.547	-0.3939	0.9531	-1.089	-1.4409	-0.5724	0.8609	-0.4869	-0.1968	1.086	2.2934	0.501	0.9116	-0.9316	-0.6806	0.3869	-0.4242	-0.8808	-0.3203	0.4353	1.406	-0.766	0.9538	0.0994	-1.2154	-1.7566	-0.0998	-1.6831	0.4829	-0.7882	0.8876	-0.351	0.1414	-0.2506	0.0475	1.1964	-0.4363	-0.1434	-1.3887	-2.0226	-0.4641	0.8167	1.722	-0.1045	1.4043	0.1305	0.655	1.5164	0.0803	-0.6965	-0.1598	0.3659	0.1801	-1.2392	1.4359	0.4064	0.1618	1.5022	0.2381	0.0118	0.7687	-0.0182	-1.364	1.3194	1.064	0.4579	0.4858	2.0793	-1.8205	-1.0765	-0.4252	-0.5109	-0.6136	-0.2406	-1.5889	-0.9505	1.2733	-0.0681	0.8689	0.6435	0.3406	0.5047	0.9156	2.7768	1.8359	-0.7694	-0.7188	1.0368	0.1444	0.2055	1.3272	-0.2946	0.2799	1.277	1.2151	0.3903	1.2709	0.0423	0.7102	-0.2476	1.3983	1.341	-0.6895	0.7353	0.2883	0.7504	-0.2596	-0.5588	-0.1645	0.5848	-0.3677	0.3618	1.1197	-1.1849	-0.2511	-0.1337	1.4663	0.0886	-0.435	1.1091	-0.3285	-0.2958	0.7492	-0.3187	-0.8533	0.2906	-1.0097	3.484	0.0882	-0.6436	0.33	-0.612	-0.642	-2.1802	-1.7494	-2.0593	1.4923	0.0806	-0.9994	0.9621	-0.6006	-0.097	0.0826	-0.8472	-1.0761	0.3201	-0.5499	-0.5919	-2.127	0.0867	-1.3458	0.2819	0.283	-1.0339
FRMD4A	1.62	-1.5941	-0.8031	-0.1052	-2.5583	0.1169	0.1635	-1.6624	-2.0251	-1.007	-1.0964	-1.2475	-0.38	-1.2824	-0.5267	0.0749	-1.7804	-0.1751	0.2131	-0.7287	0.8172	-0.4202	-1.4143	0.3108	-0.8528	-2.8251	-2.7879	1.44	-2.2201	-1.4698	-1.1205	-0.3072	-0.6944	-0.647	-0.1554	-2.2604	0.4432	-0.8649	-1.0312	0.1632	-0.1173	-0.4797	0.1172	-0.2756	0.1741	0.1294	0.4476	-0.2458	0.1864	-1.0257	0.6604	-0.1986	-0.8464	1.5627	2.0002	0.7848	-1.2184	-0.119	1.1498	-0.2375	0.3301	-0.8132	0.3333	-1.8714	0.9439	0.314	-0.483	0.077	2.1515	-1.0308	1.6255	1.3486	-0.3456	1.1276	1.6426	0.1878	-0.0039	0.5619	-0.1706	0.6004	1.4971	-0.5325	0.0992	0.1919	1.0245	0.8504	0.3306	0.9181	-1.104	-0.4637	1.0567	-0.2416	1.7186	0.3586	0.8152	-0.1113	-2.403	-1.0381	-0.7808	-0.3205	1.8481	0.7271	-0.0443	0.9382	1.7398	-0.9705	1.3155	0.7911	-1.5404	-0.5813	0.2906	0.3065	1.14	0.5621	0.6982	0.0092	-0.1451	0.977	0.1392	1.4725	0.4231	0.2734	-0.3891	-0.9495	-1.4017	0.7244	-0.3733	0.4243	-0.3467	-0.2718	0.4467	0.2609	-0.6003	0.8459	-0.9781	0.8736	-0.4179	-0.6516	-1.3853	-0.5893	0.0965	-0.616	0.1805	-0.192	-0.4852	0.1056	0.4908	0.7991	1.4095	0.5301	1.4059	-0.0822	-0.4569	1.5841	0.793	-0.0402	0.899	0.478	0.7314	-0.2885	0.2336	0.3088	1.8274	1.4254	1.3477	0.6462	0.9801	-0.3282	0.4664
FRMD4B	1.1651	-0.4892	-0.2668	0.7074	-0.2525	-0.5201	-0.8064	-0.1017	2.4424	0.8646	-0.8919	-0.4713	-1.0293	0.3571	-0.5555	-1.0016	-1.6175	1.021	-0.7495	0.8435	1.5599	0.9147	-0.4006	-0.2197	-0.1659	0.0396	-0.1762	1.3996	0.3633	-2.1515	-1.0757	-0.0999	0.4087	-0.9654	-0.3792	-2.6515	0.1644	-1.3581	-0.6466	0.5019	-0.7003	0.7771	-0.9013	-0.5018	-0.4295	-0.34	0.7508	-0.1881	-0.6333	-0.5944	-0.4795	-0.4926	-0.1924	0.9313	0.275	0.7299	0.0939	0.776	0.1001	-1.168	0.1831	0.5913	0.2763	1.3179	1.2724	0.5424	-1.501	1.2335	0.3782	-0.6176	1.3942	1.7424	1.0006	-1.6193	1.5397	-0.4502	0.9256	0.2635	-1.3578	-0.1532	1.9758	0.9918	-0.2255	-0.1885	1.0811	0.2851	0.3611	0.1425	-1.1202	-0.5778	-0.388	-0.7005	1.4092	0.6885	0.6963	0.1646	-2.1919	-0.6273	-0.6955	1.4926	1.4249	0.1458	-0.6561	0.8144	1.0915	1.1522	0.8159	0.61	-1.9784	-0.7151	0.7442	-0.1072	-0.1081	0.2071	0.2762	0.1874	0.9041	0.9049	0.545	1.6662	0.875	-0.385	-0.6352	-0.014	1.3913	0.0681	0.3096	1.0139	0.5443	-0.165	1.0141	0.8085	-1.6197	0.1928	0.393	0.1138	0.4832	0.2028	-0.0234	-0.0214	-1.6143	-0.2658	-0.9909	-2.503	-2.401	-3.3068	0.0265	-1.5843	-1.0464	-2.2813	-1.208	0.3905	-0.9893	-2.0427	-0.2379	0.1742	-0.5738	1.161	0.86	-0.4626	-0.522	0.3314	0.5957	0.7716	0.9945	-0.141	1.8247	1.4632	0.0485
FRMPD2	1.9472	-1.1849	0.6545	1.3877	1.2797	-0.5463	2.2073	0.2971	0.2762	0.4947	-1.1849	2.854	-0.3994	0.2832	0.4381	0.1443	0.5474	-0.4795	1.2854	-0.3235	-1.1849	-0.7136	1.4458	2.7929	0.8813	-1.1849	-1.1849	-0.6898	-1.1849	0.4189	0.9574	1.2269	-1.1849	-0.6784	2.2347	0.7226	2.2894	1.5182	-1.1849	-0.5989	-1.1849	0.1375	-0.0633	-1.1849	-1.1849	-0.7184	-0.6326	-1.1849	-0.0342	-0.0442	-0.7431	-1.1849	-0.7531	-1.1849	-1.1849	1.9915	0.9483	-0.6216	0.2564	-1.1849	0.0743	-0.4968	-0.6183	-1.1849	-0.3513	-1.1849	0.4592	-0.7393	-1.1849	-0.7849	1.4196	-1.1849	-1.1849	-0.2343	0.8605	0.0147	0.5239	0.7667	0.269	0.4107	-0.6851	0.434	0.3659	0.1473	1.4467	0.0772	-1.1849	0.2935	1.7055	0.4001	-0.4607	-0.708	1.2869	-0.6844	-1.1849	-0.7165	-1.1849	0.2462	1.1354	-0.7917	-0.6393	-1.1849	-0.4449	-0.693	1.4742	-0.1607	0.9724	-0.8022	-0.542	-0.3076	-1.1849	-0.615	1.6395	0.5228	1.136	0.2024	-0.1777	0.5132	0.7704	-0.3694	-1.1849	0.7054	0.0306	-1.1849	0.5858	2.4635	0.2529	0.4275	-1.1849	-0.0507	0.4914	0.9382	0.6478	2.3665	-0.2039	0.5667	0.3875	0.1267	-0.3818	0.9752	0.5805	-0.6985	-1.1849	-1.1849	-0.2863	-1.1849	-0.8584	0.0516	-1.1849	0.1443	-1.1849	-1.1849	-0.1601	-1.1849	-1.1849	0.4743	-1.1849	-0.1501	0.6448	1.8106	1.2262	0.0711	1.7728	-0.4941	-0.1794	-0.3019	0.1584	0.3426	-0.8738
IGSF5	-0.5557	-1.2313	-1.2313	-1.2313	-1.2313	-0.1185	0.4158	-1.2313	-1.2313	-1.2313	0.2496	0.8554	-1.2313	0.4742	0.3311	0.4063	-1.2313	-1.2313	-1.2313	2.3053	-1.2313	-1.2313	-1.2313	0.6437	-1.2313	-1.2313	1.1143	0.4893	-1.2313	0.1894	1.263	0.5549	-1.2313	0.5189	0.7959	-1.2313	-0.028	0.0351	1.9239	-1.2313	0.9273	0.0511	0.344	-1.2313	0.6863	-0.4183	-0.6583	0.992	1.3547	0.5417	-1.2313	-0.4753	-1.2313	-0.4954	1.4945	0.6247	0.8866	-0.6451	0.7943	0.163	0.4651	0.3014	-1.2313	-1.2313	0.8691	-0.627	2.0487	-1.2313	-0.1968	-1.2313	0.0413	-1.2313	0.8172	0.4251	-0.5233	-1.2313	0.4786	-0.3842	0.6986	2.1253	-1.2313	-0.5017	1.6182	0.0642	1.4167	0.3056	-1.2313	-0.2691	0.8546	0.8018	0.373	-1.2313	-1.2313	-0.359	-0.4841	0.0714	-0.3602	1.9471	-0.5677	-1.2313	-0.2805	-0.4797	0.0582	0.481	-0.3899	-0.2033	2.2224	-0.5644	-0.1109	-1.2313	1.7228	0.3041	-0.4555	-0.4728	-1.2313	-0.0877	-1.2313	-0.134	0.8625	-1.2313	-0.5281	0.4277	1.1166	-1.2313	1.1577	-0.4685	-0.6487	0.0189	-1.2313	0.7451	-0.3288	0.2232	-0.358	0.4796	-0.3759	0.3908	-1.2313	0.3798	1.5356	2.1013	0.214	0.4667	-1.2313	0.2352	0.0905	-0.1854	1.1417	0.7011	1.3702	0.7918	-1.2313	-1.2313	-0.1536	-1.2313	2.8927	2.1728	0.1932	0.2075	0.5008	-0.6036	2.0652	0.6238	0.0521	0.4005	1.6574	1.5673	0.9712	0.2414	-0.0271
JAM2	1.762	0.7929	-0.7282	0.9756	-0.5972	-0.8974	-1.2692	-0.3429	-3.4269	-0.6044	-0.1474	-0.1143	-0.3853	-0.1102	0.4066	-0.9749	-0.7602	0.0416	-0.7698	0.0394	-0.6715	-0.7905	-2.7534	0.2285	-0.7906	-3.9813	-0.3075	1.3516	-0.4309	-2.7196	-1.5714	-0.9026	-1.0885	-0.5964	0.1609	-1.267	1.0965	0.4139	-0.2037	0.7166	1.1867	0.1524	-0.7031	-0.4922	-0.1405	-0.2061	-0.7888	0.2697	0.1622	-0.3669	-0.6417	-0.2468	-0.573	1.0132	0.3244	-0.0565	-1.5207	0.3214	1.172	-1.1834	1.2318	-0.0851	-0.6871	-1.0769	1.1254	-0.5608	-1.5525	0.1801	0.6445	-0.8091	1.5967	1.2636	0.0261	1.524	2.3494	0.474	-0.2961	0.7431	0.0652	-0.4978	2.0014	0.2199	-1.8219	-0.4907	0.4242	0.7524	0.4118	0.3171	0.9447	-0.2422	-0.4922	-0.2398	2.2149	1.1068	1.085	-1.4722	-1.2214	-1.0195	-2.4556	-1.0029	1.5906	0.4797	-0.44	-0.1898	2.4333	0.0626	1.4774	-0.1432	-2.1072	-0.5688	0.2579	-0.4493	-0.023	-0.5369	0.0825	0.3329	0.1439	0.7079	0.132	1.2558	0.0824	-0.3112	0.6009	-0.2467	0.334	0.8181	0.0859	0.7239	-0.1092	0.1394	-0.1106	0.5406	-0.4017	1.2427	-0.0318	1.1687	-0.028	0.5128	-0.7282	0.5467	-1.0642	0.414	0.6764	-0.0688	-0.4771	-0.3177	0.1172	0.9631	1.0638	0.6025	-0.0263	-0.7744	-0.5424	0.9442	-0.3297	-0.0298	0.971	-0.5532	1.0771	1.1431	0.2096	0.3064	1.5117	0.6841	1.2717	1.4023	-0.6731	0.2637	0.7645
JAM3	1.3792	-0.4801	-1.5173	-0.0105	-1.4092	-0.7978	-1.6554	-1.0851	0.4056	-0.3301	-0.9976	0.1739	-0.7454	-0.9591	-0.5465	-0.8581	-1.2847	-0.7185	-0.4398	-0.5225	-0.7098	-0.8326	-1.6928	0.5268	-0.7282	-4.6791	-0.9703	1.0801	-1.6678	-2.7735	-0.829	-0.5035	-0.154	-0.2521	0.1262	-1.7284	1.0119	-0.0364	0.2126	0.3036	0.5383	-0.0722	-0.6369	-0.3871	-0.1724	-0.544	-0.4702	-0.077	0.428	0.2754	-1.1632	-0.5663	-0.0048	1.4137	1.7118	0.2207	-1.1076	-0.1494	0.6214	-1.1294	0.4644	-0.3853	-0.4756	-1.805	0.7263	-0.2769	-0.2868	0.5037	0.722	0.5401	1.0441	1.011	-0.6916	2.1802	1.7173	0.418	-0.1118	1.6007	1.0005	-0.0741	1.7081	0.5947	-2.2669	-0.6507	1.3391	0.4761	0.5137	-0.0689	0.2839	0.1592	0.748	0.1272	1.4225	0.6301	0.667	-0.2667	-0.8429	-0.9973	-3.3008	-1.0263	1.1741	0.8172	-0.4787	0.3256	2.0965	-0.6216	1.5388	0.1002	-2.7892	0.0642	0.105	-0.1623	0.9671	-0.8847	0.7718	-0.0836	-0.0587	1.0176	0.4184	1.1096	0.3	0.1815	0.8854	-0.4095	-0.6299	1.0018	0.0732	0.1553	-0.0729	-0.5484	-0.1637	-0.0517	-0.4435	1.0426	-0.7394	0.6813	0.032	0.2201	-0.1136	0.1539	-0.8715	0.2375	0.6701	0.567	-0.2873	0.2084	0.568	0.4915	1.6204	0.8882	0.4409	-0.7912	0.0747	0.6917	-0.1865	0.2702	1.0311	-0.6304	1.3055	1.2028	0.8157	0.9926	1.3382	1.1634	0.737	1.0526	-0.4882	-0.5224	1.3241
JAML	0.7701	0.0917	-2.4916	0.1843	-1.789	1.0733	1.7514	-1.0154	-2.8549	-0.1101	0.073	-0.8331	0.5892	-0.7468	-0.2667	-0.0317	-1.1949	0.1482	-2.1733	-1.1679	-2.1399	1.3698	-1.4596	-0.3252	-0.2727	-2.6014	-1.6711	0.1596	-0.7999	-1.5778	-0.155	0.6202	0.432	-1.0812	-0.7736	-0.7099	-0.4681	-1.1034	-0.6368	0.7636	0.3449	0.4125	0.7155	0.1359	-0.5774	-0.7841	0.8649	-0.7716	0.6936	0.0364	-1.1335	-0.2635	-1.0562	0.689	0.6822	0.6354	-1.48	-0.3732	0.8814	-1.969	0.2473	-0.6882	0.3445	-1.0986	0.9395	0.0312	-0.7336	-0.1341	1.6964	-1.0945	1.3673	0.5499	0.6074	2.0567	0.1827	-1.5482	-0.4106	-0.0114	-0.9443	-0.4075	0.3402	-0.4349	-2.0923	0.6996	0.1936	0.8787	0.3261	0.7899	-0.9411	0.238	1.5068	-1.0129	0.9255	0.6045	0.1455	-0.873	-1.7869	-0.8897	-1.3453	-0.1776	1.6904	0.306	-0.2745	1.4408	0.8504	-1.157	0.8445	-0.0586	-1.5421	-0.127	-0.1099	-0.3283	0.4991	-1.5004	0.4651	0.0948	0.043	0.9402	-1.032	1.0787	0.5975	-0.0769	-0.5229	-0.2313	-0.012	0.4263	0.2872	1.3632	-0.9821	0.3707	-0.1458	0.9102	0.5538	0.3657	0.3078	0.5983	0.6456	-0.6673	-0.2397	0.2648	-0.2632	0.7077	0.921	2.3507	1.4475	0.9899	0.2347	1.3992	1.7085	1.6275	1.4439	1.6998	-0.2204	2.5416	0.1814	0.7395	0.6618	0.0054	0.3439	0.5311	-0.1266	-0.1283	1.323	0.49	0.2608	0.6992	-1.5146	0.5477	0.1562
MAGI2	1.0553	-0.8866	0.2236	-0.3079	0.872	-0.8268	-0.582	-0.4559	0.6538	0.3073	-2.0776	0.6976	-0.581	1.6692	0.8254	0.0607	-0.5953	-0.3008	0.6074	0.7468	5.098	0.0113	-0.0468	1.4709	1.3709	-0.0336	1.1615	0.8452	-0.6375	0.5242	0.5539	-0.3187	0.1634	0.1512	0.6563	-0.3943	0.6582	-0.1094	0.0356	-0.4252	1.5904	1.6474	-0.1741	-0.8947	-0.5917	-0.8585	-1.269	-1.2858	0.6409	-1.2936	1.7045	-0.8668	-1.6884	0.6883	0.6058	0.4249	-1.2589	-0.3764	-0.0206	0.5458	1.1178	-0.0797	-1.5331	-0.1262	-0.0144	-0.2797	-0.8076	-0.4868	-0.3679	-1.2959	0.2425	0.0967	-0.5362	-0.3154	0.5767	-0.3081	0.353	0.0084	0.7568	-0.7928	0.5397	1.9755	-1.6289	-0.543	1.1795	-0.5904	-0.2174	-0.3726	0.119	-0.3388	0.1129	-0.6772	0.6909	-0.0457	0.1926	1.0511	-1.6139	-0.5183	4.0669	-0.3385	0.7604	-0.0875	-0.2058	0.9779	0.6206	-1.2524	0.3463	-1.009	-0.5874	-0.6746	-0.5209	-1.5062	0.394	0.4662	0.3202	0.2598	-0.2083	0.1328	0.2868	-0.3405	-1.3756	-1.3942	-0.0931	0.2415	-0.1118	0.8244	0.0325	0.2267	1.0102	0.6032	0.7602	0.062	-0.3917	1.1492	0.5026	0.4582	-0.0841	3.3161	0.7507	0.4115	-1.2742	-0.9085	-1.2177	-1.6225	-1.5935	-2.0468	-0.2479	-1.0486	-0.7553	-0.9981	-2.1322	-1.5086	0.1335	-0.9338	-0.1877	-1.3204	-0.2	0.9687	0.5691	0.7167	0.3623	-0.5414	0.6319	0.3136	0.4932	-0.1862	0.8253	0.4237	-0.1466
MARVELD2	0.4435	1.0943	0.7149	-0.7044	0.6787	-0.6117	0.2256	1.0973	-0.5497	1.0782	-1.7451	-0.2568	-0.4002	0.853	0.0385	0.9359	0.4112	0.4612	-0.9588	0.4555	0.0823	0.5421	0.5618	-0.2943	0.827	-0.8066	0.4535	0.4438	-1.4962	0.7503	-0.716	0.0311	0.1999	-0.3843	0.2727	0.0916	-0.9095	-0.1242	0.4915	-0.4481	0.5741	-0.8539	-0.5694	1.3709	0.5354	0.5912	0.8448	-0.0514	-0.1544	-1.734	0.1612	-0.5719	-1.0193	-0.8534	-1.8145	-0.3326	-0.2974	0.8767	-0.0738	0.5158	-1.6828	1.1154	1.5873	1.0954	-0.0408	0.2637	-0.1004	0.1595	-4.4697	-0.3322	0.5382	-0.8318	0.505	-0.7491	0.4167	-1.9148	1.5246	-0.849	1.5281	0.7547	0.0777	-0.0328	1.6242	-0.9464	-0.2648	0.4048	-1.3266	-1.4098	-0.0082	-2.5337	0.5241	-0.3319	0.4324	0.7378	0.5934	1.2662	-0.4381	0.2619	2.5519	1.1594	-1.0094	-0.2538	0.7359	0.3613	0.5184	1.7515	0.7353	1.042	0.4809	2.1943	0.719	0.6558	0.4688	1.8758	-0.3307	0.3053	0.9201	-0.4934	0.8654	-0.1597	0.8669	0.6423	-0.7386	0.445	1.1902	-0.5874	-0.5888	0.2307	1.0148	-0.6443	0.5254	0.4258	0.5146	0.4982	0.7246	0.7939	0.3563	0.6691	0.1947	0.475	-0.7424	0.6263	-0.6328	-0.9219	-1.7732	-0.4981	0.4421	-1.8214	-2.4842	-1.6364	-3.1476	0.0883	0.9164	-1.9581	-0.0924	1.0494	-0.3342	0.1254	-0.3818	-1.7685	-1.1454	0.9177	-0.0986	-1.1124	0.3099	-0.9599	-0.7041	-0.3681	-1.1185
