pitch,min_tumor,min_fov_cells,min_bins,kernel,feature,target,r2_krt,r2_full,delta,median_delta,score,n_pos,n_sections,best_section,best_section_delta,n_bins
300,15,0,4,gauss80,mean_q4,nk_frac,0.1080539581545108,0.2526530634317383,0.14459910527722752,0.1223104354157119,0.1223104354157119,6,8,LUAD-5 R3,0.28920257474373734,2010
300,15,400,4,gauss80,mean_q4,nk_frac,0.1080539581545108,0.2526530634317383,0.14459910527722752,0.1223104354157119,0.1223104354157119,6,8,LUAD-5 R3,0.28920257474373734,2010
400,8,0,1,bin,mean_p80,nk_frac,0.1257417923315558,0.26621244124530696,0.14047064891375116,0.12109080610070305,0.12109080610070305,5,8,LUAD-5 R3,0.3128112247858661,1514
400,8,400,1,bin,mean_p80,nk_frac,0.1257417923315558,0.26621244124530696,0.14047064891375116,0.12109080610070305,0.12109080610070305,5,8,LUAD-5 R3,0.3128112247858661,1514
220,8,0,1,gauss80,mean_p75,nk_frac,0.11893333588289157,0.2719874986224422,0.15305416273955064,0.12071885063488469,0.12071885063488469,7,8,LUAD-5 R3,0.30200901960377824,2921
220,8,400,1,gauss80,mean_p75,nk_frac,0.11893333588289157,0.2719874986224422,0.15305416273955064,0.12071885063488469,0.12071885063488469,7,8,LUAD-5 R3,0.30200901960377824,2921
220,8,0,1,gauss80,mean_p80,nk_frac,0.11893333588289157,0.2724766169306154,0.15354328104772386,0.12042479658930266,0.12042479658930266,7,8,LUAD-5 R3,0.3002656672271481,2921
220,8,400,1,gauss80,mean_p80,nk_frac,0.11893333588289157,0.2724766169306154,0.15354328104772386,0.12042479658930266,0.12042479658930266,7,8,LUAD-5 R3,0.3002656672271481,2921
160,8,0,1,gauss80,mean_p75_q4,nk_frac,0.13212782886050267,0.2665541372103527,0.13442630834985003,0.11917903495259408,0.11917903495259408,6,8,LUAD-5 R3,0.21930508986782027,4998
160,8,400,1,gauss80,mean_p75_q4,nk_frac,0.13212782886050267,0.2665541372103527,0.13442630834985003,0.11917903495259408,0.11917903495259408,6,8,LUAD-5 R3,0.21930508986782027,4998
300,15,0,4,gauss80,mean,nk_frac,0.1080539581545108,0.2509318238646647,0.14287786571015393,0.11858666227073217,0.11858666227073217,7,8,LUAD-5 R3,0.30445176055297907,2010
300,15,400,4,gauss80,mean,nk_frac,0.1080539581545108,0.2509318238646647,0.14287786571015393,0.11858666227073217,0.11858666227073217,7,8,LUAD-5 R3,0.30445176055297907,2010
300,15,0,1,bin,mean,nk_frac,0.07899177410587244,0.20836378300916103,0.1293720089032886,0.11714092510242524,0.11714092510242524,8,8,LUAD-5 R3,0.2790512244769855,2010
300,15,400,1,bin,mean,nk_frac,0.07899177410587244,0.20836378300916103,0.1293720089032886,0.11714092510242524,0.11714092510242524,8,8,LUAD-5 R3,0.2790512244769855,2010
300,15,0,4,gauss80,mean_p75_q4,nk_frac,0.1080539581545108,0.2584498883414922,0.15039593018698139,0.11704682772816277,0.11704682772816277,6,8,LUAD-5 R3,0.27401122988389337,2010
300,15,400,4,gauss80,mean_p75_q4,nk_frac,0.1080539581545108,0.2584498883414922,0.15039593018698139,0.11704682772816277,0.11704682772816277,6,8,LUAD-5 R3,0.27401122988389337,2010
220,8,0,1,gauss80,mean_p75_q4,nk_frac,0.11893333588289157,0.2706410862748805,0.15170775039198892,0.11505454026226941,0.11505454026226941,7,8,LUAD-5 R3,0.30232278874662233,2921
220,8,400,1,gauss80,mean_p75_q4,nk_frac,0.11893333588289157,0.2706410862748805,0.15170775039198892,0.11505454026226941,0.11505454026226941,7,8,LUAD-5 R3,0.30232278874662233,2921
300,8,0,1,gauss80,mean_p80,nk_frac,0.16792589789780232,0.2991023884199072,0.1311764905221049,0.11502432491969561,0.11502432491969561,6,8,LUAD-5 R3,0.22719218433942656,2218
300,8,400,1,gauss80,mean_p80,nk_frac,0.16792589789780232,0.2991023884199072,0.1311764905221049,0.11502432491969561,0.11502432491969561,6,8,LUAD-5 R3,0.22719218433942656,2218
220,8,0,1,gauss80,mean_p90,nk_frac,0.11893333588289157,0.2691431914977904,0.15020985561489886,0.1139928389530021,0.1139928389530021,7,8,LUAD-5 R3,0.2812618826341433,2921
220,8,400,1,gauss80,mean_p90,nk_frac,0.11893333588289157,0.2691431914977904,0.15020985561489886,0.1139928389530021,0.1139928389530021,7,8,LUAD-5 R3,0.2812618826341433,2921
