graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	2337	31	31	0	1.0	0.0	0.22513097524642944		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2338	31	0	0	0.0	0.0	0.0		Myeloid cells	5	31	-0.09999999999999999	0.8728885715695384	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2339	31	0	0	0.0	0.0	0.0		Myeloid cells	0	31			False		
GSE131907_tumor_no_brain	2340	31	0	31	0.0	1.0	1.0881544351577759	1.0881544351577759	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2341	31	0	0	0.0	0.0	0.021009478718042374		Myeloid cells	5	31	0.7	0.1881204043741873	True	0.8016432432432432	0.8172341259511722
GSE131907_tumor_no_brain	2342	31	31	0	1.0	0.0	0.04091997817158699		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2343	31	0	31	0.0	1.0	1.6124944686889648	1.6124944686889648	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	2344	31	31	0	1.0	0.0	0.0		T lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2345	31	0	2	0.0	0.06451612903225806	1.5591521263122559	1.7597041130065918	Epithelial cells	8	31	-0.4523809523809524	0.2604047674368853	True	0.8287009250773654	0.8266271402413851
GSE131907_tumor_no_brain	2346	31	0	26	0.0	0.8387096774193549	0.2953563630580902	0.3521556556224823	Epithelial cells	7	31	-0.3214285714285715	0.48207203829967776	True	0.9178630441560633	0.9268039996051419
GSE131907_tumor_no_brain	2347	31	0	0	0.0	0.0	0.05217697471380234		B lymphocytes	2	31			False		
GSE131907_tumor_no_brain	2348	31	31	0	1.0	0.0	0.0		T lymphocytes	6	31	0.08571428571428573	0.8717434402332361	True	0.940135274213113	0.9363445121305675
GSE131907_tumor_no_brain	2349	31	31	0	1.0	0.0	0.12726227939128876		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2350	31	0	0	0.0	0.0	0.151359423995018		Myeloid cells	2	31			False		
GSE131907_tumor_no_brain	2351	31	0	0	0.0	0.0	0.07537389546632767		B lymphocytes	3	31			False		
