Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName
GSE150928,GSM4561265,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369824,SRX8369824
GSE150928,GSM4561266,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369825,SRX8369825
GSE150928,GSM4561267,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369826,SRX8369826
GSE150928,GSM4561268,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369827,SRX8369827
GSE150928,GSM4561269,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369828,SRX8369828
GSE150928,GSM4561270,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369829,SRX8369829
GSE150928,GSM4561271,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369830,SRX8369830
GSE150928,GSM4561272,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369831,SRX8369831
GSE150928,GSM4561273,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369832,SRX8369832
GSE150928,GSM4561274,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369833,SRX8369833
GSE150928,GSM4561275,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369834,SRX8369834
GSE150928,GSM4561276,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369835,SRX8369835
GSE150928,GSM4561277,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369836,SRX8369836
GSE150928,GSM4561278,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369837,SRX8369837
GSE150928,GSM4561279,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369838,SRX8369838
GSE150928,GSM4561280,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369839,SRX8369839
GSE150928,GSM4561281,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369840,SRX8369840
GSE150928,GSM4561282,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369841,SRX8369841
GSE150928,GSM4561283,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369842,SRX8369842
GSE150928,GSM4561284,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369843,SRX8369843
GSE150928,GSM4561285,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369844,SRX8369844
GSE150928,GSM4561286,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369845,SRX8369845
GSE150928,GSM4561287,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369846,SRX8369846
GSE150928,GSM4561288,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369847,SRX8369847
GSE150928,GSM4561289,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369848,SRX8369848
GSE150928,GSM4561290,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369849,SRX8369849
GSE150928,GSM4561291,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369850,SRX8369850
GSE150928,GSM4561292,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369851,SRX8369851
GSE150928,GSM4561293,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,primary,WT,FVB,no_treatment,NA,orthotopic,mammary fat pad,SRX8369852,SRX8369852
GSE150928,GSM4561294,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369853,SRX8369853
GSE150928,GSM4561295,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369854,SRX8369854
GSE150928,GSM4561296,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369855,SRX8369855
GSE150928,GSM4561297,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369856,SRX8369856
GSE150928,GSM4561298,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369857,SRX8369857
GSE150928,GSM4561299,in_vivo,Mammary carcinoma,Mvt1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369858,SRX8369858
GSE150928,GSM4561422,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369662,SRX8369662
GSE150928,GSM4561423,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369663,SRX8369663
GSE150928,GSM4561424,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369664,SRX8369664
GSE150928,GSM4561425,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369665,SRX8369665
GSE150928,GSM4561426,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369666,SRX8369666
GSE150928,GSM4561427,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369667,SRX8369667
GSE150928,GSM4561428,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369668,SRX8369668
GSE150928,GSM4561429,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369669,SRX8369669
GSE150928,GSM4561431,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369671,SRX8369671
GSE150928,GSM4561432,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369672,SRX8369672
GSE150928,GSM4561433,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369673,SRX8369673
GSE150928,GSM4561434,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369674,SRX8369674
GSE150928,GSM4561435,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369675,SRX8369675
GSE150928,GSM4561436,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369676,SRX8369676
GSE150928,GSM4561437,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369677,SRX8369677
GSE150928,GSM4561438,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369678,SRX8369678
GSE150928,GSM4561439,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369679,SRX8369679
GSE150928,GSM4561440,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369680,SRX8369680
GSE150928,GSM4561441,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369681,SRX8369681
GSE150928,GSM4561442,in_vivo,Mammary carcinoma,6DT1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369682,SRX8369682
GSE150928,GSM4561443,in_vivo,Mammary carcinoma,6DT1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intravenous,tail vein,SRX8369683,SRX8369683
GSE150928,GSM4561481,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369721,SRX8369721
GSE150928,GSM4561483,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369723,SRX8369723
GSE150928,GSM4561484,in_vivo,Mammary carcinoma,Met1,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369724,SRX8369724
GSE150928,GSM4561489,in_vivo,Mammary adenocarcinoma,M6,parental,NA,0,NA,NA,NA,1,NA,WT,metastasis,WT,FVB,no_treatment,NA,intracardiac,left ventricle,SRX8369729,SRX8369729
GSE151284,GSM4570373,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406271,SRX8406271
GSE151284,GSM4570374,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406272,SRX8406272
GSE151284,GSM4570375,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406273,SRX8406273
GSE151284,GSM4570376,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406274,SRX8406274
GSE151284,GSM4570377,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406275,SRX8406275
GSE151284,GSM4570378,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406276,SRX8406276
GSE151284,GSM4570379,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406277,SRX8406277
GSE151284,GSM4570380,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406278,SRX8406278
GSE151284,GSM4570381,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406279,SRX8406279
GSE151284,GSM4570382,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406280,SRX8406280
GSE151284,GSM4570383,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406281,SRX8406281
GSE151284,GSM4570384,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,NA,GFP,primary,WT,C57BL/6,no_treatment,NA,orthotopic,intracerebral,SRX8406282,SRX8406282
GSE151284,GSM4570385,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406283,SRX8406283
GSE151284,GSM4570386,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406284,SRX8406284
GSE151284,GSM4570387,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,0,NA,GFP,primary,immunodeficient,C57BL/6_PfpKO_Rag2KO,no_treatment,NA,orthotopic,intracerebral,SRX8406285,SRX8406285
GSE151414,GSM4577664,in_vivo,Glioblastoma multiforme,CT-2A,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421695,SRX8421695
GSE151414,GSM4577665,in_vivo,Glioblastoma multiforme,CT-2A,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421696,SRX8421696
GSE151414,GSM4577666,in_vivo,Glioblastoma multiforme,CT-2A,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421697,SRX8421697
GSE151414,GSM4577667,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421698,SRX8421698
GSE151414,GSM4577668,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421699,SRX8421699
GSE151414,GSM4577669,in_vivo,Glioblastoma multiforme,GL261,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421700,SRX8421700
GSE151414,GSM4577670,in_vivo,Glioblastoma multiforme,5,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421701,SRX8421701
GSE151414,GSM4577671,in_vivo,Glioblastoma multiforme,5,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421702,SRX8421702
GSE151414,GSM4577672,in_vivo,Glioblastoma multiforme,5,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421703,SRX8421703
GSE151414,GSM4577673,in_vivo,Glioblastoma multiforme,Mut3,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421704,SRX8421704
GSE151414,GSM4577674,in_vivo,Glioblastoma multiforme,Mut3,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421705,SRX8421705
GSE151414,GSM4577675,in_vivo,Glioblastoma multiforme,Mut3,parental,NA,0,NA,NA,NA,1,GFP_Fluc_vector,GFP-Fluc,primary,WT,C57BL/6,no_treatment,NA,orthotopic,right hemisphere,SRX8421706,SRX8421706
GSE151829,GSM4591995,in_vivo,Colorectal carcinoma,MC38,parental,Aire_KO,1,R,antiPD1,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473161,SRX8473161
GSE151829,GSM4591998,in_vivo,Colorectal carcinoma,MC38,parental,Aire_KO,1,R,antiPD1,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473162,SRX8473162
GSE151829,GSM4592001,in_vivo,Colorectal carcinoma,MC38,parental,Aire_KO,1,R,antiPD1,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473163,SRX8473163
GSE151829,GSM4592004,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473164,SRX8473164
GSE151829,GSM4592007,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473165,SRX8473165
GSE151829,GSM4592011,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473166,SRX8473166
GSE151829,GSM4592013,in_vivo,Colorectal carcinoma,MC38,parental,NA,1,NR,antiPD1,NA,0,NA,WT,primary,WT,C57BL/6,antiPD1,NA,subcutaneous,flank,SRX8473167,SRX8473167
GSE151829,GSM4592014,in_vivo,Melanoma,B16,B16F10,Aire_KO,0,Baseline,NA,R,1,NA,WT,primary,Aire_KO,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473168,SRX8473168
GSE151829,GSM4592015,in_vivo,Melanoma,B16,B16F10,Aire_KO,0,Baseline,NA,R,1,NA,WT,primary,Aire_KO,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473169,SRX8473169
GSE151829,GSM4592016,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473170,SRX8473170
GSE151829,GSM4592017,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473171,SRX8473171
GSE151829,GSM4592018,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473172,SRX8473172
GSE151829,GSM4592019,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473173,SRX8473173
GSE151829,GSM4592020,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473174,SRX8473174
GSE151829,GSM4592021,in_vivo,Melanoma,B16,B16F10,Aire_KO,0,Baseline,NA,R,1,NA,WT,primary,Aire_KO,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473175,SRX8473175
GSE151829,GSM4592022,in_vivo,Melanoma,B16,B16F10,Aire_KO,0,Baseline,NA,R,1,NA,WT,primary,Aire_KO,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473176,SRX8473176
GSE151829,GSM4592023,in_vivo,Melanoma,B16,B16F10,Aire_KO,0,Baseline,NA,R,1,NA,WT,primary,Aire_KO,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473177,SRX8473177
GSE151829,GSM4592024,in_vivo,Melanoma,B16,B16F10,Aire_KO,1,R,antiCTLA4,NA,0,NA,WT,primary,Aire_KO,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473178,SRX8473178
GSE151829,GSM4592025,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473179,SRX8473179
GSE151829,GSM4592026,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473180,SRX8473180
GSE151829,GSM4592027,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,R,1,NA,WT,primary,WT,C57BL/6,isotype,NA,subcutaneous,flank,SRX8473181,SRX8473181
GSE151829,GSM4592028,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473182,SRX8473182
GSE151829,GSM4592029,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473183,SRX8473183
GSE151829,GSM4592030,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473184,SRX8473184
GSE151829,GSM4592031,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473185,SRX8473185
GSE151829,GSM4592032,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473186,SRX8473186
GSE151829,GSM4592033,in_vivo,Melanoma,B16,B16F10,NA,1,R,antiCTLA4,NA,0,NA,WT,primary,WT,C57BL/6,antiCTLA4,NA,subcutaneous,flank,SRX8473187,SRX8473187
GSE152451,GSM4616048,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,M1-c6v1,NA,subcutaneous,flank,SRX8546940,SRX8546940
GSE152451,GSM4616049,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,M1-c6v1,NA,subcutaneous,flank,SRX8546941,SRX8546941
GSE152451,GSM4616050,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,M1-c6v1,NA,subcutaneous,flank,SRX8546934,SRX8546934
GSE152451,GSM4616051,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,0,NA,WT,primary,WT,C57BL/6J,M1-c6v1,NA,subcutaneous,flank,SRX8546935,SRX8546935
GSE152451,GSM4616052,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,vehicle,NA,subcutaneous,flank,SRX8546936,SRX8546936
GSE152451,GSM4616053,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,vehicle,NA,subcutaneous,flank,SRX8546937,SRX8546937
GSE152451,GSM4616054,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,vehicle,NA,subcutaneous,flank,SRX8546938,SRX8546938
GSE152451,GSM4616055,in_vivo,Melanoma,B16,B16F10,NA,0,NA,NA,NA,1,NA,WT,primary,WT,C57BL/6J,vehicle,NA,subcutaneous,flank,SRX8546939,SRX8546939
GSE152925,GSM4629824,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,C57BL/6,isotype; PBS,NA,subcutaneous,flank,SRX8592568,SRX8592568
GSE152925,GSM4629825,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,C57BL/6,isotype; PBS,NA,subcutaneous,flank,SRX8592569,SRX8592569
GSE152925,GSM4629826,in_vivo,Melanoma,B16,B16F10,NA,0,Baseline,NA,NR,1,NA,WT,primary,WT,C57BL/6,isotype; PBS,NA,subcutaneous,flank,SRX8592570,SRX8592570
GSE152925,GSM4629827,in_vivo,Melanoma,B16,B16F10,NA,1,NR,antiPDL1,NA,0,NA,WT,primary,WT,C57BL/6,antiPDL1,NA,subcutaneous,flank,SRX8592571,SRX8592571
