	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-AG-4022-01	214.065	131.8	38.4785	34167.6	24519.7
TCGA-AG-A002-01	1814.8085	32.1879	11.3243	9458.6871	16300.5544
TCGA-AG-A008-01	823.707	17.4594	18.1124	9705.2406	26120.3294
TCGA-AG-A00C-01	20.8358	48.1295	4.8391	14142.5777	35146.4389
TCGA-AG-A00Y-01	729.7454	49.5853	18.9304	15150.9315	20639.9778
TCGA-AG-A011-01	34.5022	50.8528	13.9858	12155.0474	25715.736
TCGA-AG-A015-01	228.0391	7.2344	11.5624	10405.5395	21870.1808
TCGA-AG-A016-01	273.4355	8.0386	0.853	25647.4987	19231.3204
TCGA-AG-A01J-01	125.4471	141.4146	15.7328	36549.0394	27366.8818
TCGA-AG-A01L-01	101.139	46.3507	7.2049	22143.7253	21106.2403
TCGA-AG-A01N-01	128.0505	13.8977	2.3892	23021.3235	21413.2219
TCGA-AG-A01W-01	226.0284	127.3053	24.4416	10543.7351	22096.4582
TCGA-AG-A01Y-01	718.5007	183.8891	37.4195	11845.9571	15908.7384
TCGA-AG-A020-01	631.4605	41.3667	13.093	19506.809	25914.9706
TCGA-AG-A025-01	476.1004	82.2389	8.597	21247.5308	23776.4694
TCGA-AG-A026-01	110.0946	35.1464	4.577	24566.2795	18427.5901
TCGA-AG-A02G-01	26.6762	112.4558	1.5018	26979.3009	18825.5577
TCGA-AG-A02N-01	3020.8606	113.9309	24.3062	10955.9549	18516.8224
TCGA-AG-A02X-01	20.6103	26.2365	5.986	23460.4735	14378.0292
TCGA-AG-A032-01	69.4654	29.4309	9.2967	22659.9052	35574.0919
TCGA-AH-6544-01	2547.54	10.989	5.7334	16179.6	30797.9
TCGA-AH-6547-01	102.854	375.0	51.1811	24348.4	33608.8
TCGA-AH-6643-01	9172.83	36.7072	11.4987	12223.9	18744.6
TCGA-AH-6644-01	722.821	135.22	18.4187	16292.0	22141.1
TCGA-AH-6897-01	2436.8	24.0223	24.6082	23734.6	41678.0
TCGA-AH-6903-01	192.748	25.2863	10.9733	8942.51	29160.8
TCGA-AM-5820-01	189.562	32.5678	7.9332	18521.1	26887.7
TCGA-AM-5821-01	9164.01	435.779	760.374	8719.27	15295.5
TCGA-AU-3779-01	162.106	25.0195	25.5408	16954.4	42937.7
TCGA-AU-6004-01	1396.3	148.245	45.0421	9810.87	22874.8
TCGA-AY-4070-01	1832.7406	120.6418	19.4492	16394.9635	16898.0369
TCGA-AY-4071-01	14.6126	274.5476	29.0824	58642.1698	29619.97
TCGA-AY-5543-01	439.669	138.801	50.4732	34078.9	43675.9
TCGA-AY-6196-01	5400.36	703.481	59.4238	6791.72	4439.98
TCGA-AY-6197-01	404.742	75.2249	51.9215	18983.2	25399.8
TCGA-AY-6386-01	2774.13	98.4081	12.468	31110.3	30586.2
TCGA-AY-A54L-01	522.901	26.7176	4.665	35628.5	32793.0
TCGA-AY-A69D-01	32.3182	27.7013	16.3367	21352.0	28826.1
TCGA-AY-A71X-01	262.106	22.2905	4.9962	12195.6	35299.0
TCGA-AY-A8YK-01	136.53	18.5755	5.1083	20182.7	22447.1
TCGA-AZ-4308-01	141.7516	50.4356	3.3361	35605.4238	15102.4454
TCGA-AZ-4313-01	1179.67	66.6667	13.2388	24166.0	11431.7
TCGA-AZ-4315-01	502.044	118.44	12.8163	10841.2	20605.9
TCGA-AZ-4323-01	453.644	674.445	19.5709	3036.51	5106.51
TCGA-AZ-4614-01	3177.7	141.748	3.268	10618.1	22133.6
TCGA-AZ-4615-01	18.3724	857.378	69.7209	13713.8	20236.5
TCGA-AZ-4616-01	905.331	290.483	257.598	11783.8	32801.7
TCGA-AZ-4681-01	275.8536	6.8756	1.7946	45358.9676	19121.3446
TCGA-AZ-4682-01	194.942	43.0019	6.5527	48174.9	31792.0
TCGA-AZ-4684-01	11033.6	118.722	14.7216	42282.8	23343.2
TCGA-AZ-5403-01	316.057	18.9727	6.4785	29435.4	36369.7
TCGA-AZ-5407-01	1320.04	157.452	4.067	20597.7	20395.5
TCGA-AZ-6598-01	5488.66	42.1166	18.8985	18990.3	14690.6
TCGA-AZ-6599-01	171.698	65.2146	12.7372	14395.6	22864.3
TCGA-AZ-6600-01	3508.27	82.7323	15.2737	16223.6	18384.0
TCGA-AZ-6603-01	27.4248	84.1028	48.2677	18486.5	25431.6
TCGA-AZ-6605-01	151.575	139.764	23.1299	13202.8	21690.0
TCGA-AZ-6606-01	218.734	11.6436	24.5348	15266.5	18077.1
TCGA-AZ-6607-01	14492.6	242.9	176.491	45979.2	11185.3
TCGA-CA-5254-01	9.8494	83.3412	22.7294	9571.36	28449.3
TCGA-CA-5255-01	717.536	50.4994	5.5494	28131.0	22999.4
