	CLDN4	CD274	TACSTD2	lineage	LINEAGE
OVMANA_OVARY	29.3564	0.0519	23.7626		ovary
OVSAHO_OVARY	63.5667	0.2246	0.2073		
OVTOKO_OVARY	0.3589	0.1242	0.5756		ovary
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.6872	0.3882	0.2922		
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3282	0.1675	0.3566		blood
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3461	0.2108	0.2711		lymphocyte
PA1_OVARY	0.3762	0.0293	0.2943		
PACADD119_PANCREAS	109.5102	0.661	158.4691		
PACADD135_PANCREAS	256.1706	4.6414	1875.3798		
PACADD137_PANCREAS	26.4086	0.0203	0.8686		
PACADD159_PANCREAS	65.1373	7.69	755.5779		
PACADD161_PANCREAS	90.6481	25.7162	259.4137		
PACADD165_PANCREAS	0.072	0.3018	0.1837		
PACADD188_PANCREAS	32.9024	0.9263	93.3759		
PANC0203_PANCREAS	112.5358	5.787	175.2163		pancreas
PANC0213_PANCREAS	201.9618	22.4055	1155.2538		pancreas
PANC0327_PANCREAS	92.651	16.9302	246.5211		
PANC0403_PANCREAS	145.6813	3.7838	344.6798		
PANC0504_PANCREAS	99.1792	5.2383	161.9181		pancreas
PANC0813_PANCREAS	115.2867	30.533	242.7156		pancreas
PANC1005_PANCREAS	155.8179	11.3549	211.8013		
PANC1_PANCREAS	21.7011	0.0168	0.2962		pancreas
PATU8902_PANCREAS	52.6116	2.8079	101.418		pancreas
PATU8988S_PANCREAS	72.2942	0.0454	65.1933		pancreas
PATU8988T_PANCREAS	0.2386	0.1254	1.5561		
PC14_LUNG	149.0324	1.4176	309.5242		lung
PC3_PROSTATE	89.897	3.3132	64.9797		
PC9_LUNG	65.3146	2.1418	182.1515		
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	138.091	1.9712	625.204		upper_aerodigestive
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	13.8132	1.8149	487.0601		upper_aerodigestive
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	15.8116	1.5626	388.3049		upper_aerodigestive
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	17.6125	5.6094	413.1439		upper_aerodigestive
PEDS005TPFAD_KIDNEY	0.3365	0.0131	0.0		
PEDS015T_SOFT_TISSUE	0.273	0.0666	0.4256		
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1568	0.2756	0.3051		blood
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8555	0.4684	0.6046		
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1153	0.0173	0.3442		
PK1_PANCREAS	98.3605	3.6152	190.2759		pancreas
PK45H_PANCREAS	44.7875	2.4466	371.928		pancreas
PK59_PANCREAS	165.4065	9.625	246.9392		
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1754	0.0435	0.4394		
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0665	0.0246	0.053		
PLCPRF5_LIVER	0.4422	0.1656	0.1166		liver
PRECLH_PROSTATE	0.8382	31.5649	61.5661		
PSN1_PANCREAS	21.4411	1.7544	0.6373		
QGP1_PANCREAS	91.5056	0.6195	0.1388		
R262_CENTRAL_NERVOUS_SYSTEM	4.1518	1.7803	0.081		
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1762	0.317	0.4316		lymphocyte
RC2_SOFT_TISSUE	0.1352	0.3521	0.0714		
RCC10RGB_KIDNEY	36.4817	2.3436	0.3436		kidney
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1355	0.1379	0.344		
RCM1_LARGE_INTESTINE	132.2372	0.388	243.3992		colorectal
RDES_BONE	0.4915	0.0133	0.3994		bone
RD_SOFT_TISSUE	0.7672	0.4198	0.4775		
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5261	0.5263	1.0419		
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2675	0.0833	0.2006		blood
RERFGC1B_STOMACH	66.9329	0.0632	8.3228		gastric
RERFLCAD1_LUNG	187.0811	14.0225	629.1096		
RERFLCAD2_LUNG	80.8481	15.4446	266.1275		lung
RERFLCAI_LUNG	1.8844	3.6962	15.4913		lung
RERFLCKJ_LUNG	54.3856	16.3788	347.4873		lung
RERFLCMS_LUNG	14.3643	0.9788	7.2944		lung
RERFLCSQ1_LUNG	7.2552	8.404	5.6288		
RH18_SOFT_TISSUE	2.7278	7.0718	0.4196		
RH28_SOFT_TISSUE	0.1349	0.0558	0.0196		
RH30_SOFT_TISSUE	11.7673	1.9857	0.3583		soft_tissue
RH36_SOFT_TISSUE	0.7767	0.0	0.0906		
RH41_SOFT_TISSUE	0.474	0.102	0.3663		
RH4_SOFT_TISSUE	0.3264	0.0053	0.0212		
RHJT_SOFT_TISSUE	0.3106	1.2439	0.0076		
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1802	0.4398	0.353		
RKN_SOFT_TISSUE	0.323	5.1916	4.2267		soft_tissue
RKO_LARGE_INTESTINE	0.2284	94.4503	0.16		colorectal
RL952_ENDOMETRIUM	63.7027	0.4037	340.0246		uterus
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1715	0.0822	0.1729		
RMGI_OVARY	155.6456	0.0927	121.6128		
RMS13_SOFT_TISSUE	0.2013	0.0539	0.0214		
RMUGS_OVARY	83.8142	0.3233	440.7103		ovary
RPMI7951_SKIN	0.5705	1.1138	0.42		skin
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.2011	1.2852	0.2264		
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5675	0.2619	0.4111		
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2518	0.0856	0.2314		blood
RS5_FIBROBLAST	0.2091	3.2128	0.5016		
RT11284_URINARY_TRACT	35.0216	0.4645	178.6681		urinary_tract
RT112_URINARY_TRACT	60.9595	0.8505	245.9653		
RT4_URINARY_TRACT	102.7168	0.1127	211.0017		
RVH421_SKIN	0.1003	2.0447	0.3964		skin
S117_SOFT_TISSUE	0.3375	25.8157	1.3728		
SALE_LUNG	50.3398	49.7677	623.1498		
SAOS2_BONE	0.4656	7.329	0.3314		bone
SBC5_LUNG	1.048	0.0702	0.1517		
SCABER_URINARY_TRACT	10.0097	3.9448	173.4109		
SCC15_UPPER_AERODIGESTIVE_TRACT	37.2741	2.6805	414.5831		
SCC25_UPPER_AERODIGESTIVE_TRACT	2.6882	2.0868	88.9188		
SCC4_UPPER_AERODIGESTIVE_TRACT	50.0554	4.5514	543.8101		upper_aerodigestive
SCC9_UPPER_AERODIGESTIVE_TRACT	10.067	1.1263	369.0203		upper_aerodigestive
SCCOHT1_OVARY	0.4329	0.4257	0.0725		
SCLC21H_LUNG	19.3289	0.0916	0.2565		
SCLC22H_LUNG	23.6014	0.2638	0.0989		
SCMCRM2_SOFT_TISSUE	0.019	1.1429	0.0258		
SCS214_SOFT_TISSUE	0.1266	0.224	0.0507		
SEKI_SKIN	0.029	0.5109	0.0164		
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2475	0.1475	0.21		
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1626	4.1821	0.1991		blood
SF126_CENTRAL_NERVOUS_SYSTEM	0.8231	2.2965	0.1851		central_nervous_system
SF172_CENTRAL_NERVOUS_SYSTEM	61.9417	1.1897	124.4271		
SF268_CENTRAL_NERVOUS_SYSTEM	0.5301	2.4359	0.4826		
SF295_CENTRAL_NERVOUS_SYSTEM	1.4879	1.9415	0.1132		central_nervous_system
SF539_CENTRAL_NERVOUS_SYSTEM	0.35	3.7673	0.545		
SF767_CENTRAL_NERVOUS_SYSTEM	69.5562	1.3939	233.3761		
SH10TC_STOMACH	18.3924	4.8063	0.1373		gastric
SH4_SKIN	0.3595	0.7791	0.3361		skin
SHP77_LUNG	21.098	0.3132	0.2059		
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1299	0.0183	0.3538		
SIHA_CERVIX	0.1749	0.2735	35.4466		
SIMA_AUTONOMIC_GANGLIA	0.3962	0.0386	0.5685		
SISO_CERVIX	0.4716	6.659	3.4319		
SJSA1_BONE	0.3131	3.2188	0.2414		bone
SKBR3_BREAST	143.2471	0.7206	111.4198		breast
SKCO1_LARGE_INTESTINE	196.0927	0.1272	155.2334		colorectal
SKES1_BONE	0.3809	0.0076	0.3829		bone
SKGT4_OESOPHAGUS	7.5843	4.6247	52.2291		
SKHEP1_LIVER	0.1447	0.3285	0.2328		liver
SKLMS1_SOFT_TISSUE	1.7862	2.7667	0.167		soft_tissue
SKLU1_LUNG	0.478	0.8276	1.3272		lung
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.162	0.058	1.6492		blood
SKMEL1_SKIN	0.1674	1.5302	0.3955		skin
SKMEL24_SKIN	0.647	0.2099	0.4801		
SKMEL28_SKIN	0.5248	1.2582	1.4898		skin
SKMEL30_SKIN	0.1397	0.6198	0.271		
SKMEL31_SKIN	0.8758	0.4384	1.3666		skin
SKMEL3_SKIN	0.6092	0.2065	1.1035		
SKMEL5_SKIN	0.3002	0.1802	0.4192		
SKMES1_LUNG	33.5319	6.9653	116.986		lung
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.147	0.4606	0.1838		
SKNAS_AUTONOMIC_GANGLIA	5.7721	4.8359	0.4745		peripheral_nervous_system
SKNBE2_AUTONOMIC_GANGLIA	0.4768	0.0388	0.3427		peripheral_nervous_system
SKNDZ_AUTONOMIC_GANGLIA	0.1324	0.0139	0.3479		peripheral_nervous_system
SKNEP1_BONE	0.2086	0.0118	0.0117		
SKNFI_AUTONOMIC_GANGLIA	0.6667	0.5277	0.4935		peripheral_nervous_system
SKNMC_BONE	0.2168	0.0094	0.4099		bone
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0645	0.1213	0.0774		
SKNSH_AUTONOMIC_GANGLIA	3.4704	13.9108	0.5729		peripheral_nervous_system
SKOV3_OVARY	5.6894	0.4216	84.0413		ovary
SKPNDW_BONE	0.25	0.0136	0.0135		
SKRC20_KIDNEY	42.3556	0.6542	0.1514		
SKUT1_SOFT_TISSUE	1.4023	0.2458	3.891		soft_tissue
SLR20_KIDNEY	0.4586	4.488	29.4689		
SLR21_KIDNEY	22.4599	0.2509	29.1294		
SLR23_KIDNEY	0.4505	2.125	5.5892		
SLR24_KIDNEY	23.6394	2.918	0.0719		
SLR25_KIDNEY	4.6794	2.7474	0.075		
SLR26_KIDNEY	1.2057	2.6962	0.1199		
SMSCTR_SOFT_TISSUE	0.2408	0.0472	0.0607		
SMZ1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0121	1.4124	0.0		
SNB75_CENTRAL_NERVOUS_SYSTEM	0.3692	2.8162	0.4113		
SNGM_ENDOMETRIUM	59.4638	0.052	11.4546		uterus
SNU1033_LARGE_INTESTINE	103.143	1.3468	192.3516		colorectal
SNU1040_LARGE_INTESTINE	115.9254	0.2817	88.8745		colorectal
SNU1041_UPPER_AERODIGESTIVE_TRACT	60.9336	0.8411	764.2808		upper_aerodigestive
SNU1066_UPPER_AERODIGESTIVE_TRACT	214.3699	2.8681	626.0625		upper_aerodigestive
SNU1076_UPPER_AERODIGESTIVE_TRACT	65.8767	3.6255	673.4811		upper_aerodigestive
SNU1077_ENDOMETRIUM	27.9084	0.9574	81.7704		uterus
SNU1079_BILIARY_TRACT	18.0254	3.6479	8.8621		bile_duct
SNU1105_CENTRAL_NERVOUS_SYSTEM	0.8102	15.3865	0.1834		central_nervous_system
SNU1196_BILIARY_TRACT	86.3417	2.4746	98.4448		bile_duct
SNU1197_LARGE_INTESTINE	164.9836	6.8901	365.5074		colorectal
SNU119_OVARY	178.3801	0.7064	299.9993		ovary
SNU1214_UPPER_AERODIGESTIVE_TRACT	3.8286	0.7684	214.9239		upper_aerodigestive
SNU1272_KIDNEY	23.7734	6.8302	0.3389		kidney
SNU16_STOMACH	102.288	0.5114	55.3856		gastric
SNU175_LARGE_INTESTINE	66.9839	0.4114	0.1671		colorectal
SNU182_LIVER	0.4333	1.2813	0.2697		liver
SNU1_STOMACH	0.2891	0.0834	0.2382		gastric
SNU201_CENTRAL_NERVOUS_SYSTEM	0.9656	1.5659	0.1857		central_nervous_system
SNU213_PANCREAS	195.9938	5.2186	389.2788		pancreas
SNU216_STOMACH	248.096	2.2562	621.387		gastric
SNU245_BILIARY_TRACT	141.506	0.1101	82.8842		bile_duct
SNU283_LARGE_INTESTINE	181.4432	0.1887	91.6365		colorectal
SNU308_BILIARY_TRACT	218.3993	0.9276	356.5846		bile_duct
SNU324_PANCREAS	52.9691	44.5383	187.0429		pancreas
SNU349_KIDNEY	6.1062	5.9665	0.3796		kidney
SNU387_LIVER	25.1613	5.7583	0.191		liver
SNU398_LIVER	0.2588	0.0269	0.3503		liver
SNU407_LARGE_INTESTINE	113.4045	0.1172	14.0639		colorectal
SNU410_PANCREAS	60.6392	2.2674	0.492		pancreas
SNU423_LIVER	0.4872	12.7652	0.4012		liver
SNU449_LIVER	0.1618	3.522	0.3981		liver
SNU466_CENTRAL_NERVOUS_SYSTEM	0.3302	0.1066	0.4785		central_nervous_system
SNU46_UPPER_AERODIGESTIVE_TRACT	1.4049	9.1357	22.9853		upper_aerodigestive
SNU475_LIVER	3.9218	0.9021	0.1077		liver
SNU478_BILIARY_TRACT	92.2985	0.7844	121.2836		bile_duct
SNU489_CENTRAL_NERVOUS_SYSTEM	1.354	2.3721	0.3846		central_nervous_system
SNU503_LARGE_INTESTINE	45.5466	7.631	116.9141		colorectal
SNU520_STOMACH	124.4689	0.0874	0.5017		gastric
SNU5_STOMACH	142.0206	0.0748	1.0895		gastric
SNU601_STOMACH	89.9163	0.3651	120.7024		gastric
SNU61_LARGE_INTESTINE	122.779	0.2813	72.2627		colorectal
SNU620_STOMACH	88.6725	0.3605	98.3841		gastric
SNU626_CENTRAL_NERVOUS_SYSTEM	3.8823	2.2276	0.4687		central_nervous_system
SNU668_STOMACH	1.8278	1.2128	0.4216		gastric
SNU685_ENDOMETRIUM	2.9226	7.7776	0.401		uterus
SNU719_STOMACH	150.6578	0.494	47.5275		gastric
SNU738_CENTRAL_NERVOUS_SYSTEM	0.3932	1.0343	0.2737		central_nervous_system
SNU761_LIVER	33.5233	0.4394	0.6081		liver
SNU81_LARGE_INTESTINE	53.0056	2.266	0.9133		colorectal
SNU840_OVARY	29.6751	8.0696	281.9184		ovary
SNU869_BILIARY_TRACT	126.2817	2.4016	317.6356		bile_duct
SNU878_LIVER	19.5275	1.0298	0.7885		liver
SNU886_LIVER	10.0605	1.034	0.1712		liver
SNU899_UPPER_AERODIGESTIVE_TRACT	136.6063	4.3691	480.0142		upper_aerodigestive
SNU8_OVARY	62.6779	9.6573	88.0283		ovary
SNUC1_LARGE_INTESTINE	111.882	0.114	0.3464		colorectal
SNUC2A_LARGE_INTESTINE	147.1749	0.7111	21.2666		colorectal
SNUC4_LARGE_INTESTINE	73.7293	0.3886	0.4486		colorectal
SNUC5_LARGE_INTESTINE	70.7715	7.6514	217.5647		colorectal
SQ1_LUNG	100.2524	10.6182	368.8796		
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3772	5.0526	0.3396		
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.0292	0.2495	1.116		
STM9101_SOFT_TISSUE	0.0714	0.0204	0.0		
SU8686_PANCREAS	234.296	6.8977	145.7512		pancreas
SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.24	0.0864	0.253		
SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.119	47.3451	0.1942		
SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2363	0.0612	0.2723		
SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2961	0.5316	0.5568		
SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2968	0.1781	0.4312		
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4803	0.3997	0.1949		lymphocyte
SUIT2_PANCREAS	29.665	0.1739	1.305		pancreas
SUM159PT_BREAST	0.2098	2.2338	0.0369		
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1701	0.6344	0.4158		blood
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2694	16.912	0.2536		lymphocyte
SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3018	0.3174	0.3883		
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2173	0.1152	0.2949		blood
SW1088_CENTRAL_NERVOUS_SYSTEM	1.3199	1.8066	0.6603		central_nervous_system
SW1116_LARGE_INTESTINE	98.8875	0.1455	4.7602		colorectal
SW1271_LUNG	1.1614	0.2122	0.2049		lung
SW1353_BONE	0.4586	4.032	0.3734		
SW13_ADRENAL_CORTEX	0.2018	0.1395	0.9913		
SW1417_LARGE_INTESTINE	113.7794	1.1766	22.6822		
SW1463_LARGE_INTESTINE	119.8135	0.212	5.1525		colorectal
SW1573_LUNG	2.2797	0.5672	0.8332		lung
SW1710_URINARY_TRACT	22.9498	1.4142	7.5106		
SW1783_CENTRAL_NERVOUS_SYSTEM	0.5153	1.2086	0.1905		central_nervous_system
SW1990_PANCREAS	8.3201	7.108	9.8765		pancreas
SW403_LARGE_INTESTINE	85.168	0.0691	4.8548		
SW480_LARGE_INTESTINE	41.026	0.7719	41.7247		colorectal
SW48_LARGE_INTESTINE	2.6608	0.789	0.8942		
SW579_THYROID	0.4236	0.5844	0.1466		
SW620_LARGE_INTESTINE	23.9017	0.1112	0.4375		
SW626_OVARY	123.589	2.11	70.9019		
SW756_CERVIX	0.7386	3.1684	16.6933		
SW780_URINARY_TRACT	75.3658	1.7968	282.9676		urinary_tract
SW837_LARGE_INTESTINE	82.8868	1.5621	118.7909		colorectal
SW900_LUNG	84.0141	16.4273	69.4827		lung
SW948_LARGE_INTESTINE	128.5736	0.0554	1.8974		
SW982_SOFT_TISSUE	0.1837	1.7615	0.0153		
SYO1_SOFT_TISSUE	0.2826	0.0485	0.0241		
T173_FIBROBLAST	0.2138	0.2676	0.4044		fibroblast
T24_URINARY_TRACT	0.55	8.2951	41.4614		urinary_tract
T3M10_LUNG	7.8994	4.2221	15.5233		lung
T3M4_PANCREAS	70.6613	0.4069	194.5297		pancreas
T47D_BREAST	94.8888	0.0749	103.1639		breast
T84_LARGE_INTESTINE	229.8272	0.2528	8.6223		
T98G_CENTRAL_NERVOUS_SYSTEM	0.5839	0.3358	0.1343		
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4335	0.0394	0.5342		blood
TC106_BONE	0.1138	0.0051	0.0152		
TC138_BONE	0.0669	0.01	0.0066		
TC205_BONE	0.1106	0.0	0.1041		
TC32_BONE	0.0928	0.0	0.0		
TC71_BONE	0.1495	0.0108	0.1761		bone
TCCPAN2_PANCREAS	53.0846	0.0323	29.3914		
TCCSUP_URINARY_TRACT	1.5668	8.3186	4.3947		urinary_tract
TE10_OESOPHAGUS	55.1294	0.6071	164.2061		esophagus
TE11_OESOPHAGUS	135.7718	1.943	521.0056		
TE125T_FIBROBLAST	0.8437	0.3607	5.1506		
TE14_OESOPHAGUS	64.3257	0.2814	235.3738		esophagus
TE159T_FIBROBLAST	0.3201	0.3083	1.3042		fibroblast
TE15_OESOPHAGUS	20.717	1.459	333.0866		
TE1_OESOPHAGUS	53.5009	4.7685	122.7188		
TE441T_SOFT_TISSUE	0.3403	0.0223	0.4882		
TE4_OESOPHAGUS	62.5804	1.2207	2.432		esophagus
TE5_OESOPHAGUS	124.2154	0.3026	347.0201		
TE617T_SOFT_TISSUE	0.219	0.0313	0.117		soft_tissue
TE6_OESOPHAGUS	17.0599	2.1158	42.1133		esophagus
TE8_OESOPHAGUS	3.8825	1.3537	4.2924		esophagus
TE9_OESOPHAGUS	114.6338	0.3713	357.07		esophagus
TEN_ENDOMETRIUM	54.483	0.2558	33.0353		uterus
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1937	0.2194	0.277		
TFK1_BILIARY_TRACT	40.9359	0.3588	162.16		
TGBC11TKB_STOMACH	65.9481	0.792	23.761		gastric
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1237	0.1737	0.1978		blood
TIG3TD_FIBROBLAST	0.4249	3.4794	0.1265		
TM31_CENTRAL_NERVOUS_SYSTEM	4.9174	7.8565	0.2525		central_nervous_system
TM87_SOFT_TISSUE	4.4675	0.3908	0.0826		
TO175T_FIBROBLAST	0.4196	0.0431	0.4131		fibroblast
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1021	0.1944	0.2352		lymphocyte
TOV112D_OVARY	0.4045	0.0124	0.1317		
TOV21G_OVARY	0.8388	0.4728	0.1919		
TT2609C02_THYROID	18.944	0.7134	0.648		
TTC1240_SOFT_TISSUE	0.2127	0.6306	0.1898		
TTC442_SOFT_TISSUE	0.4213	2.24	0.7355		
TTC549_SOFT_TISSUE	0.1811	0.094	0.0		
TTC642_SOFT_TISSUE	0.3211	0.0087	0.0		
TTC709_SOFT_TISSUE	0.2942	0.0716	0.1206		
TT_OESOPHAGUS	62.6804	0.0338	194.1048		
TT_THYROID	13.006	1.026	0.4127		
TUHR10TKB_KIDNEY	50.2322	4.2126	13.0226		kidney
TUHR14TKB_KIDNEY	1.0188	0.2936	0.4256		kidney
TUHR4TKB_KIDNEY	35.7312	7.3801	0.4284		kidney
TYKNU_OVARY	0.3617	1.4941	0.2398		
U118MG_CENTRAL_NERVOUS_SYSTEM	1.497	1.6594	0.1614		central_nervous_system
U178_CENTRAL_NERVOUS_SYSTEM	0.3671	7.7883	0.1171		
U251MG_CENTRAL_NERVOUS_SYSTEM	1.2166	3.0983	0.4586		
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4541	0.2617	1.0575		plasma_cell
U2OS_BONE	6.2847	0.8934	0.164		bone
U343_CENTRAL_NERVOUS_SYSTEM	0.6523	1.2219	0.1334		
U87MG_CENTRAL_NERVOUS_SYSTEM	0.5316	2.9752	0.2094		
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5487	0.0499	0.1293		blood
UACC257_SKIN	0.0924	0.1878	0.1124		
UACC62_SKIN	0.3458	0.244	0.2031		skin
UACC812_BREAST	44.2694	0.1932	92.4782		
UACC893_BREAST	81.8464	0.2765	58.3651		
UBLC1_URINARY_TRACT	169.8773	34.5658	547.1802		urinary_tract
UMUC10_URINARY_TRACT	37.3372	14.1077	184.0764		
UMUC11_URINARY_TRACT	9.8219	17.8407	0.7215		
UMUC13_URINARY_TRACT	1.0338	28.9138	6.5583		
UMUC14_URINARY_TRACT	129.81	3.0067	772.346		
UMUC16_URINARY_TRACT	139.2524	12.153	734.3917		
UMUC1_URINARY_TRACT	88.4092	1.2974	292.5653		urinary_tract
UMUC3_URINARY_TRACT	0.3944	1.7254	0.1798		urinary_tract
UMUC4_URINARY_TRACT	243.4834	0.03	0.1921		
UMUC5_URINARY_TRACT	52.6782	1.0458	401.4		
UMUC6_URINARY_TRACT	28.2881	3.7851	190.6979		
UMUC7_URINARY_TRACT	120.5381	12.6563	872.6982		
UMUC9_URINARY_TRACT	478.1254	1.3611	829.087		
UO31_KIDNEY	29.3698	4.6533	0.4016		
UOK101_KIDNEY	0.5077	1.0466	0.1573		
UPCISCC152_UPPER_AERODIGESTIVE_TRACT	29.8641	0.3517	182.7176		
UW228_CENTRAL_NERVOUS_SYSTEM	0.1461	8.5304	0.0		
VCAP_PROSTATE	44.6854	0.2055	10.2559		
VMCUB1_URINARY_TRACT	111.5075	6.5634	1172.0571		
VMRCRCW_KIDNEY	76.3708	2.3673	0.685		kidney
VMRCRCZ_KIDNEY	1.368	1.3343	0.4382		
WM115_SKIN	0.3405	0.1159	0.2146		skin
WM1799_SKIN	0.306	0.285	0.1667		skin
WM2664_SKIN	0.523	0.2294	0.8265		
WM793_SKIN	1.2599	2.4474	0.2812		skin
WM88_SKIN	0.9094	0.0241	0.5897		skin
WM983B_SKIN	0.4407	0.3175	0.5924		skin
WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4772	0.0482	0.4696		
Y79_AUTONOMIC_GANGLIA	0.2434	0.0359	0.2378		
YAMATO_SOFT_TISSUE	0.2413	0.2051	0.0067		
YAPC_PANCREAS	191.1039	2.4937	156.0347		pancreas
YD10B_UPPER_AERODIGESTIVE_TRACT	1.1411	5.375	74.6248		upper_aerodigestive
YD15_SALIVARY_GLAND	5.6562	3.1995	156.6319		upper_aerodigestive
YD38_UPPER_AERODIGESTIVE_TRACT	62.9536	12.0516	609.1169		upper_aerodigestive
YD8_UPPER_AERODIGESTIVE_TRACT	1.1434	1.7994	59.4407		upper_aerodigestive
YH13_CENTRAL_NERVOUS_SYSTEM	0.7234	1.4436	1.3173		central_nervous_system
YKG1_CENTRAL_NERVOUS_SYSTEM	1.409	0.7474	0.1443		
ZR751_BREAST	52.2724	0.0273	47.6503		breast
ZR7530_BREAST	176.7451	0.0497	93.3095		
