	TACSTD2	CLDN4	TACSTD2_CLDN4_mean
TCGA-75-6205-01	13.0741	12.0092	12.54165
TCGA-80-5611-01	13.1563	12.4841	12.8202
TCGA-93-A4JP-01	13.0413	12.758	12.89965
TCGA-50-5935-01	11.9592	14.1507	13.05495
TCGA-05-4389-01	12.4865	13.0411	12.7638
TCGA-44-A479-01	9.3411	10.89	10.11555
TCGA-67-4679-01	12.7764	13.4536	13.115
TCGA-44-8120-01	12.487	13.6934	13.0902
TCGA-55-8089-01	13.1224	11.6759	12.39915
TCGA-67-3773-01	12.6291	13.3417	12.985399999999998
TCGA-MP-A4TA-01	12.4964	13.3887	12.94255
TCGA-50-5072-01	13.3817	13.0629	13.2223
TCGA-55-8091-01	13.2772	13.004	13.1406
TCGA-97-A4LX-01	12.8382	12.1535	12.49585
TCGA-55-6968-01	10.289	13.0584	11.6737
TCGA-MP-A4TH-01	11.2277	12.2356	11.73165
TCGA-NJ-A4YQ-01	15.289	12.7894	14.039200000000001
TCGA-44-A4SU-01	13.3357	13.7425	13.5391
TCGA-49-4490-01	14.4022	14.7058	14.554
TCGA-97-A4M3-01	12.6442	13.2097	12.92695
TCGA-J2-A4AD-01	15.1143	14.5143	14.8143
TCGA-55-7227-01	14.193	13.1812	13.687100000000001
TCGA-49-4505-01	13.4404	14.4127	13.926549999999999
TCGA-78-7153-01	10.6277	12.5995	11.613600000000002
TCGA-50-5944-01	13.4726	13.5533	13.51295
TCGA-97-8172-01	11.7223	13.4365	12.5794
TCGA-97-8171-01	10.9471	13.4194	12.183250000000001
TCGA-69-7761-01	12.7153	12.3437	12.529499999999999
TCGA-49-AARR-01	12.7474	12.4642	12.6058
TCGA-L4-A4E6-01	11.3251	11.6867	11.5059
TCGA-55-A48Y-01	12.5937	11.1427	11.8682
TCGA-93-7348-01	11.9384	13.8334	12.8859
TCGA-91-6847-01	13.8423	13.385	13.61365
TCGA-55-6980-01	14.2994	14.0199	14.15965
TCGA-86-7953-01	13.2091	13.6516	13.43035
TCGA-86-7714-01	13.7111	12.7505	13.2308
TCGA-86-8585-01	12.1601	11.735	11.94755
TCGA-55-8511-01	12.63	13.6603	13.145150000000001
TCGA-55-8092-01	12.4001	12.4752	12.43765
TCGA-62-A46U-01	11.4132	12.7864	12.0998
TCGA-55-8208-01	12.6801	12.9167	12.7984
TCGA-64-1676-01	14.273	13.836	14.0545
TCGA-91-A4BD-01	12.6054	13.2195	12.91245
TCGA-78-7145-01	13.8694	14.0899	13.97965
TCGA-97-8179-01	12.3023	13.6446	12.97345
TCGA-44-2662-01	13.3576	13.9337	13.64565
TCGA-86-8074-01	13.6882	12.9824	13.3353
TCGA-78-7540-01	13.9274	14.5673	14.24735
TCGA-05-4426-01	14.0765	12.6853	13.3809
TCGA-50-8457-01	12.4101	13.6486	13.02935
TCGA-75-5122-01	10.1676	11.4644	10.815999999999999
TCGA-55-6975-01	13.0838	12.4289	12.756350000000001
TCGA-86-8073-01	13.8375	13.8745	13.856
TCGA-86-8076-01	11.3107	12.4861	11.8984
TCGA-62-A46P-01	12.0113	11.2594	11.635349999999999
TCGA-J2-A4AE-01	12.6025	12.8326	12.71755
TCGA-67-3770-01	12.2964	13.0756	12.686
TCGA-55-A490-01	11.2339	13.1959	12.2149
TCGA-44-4112-01	10.6411	13.5334	12.087250000000001
TCGA-49-6745-01	13.6585	13.9721	13.8153
TCGA-93-A4JN-01	13.9086	12.635	13.271799999999999
TCGA-86-8054-01	8.5507	12.8096	10.680150000000001
TCGA-55-A4DF-01	11.3025	12.3733	11.837900000000001
TCGA-75-5146-01	12.9703	13.118	13.04415
TCGA-05-4384-01	11.9826	12.5602	12.2714
TCGA-55-8207-01	13.3362	13.9501	13.64315
TCGA-69-7760-01	12.8505	13.4997	13.1751
TCGA-49-4510-01	12.9594	13.7191	13.33925
TCGA-64-5815-01	12.7525	13.4496	13.10105
TCGA-55-8620-01	6.733	13.4318	10.0824
TCGA-73-4662-01	11.4804	14.4697	12.97505
TCGA-49-AAR4-01	13.5973	13.5861	13.5917
TCGA-55-7910-01	8.9363	12.1569	10.5466
TCGA-55-8621-01	12.0211	12.3754	12.198250000000002
TCGA-55-6981-01	13.0765	14.9573	14.0169
TCGA-MP-A4TJ-01	11.4167	12.2312	11.82395
TCGA-50-5942-01	12.3809	12.384	12.38245
TCGA-05-4434-01	14.0121	13.5778	13.79495
TCGA-78-7148-01	13.4518	13.4157	13.43375
TCGA-69-8453-01	13.5481	13.4106	13.47935
TCGA-97-8176-01	13.1248	13.2358	13.180299999999999
TCGA-67-3771-01	12.9513	12.5918	12.77155
TCGA-78-8655-01	13.5407	13.7552	13.64795
TCGA-95-7948-01	13.1383	14.0887	13.613499999999998
TCGA-78-7161-01	12.3959	12.2616	12.32875
TCGA-05-4427-01	12.5083	13.2546	12.881450000000001
TCGA-97-A4M2-01	11.6955	12.6453	12.1704
TCGA-50-5068-01	13.2199	13.7123	13.4661
TCGA-44-6148-01	12.8762	11.9937	12.43495
TCGA-78-7536-01	12.2205	13.2286	12.72455
TCGA-50-5044-01	10.2587	10.4577	10.3582
TCGA-55-A48X-01	13.6229	13.7898	13.70635
TCGA-55-A494-01	12.0747	14.8775	13.476099999999999
TCGA-91-A4BC-01	6.9958	11.4798	9.2378
TCGA-55-6986-01	12.2098	13.3351	12.77245
TCGA-44-2657-01	12.9236	13.965	13.4443
TCGA-49-6767-01	15.4511	14.9288	15.18995
TCGA-67-6216-01	13.6824	13.0958	13.3891
TCGA-50-5930-01	13.2571	12.7199	12.9885
TCGA-97-8552-01	12.6955	13.4122	13.05385
TCGA-86-8281-01	12.4797	12.7703	12.625
TCGA-95-8039-01	13.9826	13.4214	13.702
TCGA-55-8204-01	14.4312	12.1725	13.30185
TCGA-64-5781-01	13.8567	12.9169	13.386800000000001
TCGA-NJ-A4YI-01	12.6503	13.6556	13.15295
TCGA-L9-A444-01	12.1473	13.5689	12.8581
TCGA-MP-A4SV-01	12.6984	13.4504	13.0744
TCGA-55-8090-01	13.3182	13.9407	13.629449999999999
TCGA-95-7944-01	12.0421	7.7218	9.88195
TCGA-NJ-A4YG-01	12.6649	13.5031	13.084
TCGA-91-6830-01	12.3648	13.2094	12.7871
TCGA-75-7030-01	13.3062	12.5374	12.921800000000001
TCGA-55-8512-01	13.7599	13.4602	13.610050000000001
TCGA-44-6777-01	11.8994	12.4753	12.18735
TCGA-55-6985-01	13.3487	14.2372	13.79295
TCGA-MP-A4TE-01	11.5357	13.4219	12.4788
TCGA-L4-A4E5-01	13.3642	14.1803	13.77225
TCGA-55-6969-01	10.6259	12.4594	11.54265
TCGA-55-7815-01	12.0609	9.6647	10.8628
TCGA-05-4390-01	12.1225	13.6111	12.866800000000001
TCGA-78-7537-01	12.3076	12.2184	12.263000000000002
TCGA-55-7284-01	12.6749	13.2588	12.96685
TCGA-55-8614-01	14.2819	12.7772	13.52955
TCGA-75-5126-01	13.1871	13.7678	13.47745
TCGA-95-7043-01	8.9161	13.2802	11.09815
TCGA-L9-A8F4-01	13.7954	13.3988	13.597100000000001
TCGA-44-7670-01	12.0369	13.4328	12.73485
TCGA-95-7039-01	14.007	14.7622	14.384599999999999
TCGA-MP-A4TI-01	13.0249	12.4394	12.73215
TCGA-44-2665-01	12.175	12.3185	12.24675
TCGA-05-4395-01	13.8468	13.7728	13.8098
TCGA-O1-A52J-01	11.3154	13.2514	12.2834
TCGA-55-5899-01	8.512	12.7733	10.64265
TCGA-55-7728-01	13.1409	12.821	12.98095
TCGA-99-7458-01	13.3535	13.0088	13.18115
TCGA-97-A4M0-01	12.4862	12.9874	12.736799999999999
TCGA-91-6848-01	8.8161	7.0946	7.95535
TCGA-50-5055-01	12.8974	12.7665	12.831949999999999
TCGA-44-7671-01	12.0074	12.6456	12.3265
TCGA-05-5423-01	12.5293	14.1244	13.32685
TCGA-55-8619-01	13.2205	13.0374	13.12895
TCGA-64-1680-01	12.8236	14.2411	13.532350000000001
TCGA-49-AAR3-01	12.9068	12.7714	12.8391
TCGA-55-8514-01	12.5291	14.4052	13.46715
TCGA-91-8497-01	11.1569	12.6068	11.88185
TCGA-49-AAR9-01	13.7995	14.4641	14.1318
