nhood	n_cells	n_TNK	n_epithelial	n_malignant_like	frac_TNK	frac_epithelial	mean_TACSTD2_log1p_all	mean_TACSTD2_log1p_epi	mean_TACSTD2_log1p_tnk	index_lineage	index_cell	kth_distance	embedding	n_cells_da	n_samples_nonzero	testable	logFC	logCPM	F	PValue	FDR_BH	SpatialFDR	dispersion	ql_dispersion	ref_level	alt_level	n_samples	n_ref	n_alt	is_interface	tacstd2_high_epi_nhood	tnk_depleted_nhood	kept_composition	kept_da_enriched	tnk_rich_depleted_in_alt	keep_reason	contrast	epi_tacstd2_threshold	tnk_depleted_threshold
5002	58	0	58	33	0.0	1.0	2.6005134149435922	2.6005134149435922		epithelial	BD_immune07_824866	7.994899749755859	harmony	58.0	4	True	5.663314570745904	3.717765390336902	8.166293171394818	0.021227198809466725	0.4212658799829842	0.4519194453252452	0.40018560604904085	3.2614367327677423	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5003	62	1	60	46	0.016129032258064516	0.967741935483871	1.9576984344763326	2.022955048958877	0.0	epithelial	BD_immune07_52543	7.256279468536377	harmony	62.0	7	True	3.5728230929767304	6.541524974903791	11.224507074001627	0.010075815233358926	0.4212658799829842	0.4519194453252452	0.22846092330437168	2.2226414136252584	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5004	65	0	65	43	0.0	1.0	2.153059701821976	2.153059701821976		epithelial	BD_immune07_244816	6.818977355957031	harmony	65.0	4	True	4.797029395443147	3.8324608582927917	6.518266031014085	0.03401074152719183	0.4212658799829842	0.4519194453252452	0.44928544230836165	3.5258683075550437	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5005	88	0	87	49	0.0	0.9886363636363636	2.630636171576029	2.6449389510065595		epithelial	BD_immune07_805842	5.801721096038818	harmony	88.0	5	True	3.4586757511045523	4.961844038279006	4.0941297695453205	0.07764863653341648	0.4471302579738815	0.4736684707105711	0.4691300314628409	4.23026533018942	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5006	66	0	66	49	0.0	1.0	1.9415027790216433	1.9415027790216433		epithelial	BD_immune07_502051	6.891067028045654	harmony	66.0	6	True	3.1930600054899756	5.313340710338663	3.673222189881538	0.0915994320536101	0.4593982988080675	0.4868464940914512	0.520645708231664	3.555783033259832	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5007	67	0	67	41	0.0	1.0	3.3881605547225364	3.3881605547225364		epithelial	BD_immune07_591743	7.5563178062438965	harmony	67.0	5	True	3.586039287883873	4.921295184051875	6.9827632455746755	0.029598641547481326	0.4212658799829842	0.4519194453252452	0.26796550041776834	3.3496556652050637	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5008	76	0	75	49	0.0	0.9868421052631579	2.4754436267759234	2.4899656169846702		epithelial	BD_immune07_616381	6.830951690673828	harmony	76.0	6	True	2.695535764706248	5.698797445011004	3.0322626349311803	0.11980025188768699	0.49686023526180934	0.5229501654603242	0.47082992842098365	3.7853301816129337	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5009	34	0	34	23	0.0	1.0	3.1951658442974087	3.1951658442974087		epithelial	BD_immune07_419657	10.895442962646484	harmony	34.0	1	False		1.1964449046900658					0.4178093030761775	3.3539733354208234	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5010	59	0	58	35	0.0	0.9830508474576272	3.095688275027186	3.137111397345587		epithelial	BD_immune07_837243	8.211977005004883	harmony	59.0	4	True	3.606795261548929	3.878597912836254	5.19440164918975	0.05214265218611075	0.42728557935689576	0.4591201085981075	0.4329837190957914	3.179585382904457	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5011	66	1	65	44	0.015151515151515152	0.9848484848484849	2.278183286317859	2.3132322599535184	0.0	epithelial	BD_immune07_8309	7.75888204574585	harmony	66.0	6	True	2.7323708741380175	5.547633493010865	3.542757321360638	0.09657496715240749	0.468236855528216	0.4956892468804297	0.3236374548228843	3.974963595162274	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5012	74	0	74	49	0.0	1.0	2.9675340072259333	2.9675340072259333		epithelial	BD_immune07_167556	7.560142993927002	harmony	74.0	5	True	3.596554495391394	4.464592244438612	4.130189491662742	0.07658504368246141	0.4471302579738815	0.4736684707105711	0.5772607200594796	3.567965202953548	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5013	102	0	61	0	0.0	0.5980392156862745	1.1698498189153965	1.2559226299443589		epithelial	BD_immune07_398201	6.675967216491699	harmony	86.0	6	True	1.7369003368989093	5.814239443233965	1.6305705189194644	0.23743822145795518	0.642030812582285	0.6637438902957763	0.5748780711328705	2.906821667528389	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
