n_set	n_measured	n_missing	mean_log2FC	median_log2FC	n_pos	n_neg	sign_p	mw_p	ora_up_p	ora_down_p	direction	mapped_genes	missing_genes	source	contrast	set	family	set_source	nes	gsea_p	gsea_fdr
200	118	82	-0.108286	-0.0393668	50	68	0.117213	0.0170028	0.24062	0.0033697	down	STAT1,ISG15,IFIT1,IFI35,SEC14L2,EIF2AK2,IRF1,OAS3,TNFSF10,IFI44,BST2,SP110,IFI44L,IFITM3,LGALS3BP,PML,IFIH1,UBE2L6,ADAR,STAT2,TRIM21,USP18,DDX58,NMI,PSMB10,ITGB7,SAMHD1,HERC6,PTPN2,PARP14,TNFAIP2,IFITM2,PLSCR1,ICAM1,WARS,PSME1,ISG20,IRF2,TRIM14,FCGR1A,SOCS3,JAK2,PARP12,CD274,NAMPT,SEPP1,HELZ2,PSME2,RNF31,SOD2,TRIM25,LAP3,PSMA3,RNF213,PELI1,TXNIP,GCH1,PNP,PTPN6,SPPL2A,IL4R,PNPT1,BTG1,CASP8,IFI30,CASP7,IL15RA,TRAFD1,HLA-DRB1,MT2A,RIPK1,TDRD7,HIF1A,EIF4E3,VAMP8,PFKP,BANK1,TOR1B,RBCK1,IL7,BPGM,CMTR1,AUTS2,RIPK2,MYD88,PSMA2,PIM1,NOD1,SLC25A28,PTPN1,TNFAIP3,SSPN,NUP93,MTHFD2,CDKN1A,NFKB1,LATS2,IRF5,ISOC1,STAT3,NCOA3,IFNAR2,RAPGEF6,CASP4,FAS,OGFR,ARL4A,SRI,LYSMD2,ST3GAL5,CASP3,NFKBIA,METTL7B,ST8SIA4,VAMP5,IL18BP,ZNFX1,ARID5B	MX1,IFIT3,IRF7,IFIT2,OAS2,RSAD2,MX2,IRF9,CXCL10,XAF1,OASL,PSMB8,DDX60,GBP4,IRF8,PSMB9,IFI27,LY6E,CXCL9,IL10RA,PLA2G4A,PTGS2,EPSTI1,C1S,IL15,NLRC5,IDO1,CXCL11,CMPK2,SAMD9L,RTP4,SOCS1,CASP1,MARCHF1,HLA-DMA,TNFAIP6,TRIM26,VCAM1,CIITA,GPR18	cufflinks_group_mean_FPKM	mean	hallmark_IFNg_2023.1	sting_ifn	MSigDB 2023.1	-1.57712	0.002997	0.0111317
150	135	15	-0.00235928	0.0323411	76	59	0.168259	0.597659	0.999399	0.99627	mixed_or_flat	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,GTF2B,POLR1D,NCBP2,GTF2F1,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,TCEB3,TAF12,NELFCD,TAF13,TAF6,GTF2A2,VPS37D,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,GTF2H1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,NUDT9,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,GPX4,MPC2,ALYREF,MRPL40,NPRL2,REV3L,EDF1,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CCNO	POLR3C,NELFE,ERCC5,TAF9,NME1,POLR1H,PDE4B,AK1,HCLS1,ZNF707,PDE6G,BOLA2,CDA,GSDME,CMPK2	cufflinks_group_mean_FPKM	mean	hallmark_DNA_REPAIR_2023.1	damage	MSigDB 2023.1	-0.648663	0.584416	0.649351
97	63	34	-0.152852	-0.0800723	22	41	0.022575	0.00903817	0.557758	0.0131948	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	mean	hallmark_IFNa_2023.2	sting_ifn	MSigDB 2023.2	-1.62163	0.001998	0.0111317
200	118	82	-0.108286	-0.0393668	50	68	0.117213	0.0170028	0.24062	0.0033697	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,METTL7B,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	mean	hallmark_IFNg_2023.2	sting_ifn	MSigDB 2023.2	-1.58701	0.001998	0.0111317
150	135	15	-0.00235928	0.0323411	76	59	0.168259	0.597659	0.999399	0.99627	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	mean	hallmark_DNA_REPAIR_2023.2	damage	MSigDB 2023.2	-0.660093	0.601399	0.649351
97	63	34	-0.152852	-0.0800723	22	41	0.022575	0.00903817	0.557758	0.0131948	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	mean	hallmark_IFNa_2024.1	sting_ifn	MSigDB 2024.1	-1.65519	0.002997	0.0111317
200	118	82	-0.108286	-0.0393668	50	68	0.117213	0.0170028	0.24062	0.0033697	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,METTL7B,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	mean	hallmark_IFNg_2024.1	sting_ifn	MSigDB 2024.1	-1.57823	0.002997	0.0111317
150	135	15	-0.00235928	0.0323411	76	59	0.168259	0.597659	0.999399	0.99627	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	mean	hallmark_DNA_REPAIR_2024.1	damage	MSigDB 2024.1	-0.655945	0.624376	0.649351
97	63	34	-0.152852	-0.0800723	22	41	0.022575	0.00903817	0.557758	0.0131948	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	mean	hallmark_IFNa_2025.1	sting_ifn	MSigDB 2025.1	-1.64937	0.003996	0.011544
200	118	82	-0.108286	-0.0393668	50	68	0.117213	0.0170028	0.24062	0.0033697	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,DDX58,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,METTL7B,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	mean	hallmark_IFNg_2025.1	sting_ifn	MSigDB 2025.1	-1.56957	0.003996	0.011544
150	135	15	-0.00235928	0.0323411	76	59	0.168259	0.597659	0.999399	0.99627	mixed_or_flat	AAAS,ADA,ADCY6,ADRM1,AGO4,AK3,ALYREF,APRT,ARL6IP1,BCAM,BCAP31,BRF2,CANT1,CCNO,CETN2,CLP1,COX17,CSTF3,DAD1,DCTN4,DDB1,DDB2,DGCR8,DGUOK,DUT,EDF1,EIF1B,ELL,TCEB3,ERCC1,ERCC2,ERCC3,ERCC4,ERCC8,FEN1,GMPR2,GPX4,GTF2A2,GTF2B,GTF2F1,GTF2H1,GTF2H3,GTF2H5,GTF3C5,GUK1,HPRT1,IMPDH2,ITPA,LIG1,MPC2,MPG,MRPL40,NCBP2,NELFB,NELFCD,NFX1,NME3,NME4,NPRL2,NT5C,NT5C3A,NUDT21,NUDT9,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLD4,POLE4,POLH,POLL,POLR1C,POLR1D,POLR2A,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR3GL,POM121,PRIM1,RAD51,RAD52,RAE1,RALA,RBX1,REV3L,RFC2,RFC3,RFC4,RFC5,RNMT,RPA2,RPA3,RRM2B,SAC3D1,SDCBP,SEC61A1,SF3A3,SMAD5,SNAPC4,SNAPC5,SRSF6,SSRP1,STX3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF1C,TAF6,TARBP2,TK2,TMED2,TP53,TSG101,TYMS,UMPS,UPF3B,USP11,VPS28,VPS37B,VPS37D,XPC,ZWINT	AK1,BOLA2,CDA,CMPK2,ERCC5,GSDME,HCLS1,NELFE,NME1,PDE4B,PDE6G,POLR1H,POLR3C,TAF9,ZNF707	cufflinks_group_mean_FPKM	mean	hallmark_DNA_REPAIR_2025.1	damage	MSigDB 2025.1	-0.656048	0.65035	0.65035
51	43	8	0.0345754	0.0288551	24	19	0.542384	0.517239	0.882026	0.999287	sign_up_below_bar	FAM175A,ARTN,ATM,BABAM1,BRE,BARD1,BRCA1,DEPDC1B,DCLRE1C,H2AFX,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BN,HIST2H2BE,HIST3H2BB,HIST1H2BB,HIST1H2BC,HIST1H2BD,HERC2,KAT5,LIG4,LRIF1,MRE11A,NHEJ1,WHSC1,PAXIP1,PIAS4,POLL,POLM,PRKDC,RAD50,RNF168,RNF8,TDP1,TDP2,TP53BP1,UBE2N,UBE2V2,UIMC1,XRCC4,XRCC5,XRCC6	H2BC1,H2BC12L,H2BC14,H2BC17,H2BC9,H3-4,H4C15,MDC1	cufflinks_group_mean_FPKM	mean	reactome_NHEJ	nhej	Enrichr Reactome_2022	0.795482	0.356643	0.441558
12	12	0	0.0722663	0.0595006	9	3	0.145996	0.26361	0.529567	1	sign_up_below_bar	ARTN,BRCA2,FEN1,LRIG3,MRE11A,PARP1,PARP2,POLK,RAD50,RAD52,RBBP8,XRCC1		cufflinks_group_mean_FPKM	mean	reactome_altNHEJ_MMEJ	damage	Enrichr Reactome_2022	0.928924	0.253746	0.388083
16	9	7	0.0383176	0.0335653	7	2	0.179688	0.572876	1	1	sign_up_below_bar	MB21D1,DTX4,IRF3,MRE11A,PRKDC,TBK1,TRIM21,XRCC5,XRCC6	DDX41,IFI16,NLRC3,NLRP4,STAT6,STING1,TREX1	cufflinks_group_mean_FPKM	mean	reactome_STING	sting_ifn	Enrichr Reactome_2022	0.656902	0.416583	0.492326
15	9	6	-0.0452076	0.00636317	5	4	1	0.708921	1	0.780026	mixed_or_flat	DTX4,IRF3,RPS27A,TBK1,TRIM21,TRIM32,TRIM56,UBB,UBC	DDX41,NLRP4,STING1,TREX1,UBA52,ZBP1	cufflinks_group_mean_FPKM	mean	reactome_cytosolic_DNA	sting_ifn	Enrichr Reactome_2022	-0.899083	0.281718	0.406926
72	38	34	-0.241749	-0.127531	13	25	0.0729514	0.00216391	0.92428	0.00340121	down	ABCE1,ADAR,BST2,GBP2,HLA-C,HOXC13,IFI35,IFI6,IFIT1,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IP6K2,IRF1,IRF2,IRF3,IRF5,IRF6,ISG15,ISG20,JAK1,KPNA1,KPNB1,OAS1,OAS3,PTPN1,PTPN11,PTPN6,RNASEL,SAMHD1,SOCS3,STAT1,STAT2,TYK2,USP18	EGR1,HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,IFI27,IFIT2,IFIT3,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IRF4,IRF7,IRF8,IRF9,MX1,MX2,OAS2,OASL,PSMB8,RSAD2,SOCS1,XAF1	cufflinks_group_mean_FPKM	mean	reactome_IFNab	sting_ifn	Enrichr Reactome_2022	-1.9166	0.000999001	0.0111317
89	47	42	-0.0848754	-0.0604796	20	27	0.381693	0.115935	0.223072	0.0504773	sign_down_below_bar	BCL11B,CAMK2B,CAMK2D,CAMK2G,CD44,FCGR1A,GBP2,HLA-C,HLA-DRB1,HLA-DRB5,ICAM1,IFI30,IFNGR1,IRF1,IRF2,IRF3,IRF5,IRF6,JAK1,JAK2,MT2A,NCAM1,OAS1,OAS3,PIAS1,PML,PRKCD,PTPN1,PTPN11,PTPN2,PTPN6,SMAD7,SOCS3,STAT1,SUMO1,TRIM14,TRIM2,TRIM21,TRIM25,TRIM35,TRIM38,TRIM45,TRIM5,TRIM6-TRIM34,TRIM62,TRIM68,TRIM8	B2M,CAMK2A,CIITA,GBP1,GBP4,GBP5,GBP6,GBP7,HLA-A,HLA-B,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,IFNG,IFNGR2,IRF4,IRF7,IRF8,IRF9,MID1,OAS2,OASL,PTAFR,SOCS1,SP100,TRIM10,TRIM17,TRIM22,TRIM26,TRIM29,TRIM3,TRIM31,TRIM46	cufflinks_group_mean_FPKM	mean	reactome_IFNg	sting_ifn	Enrichr Reactome_2022	-1.26332	0.0769231	0.153846
200	131	69	-0.0386253	-0.00060559	64	67	0.861369	0.527862	0.613307	0.467785	sign_down_below_bar	AAAS,ABCE1,ADAR,ARIH1,BCL11B,BST2,CAMK2B,CAMK2D,CAMK2G,CD44,EIF2AK2,EIF4A2,EIF4A3,EIF4E,EIF4E2,EIF4E3,EIF4G1,EIF4G2,EIF4G3,FCGR1A,FLNA,FLNB,GBP2,GNL3,HERC5,HLA-C,HLA-DRB1,HLA-DRB5,HOXC13,ICAM1,IFI30,IFI35,IFI6,IFIT1,IFIT5,IFITM1,IFITM2,IFITM3,IFNAR1,IFNAR2,IFNGR1,IP6K2,IRF1,IRF2,IRF3,IRF5,IRF6,ISG15,ISG20,JAK1,JAK2,KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA6,KPNB1,MAPK3,MT2A,NCAM1,NDC1,NEDD4,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUPL2,NUP43,NUP50,NUP54,NUPL1,NUP62,NUP85,NUP88,NUP93,NUP98,OAS1,OAS3,PDE12,PDZD2,PIAS1,PLCG1,PML,POM121,POM121C,PPM1B,PRKCD,PTPN1,PTPN11,PTPN2,PTPN6,RANBP2,DDX58,RNASEL,RPS27A,SAMHD1,SEC13,SEH1L,SMAD7,SOCS3,STAT1,STAT2,SUMO1,TPR,TRIM14,TRIM2,TRIM21,TRIM25,TRIM35,TRIM38,TRIM45,TRIM5,TRIM6-TRIM34,TRIM62,TRIM68,TRIM8,TYK2,UBB,UBC,UBE2E1,UBE2L6,UBE2N,USP18	B2M,CAMK2A,CIITA,EGR1,EIF4A1,GBP1,GBP4,GBP5,GBP6,GBP7,HLA-A,HLA-B,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB2,HLA-DRA,HLA-DRB3,HLA-DRB4,HLA-E,HLA-F,HLA-G,IFI27,IFIT2,IFIT3,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNG,IFNGR2	cufflinks_group_mean_FPKM	mean	reactome_IFN_signaling	sting_ifn	Enrichr Reactome_2022	-1.16714	0.103896	0.19295
61	50	11	0.0489191	0.0320439	31	19	0.11892	0.24463	0.739951	0.999781	sign_up_below_bar	ABL1,FAM175A,ARTN,ATM,BABAM1,BRE,BARD1,BAZ1B,BRCA1,DEPDC1B,CHEK2,CNKSR3,EYA2,EYA3,EYA4,H2AFX,HIST1H2BJ,HIST1H2BK,HIST1H2BL,HIST1H2BN,HIST2H2BE,HIST3H2BB,HIST1H2BB,HIST1H2BC,HIST1H2BD,HERC2,KAT5,KDM4A,KDM4B,KPNA2,MAPK8,MRE11A,WHSC1,PIAS4,PPP5C,RAD50,RNF168,RNF8,RPS27A,SMARCA5,SUMO1,TP53,TP53BP1,UBB,UBC,UBE2I,UBE2N,UBE2V2,UBXN1,UIMC1	APBB1,EYA1,H2BC1,H2BC12L,H2BC14,H2BC17,H2BC9,H3-4,H4C15,MDC1,UBA52	cufflinks_group_mean_FPKM	mean	reactome_DSB_response	damage	Enrichr Reactome_2022	0.93795	0.246753	0.388083
13	6	7	0.0295835	0.0211075	5	1	0.21875	0.728935	1	1	sign_up_below_bar	MB21D1,DTX4,IRF3,MRE11A,TBK1,TRIM21	DDX41,IFI16,NLRC3,NLRP4,STAT6,STING1,TREX1	cufflinks_group_mean_FPKM	mean	reactome_STING_drop_NHEJ_genes	sting_ifn	Reactome STING minus PRKDC/XRCC5/XRCC6			
