gene	T47D	MCF7
KLK15	overlap	overlap
KLK2	both_KO_above_both_WT	overlap
KLK3	overlap	overlap
KLK4	both_KO_above_both_WT	both_KO_below_both_WT
KLK5	overlap	both_KO_above_both_WT
KLK6	overlap	both_KO_below_both_WT
KLK7	overlap	overlap
KLK8	overlap	overlap
KLK9	overlap	overlap
KLKB1	overlap	overlap
KLKP1	overlap	overlap
KLLN	both_KO_above_both_WT	overlap
KLRA1P	both_KO_above_both_WT	both_KO_below_both_WT
KLRB1	overlap	both_KO_below_both_WT
KLRC1	overlap	both_KO_above_both_WT
KLRC2	overlap	overlap
KLRC3	overlap	overlap
KLRC4	overlap	overlap
KLRC4-KLRK1	overlap	overlap
KLRD1	both_KO_above_both_WT	both_KO_below_both_WT
KLRF1	overlap	overlap
KLRF2	overlap	overlap
KLRG1	both_KO_below_both_WT	both_KO_above_both_WT
KLRG2	both_KO_below_both_WT	both_KO_below_both_WT
KLRK1	overlap	overlap
KMO	both_KO_below_both_WT	overlap
KMT2A	overlap	overlap
KMT2B	both_KO_below_both_WT	both_KO_above_both_WT
KMT2C	both_KO_below_both_WT	both_KO_below_both_WT
KMT2D	overlap	overlap
KMT2E	both_KO_below_both_WT	both_KO_above_both_WT
KMT5A	both_KO_above_both_WT	both_KO_below_both_WT
KMT5B	overlap	both_KO_below_both_WT
KMT5C	both_KO_below_both_WT	overlap
KNCN	overlap	overlap
KNDC1	overlap	both_KO_above_both_WT
KNG1	both_KO_above_both_WT	overlap
KNL1	overlap	both_KO_below_both_WT
KNOP1	both_KO_below_both_WT	both_KO_above_both_WT
KNOP1P1	overlap	overlap
KNOP1P2	both_KO_above_both_WT	overlap
KNOP1P3	overlap	overlap
KNOP1P4	overlap	overlap
KNOP1P5	overlap	both_KO_above_both_WT
KNSTRN	both_KO_above_both_WT	both_KO_above_both_WT
KNTC1	both_KO_below_both_WT	both_KO_above_both_WT
KP420437.1	overlap	overlap
KP420437.2	overlap	overlap
KP420437.3	overlap	overlap
KP420439.1	overlap	overlap
KP420440.1	overlap	overlap
KP420440.2	overlap	overlap
KP420440.3	overlap	overlap
KP420440.4	overlap	overlap
KP420440.5	overlap	overlap
KP420440.6	overlap	overlap
KP420440.7	overlap	overlap
KP420440.8	overlap	overlap
KP420440.9	overlap	overlap
KP420441.1	overlap	overlap
KP420441.2	overlap	overlap
KP420441.3	overlap	overlap
KP420441.4	overlap	overlap
KP420441.5	overlap	overlap
KP420442.2	overlap	overlap
KP420442.3	overlap	overlap
KP420443.1	overlap	overlap
KP420444.1	overlap	overlap
KP420444.2	overlap	overlap
KP420444.3	overlap	overlap
KP420444.4	overlap	overlap
KP420444.5	overlap	overlap
KP420444.6	overlap	overlap
KP420444.7	overlap	overlap
KP420446.1	overlap	overlap
KP420446.2	overlap	overlap
KPNA1	both_KO_above_both_WT	both_KO_below_both_WT
KPNA2	both_KO_above_both_WT	overlap
KPNA2P1	overlap	both_KO_above_both_WT
KPNA2P2	overlap	both_KO_below_both_WT
KPNA2P3	both_KO_below_both_WT	overlap
KPNA3	both_KO_above_both_WT	both_KO_below_both_WT
KPNA4	both_KO_below_both_WT	both_KO_below_both_WT
KPNA5	both_KO_above_both_WT	both_KO_above_both_WT
KPNA6	overlap	both_KO_above_both_WT
KPNA7	overlap	overlap
KPNB1	both_KO_above_both_WT	both_KO_above_both_WT
KPRP	overlap	overlap
KPTN	both_KO_below_both_WT	overlap
KRAS	both_KO_above_both_WT	both_KO_below_both_WT
KRASP1	overlap	overlap
KRBA1	overlap	both_KO_above_both_WT
KRBA2	both_KO_below_both_WT	overlap
KRBOX1	overlap	overlap
KRBOX4	both_KO_above_both_WT	both_KO_above_both_WT
KRCC1	both_KO_below_both_WT	both_KO_below_both_WT
KREMEN1	both_KO_below_both_WT	both_KO_above_both_WT
KREMEN2	both_KO_below_both_WT	overlap
KRI1	overlap	both_KO_below_both_WT
KRIT1	both_KO_below_both_WT	both_KO_below_both_WT
KRR1	both_KO_above_both_WT	both_KO_above_both_WT
KRR1P1	overlap	overlap
KRT1	overlap	overlap
KRT10	both_KO_above_both_WT	both_KO_above_both_WT
KRT12	both_KO_below_both_WT	overlap
KRT125P	overlap	overlap
KRT126P	overlap	overlap
KRT127P	overlap	overlap
KRT128P	overlap	overlap
KRT13	both_KO_below_both_WT	both_KO_below_both_WT
KRT14	overlap	both_KO_below_both_WT
KRT15	both_KO_below_both_WT	both_KO_above_both_WT
KRT16	overlap	both_KO_above_both_WT
KRT16P1	overlap	overlap
KRT16P2	overlap	overlap
KRT16P3	overlap	overlap
KRT16P4	overlap	overlap
KRT16P5	overlap	overlap
KRT16P6	overlap	overlap
KRT17	overlap	both_KO_above_both_WT
KRT17P1	overlap	overlap
KRT17P2	overlap	overlap
KRT17P3	overlap	overlap
KRT17P4	overlap	overlap
KRT17P5	overlap	overlap
KRT17P6	overlap	overlap
KRT17P7	overlap	overlap
KRT17P8	overlap	overlap
KRT18	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P1	overlap	overlap
KRT18P10	overlap	both_KO_below_both_WT
KRT18P11	overlap	both_KO_below_both_WT
KRT18P12	both_KO_above_both_WT	overlap
KRT18P13	overlap	both_KO_below_both_WT
KRT18P14	overlap	both_KO_below_both_WT
KRT18P15	overlap	both_KO_below_both_WT
KRT18P16	overlap	overlap
KRT18P17	overlap	both_KO_below_both_WT
KRT18P18	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P19	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P2	overlap	both_KO_below_both_WT
KRT18P20	overlap	both_KO_below_both_WT
KRT18P21	both_KO_above_both_WT	overlap
KRT18P22	overlap	both_KO_below_both_WT
KRT18P23	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P24	overlap	overlap
KRT18P25	overlap	both_KO_above_both_WT
KRT18P26	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P27	overlap	overlap
KRT18P28	overlap	both_KO_below_both_WT
KRT18P29	overlap	overlap
KRT18P3	both_KO_below_both_WT	both_KO_below_both_WT
KRT18P31	overlap	overlap
KRT18P32	overlap	both_KO_above_both_WT
KRT18P33	both_KO_below_both_WT	both_KO_below_both_WT
KRT18P34	overlap	both_KO_below_both_WT
KRT18P35	both_KO_above_both_WT	overlap
KRT18P36	overlap	both_KO_below_both_WT
KRT18P37	overlap	both_KO_below_both_WT
KRT18P38	overlap	both_KO_below_both_WT
KRT18P39	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P4	overlap	overlap
KRT18P40	overlap	both_KO_below_both_WT
KRT18P41	overlap	overlap
KRT18P42	overlap	overlap
KRT18P43	overlap	both_KO_below_both_WT
KRT18P44	overlap	both_KO_below_both_WT
KRT18P45	overlap	overlap
KRT18P46	overlap	both_KO_above_both_WT
KRT18P47	overlap	overlap
KRT18P48	overlap	both_KO_below_both_WT
KRT18P49	overlap	overlap
KRT18P5	overlap	overlap
KRT18P50	overlap	overlap
KRT18P51	both_KO_below_both_WT	overlap
KRT18P52	overlap	overlap
KRT18P53	overlap	overlap
KRT18P54	overlap	overlap
KRT18P55	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P56	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P57	both_KO_above_both_WT	overlap
KRT18P58	overlap	both_KO_above_both_WT
KRT18P59	overlap	overlap
KRT18P6	overlap	overlap
KRT18P60	overlap	overlap
KRT18P61	overlap	overlap
KRT18P62	overlap	both_KO_below_both_WT
KRT18P63	overlap	both_KO_below_both_WT
KRT18P64	overlap	overlap
KRT18P65	both_KO_above_both_WT	overlap
KRT18P66	overlap	overlap
KRT18P67	overlap	overlap
KRT18P68	both_KO_below_both_WT	overlap
KRT18P7	both_KO_above_both_WT	both_KO_below_both_WT
KRT18P8	overlap	both_KO_below_both_WT
KRT18P9	overlap	both_KO_below_both_WT
KRT19	both_KO_below_both_WT	both_KO_above_both_WT
KRT19P1	overlap	both_KO_above_both_WT
KRT19P2	overlap	overlap
KRT19P3	overlap	overlap
KRT19P4	overlap	overlap
KRT19P6	overlap	overlap
KRT2	overlap	both_KO_below_both_WT
KRT20	overlap	overlap
KRT222	overlap	overlap
KRT223P	overlap	overlap
KRT23	overlap	overlap
KRT24	both_KO_above_both_WT	both_KO_below_both_WT
KRT25	overlap	overlap
KRT26	overlap	overlap
KRT27	overlap	overlap
KRT28	overlap	overlap
KRT3	both_KO_above_both_WT	overlap
KRT31	overlap	overlap
KRT32	both_KO_below_both_WT	both_KO_below_both_WT
KRT33A	overlap	overlap
KRT33B	overlap	overlap
KRT34	overlap	overlap
KRT35	overlap	overlap
KRT36	overlap	overlap
KRT37	overlap	both_KO_below_both_WT
KRT38	overlap	overlap
KRT39	overlap	overlap
KRT4	overlap	overlap
KRT40	overlap	overlap
KRT41P	overlap	overlap
KRT42P	overlap	overlap
KRT43P	overlap	overlap
KRT5	overlap	overlap
KRT6A	overlap	overlap
KRT6B	overlap	overlap
KRT6C	overlap	overlap
KRT7	both_KO_below_both_WT	both_KO_below_both_WT
KRT71	overlap	both_KO_below_both_WT
KRT72	overlap	overlap
KRT73	overlap	overlap
KRT74	overlap	overlap
KRT75	overlap	overlap
KRT76	overlap	overlap
KRT77	both_KO_above_both_WT	overlap
KRT78	overlap	overlap
KRT79	overlap	overlap
KRT8	both_KO_above_both_WT	both_KO_below_both_WT
KRT80	both_KO_below_both_WT	both_KO_below_both_WT
KRT81	both_KO_below_both_WT	both_KO_below_both_WT
KRT82	overlap	overlap
KRT83	overlap	both_KO_below_both_WT
KRT84	both_KO_below_both_WT	both_KO_below_both_WT
KRT85	overlap	overlap
KRT86	both_KO_below_both_WT	both_KO_below_both_WT
KRT87P	overlap	both_KO_below_both_WT
KRT89P	overlap	both_KO_below_both_WT
KRT8P1	overlap	overlap
KRT8P10	overlap	overlap
KRT8P11	overlap	overlap
KRT8P12	overlap	both_KO_above_both_WT
KRT8P13	overlap	both_KO_above_both_WT
KRT8P14	overlap	both_KO_below_both_WT
KRT8P15	overlap	overlap
KRT8P17	overlap	overlap
KRT8P18	overlap	overlap
KRT8P19	overlap	overlap
KRT8P2	overlap	overlap
KRT8P20	both_KO_above_both_WT	overlap
KRT8P21	both_KO_below_both_WT	overlap
KRT8P22	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P23	overlap	overlap
KRT8P24	overlap	both_KO_below_both_WT
KRT8P25	overlap	overlap
KRT8P26	overlap	overlap
KRT8P27	overlap	overlap
KRT8P28	overlap	overlap
KRT8P29	overlap	overlap
KRT8P3	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P30	overlap	overlap
KRT8P31	both_KO_below_both_WT	both_KO_below_both_WT
KRT8P32	both_KO_below_both_WT	both_KO_above_both_WT
KRT8P33	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P34	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P35	overlap	both_KO_below_both_WT
KRT8P36	both_KO_above_both_WT	overlap
KRT8P37	both_KO_below_both_WT	both_KO_below_both_WT
KRT8P38	overlap	overlap
KRT8P39	overlap	overlap
KRT8P4	overlap	overlap
KRT8P40	both_KO_below_both_WT	overlap
KRT8P41	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P42	overlap	both_KO_above_both_WT
KRT8P43	overlap	overlap
KRT8P44	overlap	both_KO_above_both_WT
KRT8P45	overlap	overlap
KRT8P46	both_KO_above_both_WT	overlap
KRT8P47	overlap	both_KO_above_both_WT
KRT8P48	both_KO_below_both_WT	both_KO_below_both_WT
KRT8P49	overlap	overlap
KRT8P5	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P50	both_KO_above_both_WT	overlap
KRT8P51	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P6	overlap	overlap
KRT8P7	both_KO_above_both_WT	both_KO_below_both_WT
KRT8P8	overlap	both_KO_below_both_WT
KRT8P9	overlap	both_KO_below_both_WT
KRT9	overlap	both_KO_below_both_WT
KRT90P	overlap	overlap
KRTAP1-1	overlap	overlap
KRTAP1-3	overlap	overlap
KRTAP1-4	overlap	overlap
KRTAP1-5	overlap	overlap
KRTAP10-1	overlap	overlap
KRTAP10-10	overlap	overlap
KRTAP10-11	overlap	overlap
KRTAP10-12	overlap	overlap
KRTAP10-13P	overlap	overlap
KRTAP10-2	overlap	overlap
KRTAP10-3	overlap	overlap
KRTAP10-4	overlap	overlap
KRTAP10-5	overlap	overlap
KRTAP10-6	overlap	overlap
KRTAP10-7	overlap	overlap
KRTAP10-8	overlap	overlap
KRTAP10-9	overlap	overlap
KRTAP11-1	overlap	overlap
KRTAP12-1	overlap	overlap
KRTAP12-2	overlap	overlap
KRTAP12-3	overlap	overlap
KRTAP12-4	overlap	overlap
KRTAP13-1	overlap	overlap
KRTAP13-2	overlap	overlap
KRTAP13-3	overlap	overlap
KRTAP13-4	overlap	overlap
KRTAP13-5P	overlap	overlap
KRTAP13-6P	overlap	overlap
KRTAP15-1	overlap	overlap
KRTAP16-1	overlap	overlap
KRTAP17-1	overlap	overlap
KRTAP19-1	overlap	overlap
KRTAP19-10P	overlap	overlap
KRTAP19-11P	overlap	overlap
KRTAP19-2	overlap	overlap
KRTAP19-3	overlap	overlap
KRTAP19-4	overlap	overlap
KRTAP19-5	overlap	overlap
KRTAP19-6	overlap	overlap
KRTAP19-7	overlap	overlap
KRTAP19-8	overlap	overlap
KRTAP19-9P	overlap	overlap
KRTAP2-1	overlap	overlap
KRTAP2-2	overlap	overlap
KRTAP2-3	overlap	overlap
KRTAP2-4	overlap	overlap
KRTAP2-5P	overlap	overlap
KRTAP20-1	overlap	overlap
KRTAP20-2	overlap	overlap
KRTAP20-3	overlap	overlap
KRTAP20-4	overlap	overlap
KRTAP21-1	overlap	overlap
KRTAP21-2	overlap	overlap
KRTAP21-3	overlap	overlap
KRTAP21-4P	overlap	overlap
KRTAP22-1	overlap	overlap
KRTAP22-2	overlap	overlap
KRTAP23-1	overlap	overlap
KRTAP24-1	overlap	overlap
KRTAP25-1	overlap	overlap
KRTAP26-1	overlap	overlap
KRTAP27-1	overlap	overlap
KRTAP29-1	overlap	overlap
KRTAP3-1	overlap	overlap
KRTAP3-2	overlap	overlap
KRTAP3-3	overlap	overlap
KRTAP3-4P	overlap	overlap
KRTAP4-1	overlap	overlap
KRTAP4-11	overlap	overlap
KRTAP4-12	overlap	overlap
KRTAP4-16	both_KO_above_both_WT	overlap
KRTAP4-2	overlap	overlap
KRTAP4-3	overlap	overlap
KRTAP4-4	overlap	overlap
KRTAP4-5	overlap	overlap
KRTAP4-6	overlap	overlap
KRTAP4-7	overlap	overlap
KRTAP4-8	overlap	overlap
KRTAP4-9	overlap	overlap
KRTAP5-1	both_KO_above_both_WT	overlap
KRTAP5-10	overlap	overlap
KRTAP5-11	overlap	overlap
KRTAP5-14P	overlap	overlap
KRTAP5-2	both_KO_below_both_WT	both_KO_below_both_WT
KRTAP5-3	overlap	overlap
KRTAP5-4	overlap	overlap
KRTAP5-5	overlap	overlap
KRTAP5-6	overlap	overlap
KRTAP5-7	overlap	overlap
KRTAP5-8	overlap	overlap
KRTAP5-9	overlap	overlap
KRTAP6-1	overlap	overlap
KRTAP6-2	overlap	overlap
KRTAP6-3	overlap	overlap
KRTAP7-1	overlap	overlap
KRTAP8-1	overlap	overlap
KRTAP8-2P	overlap	overlap
KRTAP8-3P	overlap	overlap
KRTAP9-1	overlap	overlap
KRTAP9-10P	overlap	overlap
KRTAP9-11P	overlap	overlap
KRTAP9-12P	overlap	overlap
KRTAP9-2	overlap	overlap
KRTAP9-3	overlap	overlap
KRTAP9-4	overlap	overlap
KRTAP9-6	overlap	overlap
KRTAP9-7	overlap	overlap
KRTAP9-8	overlap	overlap
KRTAP9-9	overlap	overlap
KRTCAP2	both_KO_above_both_WT	both_KO_above_both_WT
KRTCAP3	overlap	overlap
KRTDAP	overlap	overlap
KSR1	both_KO_above_both_WT	both_KO_above_both_WT
KSR1P1	overlap	overlap
KSR2	overlap	both_KO_above_both_WT
KTI12	overlap	overlap
KTN1	overlap	both_KO_below_both_WT
KU645196.1	overlap	overlap
KU645196.2	overlap	overlap
KU645196.3	overlap	overlap
KU645196.4	overlap	overlap
KU645196.5	overlap	overlap
KU645196.6	overlap	overlap
KU645196.7	overlap	overlap
KU645196.8	overlap	overlap
KU645196.9	overlap	overlap
KU645197.1	overlap	overlap
KU645197.2	overlap	overlap
KU645197.3	overlap	overlap
KU645197.4	overlap	overlap
KU645197.5	overlap	overlap
KU645198.1	overlap	overlap
KXD1	both_KO_above_both_WT	both_KO_above_both_WT
KY	overlap	overlap
KYAT1	both_KO_below_both_WT	both_KO_above_both_WT
KYAT3	both_KO_above_both_WT	both_KO_above_both_WT
KYNU	both_KO_below_both_WT	both_KO_below_both_WT
KYNUP1	overlap	overlap
KYNUP2	overlap	overlap
KYNUP3	overlap	overlap
L1CAM	both_KO_above_both_WT	both_KO_below_both_WT
L1TD1	both_KO_above_both_WT	overlap
L2HGDH	overlap	overlap
L34079.1	overlap	overlap
L3HYPDH	both_KO_below_both_WT	both_KO_above_both_WT
L3MBTL1	overlap	both_KO_above_both_WT
L3MBTL2	overlap	overlap
L3MBTL3	both_KO_above_both_WT	both_KO_above_both_WT
L3MBTL4	overlap	both_KO_below_both_WT
LACC1	both_KO_above_both_WT	both_KO_below_both_WT
LACRT	overlap	overlap
LACTB	both_KO_above_both_WT	both_KO_above_both_WT
LACTB2	both_KO_above_both_WT	overlap
LACTBL1	overlap	overlap
LAD1	overlap	both_KO_below_both_WT
LAG3	overlap	both_KO_below_both_WT
LAGE3	both_KO_below_both_WT	both_KO_above_both_WT
LAGE3P1	overlap	overlap
LAIR1	overlap	both_KO_above_both_WT
LAIR2	overlap	overlap
LALBA	both_KO_above_both_WT	overlap
LAMA1	overlap	overlap
LAMA2	overlap	both_KO_above_both_WT
LAMA3	both_KO_below_both_WT	both_KO_below_both_WT
LAMA4	overlap	overlap
LAMA5	overlap	both_KO_above_both_WT
LAMB1	both_KO_below_both_WT	both_KO_above_both_WT
LAMB2	both_KO_above_both_WT	both_KO_below_both_WT
LAMB3	both_KO_below_both_WT	both_KO_below_both_WT
LAMB4	overlap	both_KO_below_both_WT
LAMC1	both_KO_above_both_WT	both_KO_below_both_WT
LAMC2	overlap	both_KO_above_both_WT
LAMC3	both_KO_above_both_WT	both_KO_above_both_WT
LAMP1	both_KO_above_both_WT	both_KO_below_both_WT
LAMP2	both_KO_above_both_WT	both_KO_above_both_WT
LAMP3	both_KO_above_both_WT	overlap
LAMP5	overlap	overlap
LAMTOR1	both_KO_above_both_WT	both_KO_below_both_WT
LAMTOR2	both_KO_above_both_WT	overlap
LAMTOR3	both_KO_above_both_WT	overlap
LAMTOR3P1	overlap	overlap
LAMTOR3P2	overlap	overlap
LAMTOR4	both_KO_below_both_WT	overlap
LAMTOR5	both_KO_above_both_WT	overlap
LAMTOR5P1	both_KO_above_both_WT	overlap
LANCL1	both_KO_above_both_WT	both_KO_above_both_WT
LANCL2	both_KO_below_both_WT	both_KO_below_both_WT
LANCL3	overlap	both_KO_above_both_WT
LAP3	both_KO_above_both_WT	overlap
LAP3P1	overlap	overlap
LAP3P2	overlap	overlap
LAPTM4A	both_KO_below_both_WT	both_KO_below_both_WT
LAPTM4B	both_KO_below_both_WT	both_KO_above_both_WT
LAPTM4BP1	overlap	overlap
LAPTM4BP2	overlap	overlap
LAPTM5	overlap	overlap
LARGE1	both_KO_below_both_WT	both_KO_below_both_WT
LARGE2	overlap	both_KO_above_both_WT
LARP1	both_KO_above_both_WT	overlap
LARP1B	overlap	both_KO_above_both_WT
LARP1BP1	overlap	overlap
LARP1BP2	overlap	overlap
LARP1BP3	overlap	overlap
LARP1P1	overlap	overlap
LARP4	both_KO_above_both_WT	overlap
LARP4B	overlap	both_KO_above_both_WT
LARP6	both_KO_above_both_WT	both_KO_below_both_WT
LARP7	both_KO_below_both_WT	both_KO_below_both_WT
LARP7P1	overlap	overlap
LARP7P2	overlap	overlap
LARP7P3	overlap	overlap
LARP7P4	overlap	overlap
LARS	overlap	both_KO_above_both_WT
LARS2	overlap	both_KO_above_both_WT
LAS1L	both_KO_below_both_WT	both_KO_above_both_WT
LASP1	both_KO_below_both_WT	both_KO_above_both_WT
LAT	overlap	both_KO_above_both_WT
LAT2	overlap	both_KO_above_both_WT
LATS1	both_KO_above_both_WT	both_KO_below_both_WT
LATS2	overlap	both_KO_below_both_WT
LAX1	overlap	both_KO_above_both_WT
LAYN	overlap	overlap
LBH	overlap	both_KO_below_both_WT
LBHD1	both_KO_above_both_WT	overlap
LBP	both_KO_below_both_WT	overlap
LBR	both_KO_above_both_WT	both_KO_above_both_WT
LBX1	overlap	overlap
LBX2	both_KO_below_both_WT	overlap
LCA5	overlap	both_KO_above_both_WT
LCA5L	both_KO_below_both_WT	both_KO_above_both_WT
LCAT	both_KO_below_both_WT	overlap
LCE1A	overlap	overlap
LCE1B	overlap	overlap
LCE1C	overlap	overlap
LCE1D	overlap	overlap
LCE1E	overlap	overlap
LCE1F	overlap	overlap
LCE2A	overlap	overlap
LCE2B	overlap	overlap
LCE2C	overlap	overlap
LCE2D	overlap	overlap
LCE3A	overlap	overlap
LCE3B	overlap	overlap
LCE3C	overlap	overlap
LCE3D	overlap	overlap
LCE3E	overlap	overlap
LCE4A	overlap	overlap
LCE5A	overlap	overlap
LCE6A	overlap	overlap
LCK	both_KO_above_both_WT	both_KO_below_both_WT
LCLAT1	both_KO_above_both_WT	both_KO_above_both_WT
LCMT1	both_KO_above_both_WT	overlap
LCMT2	overlap	both_KO_below_both_WT
LCN1	overlap	overlap
LCN10	overlap	overlap
LCN12	overlap	overlap
LCN15	overlap	both_KO_below_both_WT
LCN1P1	overlap	overlap
LCN1P2	overlap	overlap
LCN2	overlap	overlap
LCN6	overlap	overlap
LCN8	overlap	overlap
LCN9	overlap	overlap
LCNL1	overlap	overlap
LCOR	both_KO_below_both_WT	both_KO_below_both_WT
LCORL	both_KO_above_both_WT	overlap
LCP1	both_KO_below_both_WT	both_KO_below_both_WT
LCP2	overlap	overlap
LCT	overlap	overlap
LCTL	both_KO_below_both_WT	overlap
LDAH	both_KO_above_both_WT	both_KO_above_both_WT
LDB1	both_KO_below_both_WT	overlap
LDB2	both_KO_above_both_WT	overlap
LDB3	overlap	both_KO_below_both_WT
LDHA	both_KO_below_both_WT	both_KO_above_both_WT
LDHAL6A	both_KO_above_both_WT	both_KO_below_both_WT
LDHAL6B	overlap	overlap
LDHAL6CP	both_KO_above_both_WT	both_KO_below_both_WT
LDHAL6DP	overlap	overlap
LDHAL6FP	overlap	overlap
LDHAP1	overlap	overlap
LDHAP2	both_KO_above_both_WT	overlap
LDHAP3	overlap	both_KO_above_both_WT
LDHAP4	both_KO_below_both_WT	both_KO_above_both_WT
LDHAP5	overlap	both_KO_above_both_WT
LDHAP7	both_KO_below_both_WT	both_KO_above_both_WT
LDHB	overlap	overlap
LDHBP1	overlap	both_KO_above_both_WT
LDHBP2	overlap	overlap
LDHBP3	overlap	overlap
LDHC	both_KO_above_both_WT	both_KO_below_both_WT
LDHD	both_KO_below_both_WT	both_KO_above_both_WT
LDLR	overlap	both_KO_below_both_WT
LDLRAD1	overlap	overlap
LDLRAD2	overlap	both_KO_below_both_WT
LDLRAD3	overlap	both_KO_above_both_WT
LDLRAD4	both_KO_below_both_WT	both_KO_below_both_WT
LDLRAP1	overlap	overlap
LDOC1	both_KO_above_both_WT	both_KO_below_both_WT
LEAP2	both_KO_below_both_WT	overlap
LECT2	overlap	overlap
LEF1	overlap	both_KO_above_both_WT
LEFTY1	overlap	overlap
LEFTY2	overlap	overlap
LEKR1	overlap	overlap
LELP1	overlap	overlap
LEMD1	overlap	overlap
LEMD2	both_KO_below_both_WT	overlap
LEMD3	overlap	both_KO_above_both_WT
LENEP	overlap	overlap
LENG1	overlap	both_KO_above_both_WT
LENG8	both_KO_below_both_WT	overlap
LENG9	both_KO_below_both_WT	both_KO_below_both_WT
LEO1	both_KO_above_both_WT	both_KO_below_both_WT
LEP	both_KO_below_both_WT	overlap
LEPR	both_KO_above_both_WT	both_KO_above_both_WT
LEPROT	both_KO_below_both_WT	both_KO_above_both_WT
LEPROTL1	both_KO_above_both_WT	both_KO_above_both_WT
LETM1	overlap	overlap
LETM1P2	overlap	overlap
LETM2	overlap	both_KO_above_both_WT
LETMD1	both_KO_below_both_WT	both_KO_above_both_WT
LEUTX	overlap	overlap
LEXM	overlap	overlap
LFNG	both_KO_below_both_WT	both_KO_below_both_WT
LGALS1	both_KO_below_both_WT	both_KO_below_both_WT
LGALS12	overlap	overlap
LGALS13	overlap	overlap
LGALS14	overlap	overlap
LGALS16	overlap	overlap
LGALS17A	overlap	overlap
LGALS2	overlap	overlap
LGALS3	both_KO_below_both_WT	both_KO_below_both_WT
LGALS3BP	both_KO_below_both_WT	both_KO_above_both_WT
LGALS4	overlap	overlap
LGALS7	overlap	overlap
LGALS7B	overlap	overlap
LGALS8	overlap	both_KO_below_both_WT
LGALS9	overlap	overlap
LGALS9B	overlap	overlap
LGALS9C	overlap	overlap
LGALS9DP	overlap	overlap
LGALSL	both_KO_above_both_WT	both_KO_above_both_WT
LGI1	overlap	both_KO_below_both_WT
LGI2	overlap	both_KO_above_both_WT
LGI3	overlap	overlap
LGI4	overlap	overlap
LGMN	both_KO_below_both_WT	both_KO_above_both_WT
LGMNP1	both_KO_below_both_WT	overlap
LGR4	overlap	both_KO_above_both_WT
LGR5	overlap	overlap
LGR6	overlap	both_KO_above_both_WT
LGSN	both_KO_above_both_WT	both_KO_above_both_WT
LHB	overlap	both_KO_above_both_WT
LHCGR	overlap	both_KO_below_both_WT
LHFPL1	overlap	overlap
LHFPL2	overlap	both_KO_below_both_WT
LHFPL3	overlap	overlap
LHFPL4	overlap	overlap
LHFPL5	overlap	overlap
LHFPL6	both_KO_above_both_WT	both_KO_above_both_WT
LHPP	both_KO_below_both_WT	overlap
LHX1	both_KO_above_both_WT	both_KO_below_both_WT
LHX2	overlap	overlap
LHX3	overlap	overlap
LHX4	both_KO_below_both_WT	both_KO_below_both_WT
LHX5	overlap	overlap
LHX6	overlap	both_KO_above_both_WT
LHX8	overlap	overlap
LHX9	overlap	both_KO_above_both_WT
LIAS	overlap	both_KO_above_both_WT
LIF	both_KO_below_both_WT	both_KO_above_both_WT
LIFR	both_KO_above_both_WT	both_KO_below_both_WT
LIG1	both_KO_below_both_WT	both_KO_below_both_WT
LIG3	both_KO_below_both_WT	overlap
LIG4	both_KO_above_both_WT	overlap
LILRA1	overlap	overlap
LILRA2	overlap	overlap
LILRA3	overlap	overlap
LILRA4	overlap	overlap
LILRA5	overlap	both_KO_below_both_WT
LILRA6	overlap	overlap
LILRB1	overlap	both_KO_below_both_WT
LILRB2	overlap	overlap
LILRB3	overlap	both_KO_below_both_WT
LILRB4	overlap	both_KO_above_both_WT
LILRB5	overlap	overlap
LILRP1	both_KO_above_both_WT	overlap
LILRP2	overlap	overlap
LIM2	overlap	overlap
LIMA1	both_KO_above_both_WT	both_KO_above_both_WT
LIMCH1	both_KO_above_both_WT	both_KO_below_both_WT
LIMD1	both_KO_below_both_WT	both_KO_below_both_WT
LIMD2	overlap	overlap
LIME1	both_KO_below_both_WT	both_KO_above_both_WT
LIMK1	both_KO_below_both_WT	both_KO_above_both_WT
LIMK2	both_KO_below_both_WT	overlap
LIMS1	overlap	both_KO_above_both_WT
LIMS2	overlap	overlap
LIMS3	both_KO_below_both_WT	overlap
LIMS4	both_KO_below_both_WT	both_KO_below_both_WT
LIN28A	both_KO_above_both_WT	both_KO_above_both_WT
LIN28AP1	overlap	overlap
LIN28AP2	overlap	overlap
LIN28B	both_KO_above_both_WT	both_KO_above_both_WT
LIN37	both_KO_below_both_WT	both_KO_above_both_WT
