dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE207704	MCF-7 KO vs WT	IFN_ISG	XAF1	XAF1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	B2M	B2M	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	CALR	CALR	-0.11939389264586912	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	CANX	CANX	-0.04772926149543433	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	ERAP1	ERAP1	-0.4720502061227096	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	ERAP2	ERAP2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	HLA-A	HLA-A	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	HLA-B	HLA-B	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	HLA-C	HLA-C	1.2867577638082508	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	NLRC5	NLRC5	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	MCF-7 KO vs WT	MHC_APM	PDIA3	PDIA3	-0.20275331697780058	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	PSMB10	PSMB10	0.357412555673032	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	MCF-7 KO vs WT	MHC_APM	PSMB8	PSMB8	NA	NA	NA	NA	not assayed or below expression filter
