gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
CRIPAK	1.1215137803751758	1.9680179969867644	1.3594805042230538	0.23209151059614475	0.8249576046815937	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
EXOC1	0.49315535253182585	4.338638120817182	1.3594522660855295	0.23209985490441337	0.3627603299024544	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NUDT22	-0.6220846547567509	5.255989311863654	-1.359168090601934	0.23218384376736706	0.4576951585739837	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
SLC12A4	0.9536385370827557	3.633632852373605	1.359098466714762	0.23220442563873203	0.7016699381523904	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ZMYND12	1.0134424160330284	1.5655339659386116	1.3588641242312267	0.23227371335224278	0.7458011422638599	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RPLP0	-0.6431515091835551	10.644176579185212	-1.3586569127783195	0.23233499538168756	0.47337300766267304	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MKRN1	0.6402537812591685	5.519617832349666	1.3586126506045417	0.23234808771780732	0.47125557161143383	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
SALL2	1.0879041695845444	1.7014623128735935	1.3584797997414881	0.23238738790177632	0.8008246937433793	5	0.7221585563846354	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
THRAP3	-0.2504348309290726	6.0431550984814235	-1.3572175630693595	0.2327610953041229	0.1845207708355262	5	0.7226144278412819	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GTF2H1	0.4772643366779016	4.150448622549293	1.3571437981911205	0.23278295206627758	0.35166821475662857	5	0.7226144278412819	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ECI1	0.5737594887243366	5.485129706493244	1.356991974821996	0.2328279438407337	0.42281715689556654	5	0.7226144278412819	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MORN1	0.23593337371747056	1.9503350315669257	1.356886778572767	0.23285912276830534	0.17387845282539757	5	0.7226144278412819	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
HPSE	-0.38839586204628695	2.0136437450904183	-1.3560415865322313	0.2331097694214605	0.28641884283174623	5	0.7226144278412819	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
