set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_DNA_REPAIR	repair	Rpa2	0.090870812	1.0	0.04924154591428571	-0.00029524302188450174
HALLMARK_DNA_REPAIR	repair	Rpa3	-0.254317189	1.0	0.05170717449285714	0.0021703855566869296
HALLMARK_DNA_REPAIR	repair	Rrm2b	-0.448831774	0.077669377	0.053096564385714286	0.0035597754495440767
HALLMARK_DNA_REPAIR	repair	Sac3d1	0.277349003	0.859093951	0.04790955883571429	-0.0016272301004559217
HALLMARK_DNA_REPAIR	repair	Sdcbp	-0.072394022	1.0	0.050407723300000006	0.0008709343638297964
HALLMARK_DNA_REPAIR	repair	Sec61a1	0.088755421	1.0	0.04925665585	-0.0002801330861702117
HALLMARK_DNA_REPAIR	repair	Sf3a3	0.041794934	1.0	0.04959208789999999	5.529896382978211e-05
HALLMARK_DNA_REPAIR	repair	Smad5	-0.08939596	1.0	0.050529165714285715	0.0009923767781155057
HALLMARK_DNA_REPAIR	repair	Snapc4	-0.435152395	0.238709777	0.05299885453571429	0.0034620655995440813
HALLMARK_DNA_REPAIR	repair	Snapc5	0.019300556	1.0	0.04975276202857143	0.00021597309240121987
HALLMARK_DNA_REPAIR	repair	Srsf6	-0.325754484	0.375897407	0.05221744088571429	0.0026806519495440814
HALLMARK_DNA_REPAIR	repair	Ssrp1	0.004459156	1.0	0.04985877202857143	0.00032198309240122347
HALLMARK_DNA_REPAIR	repair	Stx3	0.278750656	0.399744128	0.04789954702857143	-0.0016372419075987785
HALLMARK_DNA_REPAIR	repair	Supt4a	0.132678849	1.0	0.04894291707857142	-0.0005938718575987864
HALLMARK_DNA_REPAIR	repair	Supt5	-0.013160365	1.0	0.04998462574999999	0.0004478368138297814
HALLMARK_DNA_REPAIR	repair	Surf1	-0.116133029	1.0	0.050720144778571424	0.0011833558424012153
HALLMARK_DNA_REPAIR	repair	Taf10	0.090433466	1.0	0.049244669814285706	-0.0002921191218845029
HALLMARK_DNA_REPAIR	repair	Taf12	0.468214426	0.126984376	0.04654623438571428	-0.0029905545504559303
HALLMARK_DNA_REPAIR	repair	Taf13	0.383380182	0.461398457	0.04715219327142857	-0.00238459566474164
HALLMARK_DNA_REPAIR	repair	Taf1c	-0.159116719	1.0	0.05102717113571428	0.0014903821995440741
HALLMARK_DNA_REPAIR	repair	Taf6	-0.06487545	1.0	0.050354019214285714	0.000817230278115505
HALLMARK_DNA_REPAIR	repair	Taf9	-0.120343451	1.0	0.05075021922142857	0.00121343028525836
HALLMARK_DNA_REPAIR	repair	Tarbp2	-0.040894006	1.0	0.05018272318571428	0.0006459342495440737
HALLMARK_DNA_REPAIR	repair	Tk2	-0.248794445	0.638029191	0.05166772632142857	0.0021309373852583594
HALLMARK_DNA_REPAIR	repair	Trp53	0.038219322	1.0	0.049617627985714285	8.083904954407639e-05
HALLMARK_DNA_REPAIR	repair	Tsg101	-0.038900249	1.0	0.0501684820642857	0.000631693128115493
HALLMARK_DNA_REPAIR	repair	Tyms	0.784706183	0.089131248	0.044285578978571424	-0.005251209957598785
HALLMARK_DNA_REPAIR	repair	Umps	0.245383365	0.804221912	0.04813788482142856	-0.0013989041147416462
HALLMARK_DNA_REPAIR	repair	Upf3b	-0.442874441	0.184990271	0.05305401200714285	0.0035172230709726443
HALLMARK_DNA_REPAIR	repair	Usp11	-0.226536115	0.818185585	0.05150873825	0.001971949313829789
HALLMARK_DNA_REPAIR	repair	Vps28	-0.008380477	1.0	0.04995048369285714	0.00041369475668692757
HALLMARK_DNA_REPAIR	repair	Vps37b	-0.075650097	1.0	0.050430980978571426	0.0008941920424012165
HALLMARK_DNA_REPAIR	repair	Vps37d	-0.227667363	1.0	0.05151681859285714	0.0019800296566869283
HALLMARK_DNA_REPAIR	repair	Xpc	-0.07592803	1.0	0.05043296621428571	0.0008961772781155009
HALLMARK_DNA_REPAIR	repair	Zfp707	-0.273404943	0.78325923	0.05184351559285714	0.002306726656686929
HALLMARK_DNA_REPAIR	repair	Zwint	0.053590914	1.0	0.049507830899999994	-2.8958036170215196e-05
HALLMARK_P53_PATHWAY	damage_signal	Abat	0.376513233	0.753342074	0.009709843643274856	-0.0021325778450972405
HALLMARK_P53_PATHWAY	damage_signal	Abcc5	-0.237259756	0.658698524	0.013299159368421055	0.0014567378800489587
HALLMARK_P53_PATHWAY	damage_signal	Abhd4	0.002626664	1.0	0.011896314807017546	5.3893318645449606e-05
HALLMARK_P53_PATHWAY	damage_signal	Acvr1b	0.064982614	1.0	0.011531660128654973	-0.0003107613597171238
HALLMARK_P53_PATHWAY	damage_signal	Ada	0.232884795	1.0	0.010549776029239767	-0.0012926454591323296
HALLMARK_P53_PATHWAY	damage_signal	Aen	0.607313812	0.013905288	0.008360132654970766	-0.0034822888334013306
HALLMARK_P53_PATHWAY	damage_signal	Ak1	-0.115188938	1.0	0.012585294935672522	0.0007428734473004257
HALLMARK_P53_PATHWAY	damage_signal	Ankra2	-0.10054005	1.0	0.012499628923976616	0.0006572074356045194
HALLMARK_P53_PATHWAY	damage_signal	Apaf1	-0.292857048	0.41256184	0.013624289730994159	0.001781868242622062
HALLMARK_P53_PATHWAY	damage_signal	App	0.158374191	0.903544586	0.010985510555555562	-0.0008569109328165347
HALLMARK_P53_PATHWAY	damage_signal	Atf3	-0.792482725	0.070816072	0.016546077315789477	0.00470365582741738
HALLMARK_P53_PATHWAY	damage_signal	Baiap2	0.14373858	0.968455474	0.011071098923976612	-0.0007713225643954848
HALLMARK_P53_PATHWAY	damage_signal	Bak1	0.377839622	0.236300655	0.009702086982456145	-0.002140334505915952
HALLMARK_P53_PATHWAY	damage_signal	Bax	0.142809739	1.0	0.011076530742690062	-0.0007658907456820352
HALLMARK_P53_PATHWAY	damage_signal	Blcap	0.26607486	0.48248859	0.010355682081871345	-0.0014867394065007523
HALLMARK_P53_PATHWAY	damage_signal	Bmp2	0.426360886	0.783786536	0.009418336900584795	-0.0024240845877873014
HALLMARK_P53_PATHWAY	damage_signal	Btg2	-1.403299602	4.59985e-15	0.020118105836257314	0.008275684347885217
HALLMARK_P53_PATHWAY	damage_signal	Ccnd2	0.043390449	1.0	0.011657930099415209	-0.0001844913889568877
HALLMARK_P53_PATHWAY	damage_signal	Ccnd3	0.264304841	0.479772343	0.010366033070175442	-0.0014763884181966547
HALLMARK_P53_PATHWAY	damage_signal	Ccng1	-0.259666432	0.508942092	0.013430192561403513	0.001587771073031416
HALLMARK_P53_PATHWAY	damage_signal	Ccnk	0.229056711	0.744188629	0.01057216248538012	-0.0012702590029919775
HALLMARK_P53_PATHWAY	damage_signal	Ccp110	-0.461637912	0.120545566	0.014611312327485382	0.0027688908391132853
HALLMARK_P53_PATHWAY	damage_signal	Cd81	0.063941919	1.0	0.011537746064327488	-0.00030467542404460923
HALLMARK_P53_PATHWAY	damage_signal	Cd82	0.181355225	0.866603759	0.010851118543859652	-0.0009913029445124451
HALLMARK_P53_PATHWAY	damage_signal	Cdh13	-0.090411992	1.0	0.012440400514619887	0.0005979790262477906
HALLMARK_P53_PATHWAY	damage_signal	Cdk5r1	-0.304854582	1.0	0.013694450748538015	0.0018520292601659182
HALLMARK_P53_PATHWAY	damage_signal	Cdkn2a	-0.302847353	1.0	0.013682712567251464	0.0018402910788793674
HALLMARK_P53_PATHWAY	damage_signal	Cdkn2aip	-0.109944515	1.0	0.012554625795321638	0.0007122043069495414
HALLMARK_P53_PATHWAY	damage_signal	Cdkn2b	-0.165691834	1.0	0.012880633508771932	0.0010382120203998348
HALLMARK_P53_PATHWAY	damage_signal	Cebpa	0.102465369	1.0	0.011312462730994155	-0.0005299587573779421
HALLMARK_P53_PATHWAY	damage_signal	Cgrrf1	0.173083746	0.90770042	0.010899489766081873	-0.0009429317222902234
HALLMARK_P53_PATHWAY	damage_signal	Csrnp2	0.363038031	0.696134234	0.00978864599415205	-0.0020537754942200476
HALLMARK_P53_PATHWAY	damage_signal	Ctsd	0.086664752	1.0	0.011404864000000002	-0.0004375574883720944
HALLMARK_P53_PATHWAY	damage_signal	Ctsf	0.042618091	1.0	0.011662446812865499	-0.00017997467550659799
HALLMARK_P53_PATHWAY	damage_signal	Cyfip2	-0.367208974	0.296187921	0.014059096315789475	0.0022166748274173777
HALLMARK_P53_PATHWAY	damage_signal	Dcxr	-0.202631335	0.741493003	0.013096653982456142	0.0012542324940840455
