subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	12	none	CD8A	-0.3472135706520736	9.975641313494846e-06	0.5597723032201602	DL random	420	4	-0.48001051778542003	-0.19886040522028872	-0.26345590242751576	2.7000854819426346e-05	0.0	fixed	251	0.3472135706520736	0.26345590242751576
all	True	z-mean	0.25	12	none	ImmuneScore	-0.3992812562418192	0.00028108123237418915	0.7808042583127521	DL random	420	4	-0.5723025332424583	-0.19222545959048573	-0.3449227960667824	0.005555123103495917	0.6649348243948697	DL random	251	0.3992812562418192	0.3449227960667824
all	True	z-mean	0.25	13	none	CD8A	-0.34391151259318753	2.448136158578297e-06	0.493499212673503	DL random	420	4	-0.4681020858086416	-0.20639876174659733	-0.26385517387741214	2.6216315380994057e-05	0.0	fixed	251	0.34391151259318753	0.26385517387741214
all	True	z-mean	0.25	13	none	ImmuneScore	-0.3958567276086187	8.235318164199236e-05	0.7364702107638262	DL random	420	4	-0.5560919583381935	-0.20724844833462494	-0.3198173261994459	0.0007324899367087048	0.4404894563072523	DL random	251	0.3958567276086187	0.3198173261994459
all	True	z-mean	0.25	14	none	CD8A	-0.351300725184616	2.3374222069935097e-06	0.5129332109967171	DL random	420	4	-0.4771079697904673	-0.21138479935703455	-0.26999153605296183	1.655971075588211e-05	0.0	fixed	251	0.351300725184616	0.26999153605296183
all	True	z-mean	0.25	14	none	ImmuneScore	-0.4012795681241844	9.090980327543217e-05	0.7476452268289778	DL random	420	4	-0.5636048309549634	-0.2091150898446558	-0.3174893613247076	0.0004134526957161155	0.3891452752801546	DL random	251	0.4012795681241844	0.3174893613247076
all	True	z-mean	0.25	15	none	CD8A	-0.35911000725897274	1.223963922974836e-05	0.5976528511979169	DL random	420	4	-0.4962465982250493	-0.20448944883220513	-0.2701063769729132	1.641610316954303e-05	0.0	fixed	251	0.35911000725897274	0.2701063769729132
all	True	z-mean	0.25	15	none	ImmuneScore	-0.39935303827161117	0.00012804951368443335	0.7558038425254914	DL random	420	4	-0.5644042501716023	-0.20359971270562446	-0.30169800914128675	0.00013474323052015274	0.2511042481716447	DL random	251	0.39935303827161117	0.30169800914128675
all	True	z-mean	0.25	16	none	CD8A	-0.3590542675130104	4.034908043852281e-06	0.5548529260465667	DL random	420	4	-0.48964066652088734	-0.212713731531561	-0.274618463780517	1.1620378889208504e-05	0.0	fixed	251	0.3590542675130104	0.274618463780517
all	True	z-mean	0.25	16	none	ImmuneScore	-0.4015559615555669	8.270963311770595e-05	0.7450556733594507	DL random	420	4	-0.5631014837875454	-0.21044997092939394	-0.3044157542185602	7.417393290243917e-05	0.22138433958768783	DL random	251	0.4015559615555669	0.3044157542185602
all	True	z-mean	0.25	17	none	CD8A	-0.34527929991504486	1.3565440257181836e-05	0.5673977816727761	DL random	420	4	-0.47945960076263233	-0.1953234623209785	-0.2587763463401736	3.800802482211903e-05	0.0	fixed	251	0.34527929991504486	0.2587763463401736
