gene	logFC	t	se	p	df	stat_low_vs_high
GDF7	0.2523799491233908	1.3590532183924584	0.18570277139103922	0.18460609632125963	29	-1.3590532183924584
PCED1A	0.32406041063057284	1.3593611044746203	0.23839170442927968	0.18450965367426597	29	-1.3593611044746203
LATS1	0.3247804967084812	1.3594591199313348	0.23890420237490156	0.18447895941809592	29	-1.3594591199313348
MYH15	0.20330011579509585	1.3596144957939127	0.14952776424789724	0.1844303104814039	29	-1.3596144957939127
ZNF791	0.21583859714131956	1.3600695784625483	0.15869673181375626	0.18428787938470745	29	-1.3600695784625483
IDH3G	0.2901671756409889	1.3605752591021096	0.21326800829266893	0.18412971273480497	29	-1.3605752591021096
PEBP1	0.34644738054841123	1.3612886314291013	0.2544995767611058	0.18390676420469534	29	-1.3612886314291013
NPLOC4	0.19479842736518885	1.3618076169330418	0.14304401366464586	0.18374469915096028	29	-1.3618076169330418
LTN1	0.25670753066413293	1.3619306403332974	0.18848796191361875	0.18370629861448037	29	-1.3619306403332974
KCNJ6	0.4282325419744596	1.3622293334244562	0.31436156267310894	0.18361309055256117	29	-1.3622293334244562
BRCC3	0.31383493547541325	1.3624216401542935	0.23035081521449674	0.183553100178138	29	-1.3624216401542935
PRSS36	0.2933458090736188	1.3624590114218305	0.21530615351686064	0.1835414439280923	29	-1.3624590114218305
C4ORF19	0.6729777640631793	1.363355982517308	0.4936185212761449	0.18326184809600746	29	-1.363355982517308
SLITRK6	0.8506641476910272	1.3636087067837677	0.6238330273626802	0.18318313113531576	29	-1.3636087067837677
YPEL1	0.535693087869779	1.364060458113509	0.39271946099122373	0.1830424881683603	29	-1.364060458113509
CORT	0.27382000723829014	1.364075417207458	0.2007367069181965	0.18303783242008992	29	-1.364075417207458
RNMT	0.25345842232808713	1.3641197927802575	0.18580363958469157	0.18302402186649022	29	-1.3641197927802575
NUAK1	0.6953315026209455	1.3642169914651707	0.5096927446081423	0.1829937745578448	29	-1.3642169914651707
ZBED4	0.2713141051732455	1.3644402710323134	0.19884645076326696	0.18292430683850597	29	-1.3644402710323134
LPGAT1	0.4037288362682301	1.3647067891481173	0.2958355886250462	0.1828414134819608	29	-1.3647067891481173
ACSM1	0.31694741347673994	1.3648812633247744	0.23221610699283377	0.1827871638098916	29	-1.3648812633247744
FZD2	0.6621526539313468	1.3650854711423386	0.48506314654220184	0.18272368493401409	29	-1.3650854711423386
MGAM2	0.34849185060212473	1.3654118156063628	0.25522838356819383	0.18262227506013412	29	-1.3654118156063628
VGLL1	0.6636589472877302	1.3654873365142817	0.4860235093661662	0.18259881358127517	29	-1.3654873365142817
GAREM2	0.48566196253296195	1.3656404898964432	0.3556294399046339	0.18255124185980903	29	-1.3656404898964432
PWP2	0.3967727986272617	1.3660297854287082	0.2904569159908475	0.18243036439617344	29	-1.3660297854287082
NR0B1	0.6124499805807327	1.3660371312010555	0.4483406538461006	0.18242808411167846	29	-1.3660371312010555
FOXD4	0.15741304999218178	1.3663571164621346	0.11520637474320507	0.1823287754409944	29	-1.3663571164621346
ATAT1	0.3756598251115748	1.3665870932952005	0.2748890480194426	0.18225742729482108	29	-1.3665870932952005
MATN2	0.6931681923688087	1.3670794261097223	0.5070431016150592	0.18210475892788133	29	-1.3670794261097223
TSC22D1	0.4362501663251412	1.3672102629796763	0.31908052341150844	0.18206420427912756	29	-1.3672102629796763
ATXN2	0.27132013178447084	1.3673028625162844	0.19843455259440695	0.18203550606676852	29	-1.3673028625162844
MYO15B	0.461661312937661	1.3677037487724226	0.3375448179856371	0.18191130514973136	29	-1.3677037487724226
NME7	0.4262500110168862	1.3678343424905166	0.3116240013690411	0.1818708594333724	29	-1.3678343424905166
CEP350	0.2503371804540293	1.3678854112298986	0.18301034457918894	0.18185504502505465	29	-1.3678854112298986
PKNOX1	0.2386028994777468	1.368788943501275	0.17431679340382145	0.18157542652075348	29	-1.368788943501275
JRKL	0.281867873384569	1.3690667287462361	0.20588322502198117	0.18148952709730698	29	-1.3690667287462361
ENTPD6	0.33553061514815596	1.3695498821877836	0.24499335110902534	0.1813401973481582	29	-1.3695498821877836
ALG12	0.2191304103834301	1.3702298611283028	0.15992237258863212	0.1811301967094677	29	-1.3702298611283028
TMPRSS5	0.2310107353051674	1.3703863559770455	0.16857343500071809	0.1810818926755883	29	-1.3703863559770455
BSN	0.4100162129285309	1.3705977048689189	0.299151393200198	0.18101667324855292	29	-1.3705977048689189
OGFOD3	0.3466603664381067	1.3707841195181927	0.25289202107181685	0.18095916342599813	29	-1.3707841195181927
OTUD6B	0.29853085562391696	1.371603421763557	0.21765099947044242	0.18070657393709808	29	-1.371603421763557
CLSTN3	0.2622592470985159	1.3716650838991942	0.1911977276209429	0.18068757475904756	29	-1.3716650838991942
LINC00891	0.5377337107288758	1.371923920096872	0.39195592616455455	0.1806078398462933	29	-1.371923920096872
NUDT9	0.23280609206320688	1.37240266488011	0.1696339551217239	0.180460434204415	29	-1.37240266488011
EDA	0.5043834804355004	1.3724479255235051	0.3675064613057059	0.18044650330718726	29	-1.3724479255235051
SOS1	0.2647383859523135	1.3725428167038476	0.19288169573323838	0.18041729921974278	29	-1.3725428167038476
ZXDC	0.33039124614141563	1.3726502891229693	0.24069586314844496	0.18038422754189892	29	-1.3726502891229693
MKKS	0.29562540468125714	1.3727655152080491	0.21535025567454882	0.1803487751507823	29	-1.3727655152080491
