rank,accession,protein,av_n_psm_opn
873,345796461,coiled-coil domain-containing protein 50,0.17007426533373576
874,189339282,multidrug resistance-associated protein 5,0.17001498478601448
875,359323995,protein dispatched homolog 1,0.16612730438828932
876,345799031,"glutamate dehydrogenase 1, mitochondrial",0.16505104362437906
877,345795753,protein FAM190A,0.16123623579492524
878,345798045,semaphorin-4B,0.1592393871587319
879,345798556,calpastatin isoform 3,0.15493018274174725
880,73994204,leucine-rich repeat flightless-interacting protein 2,0.14986067314681703
881,50978650,rho GTPase-activating protein 35,0.14208445298503525
882,345783091,phosphofurin acidic cluster sorting protein 1,0.14132495610337456
883,345801919,periplakin,0.13942924818148111
884,359323602,"A disintegrin and metalloproteinase with thrombospondin motifs 1, partial",0.13275142647675106
885,345806311,protein AHNAK2,0.13218702515048839
886,57093919,chondroitin sulfate synthase 3,0.11859436875807655
887,345788408,rho GTPase-activating protein 42,0.11695858436141343
888,345788878,golgin subfamily A member 4,0.11658462316942966
889,74005696,BRCA1-associated RING domain protein 1,0.11458780224597936
890,345799998,rho GTPase-activating protein 32,0.10259642250126048
891,359320585,"spectrin beta chain, brain 1",0.10087634829532108
892,345800417,inaD-like protein isoform 3,8.3748122135333072E-2
893,345777987,rap guanine nucleotide exchange factor 6 isoform 4,7.952635278970667E-2
894,345794813,pseudopodium-enriched atypical kinase 1,7.9373809010336888E-2
895,359321252,rap guanine nucleotide exchange factor 2-like,7.7882869035154748E-2
896,73974204,E3 ubiquitin-protein ligase UBR5 isoform 1,6.7256204595985539E-2
897,74000347,vacuolar protein sorting-associated protein 13C isoform 5,6.4452236512702876E-2
898,359322869,vigilin isoform 3,6.3576362633195674E-2
899,345786999,kinesin family member 15,5.5376309330301875E-2
900,74001821,tyrosine-protein phosphatase non-receptor type 13 isoform 4,5.1743691021830504E-2
901,345792434,myoferlin isoform 5,5.0137456710731547E-2
902,345796694,desmoplakin,3.7465168286704258E-2
Rank,Accession,Ribosomal proteins identified with BL-Claudin-4,a-N-PSM/OPN
1,359318950,60S ribosomal protein L23a-like,10.362749237509773
2,57109436,60S ribosomal protein L24 isoform 2,9.3321720562814612
3,356991204,60S ribosomal protein L26,5.8792821910195663
4,345780890,40S ribosomal protein S8,5.7251901077728702
5,345804327,60S ribosomal protein L36a isoform 1,4.8579419149457674
6,354459064,60S ribosomal protein L18,3.3450651881416711
7,57089821,60S ribosomal protein L17 isoform 1,3.0078071183262423
8,345786873,60S ribosomal protein L29,2.3053408068713646
9,57092109,60S ribosomal protein L35,2.2113016198415676
10,345796306,60S ribosomal protein L27a-like,2.1682359943319165
11,50978792,60S ribosomal protein L23,2.0538461401654202
12,356640165,40S ribosomal protein S24 isoform 1,1.9011597720593634
13,57084757,40S ribosomal protein S23 isoform 1,1.8412738325303395
14,356460872,40S ribosomal protein S6,1.7951471453646033
15,354725920,60S ribosomal protein L21,1.7278394971014466
16,73994633,60S ribosomal protein L6 isoform 1,1.6618912767335241
17,57111003,60S ribosomal protein L37a,1.6346019019185489
18,345805448,60S ribosomal protein L19 isoform 4,1.5531788649057718
19,345800704,60S ribosomal protein L13,1.4323089143294472
20,50978924,ribosome-binding protein 1,1.4260203674655847
21,57092007,60S ribosomal protein L7a,1.4142271604544676
22,73974792,60S ribosomal protein L8 isoform 3,1.362168251598791
23,73947567,40S ribosomal protein S9,1.3107738649008633
24,73953669,40S ribosomal protein S14 isoform 3,1.2895190264895051
25,73959105,ribosomal L1 domain-containing protein 1,1.2606183847333592
26,359806968,60S ribosomal protein L11 isoform 2,1.2409020535906059
27,57102362,40S ribosomal protein S3 isoform 1,1.2383366491199059
28,356582349,ribosomal protein SA,1.208529799461165
29,354725914,"40S ribosomal protein S4, X isoform",1.1838931930358025
30,345799858,40S ribosomal protein S25,1.0870903113122252
31,354542533,60S ribosomal protein L12,1.0767615703114251
32,356991214,60S ribosomal protein L4,1.0318860078271943
33,57092393,40S ribosomal protein S26 isoform 1,0.99987898074912673
34,356991221,60S ribosomal protein L14,0.97730576220309617
35,57098089,40S ribosomal protein S7 isoform 1,0.96377704957477384
36,73947970,40S ribosomal protein S11 isoform 3,0.9347028875322092
37,345785728,40S ribosomal protein S16,0.91446341250879437
38,356582337,60S ribosomal protein L7,0.90460376531127784
39,345789107,60S ribosomal protein L15 isoform 4,0.85954632312490742
40,356460949,"ribosomal protein, large, P0",0.78230028231760596
41,356461025,60S ribosomal protein L3,0.77308375850528754
42,356460868,60S ribosomal protein L32,0.76839698250944055
43,57101324,60S ribosomal protein L18a isoform 1,0.76615319822017336
44,74007766,60S ribosomal protein L31-like isoform 1,0.73465533001296768
45,354622964,60S ribosomal protein L27,0.70132260766702703
46,345801679,60S ribosomal protein L5 isoform 1,0.65742462406412605
47,73946777,40S ribosomal protein S5 isoform 5,0.62368641901743105
48,356460989,ribosomal protein S15a,0.57173257937921818
49,345786084,60S ribosomal protein L13a,0.55341147089794462
50,356582345,60S ribosomal protein L37,0.53734264979249824
