dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,CLDN4,TP63,655,0.19375504415907116,5.831346171442549e-07,1.0138590502621703e-06,72.96241849673987,0.11436953564373911,0.27068177483755357
GTEx-lung,CLDN4,FOXJ1,655,0.3586023955403885,2.612501206356633e-21,8.157401725970711e-21,89.41507660306412,0.28573650170307485,0.4273456275138457
GTEx-lung,CLDN4,MUC5B,655,0.22407904616688107,6.719957239260225e-09,1.3014600729200182e-08,76.6870674826993,0.14554218220248058,0.2998095169833115
GTEx-lung,CLDN4,PTPRC,655,,,,,,
GTEx-lung,CLDN4,COL1A1,655,-0.28048971635831077,2.629249002358725e-13,6.095077232740681e-13,8.824852994119766,-0.3536217755076317,-0.20394940385014768
GTEx-lung,CLDN4,PECAM1,655,-0.059562941998792314,0.12780049652335396,0.1481323936975239,32.8758150326013,-0.14007015153827135,0.021726650462246068
GTEx-lung,EPCAM,NKX2-1,655,0.6852864083102097,5.4460170918260625e-92,7.57491468226716e-91,99.62698507940317,0.6396908577419912,0.7260759537881839
GTEx-lung,NKX2-1,SFTPC,655,0.8061189606233665,6.245017446722729e-151,2.3887191733714437e-149,99.9664986599464,0.7756996176147468,0.832801317702452
GTEx-lung,NKX2-1,SFTPB,655,0.7954015311290711,3.861295388592146e-144,9.846303240909972e-143,99.957498299932,0.7635208228850241,0.8234146381483289
GTEx-lung,AGER,NKX2-1,655,,,,,,
GTEx-lung,NKX2-1,SCGB1A1,655,0.000976639086005369,0.980096954255849,0.980096954255849,42.758710348413935,-0.08021425223810433,0.08215465650627955
GTEx-lung,NKX2-1,SCGB3A2,655,0.4665532019343351,1.0340750092803821e-36,5.1036605296741444e-36,95.2843113724549,0.40053988086157505,0.5277482634364148
GTEx-lung,KRT5,NKX2-1,655,0.05416412912953275,0.1661780125184382,0.18974056653224658,51.82907316292652,-0.02713974347532681,0.13475609885708717
GTEx-lung,NKX2-1,TP63,655,0.07848626642520395,0.04464775499572101,0.05553745133614077,55.902736109444376,-0.0027155681214525705,0.1586598377429752
GTEx-lung,FOXJ1,NKX2-1,655,0.1488309272929875,0.00013180485248774214,0.0002122751834802584,66.78367134685388,0.06847374848606935,0.22726941473453635
GTEx-lung,MUC5B,NKX2-1,655,0.03574474287036493,0.36105398127331056,0.3836198551028925,48.739949597983916,-0.04557203483547543,0.11659093657438183
GTEx-lung,NKX2-1,PTPRC,655,,,,,,
