gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
AP4S1	14q12	6.52	6.64	0.71	0.75	-0.12	0.17	0.411	CLDN4 Low
SEMA5A	5p15.31	7.94	8.19	1.51	1.6	-0.24	0.17	0.411	CLDN4 Low
LRFN2	6p21.2-p21.1	0.8	0.97	0.92	1.14	-0.16	0.17	0.411	CLDN4 Low
XKR9	8q13.3	5.08	4.8	1.64	1.92	0.28	0.17	0.411	CLDN4 High
TAF6	7q22.1	10.93	10.85	0.45	0.48	0.07	0.17	0.411	CLDN4 High
CALM1	14q32.11	12.74	12.83	0.5	0.56	-0.08	0.17	0.411	CLDN4 Low
BEX5	Xq22.1	5.1	5.37	1.79	1.68	-0.27	0.17	0.411	CLDN4 Low
BCAP31	Xq28	11.74	11.63	0.69	0.69	0.11	0.17	0.411	CLDN4 High
HOXC13	12q13.13	1.06	1.36	1.71	2	-0.29	0.17	0.411	CLDN4 Low
PSME1	14q12	12.03	11.91	0.74	0.79	0.12	0.17	0.411	CLDN4 High
THBD	20p11.21	7.58	7.75	1.02	1.2	-0.17	0.17	0.411	CLDN4 Low
UGDH	4p14	9.68	9.77	0.54	0.58	-0.09	0.17	0.411	CLDN4 Low
CD177	19q13.31	2.83	2.49	2.35	2.02	0.34	0.17	0.411	CLDN4 High
TUBG2	17q21.2	7.75	7.85	0.63	0.66	-0.1	0.17	0.412	CLDN4 Low
CYP2D6	22q13.2	3.67	3.41	1.78	1.54	0.26	0.17	0.412	CLDN4 High
UNC80	2q34	2.33	2.59	1.63	1.68	-0.26	0.171	0.412	CLDN4 Low
TRIM67	1q42.2	2.33	2.5	1.08	1.07	-0.17	0.171	0.412	CLDN4 Low
TFPI	2q32.1	6.38	6.55	1.05	1.22	-0.18	0.171	0.412	CLDN4 Low
TIGD3	11q13.1	3.23	3.42	1.27	1.12	-0.19	0.171	0.412	CLDN4 Low
MYBPC1	12q23.2	0.48	0.65	0.99	1.13	-0.17	0.171	0.412	CLDN4 Low
ZBTB9	6p21.32	9.01	9.09	0.51	0.47	-0.08	0.171	0.412	CLDN4 Low
SHD	19p13.3	1.14	0.97	1.21	0.97	0.17	0.171	0.412	CLDN4 High
OR2M4	1q44	0.17	0.25	0.39	0.57	-0.08	0.171	0.412	CLDN4 Low
CDCA5	11q13.1	9.4	9.53	0.83	0.82	-0.13	0.171	0.412	CLDN4 Low
FGR	1p35.3	6.67	6.85	1.1	1.19	-0.18	0.171	0.412	CLDN4 Low
ZNF334	20q13.12	7.13	7.36	1.5	1.52	-0.24	0.171	0.412	CLDN4 Low
NKX6-2	10q26.3	0.91	1.19	1.72	1.92	-0.29	0.171	0.412	CLDN4 Low
CST2	20p11.21	2.95	2.6	2.46	2.05	0.36	0.171	0.412	CLDN4 High
KIFBP	10q22.1	9.54	9.61	0.43	0.44	-0.07	0.171	0.412	CLDN4 Low
HCRT	17q21.2	0.32	0.24	0.54	0.44	0.08	0.171	0.412	CLDN4 High
ELP6	3p21.31	8.18	8.27	0.55	0.56	-0.09	0.171	0.412	CLDN4 Low
EPC2	2q23.1	9.46	9.54	0.47	0.47	-0.07	0.171	0.412	CLDN4 Low
MRPL38	17q25.1	10.88	10.78	0.65	0.6	0.1	0.171	0.412	CLDN4 High
ZNF121	19p13.2	6.25	6.39	0.79	0.93	-0.14	0.171	0.412	CLDN4 Low
SPDYE6	7q22.1	5.5	5.68	1.05	1.13	-0.17	0.171	0.412	CLDN4 Low
PTH1R	3p21.31	3.84	4.13	1.9	1.81	-0.29	0.171	0.412	CLDN4 Low
LOXHD1	18q21.1	1.51	1.73	1.38	1.43	-0.22	0.171	0.412	CLDN4 Low
TSPAN4	11p15.5	9.51	9.39	0.77	0.75	0.12	0.171	0.412	CLDN4 High
OSR1	2p24.1	5.24	5.52	1.63	1.93	-0.28	0.171	0.412	CLDN4 Low
ZNF564	19p13.2	8.43	8.32	0.75	0.67	0.11	0.171	0.412	CLDN4 High
PADI4	1p36.13	0.7	0.84	0.8	0.89	-0.13	0.171	0.413	CLDN4 Low
FGB	4q31.3	0.09	0.18	0.35	0.81	-0.1	0.171	0.413	CLDN4 Low
CALCR	7q21.3	1.6	1.44	0.98	1.04	0.16	0.171	0.413	CLDN4 High
BAAT	9q31.1	1.11	1.25	0.91	0.93	-0.14	0.172	0.413	CLDN4 Low
TMEM64	8q21.3	8.8	8.93	0.77	0.79	-0.12	0.172	0.413	CLDN4 Low
MAK	6p24.2	4.95	5.17	1.41	1.31	-0.21	0.172	0.413	CLDN4 Low
SGCG	13q12.12	3.57	3.87	1.88	2.01	-0.3	0.172	0.413	CLDN4 Low
RPS19BP1	22q13.1	9.3	9.2	0.67	0.57	0.1	0.172	0.413	CLDN4 High
GLIPR1L1	12q21.2	0.19	0.25	0.35	0.37	-0.06	0.172	0.413	CLDN4 Low
METTL25	12q21.31	6.31	6.41	0.64	0.55	-0.09	0.172	0.413	CLDN4 Low
IRGM	5q33.1	0.35	0.44	0.57	0.62	-0.09	0.172	0.413	CLDN4 Low
COX6A2	16p11.2	1.33	1.09	1.63	1.46	0.24	0.172	0.413	CLDN4 High
CCDC65	12q13.12	5.4	5.14	1.73	1.57	0.26	0.172	0.413	CLDN4 High
LINC02909	12p12.1	0.27	0.37	0.52	0.76	-0.1	0.172	0.413	CLDN4 Low
HCLS1	3q13.33	8.66	8.47	1.2	1.21	0.19	0.172	0.413	CLDN4 High
SYT11	1q22	9.94	10.1	1.07	0.97	-0.16	0.172	0.413	CLDN4 Low
MCTS2P	20q11.21	4.26	4.43	1.18	0.98	-0.17	0.172	0.413	CLDN4 Low
PSEN2	1q42.13	8.4	8.31	0.59	0.59	0.09	0.172	0.413	CLDN4 High
SH2D3C	9q34.11	7.27	7.37	0.66	0.69	-0.11	0.172	0.413	CLDN4 Low
FCER1A	1q23.2	3.47	3.16	1.99	1.96	0.31	0.172	0.413	CLDN4 High
COCH	14q12	4.63	4.99	2.3	2.25	-0.36	0.172	0.413	CLDN4 Low
USP44	12q22	4.46	4.18	1.79	1.79	0.28	0.172	0.413	CLDN4 High
RFXAP	13q13.3	7.37	7.45	0.53	0.58	-0.09	0.172	0.413	CLDN4 Low
MPP2	17q21.31	6.2	6.4	1.32	1.35	-0.21	0.172	0.413	CLDN4 Low
TBC1D8	2q11.2	9.5	9.38	0.73	0.81	0.12	0.172	0.413	CLDN4 High
SNTA1	20q11.21	9.12	8.99	0.81	0.8	0.13	0.172	0.414	CLDN4 High
TACO1	17q23.3	8.73	8.64	0.56	0.6	0.09	0.172	0.414	CLDN4 High
MEX3A	1q22	10.4	10.6	1.27	1.21	-0.19	0.173	0.414	CLDN4 Low
GDF1	19p13.11	6.18	6.47	2.02	1.77	-0.3	0.173	0.414	CLDN4 Low
FABP6	5q33.3	4.55	4.08	2.93	3.18	0.48	0.173	0.414	CLDN4 High
METRNL	17q25.3	9.54	9.43	0.69	0.77	0.11	0.173	0.414	CLDN4 High
KLHL28	14q21.2	7.99	8.06	0.46	0.53	-0.08	0.173	0.414	CLDN4 Low
AHSA2P	2p15	8.44	8.59	0.97	0.95	-0.15	0.173	0.414	CLDN4 Low
CFAP45	1q23.2	6.15	5.87	1.85	1.69	0.28	0.173	0.414	CLDN4 High
GAR1	4q25	8.65	8.57	0.47	0.59	0.08	0.173	0.414	CLDN4 High
ARMC1	8q13.1	9.83	9.91	0.51	0.55	-0.08	0.173	0.414	CLDN4 Low
BFSP1	20p12.1	4.31	4.51	1.27	1.27	-0.2	0.173	0.414	CLDN4 Low
DOK2	8p21.3	6.45	6.64	1.22	1.16	-0.19	0.173	0.415	CLDN4 Low
CD244	1q23.3	2.79	3.01	1.33	1.39	-0.21	0.173	0.415	CLDN4 Low
HIVEP2	6q24.2	10.39	10.51	0.74	0.8	-0.12	0.173	0.415	CLDN4 Low
QTRT1	19p13.3	9.49	9.37	0.73	0.79	0.12	0.173	0.415	CLDN4 High
DUOX2	15q21.1	3.7	3.96	1.73	1.66	-0.26	0.173	0.415	CLDN4 Low
PABPC4	1p34.3	12.38	12.51	0.86	0.7	-0.12	0.173	0.415	CLDN4 Low
LINC-PINT	7q32.3	7.02	6.86	0.98	1.02	0.16	0.173	0.415	CLDN4 High
WFS1	4p16.1	10.18	10.29	0.72	0.72	-0.11	0.173	0.415	CLDN4 Low
SESN1	6q21	8.21	8.31	0.62	0.67	-0.1	0.174	0.415	CLDN4 Low
CTH	1p31.1	5.99	6.12	0.87	0.77	-0.13	0.174	0.415	CLDN4 Low
SFRP4	7p14.1	8.94	9.29	2.22	2.26	-0.35	0.174	0.415	CLDN4 Low
VPS37B	12q24.31	10.19	10.09	0.59	0.61	0.09	0.174	0.416	CLDN4 High
SMAD2	18q21.1	10.62	10.71	0.58	0.55	-0.09	0.174	0.416	CLDN4 Low
CYP7B1	8q12.3	4.33	4.57	1.57	1.55	-0.24	0.174	0.416	CLDN4 Low
PCDHB17P	5q31.3	2.77	3.04	1.67	1.82	-0.27	0.174	0.416	CLDN4 Low
SGO1	3p24.3	7.29	7.42	0.91	0.82	-0.13	0.174	0.416	CLDN4 Low
AVPR1A	12q14.2	3.9	4.09	1.19	1.27	-0.19	0.174	0.416	CLDN4 Low
DPCD	10q24.32	8.91	8.8	0.74	0.69	0.11	0.174	0.416	CLDN4 High
ITGB3BP	1p31.3	7.72	7.82	0.67	0.65	-0.1	0.174	0.416	CLDN4 Low
TNPO3	7q32.1	10.11	10.19	0.52	0.46	-0.08	0.174	0.416	CLDN4 Low
SEZ6L2	16p11.2	10.79	10.62	1.09	1.1	0.17	0.174	0.416	CLDN4 High
GC	4q13.3	0.07	0.16	0.36	0.74	-0.09	0.174	0.416	CLDN4 Low
RP9	7p14.3	7.95	7.87	0.5	0.54	0.08	0.174	0.416	CLDN4 High
SNORA5C	7p13	0.56	0.47	0.64	0.56	0.09	0.174	0.416	CLDN4 High
WNT1	12q13.12	1.06	1.21	0.94	0.94	-0.15	0.174	0.416	CLDN4 Low
RPS21	20q13.33	13.27	13.14	0.91	0.8	0.13	0.174	0.416	CLDN4 High
FKBP6	7q11.23	1.55	1.39	1.12	1.01	0.17	0.174	0.416	CLDN4 High
RPL21	13q12.2	2.05	1.87	1.23	1	0.17	0.174	0.416	CLDN4 High
PPP1R42	8q13.1	1.92	1.69	1.56	1.45	0.23	0.175	0.417	CLDN4 High
RPS29	14q21.3	12.73	12.6	0.86	0.82	0.13	0.175	0.417	CLDN4 High
UBE2G1	17p13.2	10.25	10.32	0.5	0.48	-0.08	0.175	0.417	CLDN4 Low
VCPKMT	14q21.3	7.29	7.38	0.54	0.59	-0.09	0.175	0.417	CLDN4 Low
CABS1	4q13.3	0.03	0.06	0.14	0.27	-0.03	0.175	0.417	CLDN4 Low
NDST1	5q33.1	11.19	11.31	0.74	0.75	-0.12	0.175	0.417	CLDN4 Low
SYT1	12q21.2	5.25	5.51	1.6	1.74	-0.26	0.175	0.417	CLDN4 Low
NBEA	13q13.3	5.46	5.71	1.54	1.62	-0.24	0.175	0.417	CLDN4 Low
ROGDI	16p13.3	9.13	9.02	0.67	0.69	0.11	0.175	0.417	CLDN4 High
DDX49	19p13.11	10.28	10.19	0.57	0.59	0.09	0.175	0.418	CLDN4 High
CBWD6	9p11.2	7.26	7.38	0.87	0.77	-0.13	0.175	0.418	CLDN4 Low
RING1	6p21.32	10.23	10.14	0.59	0.55	0.09	0.175	0.418	CLDN4 High
OR51B6	11p15.4	0.04	0.02	0.16	0.12	0.02	0.175	0.418	CLDN4 High
ZFP1	16q23.1	7.99	8.08	0.58	0.54	-0.09	0.175	0.418	CLDN4 Low
CEL	9q34.13	5.81	6.09	1.7	1.86	-0.28	0.175	0.418	CLDN4 Low
H3C2	6p22.2	3.27	3.05	1.37	1.44	0.22	0.175	0.418	CLDN4 High
ZNF137P	19q13.41	5.7	5.81	0.68	0.7	-0.11	0.175	0.418	CLDN4 Low
BAIAP2	17q25.3	10.91	10.8	0.73	0.78	0.12	0.176	0.418	CLDN4 High
AGFG1	2q36.3	10.69	10.76	0.46	0.4	-0.07	0.176	0.419	CLDN4 Low
CDH8	16q21	1.75	1.99	1.39	1.61	-0.23	0.176	0.419	CLDN4 Low
HAND2-AS1	4q34.1	2.64	2.87	1.46	1.51	-0.23	0.176	0.419	CLDN4 Low
CNTN1	12q12	6.07	5.75	1.96	2.24	0.33	0.176	0.419	CLDN4 High
C5ORF47	5q35.2	0.67	0.79	0.83	0.71	-0.12	0.176	0.419	CLDN4 Low
IL26	12q15	0.18	0.24	0.34	0.47	-0.06	0.176	0.419	CLDN4 Low
PDCD1LG2	9p24.1	5.28	5.52	1.56	1.54	-0.24	0.176	0.419	CLDN4 Low
CAPZA1	1p13.2	11.68	11.61	0.43	0.42	0.07	0.176	0.419	CLDN4 High
CGAS	6q13	6.58	6.76	1.17	1.13	-0.18	0.176	0.419	CLDN4 Low
CDHR5	11p15.5	2.3	2.53	1.56	1.31	-0.22	0.176	0.419	CLDN4 Low
PRXL2A	10q23.1	10.67	10.58	0.61	0.6	0.09	0.176	0.419	CLDN4 High
ZNF100	19p13.1	8.01	8.12	0.63	0.77	-0.11	0.176	0.419	CLDN4 Low
RNASE10	14q11.2	0.92	1.06	0.93	0.92	-0.14	0.176	0.419	CLDN4 Low
RSPH6A	19q13.3	2.55	2.79	1.52	1.59	-0.24	0.176	0.419	CLDN4 Low
FANCA	16q24.3	8.48	8.62	0.82	0.91	-0.13	0.176	0.42	CLDN4 Low
POLR2C	16q21	10.59	10.51	0.47	0.49	0.07	0.177	0.42	CLDN4 High
SDR39U1	14q12	9.62	9.52	0.6	0.57	0.09	0.177	0.42	CLDN4 High
RNF165	18q21.1	5.15	4.89	1.63	1.75	0.26	0.177	0.42	CLDN4 High
HADHA	2p23.3	11.88	11.81	0.39	0.5	0.07	0.177	0.42	CLDN4 High
MYCBP	1p34.3	9.73	9.84	0.81	0.68	-0.12	0.177	0.42	CLDN4 Low
EED	11q14.2	8.71	8.8	0.55	0.57	-0.09	0.177	0.42	CLDN4 Low
PRDX6	1q25.1	13.07	12.99	0.5	0.51	0.08	0.177	0.42	CLDN4 High
SLC2A7	1p36.23	0.12	0.2	0.42	0.59	-0.08	0.177	0.42	CLDN4 Low
P2RY10	Xq21.1	3.32	3.59	1.65	1.79	-0.27	0.177	0.42	CLDN4 Low
USP5	12p13	11.3	11.39	0.56	0.61	-0.09	0.177	0.42	CLDN4 Low
PMS2P3	7q11.23	5.81	5.7	0.73	0.73	0.11	0.177	0.421	CLDN4 High
DNAJC6	1p31.3	6.32	6.51	1.28	1.19	-0.19	0.177	0.421	CLDN4 Low
MAP2K5	15q23	8.42	8.5	0.52	0.5	-0.08	0.177	0.421	CLDN4 Low
PDZD11	Xq13.1	9.93	9.84	0.58	0.57	0.09	0.177	0.421	CLDN4 High
KRTAP6-3	21q22.11	0	0.02	0.02	0.12	-0.01	0.177	0.421	CLDN4 Low
DHODH	16q22.2	7.16	7.06	0.63	0.66	0.1	0.177	0.421	CLDN4 High
AMPD1	1p13.2	0.81	1.01	1.13	1.42	-0.2	0.178	0.421	CLDN4 Low
RPTN	1q21.3	0.17	0.28	0.45	0.97	-0.12	0.178	0.421	CLDN4 Low
KRT85	12q13.13	0.29	0.39	0.51	0.73	-0.1	0.178	0.421	CLDN4 Low
TFDP1	13q34	11.05	10.96	0.6	0.57	0.09	0.178	0.422	CLDN4 High
GDF7	2p24.1	0.48	0.62	0.83	1.05	-0.15	0.178	0.422	CLDN4 Low
TYMSOS	18p11.32	4.57	4.77	1.4	1.15	-0.2	0.178	0.422	CLDN4 Low
CBLN3	14q12	6.84	6.7	0.98	0.82	0.14	0.178	0.422	CLDN4 High
KCTD21	11q14.1	8.57	8.69	0.78	0.77	-0.12	0.178	0.422	CLDN4 Low
NBR1	17q21.31	10.86	10.93	0.47	0.51	-0.08	0.178	0.422	CLDN4 Low
RABL3	3q13.33	9.15	9.21	0.44	0.44	-0.07	0.178	0.422	CLDN4 Low
FCGR3B	1q23.3	3.14	3.41	1.72	1.82	-0.27	0.178	0.422	CLDN4 Low
RDH16	12q13.3	2.49	2.67	1.08	1.14	-0.17	0.178	0.422	CLDN4 Low
PPHLN1	12q12	9.91	9.98	0.39	0.41	-0.06	0.178	0.422	CLDN4 Low
PODXL	7q32.3	12.1	12.27	1.02	1.21	-0.17	0.178	0.422	CLDN4 Low
MRPL20	1p36.33	10.32	10.23	0.57	0.62	0.09	0.178	0.422	CLDN4 High
CGB2	19q13.33	1.52	1.25	1.86	1.62	0.27	0.178	0.422	CLDN4 High
NCK1	3q22.3	9.93	9.84	0.62	0.59	0.09	0.178	0.422	CLDN4 High
ROPN1L	5p15.2	5.22	4.91	2.18	1.87	0.31	0.178	0.422	CLDN4 High
METTL22	16p13.2	7.72	7.81	0.57	0.6	-0.09	0.178	0.422	CLDN4 Low
KRT78	12q13.13	2.2	1.99	1.3	1.44	0.21	0.178	0.422	CLDN4 High
TMEM109	11q12.2	11.2	11.13	0.45	0.46	0.07	0.178	0.422	CLDN4 High
GOLGA8A	15q14	9.1	9.3	1.31	1.31	-0.2	0.178	0.422	CLDN4 Low
USE1	19p13.11	9.25	9.14	0.68	0.81	0.12	0.179	0.423	CLDN4 High
CSDC2	22q13.2	5.93	6.18	1.56	1.61	-0.24	0.179	0.423	CLDN4 Low
RNF167	17p13.2	11.54	11.46	0.47	0.55	0.08	0.179	0.423	CLDN4 High
IDUA	4p16.3	9.4	9.27	0.95	0.75	0.13	0.179	0.423	CLDN4 High
GUCY2C	12p12.3	1.52	1.66	1	0.81	-0.14	0.179	0.423	CLDN4 Low
NPIPB5	16p12.2	9.24	9.39	0.96	0.91	-0.14	0.179	0.423	CLDN4 Low
ANK2	4q25-q26	7.07	7.32	1.58	1.67	-0.25	0.179	0.423	CLDN4 Low
PCBP1	2p13.3	13.12	13.07	0.33	0.33	0.05	0.179	0.423	CLDN4 High
KCNS1	20q13.12	6.33	6.07	1.77	1.65	0.26	0.179	0.423	CLDN4 High
UBAP2	9p13.3	10.37	10.45	0.5	0.58	-0.08	0.179	0.423	CLDN4 Low
KRTAP8-1	21q22.1	0.01	0.02	0.06	0.12	-0.01	0.179	0.423	CLDN4 Low
TRPV4	12q24.11	7.03	7.2	1.14	1.15	-0.18	0.179	0.423	CLDN4 Low
H1-7	12q13.11	0.49	0.58	0.59	0.6	-0.09	0.179	0.423	CLDN4 Low
CEP19	3q29	6.1	6.24	0.87	0.93	-0.14	0.179	0.423	CLDN4 Low
ZPR1	11q23.3	9.7	9.78	0.53	0.56	-0.08	0.179	0.423	CLDN4 Low
EXOC2	6p25.3	9.04	9.13	0.62	0.56	-0.09	0.179	0.423	CLDN4 Low
HCAR1	12q24.31	6.76	7.02	1.93	1.46	-0.26	0.179	0.424	CLDN4 Low
KATNAL1	13q12.3	7.1	7.23	0.8	0.81	-0.12	0.179	0.424	CLDN4 Low
SSX1	Xp11.23	0.83	1.1	1.57	1.94	-0.27	0.179	0.424	CLDN4 Low
KBTBD6	13q14.11	8.26	8.35	0.61	0.62	-0.09	0.179	0.424	CLDN4 Low
OR6B1	7q35	0.04	0.02	0.17	0.1	0.02	0.179	0.424	CLDN4 High
STAB1	3p21.1	9.88	10.06	1.18	1.17	-0.18	0.18	0.424	CLDN4 Low
PARP4	13q12.12	11.15	11.05	0.63	0.64	0.1	0.18	0.424	CLDN4 High
GFRA1	10q25.3	5.1	5.49	2.41	2.63	-0.39	0.18	0.424	CLDN4 Low
MROH9	1q24.3	0.95	0.75	1.44	1.19	0.2	0.18	0.424	CLDN4 High
BDKRB1	14q32.2	3.08	2.86	1.25	1.62	0.22	0.18	0.424	CLDN4 High
PRPSAP2	17p11.2	8.61	8.69	0.51	0.49	-0.08	0.18	0.425	CLDN4 Low
TCAM1P	17q23.3	3.78	3.47	1.97	2.1	0.31	0.18	0.425	CLDN4 High
WDR31	9q32	5.34	5.47	0.88	0.91	-0.14	0.18	0.425	CLDN4 Low
BDH1	3q29	9.57	9.42	1	0.97	0.15	0.18	0.425	CLDN4 High
CMTM4	16q22.1-q22.3	9.94	10.06	0.77	0.71	-0.11	0.18	0.425	CLDN4 Low
ANGPT2	8p23.1	7.93	7.79	0.84	0.96	0.14	0.18	0.425	CLDN4 High
SLCO1B1	12p12.1	0.52	0.69	1.01	1.24	-0.17	0.18	0.426	CLDN4 Low
CDS2	20p12.3	9.36	9.29	0.52	0.49	0.08	0.18	0.426	CLDN4 High
NME5	5q31.2	6.26	6.05	1.31	1.34	0.2	0.181	0.426	CLDN4 High
BACE2	21q22.2-q22.3	11.34	11.18	1.07	1.01	0.16	0.181	0.426	CLDN4 High
WDR47	1p13.3	8.2	8.27	0.42	0.52	-0.07	0.181	0.426	CLDN4 Low
PPP6C	9q33.3	10.31	10.38	0.44	0.42	-0.07	0.181	0.426	CLDN4 Low
MAPKAPK5	12q24.12-q24.13	9.15	9.22	0.48	0.46	-0.07	0.181	0.426	CLDN4 Low
PYY	17q21.31	2.05	1.72	2.47	1.85	0.33	0.181	0.426	CLDN4 High
KRTAP20-4	21q22.11	0.02	0	0.18	0.05	0.02	0.181	0.426	CLDN4 High
CMAHP	6p22.3	5.78	5.99	1.33	1.36	-0.21	0.181	0.426	CLDN4 Low
TFEC	7q31.2	6.41	6.63	1.43	1.44	-0.22	0.181	0.426	CLDN4 Low
SYP	Xp11.23	5.22	5.03	1.31	1.19	0.19	0.181	0.426	CLDN4 High
JMJD6	17q25.1	8.56	8.64	0.55	0.5	-0.08	0.181	0.426	CLDN4 Low
STAT5B	17q21.2	9.6	9.68	0.51	0.58	-0.08	0.181	0.426	CLDN4 Low
TP73	1p36.32	5.55	5.81	1.66	1.64	-0.25	0.181	0.426	CLDN4 Low
NDUFB2-AS1	7q34	4.65	4.55	0.62	0.66	0.1	0.181	0.427	CLDN4 High
C1ORF174	1p36.32	9.23	9.31	0.5	0.49	-0.08	0.181	0.427	CLDN4 Low
TEX13A	Xq22.3	0.01	0.03	0.08	0.12	-0.02	0.181	0.427	CLDN4 Low
CCNYL6	19p12	1.91	2.03	0.85	0.83	-0.13	0.181	0.427	CLDN4 Low
PNPLA8	7q31.1	9.16	9.08	0.49	0.51	0.08	0.181	0.427	CLDN4 High
SLC5A9	1p33	1.93	2.11	1.18	1.17	-0.18	0.181	0.427	CLDN4 Low
DEFA4	8p23.1	0.04	0.07	0.16	0.24	-0.03	0.181	0.427	CLDN4 Low
SPIN3	Xp11.21	7.88	8	0.68	0.85	-0.12	0.181	0.427	CLDN4 Low
PRPS2	Xp22.2	9.83	9.94	0.74	0.68	-0.11	0.181	0.427	CLDN4 Low
TRIT1	1p34.2	9.07	9.17	0.66	0.64	-0.1	0.182	0.427	CLDN4 Low
SRD5A3	4q12	10.04	9.88	0.97	1.04	0.15	0.182	0.427	CLDN4 High
RAB35	12q24.23	10.11	10.17	0.42	0.4	-0.06	0.182	0.427	CLDN4 Low
SSX2	Xp11.22	0.72	0.97	1.59	1.64	-0.25	0.182	0.427	CLDN4 Low
ZNF34	8q24.3	7.48	7.59	0.75	0.69	-0.11	0.182	0.427	CLDN4 Low
COX7A2	6q14.1	11.24	11.11	0.82	0.81	0.13	0.182	0.427	CLDN4 High
RSU1P2	10q11.21	0.49	0.34	1.03	0.86	0.14	0.182	0.427	CLDN4 High
MAK16	8p12	8.58	8.67	0.61	0.58	-0.09	0.182	0.427	CLDN4 Low
PITX3	10q24.32	1.04	1.21	1.13	1.12	-0.17	0.182	0.427	CLDN4 Low
MYC	8q24.21	11.48	11.65	1.06	1.16	-0.17	0.182	0.427	CLDN4 Low
NFATC2	20q13.2	6.86	7.03	1.02	1.14	-0.16	0.182	0.427	CLDN4 Low
CCNT2	2q21.3	9.22	9.31	0.53	0.58	-0.09	0.182	0.427	CLDN4 Low
TNIK	3q26.2-q26.31	6.6	6.87	1.87	1.7	-0.27	0.182	0.427	CLDN4 Low
GDI2	10p15.1	12.55	12.63	0.54	0.5	-0.08	0.182	0.428	CLDN4 Low
PRSS57	19p13.3	0.51	0.41	0.73	0.67	0.11	0.182	0.428	CLDN4 High
BCKDHB	6q14.1	8.88	8.98	0.62	0.68	-0.1	0.182	0.428	CLDN4 Low
RER1	1p36.32	11.38	11.31	0.46	0.5	0.07	0.182	0.428	CLDN4 High
TP53I3	2p23.3	9.17	9.05	0.81	0.84	0.13	0.182	0.428	CLDN4 High
TIAM1	21q22.11	9.02	9.17	1.04	0.94	-0.15	0.182	0.428	CLDN4 Low
ZIK1	19q13.43	6.86	7.07	1.44	1.41	-0.22	0.183	0.428	CLDN4 Low
THUMPD3-AS1	3p25.3	8.42	8.53	0.73	0.77	-0.11	0.183	0.428	CLDN4 Low
TREH	11q23.3	0.38	0.48	0.68	0.6	-0.1	0.183	0.429	CLDN4 Low
TM4SF4	3q25.1	1.61	1.89	1.7	2.02	-0.28	0.183	0.429	CLDN4 Low
EHD3	2p23.1	8.7	8.8	0.7	0.65	-0.1	0.183	0.429	CLDN4 Low
SAP130	2q14.3	9.95	10.04	0.55	0.53	-0.08	0.183	0.429	CLDN4 Low
CLEC18C	16q22.1	3.24	3.57	2.11	2.22	-0.33	0.183	0.429	CLDN4 Low
BTN2A1	6p22.2	8.56	8.64	0.54	0.5	-0.08	0.183	0.429	CLDN4 Low
AKT3	1q43-q44	7.41	7.63	1.42	1.46	-0.22	0.183	0.429	CLDN4 Low
IGSF22	11p15.1	3.2	3.02	1.23	1.11	0.18	0.183	0.429	CLDN4 High
LINC01465	12q14.1	4.67	4.53	0.9	0.88	0.14	0.183	0.429	CLDN4 High
RNPEP	1q32.1	11.02	10.95	0.51	0.5	0.08	0.183	0.429	CLDN4 High
DNAJC19	3q26.33	9.35	9.26	0.6	0.54	0.09	0.183	0.429	CLDN4 High
MIXL1	1q42.12	1.93	2.12	1.23	1.31	-0.19	0.183	0.429	CLDN4 Low
SLCO1B3	12p12.2	2.42	2.06	2.35	2.39	0.36	0.183	0.429	CLDN4 High
NMB	15q25.2	7.57	7.42	1	1.01	0.15	0.183	0.429	CLDN4 High
TMEM158	3p21.31	7.23	7.5	1.85	1.71	-0.27	0.183	0.429	CLDN4 Low
SRD5A1	5p15.31	8.73	8.83	0.67	0.72	-0.11	0.183	0.429	CLDN4 Low
PEX7	6q23.3	7.05	6.95	0.6	0.68	0.1	0.183	0.429	CLDN4 High
TPTE	21p11.2	0.76	1	1.53	1.6	-0.24	0.183	0.429	CLDN4 Low
SNX20	16q12.1	5.36	5.57	1.34	1.4	-0.21	0.183	0.429	CLDN4 Low
HGC6.3	6q27	1.43	1.18	1.78	1.5	0.25	0.183	0.429	CLDN4 High
GABRA3	Xq28	3.01	3.45	2.87	3.01	-0.45	0.183	0.429	CLDN4 Low
CHRM4	11p11.2	2.69	2.88	1.28	1.25	-0.19	0.183	0.429	CLDN4 Low
BTBD16	10q26.13	0.88	0.73	1.02	0.96	0.15	0.183	0.429	CLDN4 High
USP30	12q24.11	8.84	8.92	0.56	0.55	-0.08	0.184	0.429	CLDN4 Low
BBS10	12q21.2	8.84	8.93	0.64	0.57	-0.09	0.184	0.429	CLDN4 Low
MAD2L2	1p36.22	9.55	9.67	0.76	0.81	-0.12	0.184	0.429	CLDN4 Low
SLC7A2	8p22	8.59	8.91	2.05	2.18	-0.32	0.184	0.429	CLDN4 Low
COLEC11	2p25.3	5.69	5.26	2.94	2.64	0.43	0.184	0.429	CLDN4 High
MESP2	15q26.1	4.57	4.35	1.5	1.43	0.22	0.184	0.429	CLDN4 High
CRYZ	1p31.1	9.42	9.3	0.77	0.8	0.12	0.184	0.429	CLDN4 High
PGM5P2	9p11.2	1	1.14	0.85	0.95	-0.14	0.184	0.429	CLDN4 Low
