sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-33-AASB-01	12.9559	12.5464	5.3059	5.2119	-1.4882441166391225	4.549	-2108.49	-900.19	-3008.68	0.9866883738154725	0.9866883738154725	-900.19	0.44	0.283348082922459
TCGA-33-AASD-01	13.4395	11.9404	6.0051	6.8567	-0.7277430910793319	4.8336	-929.6	-511.35	-1440.96	0.923583861187055	0.923583861187055	-511.35	0.69	0.0993927162631851
TCGA-33-AASI-01	13.7169	11.879	8.689	7.767950000000001	0.4977151072317003	7.260400000000001	-1142.29	544.69	-597.6	0.8691741804299714	0.8691741804299714	544.69	0.52	0.390221042666116
TCGA-33-AASJ-01	14.9252	13.666	7.274	7.51515	-0.5733889649343794	5.91075	-1816.35	-637.23	-2453.58	0.9701785166050788	0.9701785166050788	-637.23	0.6	0.205561939032555
TCGA-33-AASL-01	13.5518	13.4821	7.2615	7.59105	0.10219514983746292	5.9575	-1535.7	163.36	-1372.34	0.9196752676190695	0.9196752676190695	163.36	0.43	0.495420283496489
TCGA-34-2596-01	10.2267	10.3304	7.3797	7.8186	0.13943129255804623	6.108549999999999	-340.19	365.99	25.8	0.8203495413047952	0.8203495413047952	365.99	0.65	0.278597579736719
TCGA-34-2600-01	15.2687	15.0448	6.0705	6.25885	-0.8981010322633812	6.78115	-1519.82	-460.42	-1980.25	0.9510100889452877	0.9510100889452877	-460.42	0.86	0.0802567044041983
TCGA-34-2608-01	13.6554	12.5405	8.3454	8.03905	0.4350845084570558	7.39725	1110.66	1478.26	2588.93	0.5528530366386869	0.5528530366386869	1478.26	0.29	0.411088299904945
TCGA-34-5231-01	9.4651	8.4798	8.7475	8.225950000000001	0.043111772794431964	7.749700000000001	-673.34	125.1	-548.24	0.8655684658874954	0.8655684658874954	125.1	0.67	0.145934923759989
TCGA-34-5232-01	15.5441	12.7107	8.5036	8.1288	0.6507856505650162	7.4215	-707.77	1645.28	937.51	0.7367110263282619	0.7367110263282619	1645.28	0.29	0.568214547711648
TCGA-34-5234-01	13.5057	12.2929	9.8372	9.34225	0.8790815419517627	9.35765	1318.16	2107.92	3426.09	0.44654376483525965	0.44654376483525965	2107.92	0.18	0.488090766502774
TCGA-34-5236-01	12.4123	12.049	7.0082	6.5825	-0.25481001473587056	6.184100000000001	778.57	567.65	1346.23	0.6948405615356676	0.6948405615356676	567.65	0.18	0.385900311923805
TCGA-34-5239-01	12.5677	12.3649	9.7752	8.580649999999999	0.8437196759005147	8.872399999999999	1037.19	1290.56	2327.75	0.5843853683071024	0.5843853683071024	1290.56	0.45	0.307276488106012
TCGA-34-5240-01	14.5377	13.0122	7.2997	6.549149999999999	-0.41975277891516666	6.2249	-49.51	26.54	-22.96	0.8244215433119408	0.8244215433119408	26.54	0.64	0.123959920939387
TCGA-34-5241-01	14.4162	13.1551	8.7906	9.20785	0.5893353343318295	7.9841999999999995	659.07	1325.64	1984.71	0.6244887025693714	0.6244887025693714	1325.64	0.88	0.406592412444162
TCGA-34-5927-01	11.844	11.6965	6.2788	6.64095	-0.7149987022119398	5.19845	-961.66	-790.44	-1752.09	0.9401245707660908	0.9401245707660908	-790.44	0.77	0.148518763284731
TCGA-34-5928-01	12.118	12.2976	7.8539	7.29	0.19548928266290738	6.82425	1052.44	505.4	1557.84	0.6721703853746195	0.6721703853746195	505.4	0.4	0.231994139199668
TCGA-34-5929-01	9.4893	10.7188	6.4309	5.9731	-0.2667236831340836	5.4668	-535.88	105.62	-430.26	0.8567663640366151	0.8567663640366151	105.62	0.75	0.150110072288807
