gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
WNT11	0.5060368692281949	0.6838138882413651	1.4563180568212084	0.15775000366849043	0.3474768899952745	25	0.5011888275674296	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
OAS1	-1.0527248985485798	4.78164690858669	-1.4559669953125687	0.15784624521939059	0.7230417323591731	25	0.5012240774003313	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
KRT5	-1.5444370708446906	1.738229037741884	-1.446292285097573	0.16051712301773868	1.0678595791171606	25	0.5045588041658221	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	keratin
PLA2G4A	0.8537812885778738	1.8579162488770933	1.4256943469985413	0.1663241775656066	0.598852966188234	25	0.5110491996629176	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
MYL12A	-0.4500802100758726	8.576240352950261	-1.418357579166347	0.1684326301781395	0.31732492333873347	25	0.5142835473411185	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
JAM2	-0.7628533655951997	0.9578139361271993	-1.4104726473764932	0.1707222814633428	0.5408494571051213	25	0.5166817438174134	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
HLA-DMA	-0.9207428862517211	5.706886552393151	-1.407637762067189	0.17155150419146994	0.6541049914003177	25	0.518138634032844	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
ZNFX1	-0.3439577787656771	4.514027407278338	-1.3907198567533336	0.17656675884124473	0.24732355484493776	25	0.5234349643632485	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
NPHP4	0.44819570683049775	2.3142084906017497	1.3827913534269558	0.17895669734065045	0.3241238858774605	25	0.5257039593961109	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
ROCK1	0.36479347997986045	5.921327864303897	1.3672545318790792	0.18371398874773445	0.2668072926249573	25	0.5304537600399174	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
SRI	-0.33707011055693464	7.694124889956478	-1.3593747225152455	0.1861644377010918	0.2479596721743179	25	0.5327025278912495	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PTPN6	-0.4646802643567996	4.120649217632298	-1.3551542296454206	0.18748741810533712	0.34289843487289584	25	0.5339260904080346	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
UBA7	-0.5326612340201077	3.0247106583774968	-1.3473294172235937	0.18995969414275582	0.3953459541600069	25	0.536467828136009	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
SYMPK	-0.31648350226065014	4.644643648008209	-1.34371895045956	0.19110898958644343	0.2355280485940984	25	0.5377846228856216	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
MYL6	-0.22042261175706523	10.277304187557721	-1.341203124078731	0.19191303955368302	0.16434692687468422	25	0.5384945395562912	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
