ligand	n_patients	n_cohorts	median_delta	mean_delta	paired_p	frac_patients_expressed_high	paired_fdr
CLU	60	3	0.02215622365474701	0.13837230226490646	0.0010809941395103183	0.85	0.0048021858613934215
CLUL1	50	2	0.0009444117313250899	0.001364488058607094	0.18409725960768353	0.06	0.31318178695867643
CMTM8	60	3	0.06269989162683487	0.07830034646516044	2.9963618614770236e-07	0.9833333333333333	3.616820630772771e-06
CNMD	21	1	0.0	0.0015700449259297567	0.06297905121445523	0.0	0.13783876593639927
CNTF	60	3	0.0	0.002142978152066159	0.0036366878938305404	0.016666666666666666	0.013219185080728686
CNTN1	60	3	0.0	0.0035975231881214616	0.667225361762762	0.08333333333333333	0.7681448047268792
CNTN2	60	3	0.0	0.0020170809718062324	0.02590964061803297	0.016666666666666666	0.0678692641842081
CNTN3	60	3	0.0	0.008832931968693931	0.002835697609348254	0.06666666666666667	0.010791906506914533
CNTN4	60	3	0.0	0.002004972522384681	0.05241072296998144	0.05	0.11952445410138897
CNTN5	60	3	0.0	0.005152351362873257	0.03362139133395921	0.05	0.08335593909560425
CNTN6	60	3	0.0	0.0032092761585469512	0.5337772019665354	0.03333333333333333	0.6728520636603479
COL10A1	60	3	0.0	0.0001538593347504502	0.4654153212400317	0.0	0.6098369614932433
COL11A1	60	3	0.0	0.0011292125619850899	0.5699338801555559	0.016666666666666666	0.7014675015430366
COL11A2	60	3	8.42678127810359e-05	0.0023486141794516395	0.0066344609081602935	0.016666666666666666	0.02202272440347653
COL12A1	60	3	0.0	0.0023609094734032016	0.5973597179276929	0.05	0.7188770019371531
COL13A1	60	3	0.0	0.00701589127711486	0.0025483967872926977	0.05	0.00991965524695366
COL14A1	60	3	0.0	0.0008567711221985519	0.061427334379329415	0.0	0.13585432756988255
COL15A1	60	3	0.0	-0.00021210743567886918	0.8136975789616672	0.016666666666666666	0.8760077539272002
COL16A1	60	3	0.002221011440269649	0.00951027520786738	0.01684719204305584	0.25	0.04759431321856201
