layer,analysis_id,family,cohort,partner,label,definition,adjustment,n,spearman_rho,spearman_p,pearson_r,pearson_p,ci95_lo,ci95_hi,resid_df,n_adjusters,unadjusted_spearman_same_n,null_p_same_size_from_parent,partial_status,eligible_for_max,is_layer_max,q_bh_within_eligible,n_equals_118,rounds_to_0.69,delta_vs_0.69
rna,RNA_LUSC::TJ_EPITHELIAL,histology,RNA_LUSC,TJ_EPITHELIAL,LUSC vs TJ epithelial (18),Lung LUSC,none,27,0.5433455433455433,0.0034009423043008516,0.502935790628954,0.007498044154629573,0.1274016532439007,0.823713256576284,,0,,0.3929017745563609,,True,False,0.0035209755620997053,False,False,
rna,RNA_LUSC::TJ_TISMO,histology,RNA_LUSC,TJ_TISMO,LUSC vs TJ TISMO (7),Lung LUSC,none,27,0.4652014652014652,0.014480565926507165,0.46763431758066043,0.013908458113820353,0.03294254158156373,0.7949232142957743,,0,,0.72831792051987,,True,False,0.014480565926507165,False,False,
rna,RNA_LUSC::CLDN4_TJ_EDGE,histology,RNA_LUSC,CLDN4_TJ_EDGE,LUSC vs CLDN4 TJ edge (11),Lung LUSC,none,27,0.5543345543345543,0.0026962776253369393,0.549379178595441,0.0029967828303900574,0.15843631064219302,0.8298310291858679,,0,,0.5263684078980255,,True,False,0.0028246717979720317,False,False,
rna,RNA_LUSC::CLDN1,focal_single,RNA_LUSC,CLDN1,LUSC vs CLDN1,Lung LUSC,none,27,0.557997557997558,0.0024910892402369837,0.5576374195823043,0.0025106505065352045,0.20351092627441777,0.7932050179117008,,0,,,,False,False,,False,False,
rna,RNA_LUSC::CLDN7,focal_single,RNA_LUSC,CLDN7,LUSC vs CLDN7,Lung LUSC,none,27,0.48412698412698413,0.01050321314209015,0.5001103493241326,0.00789680985095481,0.07633986357306397,0.8107843406128958,,0,,,,False,False,,False,False,
rna,RNA_LUSC::OCLN,focal_single,RNA_LUSC,OCLN,LUSC vs OCLN,Lung LUSC,none,27,0.12244275379955744,0.5429076343658213,0.1171569649438227,0.560587179347084,-0.35402112764783666,0.5595445379892164,,0,,,,False,False,,False,False,
rna,RNA_LUSC::F11R,focal_single,RNA_LUSC,F11R,LUSC vs F11R,Lung LUSC,none,27,0.22039072039072038,0.2693126156347753,0.2520323080891346,0.2047188952859555,-0.2075404386882451,0.6062864152100583,,0,,,,False,False,,False,False,
rna,RNA_LUSC::TJP1,focal_single,RNA_LUSC,TJP1,LUSC vs TJP1,Lung LUSC,none,27,0.11782661782661781,0.5583329739652353,0.11936792802296209,0.5531603452539667,-0.28800868620695697,0.52232121049653,,0,,,,False,False,,False,False,
rna,RNA_SCLC::CLDN4,histology,RNA_SCLC,CLDN4,SCLC vs CLDN4,Lung SCLC,none,59,0.34770790846716215,0.006967118748925905,0.3610768469976896,0.004960223270154145,0.08832175729142895,0.5615091839980698,,0,,0.9977505623594102,,True,False,0.007047200573626203,False,False,
rna,RNA_SCLC::TJ_EPITHELIAL,histology,RNA_SCLC,TJ_EPITHELIAL,SCLC vs TJ epithelial (18),Lung SCLC,none,59,0.49964921850700433,5.6048492388941634e-05,0.413939907714444,0.0011179699433793932,0.2704221109344456,0.6780511352884795,,0,,0.5201199700074981,,True,False,5.9424907593094747e-05,False,False,
rna,RNA_SCLC::TJ_TISMO,histology,RNA_SCLC,TJ_TISMO,SCLC vs TJ TISMO (7),Lung SCLC,none,59,0.5853117234938693,1.1217343845884888e-06,0.4335276031769695,0.0006035732537290493,0.3940815754941985,0.7247216789778315,,0,,0.31592101974506376,,True,False,1.2655464851767567e-06,False,False,
