unit,cut,cyto,radius_um,continuous,n_sec_usable,n_sec_neg,n_sec_pos,n_sec_zero,n_don_usable,n_don_neg,n_don_pos,n_don_zero,mean_high,mean_low,pooled_ratio,pooled_delta,median_section_ratio,effect_log_ratio,effect_abs_delta,eligible_exclusion,eligible_enrichment,sign_p_section,sign_p_donor,wilcoxon_p,n_fov,n_fov_neg,n_fov_pos,donor_deltas_json
donor,top10_vs_rest,nk,100,False,8,3,5,0,5,2,3,0,0.8039733351405357,0.5673125167884034,1.4171612847392934,0.23666081835213237,1.3165824788081824,0.3486557755011848,0.23666081835213237,False,False,0.36328125,0.5,0.25,216,104,112,"[0.6804518122004277, 0.07074841345550212, -0.03277151457012384, -0.1895098462239162, 0.03623557212443751]"
donor,top10_vs_rest,cd8nk,10,False,8,5,3,0,5,2,3,0,0.006914192951559845,0.007875996704755382,,-0.0009618037531955357,,,0.0009618037531955357,False,False,0.36328125,0.5,0.546875,216,121,58,"[0.00021672179168007915, 0.0003353563601818069, 0.0011830468342702502, -0.0031643154786874907, -0.007881729950639342]"
donor,top10_vs_rest,cd8nk,20,False,8,3,5,0,5,2,3,0,0.05340274065516913,0.05241060375631035,1.0189300795593168,0.0009921368988587784,0.8209963083983672,0.018753135163405533,0.0009921368988587784,False,False,0.36328125,0.5,0.84375,216,108,106,"[0.018282617109283604, 0.008069455374857006, 0.0036070470501036803, -0.020627928996919682, -0.04156637661512527]"
donor,top10_vs_rest,cd8nk,25,False,8,3,5,0,5,2,3,0,0.08820083905028227,0.09023502606884726,0.9774567913682105,-0.002034187018564986,0.7970600073379323,0.02280119130348334,0.002034187018564986,False,False,0.36328125,0.5,1.0,216,125,91,"[0.025222230550151232, 0.014662561923071488, 0.00047163260144261754, -0.03565685440213505, -0.07188916052279526]"
donor,top10_vs_rest,cd8nk,40,False,8,3,5,0,5,3,2,0,0.27825124310738236,0.275769074793448,1.009000894374373,0.002482168313934413,1.3697387421034,0.008960627767880742,0.002482168313934413,False,False,0.36328125,0.5,0.84375,216,123,93,"[0.08546055307541302, 0.05093265029953714, -0.021874298805084347, -0.09060703398735115, -0.15310133141678095]"
donor,top10_vs_rest,cd8nk,50,False,8,4,4,0,5,3,2,0,0.4788219383164912,0.4659933415069444,1.0275295710622416,0.012828596809546913,1.327548190192252,0.02715744659674682,0.012828596809546913,False,False,0.63671875,0.5,0.84375,216,121,95,"[0.1471995706582183, 0.08406284433176323, -0.03623261640922759, -0.14026514288910463, -0.2103024061224832]"
donor,top10_vs_rest,cd8nk,80,False,8,4,4,0,5,3,2,0,1.4794245559694623,1.4160616823650165,1.0447458429202188,0.06336287360444542,1.2262287096923496,0.04377364331927676,0.06336287360444542,False,False,0.63671875,0.5,0.640625,216,116,100,"[0.47739626912297084, 0.23720739774125016, -0.15007403664325603, -0.38216473098174575, -0.48018041200634176]"
donor,top10_vs_rest,cd8nk,100,False,8,4,4,0,5,3,2,0,2.5025339599065357,2.383294603650313,1.0500313121481468,0.1192393562562225,1.1952658833083598,0.0488199848182652,0.1192393562562225,False,False,0.63671875,0.5,0.4609375,216,112,104,"[0.7899004221279955, 0.3608271726369694, -0.27048715424662895, -0.6026555239933038, -0.6329837564846148]"
donor,top10_vs_rest,gzmb,10,False,8,2,6,0,5,2,3,0,0.006519457190848058,0.007683348207357728,,-0.0011638910165096704,,,0.0011638910165096704,False,False,0.14453125,0.5,0.7421875,216,121,67,"[0.0012289399633540368, 0.00040249861784022066, 0.00028727078039234195, -0.011438020127926999, -0.002536968072837379]"
donor,top10_vs_rest,gzmb,20,False,8,3,5,0,5,2,3,0,0.06386136377320037,0.06304978158316216,1.0128720856703959,0.0008115821900382091,0.7399900070404782,0.012789944510047556,0.0008115821900382091,False,False,0.36328125,0.5,0.7421875,216,118,98,"[0.02578902652418192, 0.0074149248411205515, 0.0014703998386455114, -0.05482512914554191, -0.02640501742510977]"
donor,top10_vs_rest,gzmb,25,False,8,3,5,0,5,3,2,0,0.11638210316529433,0.11308936099039886,1.0291162859711889,0.003292742174895478,1.260504384250895,0.02870045918526491,0.003292742174895478,False,False,0.36328125,0.5,0.84375,216,122,94,"[0.04687688306179971, 0.011289373331956717, -0.0032865875319594076, -0.08166532826739223, -0.03733958178688104]"
donor,top10_vs_rest,gzmb,40,False,8,4,4,0,5,3,2,0,0.3970302310194548,0.37190477058998866,1.0675588548907484,0.025125460429466083,1.1954561455728068,0.0653745979879712,0.025125460429466083,False,False,0.63671875,0.5,0.7421875,216,120,96,"[0.17554576113944143, 0.031180300120872043, -0.023901525610971502, -0.18964268734593426, -0.11936816153559049]"
donor,top10_vs_rest,gzmb,50,False,8,4,4,0,5,3,2,0,0.6880082421750084,0.6427457883743866,1.0704204595647344,0.04526245380062187,1.1687876868296776,0.0680515241522954,0.04526245380062187,False,False,0.63671875,0.5,0.84375,216,120,95,"[0.2947661794741636, 0.055786089391306554, -0.04617096082726363, -0.2700693970011865, -0.21557367875310862]"
donor,top10_vs_rest,gzmb,80,False,8,4,4,0,5,3,2,0,2.143360787307361,1.979720771374582,1.0826581295195274,0.16364001593277938,1.1205260390139247,0.07941924830422974,0.16364001593277938,False,False,0.63671875,0.5,0.546875,216,115,101,"[0.881455759583001, 0.14573665107454797, -0.16181080535635162, -0.6379197479814143, -0.5194424436671992]"
donor,top10_vs_rest,gzmb,100,False,8,4,4,0,5,3,2,0,3.6100909731238717,3.332725283774323,1.0832248882618465,0.2773656893495488,1.110363679065793,0.07994259951997149,0.2773656893495488,False,False,0.63671875,0.5,0.546875,216,111,105,"[1.3898283773349926, 0.2190370331356447, -0.28890618708803695, -0.9231663929939797, -0.6686178831741794]"
