gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Tacc3	Trop2_KO_vs_WT	8.81852	9.35725	-0.538732	-2.38249	-3.76704	0.00575828	0.712889	0.015873	5	5
Ccdc136	Trop2_KO_vs_WT	7.0725	6.52422	0.54828	2.39426	3.78565	0.00577807	0.712889	0.015873	5	5
Tmem39a	Trop2_KO_vs_WT	9.38366	9.10544	0.278215	2.68847	4.25085	0.00579033	0.712889	0.00793651	5	5
Odad1	Trop2_KO_vs_WT	6.96881	6.25459	0.714216	2.38373	3.76901	0.00580248	0.712889	0.015873	5	5
Eldr	Trop2_KO_vs_WT	4.95153	5.79537	-0.843837	-2.62509	-4.15063	0.00580546	0.712889	0.00793651	5	5
Rhoh	Trop2_KO_vs_WT	7.5098	7.07736	0.43244	2.37579	3.75646	0.00582651	0.712889	0.00793651	5	5
Ccdc77	Trop2_KO_vs_WT	7.58157	7.21969	0.361873	2.42155	3.8288	0.00586646	0.712889	0.00793651	5	5
Gm16267	Trop2_KO_vs_WT	5.08488	3.94649	1.13839	2.4961	3.94668	0.00589335	0.712889	0.00793651	5	5
Gm12643	Trop2_KO_vs_WT	4.57173	3.74867	0.823057	2.36383	3.73755	0.0059437	0.712889	0.00793651	5	5
Erfe	Trop2_KO_vs_WT	6.71399	7.32678	-0.612788	-2.3524	-3.71946	0.0059497	0.712889	0.015873	5	5
Vti1a	Trop2_KO_vs_WT	7.87077	8.28446	-0.413695	-2.48175	-3.92398	0.00598557	0.712889	0.00793651	5	5
Cstdc2	Trop2_KO_vs_WT	1.32782	4.55296	-3.22513	-2.61166	-4.1294	0.00607077	0.712889	0.0119252	5	5
Gpr174	Trop2_KO_vs_WT	4.61797	3.35304	1.26493	2.47746	3.91721	0.00607904	0.712889	0.00793651	5	5
Mpp7	Trop2_KO_vs_WT	4.48155	6.14298	-1.66142	-2.83539	-4.48314	0.0060989	0.712889	0.00793651	5	5
Hspa12a	Trop2_KO_vs_WT	4.83315	5.33455	-0.501396	-2.56646	-4.05792	0.0061691	0.712889	0.00793651	5	5
Brd7	Trop2_KO_vs_WT	9.17301	9.52053	-0.347512	-2.54748	-4.02792	0.00617831	0.712889	0.031746	5	5
