GeneSymbol	contrast	logFC_meaning	n_per_group	logFC	logCPM	submitter_edgeR_PValue	submitter_edgeR_FDR
Ccdc132	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.242001	4.59482	0.229365	0.690767
Col5a3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.530515	1.62947	0.229453	0.690843
Gm10494	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.87447	-0.504382	0.229454	0.690843
Pttg1ip	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.157324	8.31331	0.229543	0.691017
Cnot10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.179995	5.79737	0.229594	0.691074
Eef1a1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.155898	10.8717	0.22965	0.691149
Wnt2b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.384973	3.52536	0.229701	0.691205
Kpnb1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.172736	7.82604	0.229923	0.691671
Agpat9	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.275222	3.75196	0.229932	0.691671
Gm4788	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.324107	3.17744	0.229952	0.691671
Tubgcp6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.197724	5.56171	0.230015	0.691765
Heatr3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.215822	4.78512	0.230322	0.692593
Smg9	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.29273	3.66554	0.230419	0.692789
Tomm20	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.287997	4.26233	0.230528	0.693021
Bnc2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.306596	3.41316	0.230643	0.693272
Zkscan4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.33361	3.08058	0.230805	0.693663
A930005H10Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.31454	3.52045	0.230887	0.693812
Cdc37	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.166433	6.8561	0.230961	0.693938
Tet3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.175016	7.19374	0.231021	0.693942
Zfp775	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.341037	3.57836	0.231026	0.693942
Col4a5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.210627	7.03822	0.231229	0.694454
Ugt1a2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.2852	3.61109	0.231342	0.694607
Fam173b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.427797	2.26821	0.231344	0.694607
Dcxr	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.171477	6.23858	0.231381	0.694623
Supt6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.171723	7.33727	0.231564	0.694989
Ipo7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.220519	6.2726	0.231587	0.694989
Dnajb1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.190298	6.18678	0.231599	0.694989
Hpgd	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.198017	9.00121	0.231857	0.695666
2010015L04Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.371007	2.99103	0.231901	0.695684
Pdcd4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.179683	5.90972	0.231962	0.695684
Sapcd2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.832273	0.495618	0.231974	0.695684
Tceb2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.252739	4.38639	0.232019	0.695684
Mynn	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.200672	4.99458	0.23205	0.695684
Arhgap19	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.316608	3.46524	0.232057	0.695684
Golgb1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.170037	7.70426	0.232189	0.695684
Depdc1b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.832273	0.495618	0.232191	0.695684
Faim	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.2938	3.61571	0.232203	0.695684
Snx8	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.212118	4.88984	0.232211	0.695684
Vps36	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.234533	4.52291	0.232215	0.695684
Tnfrsf14	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.285238	3.90689	0.232292	0.695819
B3galnt1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.308432	3.59248	0.232329	0.695834
Pih1d1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.245265	4.26527	0.232377	0.695881
Eif4e2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.170089	5.94224	0.232436	0.695961
Trim37	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.191578	5.53515	0.232605	0.696372
Ovol2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.599176	1.47544	0.232657	0.69643
Naa10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.281161	4.00165	0.23283	0.696852
Tipin	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.282213	3.92188	0.232907	0.696988
Ttc5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.200317	4.97135	0.232939	0.696988
Atg3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.204123	5.20528	0.23303	0.697162
Tmem201	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.223532	4.7624	0.233127	0.697357
Zfp438	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.318623	3.30869	0.233169	0.697387
Pkhd1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.546143	1.59248	0.233231	0.697477
Ift52	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.191715	5.20528	0.23332	0.697645
Rnaseh2a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.299041	3.54486	0.233405	0.697802
Pvt1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.543142	1.49562	0.233546	0.69813
Zfp105	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.333126	3.13947	0.233606	0.698213
Magix	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.306057	3.36461	0.233696	0.698386
H13	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.161789	6.74513	0.23374	0.698421
Urod	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.217424	4.68983	0.233814	0.698545
Limk2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.168921	6.38098	0.233962	0.698893
Cox14	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.226585	4.60182	0.234063	0.699097
Hccs	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.234253	4.46268	0.234241	0.699534
Exosc10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.190676	5.34528	0.234385	0.699867
Tnpo3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.173871	6.20604	0.234501	0.700118
Rfx3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.225773	4.63631	0.234687	0.700575
Xk	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.392062	2.67442	0.234827	0.700895
Nodal	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.07039	-0.866953	0.234878	0.700953
Krt4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.07039	-0.866953	0.234948	0.701065
Lipc	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-2.07039	-0.866953	0.234992	0.701101
Spsb3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.222966	4.53271	0.235082	0.701212
Jag2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.213848	5.51799	0.235094	0.701212
Tanc1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.17095	7.25901	0.235212	0.701464
Zfand3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.159189	7.08766	0.235243	0.701464
Alox5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.442399	3.43943	0.235546	0.70227
Vnn3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.381307	3.0604	0.23559	0.702305
Spg7	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.194216	5.18678	0.235652	0.702348
Rnf130	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.165301	6.07389	0.235669	0.702348
Dvl2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.19572	5.59365	0.235744	0.702474
Usp14	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.169043	6.01219	0.235876	0.702773
Clic5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.189707	10.7965	0.235957	0.702916
Ocln	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.169579	6.44334	0.236043	0.703074
Macrod1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.301995	3.43422	0.236111	0.703119
Lrrc55	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.625934	1.20834	0.236122	0.703119
Usp32	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.18655	6.32851	0.236205	0.703269
Ccdc135	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.251828	4.12011	0.236431	0.703844
Ing1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.179111	5.92932	0.23653	0.703967
Gnpnat1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.253708	4.38098	0.236537	0.703967
Atp13a1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.177196	5.57125	0.236821	0.704717
6720401G13Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.196847	7.01219	0.236865	0.704729
Samd1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.27118	3.89934	0.23689	0.704729
Sec13	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.177952	5.72977	0.236953	0.704791
Anxa2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.179924	8.60109	0.236976	0.704791
C530005A16Rik	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.216555	4.80749	0.237086	0.705021
Fes	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.219986	4.96232	0.23712	0.705027
Nptn	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.156239	7.68077	0.237153	0.705027
Casc5	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.706269	0.817546	0.237188	0.705036
Zfp938	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.316027	3.32005	0.237396	0.70539
Dohh	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.200465	4.94408	0.237399	0.70539
Klhl15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.330791	3.03305	0.237405	0.70539
Zfp598	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.169884	6.34945	0.237601	0.705875
Sigmar1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.228223	5.0244	0.237709	0.7061
Flad1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.253938	4.07053	0.238056	0.707035
Tnfaip8l2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.305394	3.51552	0.238177	0.707296
Wfs1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.193426	5.09718	0.238305	0.707581
Atp6v1a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.156966	7.41249	0.238381	0.707656
Tbl1xr1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.160316	6.72977	0.23841	0.707656
Rtn3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.15266	8.16135	0.238428	0.707656
Rsf1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.177279	6.17822	0.238464	0.707666
Btf3l4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.184563	5.45369	0.23851	0.707705
Dlg4	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.245265	4.26527	0.238713	0.708211
Mns1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.294951	3.5641	0.238862	0.708478
Gjb1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-1.09954	-0.0893449	0.238868	0.708478
Commd10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.203807	5.02266	0.239003	0.708779
Sdf2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.183355	5.31438	0.239039	0.70879
Arhgef37	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.606798	2.02613	0.239321	0.70953
Gpr116	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.1721	11.1319	0.239406	0.709683
Rwdd2a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.832273	0.495618	0.239505	0.709881
Cideb	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.560957	1.45498	0.239624	0.710062
Catsperg1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.400538	2.43422	0.239635	0.710062
Blvra	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.281807	3.84533	0.239664	0.710062
Synb	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.832273	0.495618	0.239718	0.710074
Cyb561d2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.324298	3.0604	0.239734	0.710074
Kif15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.77596	1.15858	0.239829	0.710259
Bcdin3d	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.394416	2.45498	0.239889	0.710339
Gpr137b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.167682	6.19297	0.240037	0.710633
Gabrq	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.580375	1.51552	0.240053	0.710633
Cd46	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.909235	0.535146	0.240167	0.710779
Nek3	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.543142	1.49562	0.240168	0.710779
Klf10	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.177327	6.01656	0.240264	0.710803
Snx15	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.24953	4.13305	0.240268	0.710803
Dcaf12l1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.881356	0.910655	0.240283	0.710803
Samm50	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.192556	5.41316	0.240342	0.710803
Hcfc1r1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.192179	5.35498	0.240366	0.710803
Iyd	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.30849	3.3536	0.240373	0.710803
Slc25a38	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.257477	4.01219	0.240508	0.710992
Oas1a	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.447459	2.03994	0.240519	0.710992
Syndig1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.07039	-0.866953	0.240535	0.710992
Hspa12b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.237692	6.19374	0.240624	0.711043
Hcrtr1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.07039	-0.866953	0.240728	0.711043
8-Sep	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.171994	6.84238	0.24074	0.711043
H2-Ab1	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.165845	8.08994	0.240744	0.711043
Agr2	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	2.07039	-0.866953	0.240745	0.711043
Rab33b	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.172535	5.64762	0.240749	0.711043
Bet1l	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.209724	5.07724	0.240878	0.71123
Rnf180	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.441705	2.30297	0.24093	0.711287
Lmna	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.15652	7.32851	0.241023	0.711287
Btk	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	-0.331889	3.30297	0.241034	0.711287
B4galt6	WT_VILI_vs_WT_naive	VILI minus no-VILI within WT (injury reference, not a Cldn4 perturbation)	1 vs 1 (UNREPLICATED)	0.371007	2.99103	0.241053	0.711287
