accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE275467	GSE	Mus musculus	6		30172	2025/08/20	CD45+ Epcam- poluation scRNAseq analysis in control and Goblet-Y/T-Scgb1a1CreERT mouse lung tissues.	The gole of this experiment is to get an in depth understanding of the immune population responses in mouse lungs presented with goblet cell metaplasia in the airway upon Yap/Taz deletion in Scgb1a1+ cells.	H5	False	Tacstd2 AND lung AND mouse
GSE275503	GSE	Homo sapiens	36		24676	2024/10/09	GETomics based bulk-RNA sequencing revealed HIF-3α prevents COPD by inhibiting alveolar epithelial cell ferroptosis via the HIF-3α-GPx4 axis.	COPD patients are largely asymptomatic until later stages when prognosis is generally poor. Here, by shifting the focus forward to pre-COPD and smoking stages, we found the peak of reactive oxygen species (ROS) level and hypoxia character are enriched in pre-COPD samples, and hypoxia inducible factor (HIF)-3α is the key factor. Smoking induced regional tissue hypoxia and emphysema have been found in COPD patients. However, the mechanisms underlying hypoxia especially HIF-3α and COPD have not been investigated. In this study, by leveraging scRNA-seq and EpCAM co-localization analysis we identified HIF-3α is downregulated in alveolar epithelial cells in COPD. In vitro experiments using lentivirus transfection, bulk-RNA seq and RSL3 we found the activation of HIF-3α-GPx4 axis inhibits alveolar epithelial cell ferroptosis under the treatment of cigarettes smoking extracts (CSE). Further results from SftpcCreert2/+R26LSL-Hif3a knock-in mice demonstrated overexpression of HIF-3α inhibits alveolar epithelial cells ferroptosis and prevents the declining of lung function. Our data suggest the activation of HIF-3α-GPx4 axis prevents COPD by inhibiting alveolar epithelial cells ferroptosis. By leveraging this comprehensive analysis method, more promising treatment targets will be found and enhance our understanding to the pathogenesis.	TXT	False	Tacstd2 AND lung AND mouse
GSE276546	GSE	Mus musculus	2		24247	2024/11/25	Single cell RNA-sequencing of Lepr+ lung mesenchymal cells in normal and fibrotic mouse lungs	A hallmark of pulmonary fibrosis is aberrant activation of lung fibroblasts to become pathological fibroblasts producing excessive extracellular matrix (ECM). Here, we showed Lepr-CreERT2 lineage labels lung mesenchymal cells including the majority of alveolar fibroblasts, which signigicatly contribute to pathological fibroblasts in bleomycin induced lung fibrosis.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE276808	GSE	Mus musculus	3		24247	2026/01/22	Virus-specific effector T cells impair airway secretory cell-mediated alveolar regeneration [immune_scrnaseq]	Severe respiratory viral infection leads to extensive damage to the alveolar epithelium and also induce a robust immune response. How immune response impacts alveolar regeneration, especially how immune microenvironment interacts with lung stem/progenitor cells is poorly understood. Here, we find that dysplastic Krt5+ basal-like cells, which emerge after severe viral infection, preferably recruit and maintain the tissue residence of both CD4+ effector T cells and CD8+ T cells in a CXCR3- and Integrin α4/β2-dependent manner after viral clearance. Persistent CD4+ and CD8+ T cells impair alveolar regeneration mediated by airway secretory cells, thus inhibiting lung functional repair. Mechanically, CD4+ and CD8+ T cells function by secreting IFNγ rather than direct interactions with epithelial cells. Importantly, anti-IFNγ treatment promotes alveolar regeneration and functional recovery in vivo. Overall, our study reveals the pathogenetic role of Krt5+ pods in lung regeneration, providing new insights into how dysplastic repair impairs functional regeneration of the alveolar epithelium via interactions with immune cells.		False	Tacstd2 AND lung AND mouse
GSE276810	GSE	Mus musculus	15		24247	2026/01/22	Virus-specific effector T cells impair airway secretory cell-mediated alveolar regeneration []	Severe respiratory viral infection leads to extensive damage to the alveolar epithelium and also induce a robust immune response. How immune response impacts alveolar regeneration, especially how immune microenvironment interacts with lung stem/progenitor cells is poorly understood. Here, we find that dysplastic Krt5+ basal-like cells, which emerge after severe viral infection, preferably recruit and maintain the tissue residence of both CD4+ effector T cells and CD8+ T cells in a CXCR3- and Integrin α4/β2-dependent manner after viral clearance. Persistent CD4+ and CD8+ T cells impair alveolar regeneration mediated by airway secretory cells, thus inhibiting lung functional repair. Mechanically, CD4+ and CD8+ T cells function by secreting IFNγ rather than direct interactions with epithelial cells. Importantly, anti-IFNγ treatment promotes alveolar regeneration and functional recovery in vivo. Overall, our study reveals the pathogenetic role of Krt5+ pods in lung regeneration, providing new insights into how dysplastic repair impairs functional regeneration of the alveolar epithelium via interactions with immune cells.	XLS	False	Tacstd2 AND lung AND mouse
GSE277138	GSE	Mus musculus	2		24247	2025/07/20	Nonvesicular sterol transport is a metabolic immune checkpoint that guards dietary lipid uptake (scRNA-Seq)	The intrinsic pathways that control membrane organization in immune cells and the impact of such pathways on cellular functions are not well defined. Here we show that the nonvesicular cholesterol transporter Aster-A links plasma membrane (PM) cholesterol availability in T cells to immune signaling and systemic metabolism. Aster-A is recruited to the PM during T-cell receptor (TCR) activation, where it facilitates the removal of newly generated “accessible” cholesterol. Loss of Aster-A leads to excess PM cholesterol accumulation, resulting in enhanced TCR nano-clustering and signaling, and in Th17 cytokine production. Furthermore, Aster-A associates with STIM1 and negatively regulates STIM1-dependent calcium flux during activation of mouse and human T cells. Finally, mucosal Th17 response towards commensals is restrained by PM cholesterol remodeling. Ablation of Aster-A in T cells stimulates IL-22 production, which reduces intestinal fatty acid absorption, and confers resistance to diet-induced obesity. These findings delineate a multi-tiered regulatory scheme linking immune cell lipid flux to nutrient absorption and systemic physiology.	MTX, TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE277150	GSE	Mus musculus	8		24247	2024/11/01	Type III interferons induce pyroptosis in gut epithelial cells and impair tissue repair upon intestinal injury.	Tissue damage and repair are hallmarks of inflammation. Despite a wealth of information on the mechanisms that govern tissue damage, mechanistic insight on how inflammation affects repair is lacking. Here, we investigated how interferons influence tissue repair after damage to the intestinal mucosa. We found that type III, not type I or II, interferons delay epithelial cell regeneration by inducing the upregulation of Z-DNA-binding protein 1 (ZBP1). Z-nucleic acids formed following intestinal damage are sensed by ZBP1, leading to Caspase-8 activation, and cleavage of Gasdermin C (GSDMC). Cleaved GSDMC drives epithelial cell death by pyroptosis and delays repair of the large or small intestine after colitis or irradiation, respectively. The type III interferon/ZBP1/Caspase-8/GSDMC axis is also active in patients with inflammatory bowel disease (IBD). Our findings highlight the capacity of type III interferons to delay gut repair, which has important implications for IBD patients or individuals exposed to radiation therapies.	CSV, H5, H5AD, XLSX	False	TACSTD2 AND interferon
GSE278132	GSE	Mus musculus	35		19057	2025/07/01	Lung structural cell dynamics are altered by influenza virus infection experience leading to rapid immune protection following viral re-challenge	Lung structural cells, including epithelial cells and fibroblasts, form barriers against pathogens and trigger immune responses following infections such as influenza A virus. This response leads to the recruitment of innate and adaptive immune cells required for viral clearance. Some of these recruited cells remain within the lung following infection and contribute to enhanced viral control following subsequent infections. There is growing evidence that structural cells can also display long-term changes following infection or insults. Here we investigate long-term changes to mouse lung epithelial cells, fibroblasts, and endothelial cells following influenza virus infection and find that all three cell types maintain an imprint of the infection, particularly in genes associated with communication with T cells. Lung epithelial cells from IAV-infected mice display functional changes by more rapidly controlling influenza virus than cells from naïve animals. This rapid anti-viral response and increased expression of molecules required to communicate with T cells demonstrates sustained and enhanced functions following infection. These data suggest lung structural cells could be effective targets for vaccines to boost durable protective immunity.	CSV	False	Tacstd2 AND lung AND mouse
GSE278235	GSE	Mus musculus	4		24247	2025/10/02	Gene expression profiling of murine SCLC tumor subpopulations with high and low autophagic flux	Small cell lung cancer (SCLC) is characterized by significant heterogeneity and plasticity, driving its aggressive progression and resistance to therapy. Understanding the underlying mechanisms of these features is crucial for improving treatment outcomes. Autophagy, a conserved cellular process, is involved in many cancers, but its role in SCLC remains unclear. Using a genetically engineered mouse model (Rb1fl/fl;Trp53fl/fl;GFP-LC3-RFP-LC3△G), we tracked autophagic flux in vivo to assess its effects on SCLC biology. Tumor subpopulations with high autophagic flux exhibited increased proliferation, enhanced metastatic potential, and neuroendocrine (NE) characteristics, whereas subpopulations with low autophagic flux exhibited more immune-related signals and non-NE traits.	TXT	False	Tacstd2 AND lung AND mouse
GSE278419	GSE	Mus musculus	2		24247	2024/11/25	RUNX2 promotes pulmonary fibrosis through the conversion of alveolar fibroblasts into pathological fibroblasts	A hallmark of pulmonary fibrosis is aberrant activation of lung fibroblasts into pathological fibroblasts producing excessive extracellular matrix (ECM). Thus, identification of key regulator(s) driving the generation of pathological fibroblasts can inform effective countermeasures against disease progression. In this study, we show that Leptin Receptor (Lepr)+ fibroblasts arising during alveologenesis include Signal Peptide-CUB-EGF Domain-containing Protein 2 (Scube2)+ alveolar fibroblasts as a major constituent significantly contributing to collagen triple helix repeat containing 1 (Cthrc1)+ Periostin (Postn)+ pathological fibroblasts in two mouse models of pulmonary fibrosis. Genetic ablation of the Postn+ pathological fibroblasts attenuates fibrosis. Comprehensive analysis of single cell RNA sequencing (scRNA-seq) and single cell Assay for Transposase-Accessible Chromatin sequencing (scATAC-seq) reveal Runt related transcription factor 2 (RUNX2) as a key regulator of fibrotic genes. Consistently, conditional deletion of Runx2 with Lepr-CreERT2 or Scube2-CreERT2 reduces the generation of pathological fibroblasts, ECM deposition, and pulmonary fibrosis. Therefore, Lepr+ derived fibroblasts which include Scube2+ alveolar fibroblasts are a key source of pathological fibroblasts, and targeting Runx2 provides a potential treatment option for pulmonary fibrosis.	H5, RDS	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");Tacstd2 AND lung AND mouse"
GSE278570	GSE	Mus musculus	309		24247;19057	2024/12/22	Neutrophils physically interact with tumor cells to form a signaling niche promoting breast cancer aggressiveness	Tissue remodeling and cell plasticity in the mammary gland are activated by multi-lineage communications. However, the dynamic signaling promoting breast cancer remains unclear. Here, by RNA-sequencing of single cells and physically interacting cells (PIC-seq) along mammary gland development and carcinogenesis, we uncovered that neutrophils appear transiently during early development and re-emerge in physical interaction with tumor cells in advanced carcinoma. Neutrophil heterogeneity analysis characterized transcriptional states linked to age and cancer stage. Integrating ligand-receptor and PIC-seq analyses with various functional experiments unveiled a physical and secreted pro-tumorigenic signaling niche. This approach revealed that neutrophils are recruited by ductal macrophages and physically interact with tumor cells, increasing tumor cell proliferative and invasive properties, as well as endothelial proliferation and angiogenesis. The molecular program upregulated in neutrophil-PICs correlates with lower survival in advanced breast cancer patients. Our interaction-driven perspective highlights potential molecular targets and biomarkers for breast cancer treatment.	H5AD	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE279012	GSE	Mus musculus	5		13112	2025/10/13	H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 1]	The transition of stem cells from a quiescent state to an active state is a finely tuned process that requires the dismantling of the quiescence program and the establishment of a cell cycle-promoting transcriptional landscape. Whether epigenetic processes control stem cell states to promote the regeneration of adult tissues remains elusive. In this study, we show that a repressive histone modification, H2AK119ub, is dynamic between quiescent and active hair follicle stem cells (HFSCs) in the adult murine skin. Ablation of H2AK119ub in HFSCs leads to failure in maintaining quiescence leading to premature activation and an eventual exhaustion of HFSC pool. Transcriptional and chromatin studies revealed that H2AK119ub directly represses a proliferation promoting transcriptional program in the HFSCs to preserve quiescence. Lastly, we identify that the inhibitory FGF signaling produced by the hair follicle niche keratinocytes maintains H2AK119ub in quiescent HFSCs. Together, these findings reveal that a repressive histone mark, H2AK119ub, is under the dynamic regulation of inhibitory niche signaling to prevent the untimely establishment of an activated state to preserve SC function and longevity.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE279013	GSE	Mus musculus	5		13112	2025/10/13	H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 2]	The transition of stem cells from a quiescent state to an active state is a finely tuned process that requires the dismantling of the quiescence program and the establishment of a cell cycle-promoting transcriptional landscape. Whether epigenetic processes control stem cell states to promote the regeneration of adult tissues remains elusive. In this study, we show that a repressive histone modification, H2AK119ub, is dynamic between quiescent and active hair follicle stem cells (HFSCs) in the adult murine skin. Ablation of H2AK119ub in HFSCs leads to failure in maintaining quiescence leading to premature activation and an eventual exhaustion of HFSC pool. Transcriptional and chromatin studies revealed that H2AK119ub directly represses a proliferation promoting transcriptional program in the HFSCs to preserve quiescence. Lastly, we identify that the inhibitory FGF signaling produced by the hair follicle niche keratinocytes maintains H2AK119ub in quiescent HFSCs. Together, these findings reveal that a repressive histone mark, H2AK119ub, is under the dynamic regulation of inhibitory niche signaling to prevent the untimely establishment of an activated state to preserve SC function and longevity.	CSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE279014	GSE	Mus musculus	5		13112	2025/10/13	H2AK119ub dynamics controls hair follicle stem cell quiescence [CUT&Seq]	The transition of stem cells from a quiescent state to an active state is a finely tuned process that requires the dismantling of the quiescence program and the establishment of a cell cycle-promoting transcriptional landscape. Whether epigenetic processes control stem cell states to promote the regeneration of adult tissues remains elusive. In this study, we show that a repressive histone modification, H2AK119ub, is dynamic between quiescent and active hair follicle stem cells (HFSCs) in the adult murine skin. Ablation of H2AK119ub in HFSCs leads to failure in maintaining quiescence leading to premature activation and an eventual exhaustion of HFSC pool. Transcriptional and chromatin studies revealed that H2AK119ub directly represses a proliferation promoting transcriptional program in the HFSCs to preserve quiescence. Lastly, we identify that the inhibitory FGF signaling produced by the hair follicle niche keratinocytes maintains H2AK119ub in quiescent HFSCs. Together, these findings reveal that a repressive histone mark, H2AK119ub, is under the dynamic regulation of inhibitory niche signaling to prevent the untimely establishment of an activated state to preserve SC function and longevity.	TDF	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE279689	GSE	Solea senegalensis	15		35005	2025/06/25	Gonadotropins regulate cell adhesion and spermiation through a cross-talk between oxytocin and relaxin pathways in Senegalese sole	Our understanding of semi-cystic spermatogenesis in the Senegalese sole (Solea senegalensis), specifically the process where spermatids are released and undergo differentiation in the lumen, remains limited. Previously, we demonstrated that Luteinizing hormone (Lh) has the ability to penetrate the blood-testis barrier and reach released spermatids expressing the Lh receptor, thereby stimulating spermiogenesis. To deepen our knowledge, the current study aims to investigate how gonadotropins regulate the release of spermatids from Sertoli cells, known as spermiation. We conducted a six-week experiment exposing male Senegalese sole to recombinant gonadotropins (Follicle-stimulating hormone, rFsh, or rLh) via weekly injections at a dose of 6 μg/kg. Following treatment, we performed transcriptomic analysis using RNA-seq to identify differentially expressed genes (DEGs). We found that rLh significantly regulated 1316 genes, while rFsh regulated 717 genes, with 357 DEGs common to both. Pathway analysis revealed that both gonadotropins influenced the expression of cell-cell junctions and adhesion proteins. Notably, other affected pathways included those involving oxytocin (OXT) and relaxin (RLN), suggesting their potential roles in regulating spermiation. Immunohistochemistry (IHC) and in situ hybridization (ISH) were employed to investigate the cellular localization of OXT and RLN receptors in the testicular cortex and medulla, primarily finding them in Sertoli cells and spermatids. Proteins associated with cell adhesion identified through RNA-seq, such as CTNNB1, PARD3, GJA3, TJP2, CLDN4, TMEM47, and ITBG1, were observed in either spermatids or Sertoli cells, with their expression mainly repressed by gonadotropins. This repression indicates a disruption in Sertoli cell-spermatid junctions, potentially responsible for active spermiation and the enhanced permeability of the blood-testis barrier. Furthermore, we conducted an in vitro assay where testes explants were incubated with OXT, RLN, OXT inhibitor (L-371), RLN inhibitor (AT001), in combination with rFsh and rLh. Subsequent qPCR analysis indicated a trend towards decreased expression of cell adhesion genes by OXT and RLN, most notably by Lh by acting through the OXT and RLN pathways. In summary, our findings suggest that gonadotropins regulate cell adhesion and spermiation through a cross-talk between OXT and RLN pathways. These insights lay the groundwork for further research aimed at unraveling the process of spermiation in fish species.	CSV	True	CLDN4[Description]
GSE280059	GSE	Mus musculus	6		24247	2025/03/19	Mice with Lymphatic Dysfunction Develop Pathogenic Lung Tertiary Lymphoid Organs that Model an Autoimmune Emphysema Phenotype of COPD	We have previously shown that mice with loss of C-type lectin-like type II (CLEC2), which have lymphatic dysfunction due to the role of CLEC2 in platelets for maintaining separation between the venous and lymphatic system, develop lung tertiary lymphoid organ (TLO) formation and lung injury that resembles an emphysema phenotype of chronic obstructive pulmonary disease (COPD). We now sought to investigate whether and how TLOs in these mice may play a pathogenic role in lung injury that is relevant to human disease. We found that inhibiting TLO formation using an anti-CD20 antibody in CLEC2-deficient mice partially blocked the development of emphysema. TLOs in CLEC2-deficient mice were rich in plasma cells and were a source of a broad array of autoantibodies. Chronic cigarette smoke exposure increased the size and number of lung TLOs in CLEC2-deficient mice, and was associated with increased markers of antigen presentation and maturation, leading to increased autoantibody deposition. Using lung tissue from COPD patients, we found an increase in lymphatic markers in patients with an emphysema phenotype and autoreactive TLOs compared to COPD patients without emphysema that lack prominent TLOs. Taken together, these results demonstrate that emphysema in mice with lymphatic dysfunction can be partially rescued by blocking TLO formation, and that these TLOs are source of autoantibodies that are exacerbated by cigarette smoke. Our work suggests that lymphatic dysfunction in mice may recapitulate some aspects an autoimmune emphysema phenotype that is seen in a subset of patients with COPD.	H5	False	Tacstd2 AND lung AND mouse
GSE282025	GSE	Mus musculus	4		24247	2026/02/09	Single-cell RNA sequencing analysis of lung tissue from Tubb3-/- mice in a bleomycin-induced pulmonary fibrosis model	Whole lung cells and mural cell-enriched mesenchymal cells were isolated by cell sorting from Tubb3-/- mice and their wild-type (WT) littermates 14 days after bleomycin administration, followed by single-cell RNA sequencing analysis.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE282371	GSE	Homo sapiens	26		18573	2025/06/24	Combined Th2 and Th17/22 cytokines models atopic dermatitis pathophysiology in vitro	In atopic dermatitis (AD), epidermal disease hallmarks are driven by a complex cutaneous inflammatory milieu that varies between patients. How these variable inflammatory signatures translate to patient-specific disease endotypes is poorly understood, which hampers the personalized use of targeted drugs. We here employed primary and immortalized keratinocyte-derived human epidermal equivalents stimulated with T helper (Th)2, -17 and -22 cytokines, to unravel which AD-associated cytokines drive specific epidermal disease hallmarks. Th2 cytokines IL-4 and IL-13 were main inducers of a pro-inflammatory and hyperproliferative response. The presence of IL-17A or IL-22 in the Th2 milieu caused spongiosis, impaired keratinocyte differentiation (loss of FLG, IVL, KRT2) and epidermal barrier defects (altered CLDN1, CLDN4, transepithelial impedance). Transcriptomic analyses revealed upregulation of proliferation genes by Th2 cytokines, and activation of different immune pathways upon Th2 cytokines alone and combination of Th2 and Th17/22 cytokines. Downregulation of epidermis development was most apparent upon combined exposure to Th2 cytokines and IL-22. Single-cell spatial transcriptomics showed expansion of keratinocytes expressing high level of proliferation genes in all epidermal layers, and downregulation of terminal differentiation genes in the upper epidermal layers. Our in vitro AD model using Th2 + IL-22 showed the highest transcriptome resemblance with in vivo AD lesional epidermis and we identified IL-22 specific alteration of epidermis development by lipid mediators like ACER1 and AKR1C3. Finally, we revealed that Aryl Hydrocarbon Receptor (AHR) ligands partially restored the barrier defects caused by Th2 and IL-22, whereas combination of AHR ligand Tapinarof with Janus Kinase (JAK) inhibitor I had an even greater restoring effect. Thus, specific combinations of cytokines upregulated in AD skin drive differential disease hallmarks highlighting the importance of personalized medicine and the need for prediction models in the targeted treatment of AD patients.	TSV	True	CLDN4[Description]
GSE283937	GSE	Mus musculus	49		30172;24247;17021;21103	2026/01/08	A high MAPK, low WNT cell state drives metastatic dissemination in colorectal cancer	This SuperSeries is composed of the SubSeries listed below.	NARROWPEAK	False	Tacstd2 AND lung AND mouse
GSE284648	GSE	Homo sapiens	9		24676	2026/03/11	Upregulation of E-cadherin Promotes Spheroid Formation in Crizotinib-Resistant ALK-rearranged Lung Cancer	The anaplastic lymphoma kinase (ALK) gene fusion functions as a potent oncogene in lung cancer. The development of ALK tyrosine kinase inhibitors has improved patient outcomes. However, cancer progression commonly occurs even after treatment. Chemoresistance arises mostly by the acquisition of gatekeeper mutations in ALK as well as by off-target bypass mechanisms arising during chemotherapy. To investigate these bypass mechanisms, we studied crizotinib resistance in ALK-rearranged lung cancer by using 2D and 3D cell line models and longitudinal human biopsy samples. We found that crizotinib-resistant H2228 cells exhibited increased tumor cell clustering and spheroid formation, with elevated E-cadherin levels. Notably, depletion of E-cadherin profoundly disrupted spheroid formation and restored drug sensitivity. Transcriptomic profiling revealed the upregulation of tissue morphology-related genes; in particular, EpCAM was highly expressed in the protrusive regions of spheroids. Remarkably, longitudinal biopsy analysis also demonstrated enhanced expression of E-cadherin and EpCAM in patients with ALK-rearranged lung cancer during chemotherapy. We propose that off-target resistance is mediated by the upregulation of morphogenic genes, which drive cell clustering and spheroid formation during tumor evolution. To overcome chemoresistance, it is crucial to monitor tumor evolution during treatment. Tracking the collective migration of cells may present a novel therapeutic target.	CSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE284713	GSE	Mus musculus	4		24247	2026/04/07	Pulmonary fibroblast activation during Aspergillus fumigatus infection enhances lung defense via immunomodulation and tissue remodeling [scRNA-seq]	Aspergillus fumigatus is the etiologic agent of invasive aspergillosis, a life-threatening fungal pneumonia that is initiated by the inhalation of conidia (spores) into the lung. If the conidia are not cleared, they secrete large quantities of hydrolytic enzymes and toxins as they grow, resulting in extensive damage to pulmonary tissue. Stromal fibroblasts are central responders to tissue damage in many organs, but their functional response to pulmonary injury caused by A. fumigatus has not been explored. In this study, we employed cell lineage tracing, targeted cell ablation, and single-cell RNA sequencing to monitor the dynamics of fibroblast behavior upon exposure to A. fumigatus in both immunocompetent and immunosuppressed hosts. The results demonstrate that a subset of pulmonary fibroblasts becomes activated in an immunocompetent host in response to a challenge with A. fumigatus conidia, acquiring a gene expression program reflecting the acquisition of new immunomodulatory properties as well as enhanced extracellular matrix (ECM)-secreting ability. Remarkably, through targeted ablation of fibroblasts that express the profibrotic activation marker periostin, we demonstrate that the progression of an invasive A. fumigatus infection in an immunosuppressed host is accelerated by the absence of periostin lineage cells and is accompanied by severe alveolar hemorrhage and angioinvasion. These findings uncover a novel protective role for fibroblasts in limiting the severity of A. fumigatus-induced pulmonary injury and emphasize the importance of the pulmonary stroma in host defense against this invasive fungal infection.	H5, XLSX	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"");Tacstd2 AND lung AND mouse"
GSE285880	GSE	Mus musculus	24		24247;34290;17021	2025/12/04	Fibroblast orchestration of inflammaging via NF-kB activation (Lung Resident CD45+ cell and fibroblast analysis)	In this study we used scRNA-sequencing to compare lung resident CD45+ cells and bulk RNA-sequencing to compare lung PDGFRa+ fibroblasts from 2-month-old mice in which the NF-kB inhibitor Tnfaip3 has been deleted from fibroblasts (D1cA20) with control mice (A20control). We identified enrichment of Gzmk+CD8+ T cells in the D1cA20 relative to control mice. As a follow-up to this initial study we used bulk RNA sequencing to compare the transcriptomes of lung adventitial fibroblasts from 4-month C57BL/6 (Young B6), 21-month C57BL/6 (Aged B6), 4-month Tnfaip3 f/f (Tnfaip3 Control) and 4-month Dermo1-cre;Tnfaip3f/f (Tnfaip3 CKO/D1cA20) mice. We identified that aged B6 adventitial fibroblasts share transcriptional similarity with those from young Tnfaip3 CKO mice. Pathway analysis revealed NF-kB to be significantly upregulated in both Aged B6 and Tnfaip3 CKO relative to Young B6 or Tnfaip3 control.	CSV, MTX, TSV, TXT	False	Tacstd2 AND lung AND mouse
GSE286988	GSE	Mus musculus	2		17021	2025/12/04	Fibroblast orchestration of inflammaging via NF-kB activation (Aged vs Young Lung Fibroblasts and Epithelium)	In this study we used scRNA sequencing to compare lung fibroblast and epithelial populations from young and aged mice. We identified enrichment of a NF-kB activation signature in aged relative to young fibroblasts, particularly in the adventitial population.	MTX, TSV	False	Tacstd2 AND lung AND mouse
GSE287209	GSE	Homo sapiens	3		24676	2026/03/09	A human organoid model of alveolar regeneration reveals distinct epithelial responses to interferon-gamma	Chronic obstructive pulmonary disease (COPD) is characterized by inflammation and emphysema, leading to progressive alveolar destruction. Currently, no therapies effectively regenerate the alveolar epithelium. Here, we developed and characterized a feeder- and serum-free primary adult human organoid model to investigate how inflammatory conditions influence alveolar regeneration. Using Wnt activation and heregulin-β, we achieved long-term expansion of progenitor cells, while AT2 maturation protocols enhanced surfactant production, including the formation of tubular myelin. Introducing a LATS inhibitor to the expansion conditions induced an AT1 differentiation program without eliminating AT2 cells. Single-cell RNA-sequencing revealed multipotent progenitor-like populations, reflecting a state of heightened plasticity associated with regeneration. To model the effects of inflammation, we exposed these organoids to cytokines elevated in COPD. Notably, interferon-gamma (IFN-γ) exerted distinct effects on AT1 and AT2 cells: while it was cytotoxic to AT1 cells, it promoted growth in regenerating AT2 cells in a dose- and time-dependent manner. These findings underscore the nuanced influence of pro-inflammatory cytokines on alveolar regeneration. Our organoid model provides a reductionist platform for mechanistic studies in human cells, aiming to identify therapies that prevent alveolar destruction and improve alveolar regeneration in COPD	MTX, TSV	False	TACSTD2 AND interferon
GSE288137	GSE	Homo sapiens; Mus musculus	16		24676;24247	2026/06/07	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	H5, RDS, TBI, TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE288196	GSE	Mus musculus	22		24247	2026/06/08	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [bulk RNA-seq]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	CSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE288220	GSE	Mus musculus	6		24247	2026/06/08	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [multiome]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	H5, TBI, TSV	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
