gene	contrast	mean_log2ratio_KD_over_control	n_arrays_with_value	t_stat_vs_zero	p_onesample_t	q_onesample_BH	n_biological_replicates	caveat	log2ratio_GSM558700	log2ratio_GSM558701	log2ratio_GSM558702
TDRD3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.54557	3	-0.851667	0.484107	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-5.0589	-0.5778	1
SCOTIN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.820989	3	0.85162	0.484128	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.07747	-1.07375	1.45925
LTK	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.320133	3	-0.851511	0.484176	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.8365	-0.5353	0.4114
PKP4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.892933	3	-0.851476	0.484192	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.4381	-2.3743	1.1336
MKLN1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.802067	3	0.851429	0.484213	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2863	0.0144	2.6781
PTK9L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.6221	3	0.851179	0.484324	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6666	1.8639	0.669
CCDC7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.3749	3	-0.850986	0.48441	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.1938	-0.24705	0.31615
OSBPL10	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.556667	3	0.850942	0.484429	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4647	-0.7131	0.9184
MYO9B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.288817	3	-0.850664	0.484553	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4409	0.36035	-0.7859
CRIM1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.723	3	0.850499	0.484627	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.9714	1.4489	1.6915
SLC9A3R1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.4268	3	0.850207	0.484756	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.4222	-0.1844	0.0426
IGLL1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.05003	3	-0.850083	0.484811	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2515	-3.4739	0.5753
ZNF335	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.549333	3	0.850044	0.484829	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5975	1.63895	0.60655
PPP3R1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.03823	3	-0.849922	0.484883	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3448	0.0144	-3.4739
CTSD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.5473	3	-0.849731	0.484968	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3785	-1.7859	-0.2345
MGC3234	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.854833	3	-0.849648	0.485005	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.5564	0.7193	-2.7274
STK17A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.252633	3	-0.849508	0.485068	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.1375	-0.0589	-0.8365
LETM2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.17473	3	0.849361	0.485133	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.9203	2.1603	-1.5564
MTMR8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.08893	3	-0.849327	0.485148	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-3.6439	0.3771	0
MAGEA8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.5099	3	-0.848894	0.485341	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2863	0.4005	-1.6439
TAS2R1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.842967	3	0.848801	0.485383	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3219	-0.5564	2.7634
TOR3A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.40715	3	0.848597	0.485474	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.02335	1.3651	-0.1203
EYA1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.876533	3	-0.848126	0.485683	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-2.9434	0.1375	0.1763
DZIP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.467833	3	0.848057	0.485714	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.01325	-0.63545	1.0257
PRNP	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.19723	3	-0.847395	0.48601	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-3.1844	1.5361	-1.9434
PARP10	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.766889	3	0.847166	0.486112	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.52247	-0.4941	0.2723
CXCL13	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.052	3	-0.846987	0.486192	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-3.1844	1.1177	-1.0893
LOC90313	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.490956	3	0.846963	0.486203	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.296667	0.148033	1.6215
RABEP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.798833	3	-0.846945	0.486211	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.16095	-2.6552	0.41965
ADAMTS2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.83405	3	-0.846913	0.486225	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.74385	-2.6439	-0.6021
LSM6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.193133	3	0.846406	0.486451	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1047	0.0426	0.6415
BCKDHA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.222883	3	0.846406	0.486451	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.72605	0.106	-0.1634
VRK2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.597567	3	0.846288	0.486504	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.2141	-0.811	1.3896
DKFZp762N1910	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.22487	3	0.84543	0.486888	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6041	-0.9159	3.9864
EVI5L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.912967	3	-0.845428	0.486888	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7398	-0.5353	-2.9434
KIF18A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.595767	3	-0.845419	0.486893	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5361	-1.889	-0.4344
CAPN9	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.06035	3	-0.845261	0.486963	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4607	0.74965	-3.47
HMGB2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.4478	3	0.845206	0.486988	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.111	-0.5995	0.8319
NFKB1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.7033	3	-0.8448	0.487169	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6215	0.696	-2.1844
FYN	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.041	3	0.844286	0.487399	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0426	-0.0439	0.1243
MUC11	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.354	3	0.844122	0.487473	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.8639	-1.6439	3.842
STAT5A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.5987	3	0.843866	0.487587	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1635	-0.811	1.4436
SPTLC1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.498	3	0.843641	0.487688	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0426	1.669	-0.2176
FLJ25169	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.785317	3	-0.843603	0.487705	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.133	-2.62165	0.3987
SELL	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.423533	3	0.843508	0.487748	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3045	-0.4344	0.4005
OBP2A	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.509033	3	-0.843428	0.487784	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2987	-1.6897	-0.1361
ETS1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.63085	3	0.843081	0.487939	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.27885	2.1148	0.0566
FLJ31547	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.810394	3	0.842991	0.487979	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.35545	2.13463	-1.0589
BET1L	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.377383	3	0.842898	0.488021	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.25165	-0.2274	0.1079
FLJ40457	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.336733	3	0.842796	0.488067	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.454	0.6323	0.8319
C1QTNF3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.26	3	0.842612	0.488149	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.8319	4.0374	-1.0893
UGT2B17	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.16597	3	0.8426	0.488154	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.7409	0.757	-1
KBTBD7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.2851	3	-0.84217	0.488347	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.0291	0.4957	-4.3219
WHSC1L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.248711	3	-0.842143	0.488359	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0745	-0.838467	0.0178333
MYOSIN IIIB	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.819467	3	0.842027	0.488412	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7859	0.669	2.5753
IFRD1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.346133	3	0.842004	0.488422	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7049	-0.4739	0.8074
BTG2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.893133	3	-0.841983	0.488431	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3401	0.6041	-2.9434
dJ383J4.3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.712133	3	0.841114	0.488821	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.1243	2.3813	-0.3692
GOLGB1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.464883	3	-0.840886	0.488923	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2971	-0.152	-1.53975
HSMPP8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.703683	3	-0.840648	0.489031	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.67785	-0.57555	-2.21335
AOAH	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.4977	3	-0.840644	0.489032	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.5146	0.5361	-0.5146
RAB35	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.333567	3	-0.840587	0.489058	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.6439	0.4542	-0.811
CDC42EP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.5076	3	0.84032	0.489178	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0144	1.7093	-0.2009
WRNIP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.314783	3	-0.840211	0.489227	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.007	-1.0617	0.11035
GAMT	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.857633	3	0.839937	0.48935	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0291	2.4777	1.1243
SLC2A8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.1944	3	0.839672	0.489469	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.17905	0.14405	0.6182
FNBP3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.329183	3	0.839501	0.489546	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.19515	1.0964	0.0863
ESD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.343533	3	0.839274	0.489648	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4739	0.7908	0.7137
DKFZP564I122	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.449267	3	0.839056	0.489746	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5134	-0.50855	1.34295
MAPK6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.1465	3	-0.839011	0.489766	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1361	0.1506	-0.454
LOC112937	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.31433	3	-0.83889	0.489821	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-4.0589	1.3674	-1.2515
NRG1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.39641	3	0.838877	0.489827	0.999418	3	reference arm is CLDN4-overexpressing, not parental	3.28375	-1.9224	2.82787
MGC45428	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.672667	3	0.838849	0.489839	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.0893	2.2758	-0.1685
MYO6	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.69735	3	-0.838808	0.489858	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6109	-0.46275	-2.2402
LOC56930	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.542633	3	-0.838763	0.489878	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.111	0.0976	-1.8365
GPSM3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.425183	3	0.838673	0.489918	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.2782	-0.37015	1.3675
C20orf127	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.5514	3	-0.838457	0.490016	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0893	0.757	-1.3219
BTC	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.11897	3	0.838455	0.490016	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2176	3.4046	1.1699
NRP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.4717	3	-0.838403	0.49004	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.839229	0.6331	-1.20897
RPL18	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.312233	3	0.838298	0.490087	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.5361	0.8156	-0.415
NEO1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.54623	3	0.838204	0.49013	0.999418	3	reference arm is CLDN4-overexpressing, not parental	5.1218	0.546	-1.0291
PTTG2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.28857	3	0.838201	0.490131	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.3277	-1.737	3.275
MDS028	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.637767	3	-0.837981	0.49023	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1	0.8237	-1.737
DHDH	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.7519	3	0.83779	0.490316	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.0291	1.4489	1.8359
AGTRAP	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.3535	3	0.837665	0.490372	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1203	-0.0145	1.1953
TLR7	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.01672	3	-0.837557	0.490421	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.13265	-3.0589	1.1414
SART2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.365433	3	0.837552	0.490423	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.1635	1.2016	-0.2688
SERF2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.9873	3	-0.837535	0.490431	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-3.3219	-0.1047	0.4647
PANX3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.13733	3	0.837402	0.490491	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.2863	3.4114	1.2869
PAPD1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.19215	3	0.837161	0.490599	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.19235	-0.2055	0.5896
BCHE	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.736883	3	0.836876	0.490728	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.13575	0.9639	-0.889
KCNQ2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.884767	3	-0.8368	0.490762	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.11245	-1.2816	-2.48515
TMEM8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.522933	3	0.836517	0.49089	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.304	1.7485	0.1243
TFDP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.4921	3	-0.836476	0.490908	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3561	-5.0589	0.2265
VKORC1L1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.882967	3	-0.836439	0.490925	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2515	0.546	-2.9434
ZNF609	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.27453	3	-0.836421	0.490933	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-4.3219	0.2173	0.281
EIF4G2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.794333	3	0.836392	0.490946	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2345	2.6915	-0.074
MGC15523	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.85805	3	0.836224	0.491022	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7991	2.66405	-0.889
PPIL5	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.499144	3	0.835828	0.4912	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.3673	0.775433	-0.6453
FLJ14525	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.442817	3	-0.835519	0.49134	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0352	-1.50115	0.1375
FGFR1OP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.9044	3	-0.83545	0.491371	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.0896	0.42535	-3.04895
KIAA1576	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.5818	3	0.835165	0.491499	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.7859	1.0356	1.4957
SSBP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.830033	3	0.834956	0.491594	0.999418	3	reference arm is CLDN4-overexpressing, not parental	2.8156	-0.074	-0.2515
IL27RA	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.29153	3	0.834781	0.491673	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.1635	4.033	-1.3219
VPREB3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.13743	3	-0.834699	0.49171	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.811	-3.6439	1.0426
NCBP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.0972	3	0.834681	0.491718	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1047	0.0976	0.2987
LRP8	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.9217	3	0.834675	0.49172	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.1203	2.6713	1.2141
CKS2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.885467	3	0.834603	0.491753	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.516	-1.1844	2.3248
WISP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.5717	3	0.834513	0.491794	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.152	1.9411	-0.074
PDE4C	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.29327	3	-0.834385	0.491852	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.7935	-0.3514	-4.3219
FLJ20626	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.661767	3	-0.834258	0.491909	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.2863	-2.1844	0.4854
C2orf27	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.429728	3	-0.833715	0.492155	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.35065	-1.3594	0.420867
ASAM	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.9835	3	-0.833676	0.492172	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.3219	1.2079	-2.8365
C10orf137	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.921933	3	0.833582	0.492215	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.9146	2.1375	-1.2863
INPP1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.7278	3	-0.833569	0.492221	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.127	0.1635	-2.4739
C13orf3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.740783	3	0.833429	0.492284	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.568	-1.0355	1.68985
GABRD	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-2.20397	3	-0.833332	0.492328	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-6.6439	2.5059	-2.4739
CTDSP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.588233	3	-0.833317	0.492334	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.1243	-2	0.111
SEC24C	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.1229	3	0.833236	0.492371	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.3103	0.2265	-0.1681
LZTS2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.326794	3	-0.833197	0.492389	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.10505	0.213967	-1.0893
DDX23	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-1.02943	3	-0.833192	0.492391	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1203	-3.4739	0.5059
ZNF263	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.7238	3	0.833148	0.492411	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.8625	0.903	2.1309
RAB21	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.450167	3	0.8331	0.492432	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.415	1.4436	0.3219
DEPDC1B	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.4369	3	0.832965	0.492494	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3219	0.189	1.4436
MCCC2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.633233	3	0.832882	0.492531	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.6182	-0.8625	1.144
DDX47	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.737833	3	-0.832568	0.492673	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9709	-1.1844	-2
FLJ22833	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.311733	3	0.832489	0.492709	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.9032	-0.38185	0.41385
COMMD1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.225833	3	0.832269	0.492808	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.757	-0.1361	0.0566
D8S2298E	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.695767	3	-0.832108	0.492881	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.8365	0.9336	-1.1844
KLHL18	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.245767	3	-0.831995	0.492932	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0566	0.0426	-0.8365
ZFPL1	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.3737	3	0.831969	0.492944	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3771	0.3219	1.1763
DKFZp761P0423	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.580167	3	-0.831963	0.492947	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-1.152	0.8074	-1.3959
ZNF262	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.661244	3	0.831786	0.493027	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.457567	2.12867	-0.6025
TIEG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.686044	3	0.831625	0.4931	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.3348	2.31897	0.0739667
MGC2603	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.415	3	0.830878	0.493439	0.999418	3	reference arm is CLDN4-overexpressing, not parental	1.0072	-0.5778	0.8156
DDX19	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	1.01523	3	0.830866	0.493444	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.4854	3.3462	-0.7859
ESRRG	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.8638	3	-0.830816	0.493467	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.4469	0.692	-2.8365
IRX3	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.2334	3	0.830713	0.493513	0.999418	3	reference arm is CLDN4-overexpressing, not parental	-0.1047	0.79115	0.01375
ACYP2	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	0.295333	3	0.830699	0.49352	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.6781	0.6229	-0.415
NEDD4	CLDN4_siRNA_KD_vs_CLDN4_overexpressing_control	-0.311567	3	-0.83065	0.493542	0.999418	3	reference arm is CLDN4-overexpressing, not parental	0.0704	0.0566	-1.0617
