model	family	estimator	n	n_q1	n_q4	n_cohorts	cohorts	n_genes	coef	logFC	se	df	p	ci_low	ci_high	excludes_gse205335	drops_sclc	luad_matched	adjusts_keratin	adjusts_leak	adjusts_malfrac	I2	p_adhoc	se_adhoc	expect	sign_matches	fdr_claim
q4q1_krt_leak_drop205335	NHEJ	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.0815828659752718	0.130891505274125	17	0.541369253528107	-0.194574070858129	0.357739802808672	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_malfrac	IFN	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.48856308560995	0.333649176907479	28	0.154249635830246	-1.17201244244133	0.194886271221435	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.154249635830246
q4q1_malfrac	MHC-I/APM	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.75669229308286	0.467406085468633	28	0.1166755491269	-1.71413025667537	0.200745670509646	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.154249635830246
q4q1_malfrac	chemokine	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.978409441340778	0.48845411590595	28	0.0549356242676095	-1.97896234080181	0.0221434581202526	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.154249635830246
q4q1_malfrac_drop205335	IFN	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.248189353444999	0.361755259248227	18	0.501411417153425	-1.00820895077271	0.511830243882712	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.501411417153425
q4q1_malfrac_drop205335	MHC-I/APM	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.691641560254038	0.528965864765056	18	0.207486398517799	-1.8029576040741	0.419674483566028	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.311229597776699
q4q1_malfrac_drop205335	chemokine	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.975229017613529	0.549032541004327	18	0.0925949192127092	-2.12870358381906	0.178245548592003	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	-1	TRUE	0.277784757638128
q4q1_luad_krt_leak	IFN	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	203	q4	-0.230935393831249	0.304667459700018	22	0.45649943004677	-0.862777033169852	0.400906245507353	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.684749145070155
q4q1_luad_krt_leak	MHC-I/APM	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	21	q4	-0.567103202331959	0.464511492453902	22	0.235062975871603	-1.53044107626401	0.396234671600093	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.684749145070155
q4q1_luad_krt_leak	chemokine	ols	29	17	12	4	GSE123902+GSE131907+GSE205335+GSE189357	14	q4	-0.132597660436686	0.340608959092815	22	0.700800020256855	-0.838977407386098	0.573782086512726	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	NA	NA	NA	-1	TRUE	0.700800020256855
cont	IFN	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	203	cldn4_z	-0.174669112922959	0.0933807521183463	59	0.0663764696097994	-0.361523566314176	0.0121853404682582	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0663764696097994
cont	IFN	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	203	cldn4_z	-0.174669112922959	0.0936102406111873	59	0.0670261457912786	-0.361982771727675	0.0126445458817573	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0670261457912786
cont_within_GSE123902	IFN	within	13	NA	NA	1	GSE123902	203	cldn4_z	-0.188266803404033	0.119945876588895	11	0.144808023541853	-0.452265897790375	0.0757322909823088	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE131907	IFN	within	21	NA	NA	1	GSE131907	203	cldn4_z	0.139279948262091	0.160761719631338	19	0.397093607357039	-0.197198197954344	0.475758094478526	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_within_GSE205335	IFN	within	21	NA	NA	1	GSE205335	203	cldn4_z	-0.533025555228452	0.189798496244181	19	0.0112170406444532	-0.930278373358047	-0.135772737098856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE189357	IFN	within	9	NA	NA	1	GSE189357	203	cldn4_z	-0.0432541244002414	0.118002797903557	7	0.724782225166179	-0.322286402078795	0.235778153278312	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_meta	IFN	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	203	cldn4_z	-0.139000903728379	0.131361862819924	3	0.367648399142077	-0.557052978714831	0.279051171258073	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	62.8781545507497	0.367648399142077	0.131361862819924	-1	TRUE	0.367648399142077
cont	MHC-I/APM	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	21	cldn4_z	-0.272721867377863	0.118515111665888	59	0.0249329928763728	-0.50987005805492	-0.0355736767008051	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0373994893145592
cont	MHC-I/APM	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	21	cldn4_z	-0.272721867377863	0.117447290461936	59	0.0236995000476669	-0.507733352761187	-0.0377103819945378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0355492500715004
cont_within_GSE123902	MHC-I/APM	within	13	NA	NA	1	GSE123902	21	cldn4_z	-0.263667540923534	0.191981715284303	11	0.196972391737109	-0.686216447273224	0.158881365426155	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE131907	MHC-I/APM	within	21	NA	NA	1	GSE131907	21	cldn4_z	0.00291383603814327	0.219489579788146	19	0.989546395491374	-0.456483134150419	0.462310806226705	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_within_GSE205335	MHC-I/APM	within	21	NA	NA	1	GSE205335	21	cldn4_z	-0.651402829079545	0.228780558275429	19	0.0103033450455208	-1.13024604073098	-0.17255961742811	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE189357	MHC-I/APM	within	9	NA	NA	1	GSE189357	21	cldn4_z	-0.0286902113451618	0.179088862852654	7	0.877247685573372	-0.452168079636722	0.394787656946398	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_meta	MHC-I/APM	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	21	cldn4_z	-0.220841765193258	0.145269028061836	3	0.225784628129204	-0.683152646820804	0.241469116434288	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	47.9728094735004	0.225784628129204	0.145269028061836	-1	TRUE	0.338676942193806
cont	chemokine	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	14	cldn4_z	-0.399752489566479	0.157560629572903	59	0.0138402086597352	-0.715030581110535	-0.0844743980224237	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0373994893145592
cont	chemokine	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	14	cldn4_z	-0.39975248956648	0.157640056665891	59	0.0138857326282456	-0.715189514356501	-0.084315464776459	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.0355492500715004
cont_within_GSE123902	chemokine	within	13	NA	NA	1	GSE123902	14	cldn4_z	-0.606549634977887	0.275432771192915	11	0.049896670232281	-1.21277307697641	-0.000326192979364426	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE131907	chemokine	within	21	NA	NA	1	GSE131907	14	cldn4_z	0.0463746609816638	0.25105088648867	19	0.855404411922173	-0.479080883319653	0.571830205282981	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_within_GSE205335	chemokine	within	21	NA	NA	1	GSE205335	14	cldn4_z	-0.863166299965858	0.309746013344552	19	0.011759512712891	-1.51147215665308	-0.214860443278633	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE189357	chemokine	within	9	NA	NA	1	GSE189357	14	cldn4_z	-0.0463401218212805	0.370123285021174	7	0.903883590628935	-0.921542617661538	0.828862374018977	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_meta	chemokine	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	14	cldn4_z	-0.367545538602349	0.21979889210589	3	0.193080159615052	-1.06704371069019	0.331952633485493	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	55.7337681188668	0.19859275797651	0.223480930172236	-1	TRUE	0.338676942193806
cont	STING_core	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	8	cldn4_z	-0.238015101259722	0.112582555218096	59	0.0387397902947898	-0.463292273904498	-0.0127379286149454	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont	STING_core	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	8	cldn4_z	-0.238015101259722	0.110919572425032	59	0.0360110446375241	-0.459964653021737	-0.0160655494977061	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE123902	STING_core	within	13	NA	NA	1	GSE123902	8	cldn4_z	-0.429166645318085	0.167925710950776	11	0.0267227837055801	-0.798768643118581	-0.0595646475175884	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE131907	STING_core	within	21	NA	NA	1	GSE131907	8	cldn4_z	0.218828388004433	0.19451679262722	19	0.274606998848496	-0.188299937950691	0.625956713959558	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_within_GSE205335	STING_core	within	21	NA	NA	1	GSE205335	8	cldn4_z	-0.660542835859629	0.215778149602621	19	0.00642677403536319	-1.11217169339363	-0.208913978325629	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE189357	STING_core	within	9	NA	NA	1	GSE189357	8	cldn4_z	-0.0370771718327963	0.10085215426051	7	0.724006587845412	-0.275554621622574	0.201400277956982	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_meta	STING_core	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	8	cldn4_z	-0.211991256126881	0.189708970167796	3	0.345226860896984	-0.81572986731656	0.391747355062797	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	77.291507375569	0.345226860896984	0.189708970167796	-1	TRUE	NA
cont	STING_plus_IFN_genes	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	-0.21896616740411	0.114528877192663	59	0.0607507182439372	-0.448137921324268	0.0102055865160476	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont	STING_plus_IFN_genes	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	-0.21896616740411	0.112285140512045	59	0.0559218218988216	-0.443648214596705	0.00571587978848409	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE123902	STING_plus_IFN_genes	within	13	NA	NA	1	GSE123902	10	cldn4_z	-0.459318453285083	0.183780250953294	11	0.0295441159952296	-0.863816058351199	-0.0548208482189662	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE131907	STING_plus_IFN_genes	within	21	NA	NA	1	GSE131907	10	cldn4_z	0.274567557635256	0.19226188731659	19	0.169497620066487	-0.127841197264307	0.676976312534819	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_within_GSE205335	STING_plus_IFN_genes	within	21	NA	NA	1	GSE205335	10	cldn4_z	-0.654637579152364	0.212443285597721	19	0.00614355314838882	-1.09928648610593	-0.209988672198799	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_GSE189357	STING_plus_IFN_genes	within	9	NA	NA	1	GSE189357	10	cldn4_z	-0.00309352181043495	0.136594760568401	7	0.982563560955113	-0.326088805290986	0.319901761670117	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_within_meta	STING_plus_IFN_genes	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	-0.199934544648451	0.208348737487505	3	0.40804073655192	-0.862993214476086	0.463124125179185	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	79.3120901743923	0.40804073655192	0.208348737487505	-1	TRUE	NA
cont	NHEJ	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	0.00158195359626353	0.0379673100793053	59	0.966905482412814	-0.0743904583908705	0.0775543655833975	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont	NHEJ	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	0.00158195359626369	0.0379617464714916	59	0.96690063499192	-0.0743793256373495	0.0775432328298769	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE123902	NHEJ	within	13	NA	NA	1	GSE123902	10	cldn4_z	0.0813970824578086	0.0867294691563436	11	0.368129386663524	-0.109493192097929	0.272287357013546	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE131907	NHEJ	within	21	NA	NA	1	GSE131907	10	cldn4_z	-0.0776124397703394	0.0435301894228723	19	0.090578498487198	-0.168722173325361	0.0134972937846824	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE205335	NHEJ	within	21	NA	NA	1	GSE205335	10	cldn4_z	-0.012821711925938	0.0875716822306692	19	0.885136964977854	-0.196111349319729	0.170467925467853	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE189357	NHEJ	within	9	NA	NA	1	GSE189357	10	cldn4_z	0.115854407525958	0.0543422012879959	7	0.0704678561768335	-0.0126444795245733	0.24435329457649	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_meta	NHEJ	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	10	cldn4_z	0.0220668831168461	0.0469761401889337	3	0.670571947914002	-0.127432160663915	0.171565926897608	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	65.0251829483872	0.712664618296135	0.0544938684108893	NA	NA	NA
cont	TJ	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	168	cldn4_z	0.0812922862590046	0.0339394081851057	59	0.0198032611769082	0.013379687345557	0.149204885172452	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont	TJ	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	168	cldn4_z	0.081292286259005	0.0339507718300474	59	0.019842658676593	0.0133569487445508	0.149227623773459	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE123902	TJ	within	13	NA	NA	1	GSE123902	168	cldn4_z	0.10483784935246	0.0999366797751294	11	0.316660660156931	-0.115121299781431	0.32479699848635	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE131907	TJ	within	21	NA	NA	1	GSE131907	168	cldn4_z	0.204934474914278	0.0371022148482479	19	2.50329381156871e-05	0.12727864676507	0.282590303063486	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE205335	TJ	within	21	NA	NA	1	GSE205335	168	cldn4_z	-0.02537571047573	0.0648745614550549	19	0.700037812420711	-0.16115972812035	0.11040830716889	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE189357	TJ	within	9	NA	NA	1	GSE189357	168	cldn4_z	0.00353846181747853	0.0294605867869123	7	0.907771979267519	-0.0661247561650082	0.0732016797999653	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_meta	TJ	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	168	cldn4_z	0.0723259206150485	0.054461484648457	3	0.276169631654484	-0.100994829984699	0.245646671214796	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	85.4343366060281	0.341878899180131	0.0641964548588244	NA	NA	NA
cont	keratin	ols	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	9	cldn4_z	0.142620123123413	0.209350849065857	59	0.498379037476596	-0.27628995825622	0.561530204503047	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont	keratin	lmm	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	9	cldn4_z	0.142620123123413	0.20875735170462	59	0.497163387945347	-0.275102372779477	0.560342619026304	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE123902	keratin	within	13	NA	NA	1	GSE123902	9	cldn4_z	-0.12530019152177	0.324358949541251	11	0.706641290447577	-0.839209426004976	0.588609042961436	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE131907	keratin	within	21	NA	NA	1	GSE131907	9	cldn4_z	0.949933164272884	0.451903744450901	19	0.0491126316081914	0.00408775685996177	1.89577857168581	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE205335	keratin	within	21	NA	NA	1	GSE205335	9	cldn4_z	-0.583727774919711	0.315663265117762	19	0.0800480964107774	-1.24441858190425	0.0769630320648318	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_GSE189357	keratin	within	9	NA	NA	1	GSE189357	9	cldn4_z	0.342087737325322	0.135586351392157	7	0.0396349031789388	0.0214769626384458	0.662698512012199	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
cont_within_meta	keratin	re_meta	64	NA	NA	4	GSE123902+GSE131907+GSE205335+GSE189357	9	cldn4_z	0.114254476355368	0.304265696689254	3	0.732260857993343	-0.854054765897921	1.08256371860866	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	72.7760873111175	0.732260857993343	0.304265696689254	NA	NA	NA
cont_drop205335	IFN	ols	43	NA	NA	3	GSE123902+GSE131907+GSE189357	203	cldn4_z	0.00450910822978763	0.0924286875038939	39	0.961339839808076	-0.182445558735254	0.191463775194829	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	0.961339839808076
cont_drop205335	IFN	lmm	43	NA	NA	3	GSE123902+GSE131907+GSE189357	203	cldn4_z	0.00450910822978737	0.0924596098999854	39	0.961352758886234	-0.182508105185054	0.191526321644629	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	0.961352758886234
cont_drop205335_within_GSE123902	IFN	within	13	NA	NA	1	GSE123902	203	cldn4_z	-0.188266803404033	0.119945876588895	11	0.144808023541853	-0.452265897790375	0.0757322909823088	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_GSE131907	IFN	within	21	NA	NA	1	GSE131907	203	cldn4_z	0.139279948262091	0.160761719631338	19	0.397093607357039	-0.197198197954344	0.475758094478526	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_drop205335_within_GSE189357	IFN	within	9	NA	NA	1	GSE189357	203	cldn4_z	-0.0432541244002414	0.118002797903557	7	0.724782225166179	-0.322286402078795	0.235778153278312	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_meta	IFN	re_meta	43	NA	NA	3	GSE123902+GSE131907+GSE189357	203	cldn4_z	-0.053803066212049	0.0888680905206346	2	0.606446139173785	-0.43617159847828	0.328565466054182	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	25.9341479582209	0.606446139173785	0.0888680905206346	-1	TRUE	0.606446139173785
cont_drop205335	MHC-I/APM	ols	43	NA	NA	3	GSE123902+GSE131907+GSE189357	21	cldn4_z	-0.083381386527021	0.127929416161153	39	0.518368198600553	-0.34214305500179	0.175380281947748	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.77755229790083
cont_drop205335	MHC-I/APM	lmm	43	NA	NA	3	GSE123902+GSE131907+GSE189357	21	cldn4_z	-0.0833813865270213	0.127144194757172	39	0.515802113499995	-0.340554794797739	0.173792021743697	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.773703170249993
cont_drop205335_within_GSE123902	MHC-I/APM	within	13	NA	NA	1	GSE123902	21	cldn4_z	-0.263667540923534	0.191981715284303	11	0.196972391737109	-0.686216447273224	0.158881365426155	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_GSE131907	MHC-I/APM	within	21	NA	NA	1	GSE131907	21	cldn4_z	0.00291383603814327	0.219489579788146	19	0.989546395491374	-0.456483134150419	0.462310806226705	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_drop205335_within_GSE189357	MHC-I/APM	within	9	NA	NA	1	GSE189357	21	cldn4_z	-0.0286902113451618	0.179088862852654	7	0.877247685573372	-0.452168079636722	0.394787656946398	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_meta	MHC-I/APM	re_meta	43	NA	NA	3	GSE123902+GSE131907+GSE189357	21	cldn4_z	-0.101024693351832	0.0835956566220446	2	0.350353152615593	-0.460707773511871	0.258658386808207	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.463820913493805	0.112460176351104	-1	TRUE	0.606446139173785
cont_drop205335	chemokine	ols	43	NA	NA	3	GSE123902+GSE131907+GSE189357	14	cldn4_z	-0.16804558436679	0.16980567702532	39	0.328453203226077	-0.511509985456601	0.17541881672302	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.77755229790083
cont_drop205335	chemokine	lmm	43	NA	NA	3	GSE123902+GSE131907+GSE189357	14	cldn4_z	-0.16804558436679	0.169810633409163	39	0.328467147931169	-0.511520010689196	0.175428841955615	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.773703170249993
cont_drop205335_within_GSE123902	chemokine	within	13	NA	NA	1	GSE123902	14	cldn4_z	-0.606549634977887	0.275432771192915	11	0.049896670232281	-1.21277307697641	-0.000326192979364426	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_GSE131907	chemokine	within	21	NA	NA	1	GSE131907	14	cldn4_z	0.0463746609816638	0.25105088648867	19	0.855404411922173	-0.479080883319653	0.571830205282981	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_drop205335_within_GSE189357	chemokine	within	9	NA	NA	1	GSE189357	14	cldn4_z	-0.0463401218212805	0.370123285021174	7	0.903883590628935	-0.921542617661538	0.828862374018977	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_meta	chemokine	re_meta	43	NA	NA	3	GSE123902+GSE131907+GSE189357	14	cldn4_z	-0.21024443707181	0.210913585489073	2	0.423872810847772	-1.11773235141762	0.697243477273998	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	39.5985467618204	0.436261709569707	0.217814890066298	-1	TRUE	0.606446139173785
cont_drop205335	STING_core	ols	43	NA	NA	3	GSE123902+GSE131907+GSE189357	8	cldn4_z	-0.026751233959768	0.118267769903951	39	0.822233330464421	-0.265970378277487	0.212467910357951	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335	STING_core	lmm	43	NA	NA	3	GSE123902+GSE131907+GSE189357	8	cldn4_z	-0.0267512339597681	0.117237594697681	39	0.820698747141052	-0.263886652241718	0.210384184322182	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_GSE123902	STING_core	within	13	NA	NA	1	GSE123902	8	cldn4_z	-0.429166645318085	0.167925710950776	11	0.0267227837055801	-0.798768643118581	-0.0595646475175884	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_GSE131907	STING_core	within	21	NA	NA	1	GSE131907	8	cldn4_z	0.218828388004433	0.19451679262722	19	0.274606998848496	-0.188299937950691	0.625956713959558	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
cont_drop205335_within_GSE189357	STING_core	within	9	NA	NA	1	GSE189357	8	cldn4_z	-0.0370771718327963	0.10085215426051	7	0.724006587845412	-0.275554621622574	0.201400277956982	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335_within_meta	STING_core	re_meta	43	NA	NA	3	GSE123902+GSE131907+GSE189357	8	cldn4_z	-0.0883532186089772	0.179394881200556	2	0.671118082066107	-0.860227093909631	0.683520656691677	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	70.8635416812374	0.671118082066107	0.179394881200556	-1	TRUE	NA
cont_drop205335	STING_plus_IFN_genes	ols	43	NA	NA	3	GSE123902+GSE131907+GSE189357	10	cldn4_z	-0.00113046152998332	0.122968604811873	39	0.992711944094517	-0.249857941932547	0.247597018872581	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
cont_drop205335	STING_plus_IFN_genes	lmm	43	NA	NA	3	GSE123902+GSE131907+GSE189357	10	cldn4_z	-0.00113046152998365	0.120888170610002	39	0.99258652345793	-0.245649866562689	0.243388943502722	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
