accession	title	gdstype	n_samples	pdat	suppfile	ftplink	summary
GSE278119	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	Expression profiling by high throughput sequencing; Other	44	2025/12/03	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278119/	Immune checkpoint inhibitor (ICI) therapies present a pillar of modern cancer therapy but can cause severe and potentially fatal neurological immune-related adverse events (n-irAEs). Here, we performed single-cell RNA sequencing and T cell receptor profiling of PBMCs of a cohort of 17 cancer patients receiving ICI therapy. Our data suggest alterations in regulatory T cell frequencies and B cell states, and a significant enrichment of clonally expanded CD4+ cytotoxic T lymphocytes (CD4+ CTLs) with an effector gene expression profile in n-irAE patients.
GSE278868	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [RNA-Seq]	Expression profiling by high throughput sequencing	6	2025/02/26	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278868/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE278869	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [CUT&RUN]	Genome binding/occupancy profiling by high throughput sequencing	12	2025/02/26	NARROWPEAK	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278869/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE280232	Divergent clinical and immunologic outcomes based on STK11 co-mutation status in resectable KRAS-mutant lung cancers following neoadjuvant immune checkpoint blockade	Expression profiling by high throughput sequencing; Other	42	2024/10/24	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280232/	Co-mutations of the KRAS and STK11 genes in advanced non-small cell lung cancer (NSCLC) are associated with immune checkpoint blockade (ICB) resistance. While neoadjuvant chemoimmunotherapy is now a standard of care treatment for early-stage NSCLC, the clinical and immunologic impact of KRAS and STK11 co-mutations in this setting are unknown. We evaluated the clinical outcomes and intratumoral T cell profiles of resected KRAS-mutant tumors treated with neoadjuvant ICB. Relative to KRASmut/STK11wt tumors, KRASmut/STK11mut exhibited significantly higher recurrence risk. Single-cell transcriptomics showed enhanced oxidative phosphorylation with evidence of decreased PGE-2 signaling and increased IL-2 signaling in CD8+ tumor-infiltrating lymphocytes (TIL) from KRASmut/STK11mut tumors, a finding that was mirrored in KRASwt tumors that relapsed. TIL from KRASmut/STK11mut tumors expressed high levels of molecules associated with tumor residence, including CD39 and ZNF683 (HOBIT). These divergent T cell transcriptional fates suggest T cell maintenance and residence may be detrimental to anti-tumor immunity in the context of neoadjuvant ICB for resectable NSCLC, regardless of KRAS mutation status. Our work provides a basis for future investigations into the mechanisms underpinning PGE-2 and IL-2 signaling as they relate to T cell immunity to cancer and to divergent clinical outcomes in KRASmut/STK11mut NSCLC treated with neoadjuvant ICB.
GSE282437	PLA2G2D in tumour-draining lymph nodes regulates anti-tumour immunity	Other	69	2026/06/23	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282437/	Current cancer immunotherapies can induce tumor regression, although responses are often not durable for reasons that are incompletely understood. Apart from activating pre-existing tumor-infiltrating T cells, recent studies have highlighted the importance of enforcing a systemic immune response from tumor-draining lymph nodes (TDLNs). However, mechanisms driving immune suppression in TDLNs remain poorly studied. We applied spatial proteogenomics on melanoma TDLNs and identified striking regional differences in immune cell composition in lymph nodes from patients with long-term (>5 years) disease control compared to those with early (<2 years) disease recurrence. TDLNs from patients with a poor prognosis were characterized by the expansion of a specific cellular interaction network in the lymph node paracortex, consisting of regulatory T cells (Tregs), dendritic cells (DCs) and macrophages interacting with cytotoxic CD8+ T cells. Targeted transcriptomics of cell types within this spatial neighbourhood revealed immunoregulatory myeloid cell phenotypes engaging with CD8+ T cells poised for exhaustion. Macrophages in patients with early disease recurrence resided in a dysfunctional state bearing hallmarks of chronic interferon-signalling – frequently residing near CD8+ T-cell–DC dyads. Besides known immune-suppressive molecules such as IDO and PD-L1, paracortex macrophages and DCs in patients with recurrence expressed high levels of the secreted phospholipase PLA2G2D across different cancer types. In addition, PLA2G2D was upregulated in non-small cell lung cancer patients upon acquired resistance to anti-PD-1 immunotherapy. Importantly, PLA2G2D loss-of-function or therapeutic inhibition markedly improved survival in tumor-bearing mice and increased the efficacy of anti-PD-1 immunotherapy. Collectively, we show that in-depth spatial profiling of cancer patient TDLNs offers novel insights into systemic anti-tumor immunity and identifies PLA2G2D as a target for cancer immunotherapy.
GSE282589	A tri-specific antibody engages T and myeloid cells to augment anti-tumor immunity [bulk RNA-seq]	Expression profiling by high throughput sequencing	33	2025/09/15	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282589/	Immunologically inert tumors often resist immune checkpoint inhibitors due to a scarcity of tumor-specific T cells and the immunosuppressive microenvironment, despite pronounced and functional bystander T cell infiltration. Here, we develop a novel tri-specific T cell engager (Tri-TCE) designed in a unique format to redirect T cells while mitigating immunosuppression. Our comprehensive studies utilizing co-culture systems, patient-derived tumor suspensions (PDTSs), patient-derived tumor fragments (PDTFs), and humanized mouse tumor models, demonstrate that Tri-TCE effectively activates T cells and induces tumor cell lysis.
GSE283829	In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.	Expression profiling by high throughput sequencing	27	2025/01/17	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283829/	Introduction: Immune checkpoint inhibitors (ICIs) have transformed lung cancer treatment, yet their effectiveness seem restricted to certain patient subsets. Current clinical stratification on the basis of programmed death ligand 1 (PD-L1) expression offers limited predictive value. Given the mechanism of action, directly detecting spatial programmed cell death protein 1 (PD1)–PD-L1 interactions might yield more precise insights into immune responses and treatment outcomes.  Methods: We applied a second-generation in situ proximity ligation assay to detect PD1–PD-L1 interactions in diagnostic tissue samples from 16 different cancer types, a tissue microarray with surgically resected early-stage NSCLC, and finally diagnostic biopsies from 140 patients with advanced NSCLC with and without ICI treatment. RNA sequencing analysis was used to identify potential resistance mechanisms.  Results: In the early-stage NSCLC, only approximately half of the cases with detectable PD-L1 and PD1 expression exhibited PD1–PD-L1 interactions, with significantly lower levels in EGFR-mutated tumors. Interaction levels varied across cancer types, aligning with reported ICI response rates. In ICI-treated patients with NSCLC, higher PD1–PD-L1 interactions were linked to complete responses and longer survival, outperforming standard PD-L1 expression assays. Patients who did not respond to ICIs despite high PD1–PD-L1 interactions exhibited additional expression of stromal immune mediators (EOMES, HAVCR1/TIM-1, JAML, FCRL1).  Conclusion: Our study proposes a diagnostic shift from static biomarker quantification to assessing active immune pathways, providing more precise ICI treatment. This functional concept applies to tiny lung biopsies and can be extended to further immune checkpoints. Accordingly, our results indicate concerted ICI resistance mechanisms, highlighting the need for combination diagnostics and therapies. 
GSE285029	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance	Expression profiling by high throughput sequencing	234	2025/01/06	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285029/	Background:  The tumor cell-intrinsic function of programmed cell death-ligand 1 (PD-L1) is poorly understood. The roles of the intrinsic function of PD-L1 in interleukin (IL)-6-mediated immunosuppression and the response to immune checkpoint inhibitors (ICIs) in non-small cell lung cancer (NSCLC) were investigated.  Methods:  Cohorts of NSCLC patients treated with ICI and public datasets were analyzed. PD-L1-overexpressing and PD-L1-knockdown NSCLC cells were submitted to RNA-seq, in vitro analyses, ChIP-qPCR, CUT&Tag, and biochemical assays. Human myeloid-derived suppressor cells (MDSCs) sorted from peripheral blood mononuclear cells were co-cultured with NSCLC cells, and then assessed for their immunosuppressive activity on T-cells. Mouse Lewis lung carcinoma (LLC) cells with PD-L1 overexpression/or knockdown were subcutaneously injected into wild-type or PD-1-knockout C57BL/6 mice in the presence of IL-6 and/or PD-1 blockade.  Results:  In the ICI cohort with RNA-seq data, the IL-6/Jak/Stat3 pathway was enriched and IL-6 expression was higher in patients with no response to ICI in PD-L1-high NSCLCs. IL-6 expression in PD-L1-high NSCLCs correlated positively with MDSCs and Tregs, but negatively with cytotoxic lymphocytes. In another ICI cohort, a higher baseline serum IL-6 level was associated with poor clinical outcome after ICI therapy. PD-L1 activated Jak2/Stat3 signaling by binding to and inhibiting tyrosine phosphatase PTP1B. PD-L1 also bound to p-Stat3 in the nucleus, thus promoting the activity of p-Stat3 on the transcription of several cytokines (IL-6, TGFβ, TNFα, IL-1β) and chemokines (CXCL1, CXCL3, CXCL8). PD-L1-overexpressing NSCLC cells enhanced the migration and immunosuppressive activity of human MDSC in vitro, mediated by IL-6 and CXCL1. In both wild-type and PD-1-knockout mice, PD-L1-overexpressing mouse lung tumors were heavily infiltrated by MDSCs with high immunosuppressive function. Treg numbers were increased while the numbers of granzyme B+ or IFNγ+ CD8 T-cells decreased. These responses were shown to be mediated by IL-6 secreted from PD-L1-overexpressing tumor cells. Combined blockade of PD-1 and IL-6 was effective in tumor control and decreased MDSCs while increasing granzyme B+ or IFNγ+ CD8 T-cells.  Conclusions:  The tumor-cell-intrinsic function of PD-L1 contributes to immunosuppression and tumor progression by MDSCs through the IL-6/Jak/Stat3 pathway, which may serve as therapeutic target to improve ICI efficacy in patients with PD-L1-high NSCLC.
GSE285298	Tumor and immune environment changes in EGFR-TKI treated EGFR-mutant non-small cell lung cancer	Other	173	2025/01/03	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285298/	Patients with EGFR mutations exhibit immunosuppressive microenvironments, limiting responsiveness to immunotherapy. In our analysis, 25 Korean patients diagnosed with NSCLC harboring common EGFR mutations (L858R and exon 19 microdeletion) that received EGFR-TKI treatment was compared before and after treatment. 25 patients were analyzed overall, and 14 patients were analyzed in the paired analysis who received first-line osimertinib. Among 171 ROIs, 68ROIs were used for tumor paired analysis, and 51 ROIs for immune region.
GSE285888	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	Expression profiling by high throughput sequencing	1	2025/05/19	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285888/	Immune checkpoint inhibitors (ICIs) have revolutionized by offering remarkable clinical benefits and durable responses for patients with advanced non-small cell lung cancer (NSCLC). However, a very small percentage of patients responded to ICI treatment, and immune-related adverse events (irAEs) leading to treatment discontinuation remain challenges. Despite the recognized need for biomarkers that can predict both the efficacy of ICIs and the risk of irAEs, such biomarkers have yet to be clearly identified. In this study, we performed single-cell RNA sequencing on peripheral blood mononuclear cells (PBMC) from NSCLC patients prior to treatment with ICIs. We found that the immune response is generally reduced in patients with poor prognosis. However, the hypoxic environment is particularly more prominent in patients with primary resistance compared to those with acquired resistance. Meanwhile, granzyme and perforin are closely associated with favorable prognosis. We also identified IL1B and CXCL8 as key predictors of irAEs, with their activation linked to inflammation. Moreover, we found that PRF1 in CD8+ T cells and NK cells plays a critical mediator of complete responses and reduced irAE to ICI therapy. These findings deepen our understanding of the mechanisms of ICI efficacy and provide valuable information for optimizing immunotherapy strategies. By identifying biomarkers for both better prognosis and irAEs, this research lays the foundation for personalized immunotherapy approaches that aim to improve clinical outcomes while minimizing the risks associated with ICI treatment.
GSE287798	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [ATAC-seq]	Genome binding/occupancy profiling by high throughput sequencing	4	2026/04/05	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287798/	T cell exhaustion (TEX) represents a critical target for immunotherapy in cancer. Nevertheless, T cells exhibit diminished responsiveness to immune checkpoint inhibitors once they transition to a terminally-exhausted state. Here, we employed an epigenetic drug screen and identified BET inhibitors (BETis) as enhancers of effector functions in primary exhausted T cells from malignant pleural effusions in lung cancer patients. Transcriptomics, metabolomics, and ATAC-seq analyses revealed that BETis reinvigorate TEX by activating the polyamine biosynthesis pathway, expanding intracellular polyamine pools, and altering chromatin accessibility. Genetic and pharmacological inhibition of ornithine decarboxylase (ODC), a key enzyme in this pathway, abolished BETi-mediated immunopotentiation. Single-cell RNA-seq demonstrated BETis reduced terminal TEX while promoting progenitor TEX through activation of the MYC-ODC axis. BETi treatment or adoptive transfer of BETi-treated T cells suppressed malignant pleural effusion formation in a syngeneic lung cancer model. These findings highlight an epigenetic-metabolic approach to enhance TEX plasticity and offers insights for novel cancer immunotherapies.
GSE287799	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [RNA-seq]	Expression profiling by high throughput sequencing	6	2026/04/05	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287799/	T cell exhaustion (TEX) represents a critical target for immunotherapy in cancer. Nevertheless, T cells exhibit diminished responsiveness to immune checkpoint inhibitors once they transition to a terminally-exhausted state. Here, we employed an epigenetic drug screen and identified BET inhibitors (BETis) as enhancers of effector functions in primary exhausted T cells from malignant pleural effusions in lung cancer patients. Transcriptomics, metabolomics, and ATAC-seq analyses revealed that BETis reinvigorate TEX by activating the polyamine biosynthesis pathway, expanding intracellular polyamine pools, and altering chromatin accessibility. Genetic and pharmacological inhibition of ornithine decarboxylase (ODC), a key enzyme in this pathway, abolished BETi-mediated immunopotentiation. Single-cell RNA-seq demonstrated BETis reduced terminal TEX while promoting progenitor TEX through activation of the MYC-ODC axis. BETi treatment or adoptive transfer of BETi-treated T cells suppressed malignant pleural effusion formation in a syngeneic lung cancer model. These findings highlight an epigenetic-metabolic approach to enhance TEX plasticity and offers insights for novel cancer immunotherapies.
GSE287930	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer	Expression profiling by high throughput sequencing	2	2026/04/06	TAR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287930/	T cell exhaustion (TEX) represents a critical target for immunotherapy in cancer. Nevertheless, T cells exhibit diminished responsiveness to immune checkpoint inhibitors once they transition to a terminally-exhausted state. In this study, we employed Single-cell RNA-seq to demonstrate BETis reduced terminal TEX while promoting progenitor TEX through activation of the MYC-ODC axis.
GSE287938	Repurposing MDM2 Inhibitor RG7388 For TP53-Mutant NSCLC: A p53-Independent Pyroptotic Mechanism via ROS/p-p38/NOXA/Caspase-3/GSDME Axis	Expression profiling by high throughput sequencing	4	2025/06/12	XLS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE287nnn/GSE287938/	Non-small cell lung cancer (NSCLC) is highly malignant with limited treatment options due to the inherent tumoral heterogeneity and acquired resistance towards chemotherapy and immunotherapy. RG7388 was previously reported to have anticancer activity against TP53WT NSCLC which was designed as MDM2 inhibitor triggering p53/PUMA axis-dependent apoptosis. However, RG7388 exhibited p53-independent anticancer effect against TP53mutant NSCLC in our current research, the underlying mechanisms of which were still uncertain. Here, we reported that RG7388 specifically induced NOXA/Caspase-3 axis dependent apoptosis and gasdermin E (GSDME)-mediated secondary pyroptosis in TP53mutant NSCLC using in silico and multiple biological methods. Mechanically, we identified accumulated reactive oxygen species (ROS) served as the pivotal factor in NOXA upregulation and p38 MAPK pathway activation in RG7388 treated TP53mutant NSCLC by using two ROS scavengers N-acetylcysteine (NAC) and Ferrostatin-1 (Fer-1) respectively. Furthermore, pharmacologic inhibition of p38 MAPK signaling by SB203580 rescued RG7388 induced ROS-dependent NOXA accumulation and subsequent apoptosis and pyroptosis, thus suggesting a leading role of ROS/phosphorylated p38 MAPK (p-p38)/NOXA/Caspase-3 axis in RG7388 induced TP53mutant NSCLC cell death. Taken together, our work unraveled a novel mechanism of selective targeting of mutant p53 derived cancers via ROS/p-p38-mediated NOXA accumulation that could have potential therapeutic implications given the relative lack of direct mutant p53 targeting strategies in cancer. Moreover, A strong positive correlation between p-p38 and NOXA expression was confirmed by using an NSCLC tissue microarray and immunohistochemical (IHC) staining. Clinical data analysis suggested that the p-p38/NOXA axis could serve as a potential indicator for predicting overall survival (OS) in NSCLC patients.
GSE288083	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	Expression profiling by high throughput sequencing	4	2025/04/08	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288083/	Immunotherapy using immune checkpoint inhibitors (ICI) has revolutionized the management of melanoma. Although the anti-PD-1 antibodies induce a 40% objective response rate (ORR) in advanced melanoma patients, the majority of patients have a primary resistance or develop a secondary resistance (Robert et al. 2015). Many resistance mechanisms have been described including the loss of the expression of class I MHC, the alteration of antigen presentation, JAK/STAT pathway mutation, or the overexpression of another inhibitory molecule (LAG-3, TIM-3, …). It was also known that immunosuppressive cells such as myeloid-derived Suppressor Cells (MDSC) can negatively impact the efficacy of anti-PD-1 therapy (Limagne et al. 2019). MDSCs are a group of immunosuppressive heterogenous cells found in many cancers that inhibit antitumor T cell functions by several mechanisms. We previously described in lung cancer a novel subpopulation of monocytic MDSC (M-MDSC) overexpressing TIE-2 that mediate inhibition of antitumor T cell responses after angiopoietin-2 (ANGPT2) exposure. Furthermore, we found, that a high level of circulating TIE-2+ M-MDSC and ANGPT2 in melanoma patients is associated with a poor prognosis by inhibiting anti-melanoma T-cell responses (Marguier et al. 2022).TIE-2 is a tyrosine kinase with immunoglobulin and EGF homology domains. This receptor was mainly expressed by endothelial cells but can be expressed by tumor cells and some immune cells such as monocytes. TIE-2 binds to the pro-angiogenic factor ANGPT2 which is involved in tumor neo-angiogenesis. Recent findings in melanoma also showed the implication of ANGPT2 in resistance to anti-PD-1 therapy by promoting the exclusion of T cells (Park et al. 2023). Thus, we assumed that TIE-2+ M-MDSC would be involved in this negative impact of ANGPT2 on anti-PD-1 therapy.
GSE288117	Effect of PA200 depletion on gene expression in lung cancer cell lines A549 and NCI-H1299	Expression profiling by high throughput sequencing	12	2026/03/06	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288117/	Proteasome activator 200 (PA200; also known as PSME4) is upregulated in non-small cell lung cancer (NSCLC) and linked to poor prognosis. We have previously demonstrated that the overexpression of PA200 in NSCLC is associated with immune evasion and reduced responsiveness to immune checkpoint inhibitors. The cell autonomous function of PA200 in cancer growth, however, has not been solved. We here demonstrate that deletion of PA200 in two distinct lung cancer cell lines induced cell-specific alterations in proteasome composition and activities with a minor direct impact on overall proteasome activity. Deficiency of PA200 in lung cancer cells did not consistently alter tumor cell growth in vitro and in vivo. However, we observed concerted inhibition of tumor cell migration and invasion with conserved downregulation of the integrin ITGB3 and transcriptional dysregulation of multiple cell adhesion and extracellular matrix regulators. Our transcriptome profiling revealed a striking disparity in the transcriptional response to PA200 deletion in the two lung cancer cell lines. Together with our PA200 interactome analysis that uncovered an unexpected cell-dependent profile of PA200-interacting proteins, our data indicate that the function of PA200 is cell specific and depends on the cellular context. In conclusion, we here demonstrate that PA200 cell-autonomously regulates the invasive capacities of tumor cells thereby potentially promoting lung cancer spread and metastasis formation. This mechanism might add to PA200-related immune evasion and contribute to the observed poor prognosis of individuals with PA200-overexpressing lung cancer.
GSE288649	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [ChIP-seq3]	Genome binding/occupancy profiling by high throughput sequencing	1	2025/02/26	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288649/	Genomic studies have identified frequent alterations in components of the SWI/SNF (SWItch/Sucrose Non- Fermenting) chromatin remodeling complex including SMARCA4 and ARID1A. Recent independent clinical studies have shown that SMARCA4 mutant lung cancer patients have very poor response to immunotherapy but the mechanism is unknown. Here we showed that SMARCA4 deficiency caused resistance to anti-PD1 immunotherapy and decreased CD4+ T cell and conventional class I dendritic cells (“cDC1s”) percentage in tumor microenvironment (TME) with mouse models. SMARCA4 loss in tumor cells prevented STING pathway sensing cytosolic DNA and cGAMP to reduce type I IFN and inflammatory cytokine gene expression. Importantly, SMARCA4 degradation induced a profound reprograming of the enhancer landscape with marked loss of chromatin accessibility at enhancers of genes involved in type I IFN and inflammatory cytokine, which is associated with nuclear factor NF-κB pathway. Our finding reveals that SMARCA4 loss can have a critical immune modulatory impact in cancer cell intrinsic fashion and suggest that manipulation of SMARCA4 in tumor cells can improve cancer immunotherapy.
GSE289043	Activating NRF2^E79Q mutation alters the differentiation of human non-small cell lung cancer	Expression profiling by high throughput sequencing	23	2025/08/13	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289043/	The NRF2 signaling pathway promotes tumor initiation, progression and resistance to chemotherapy, radiation therapy and immune checkpoint inhibitors. The mechanisms underlying the biology of NRF2-active tumors are varied, and include altered cellular metabolism, a reductive shift in redox state, and immunosuppression. Here we determined the molecular and phenotypic impact of NRF2 activation on two human non-small cell lung cancer (NSCLC) cell models. Inducible expression of NRF2^E79Q, a common activating NRF2 mutation, in H358 lung adenocarcinoma (LUAD) cells altered cellular morphology and increased xenograft tumor growth in mice but not in 2D cell culture. In contrast, NRF2^E79Q expression in H596 lung adeno-squamous cell carcinoma altered cellular morphology, increased neuroendocrine marker gene expression, but did not impact tumor growth in 2D or in xenografts. Gene expression profiling revealed shared and unique NRF2 transcriptional programs between these models, some of which were shared in primary lung tumors. Collectively, our findings reveal context-dependent effects of NRF2 activation on the growth and differentiation-state of two human NSCLC models, supporting a new differentiation-centric mechanism of NRF2-driven tumor progression and therapeutic resistance.
GSE290255	Key Regulatory Elements of the TGFβ-LRRC15 Axis Predict Disease Progression and Immunotherapy Resistance Across Cancer Types	Expression profiling by high throughput sequencing	12	2025/10/08	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE290nnn/GSE290255/	Transforming growth factor-beta (TGFβ) has dual roles in cancer, initially suppressing tumors but later promoting metastasis and immune evasion. Efforts to inhibit TGFβ have been largely unsuccessful due to significant toxicity and indiscriminate immunosuppression. Leucine-rich repeat-containing protein 15 (LRRC15) is a TGFβ-regulated antigen expressed by mesenchymal-derived cancer cells and cancer-associated fibroblasts (CAFs). In preclinical studies, ablation of TGFβ-driven LRRC15+ CAFs increased tumor infiltration of CD8+ T cells. However, the underlying pathobiological mechanisms prompting TGFβ’s upregulation of LRRC15 expression are unclear. Using an integrated approach combining functional compound screening with single-cell RNA sequencing, we reveal key genomic features regulating TGFβ’s ability to increase LRRC15 expression on cancer cells. Construction of gene regulatory networks converged our analyses on four key genes—MMP2, SPARC, TGFβR2, and WNT5B—central to TGFβ-induced LRRC15 pathobiology. Validation of these genes in cell models and their use in predicting immunotherapy responses highlight their potential in refining immunotherapy strategies and personalizing co-treatment options.
GSE291670	Neoadjuvant anlotinib combined with PD-1 blockade therapy remodeling the microenvironment in advanced non-small cell lung cancer	Expression profiling by high throughput sequencing	6	2025/03/31	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE291nnn/GSE291670/	Neoadjuvant anlotinib combined with PD-1 blockade therapy can prolong the survival of patients, but the underlying mechanisms for the failure of patients to benefit from combination therapy remain to be explored. To explore the mechanism of drug resistance and predict patient response,  we performed scRNA-seq from 6 NSCLC patients, including 3 post-treatment patients with major pathological response (MPR), and 3 Non-MPR patients to observe and analyze the dynamic changes of immune cells, stromal cells and cancer cells from the NSCLC patients who received neoadjuvant anlotinib combined with PD-1 blockade therapy and verified in an independent cohort.
GSE292098	Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer [GeoMx DSP]	Other	315	2025/12/31	DCC, PKC, XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292098/	Non–small cell lung cancer (NSCLC) has an increasing number of targeted and systemic therapies allowing subsets of patients to achieve long–term durable benefit. Fundamental to understanding responses to a given therapy is comprehensive molecular characterization of the underlying tumor immune microenvironment (TIME). The TIME may inform models to predict immunotherapy outcomes and features to delineate therapeutic responses and clinical endpoints. We hypothesize that an integrated multi–omics approach will uncover interactions within the NSCLC TIME and identify novel biomarkers that are predictive of immunotherapy responses, thus aiding precision oncology. To develop a spatially resolved TIME model for NSCLC immunotherapy, we utilized a multi–omics approach, combining spatial mapping of protein expression at the single–cell resolution by Phenocycler Fusion (PCF) and multi–cellular readout whole transcriptome  profiling at cellular compartment resolution by Digital Spatial Profiling (DSP–GeoMx–WTA). This approach facilitated a detailed examination of the TIME in NSCLC samples from patients undergoing first–line immunotherapy. We studied two independent cohorts of advanced NSCLC tissue samples, treated with PD–1–based immunotherapies. We derived gene signatures from cell type signatures to predict treatment outcomes using a multistage Least Absolute Shrinkage and Selection Operator (LASSO) approach. Our spatial proteomic analysis identified three distinct cell types, proliferating tumor cells, granulocytes, and vessels, associated with resistance to immunotherapy. A high proportion of these cell types demonstrated a hazard ratio (HR) of 3.8 (p = 0.004) in the Yale training cohort and 1.8 (p = 0.05) in the UQ validation cohort. In the response cell–type model, higher levels of M1 macrophages, M2 macrophages, and CD4 T cells had an HR of 0.4 (p = 0.019) in the training cohort and 0.49 (p = 0.036) in the validation. In the transcriptomic analysis, gene signatures derived from these cell types predicted outcomes with high accuracy. The resistance gene model, which included 8 genes associated with epithelial–mesenchymal transition (EMT) and cell migration, showed an HR of 5.3 (p < 0.001) in the Yale training cohort, 2.2 (p = 0.036) in the UQ validation cohort, and 1.7 (p = 0.042) in the Greek validation cohort. Conversely, the response gene model, consisting of 8 genes associated with immunomodulation, had an HR of 0.22 (p = 0.005) in the Yale training cohort, 0.38 (p = 0.034) in the UQ validation cohort, and 0.56 (p = 0.041) in the Greek validation cohort. Multivariable analysis, adjusting for age, sex, disease stage, prior chemotherapy, type of immunotherapy, line of immunotherapy, histology, and smoking status, confirmed that the resistance signature remained significantly associated with worse outcomes, while the response signature remained associated with improved outcomes in both the UQ and Greek cohorts. This research highlights the potential of a multi–omics cell typing and gene expression profiling approach in advancing NSCLC treatment toward precision oncology. By offering insights into the TIME and unveiling novel biomarkers, our model seeks to define resistance and to improve prediction of response to treatment.
