accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE242781	200242781	dna_repair	The Splicing Factor CCAR1 Regulates the Fanconi Anemia/BRCA Pathway	Homo sapiens	Expression profiling by high throughput sequencing	10	GPL24676	39025073	2024/08/21
GSE241816	200241816	dna_repair	Cytoglobin overexpression-dependent transcriptomic changes in A375 melanoma cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	39107431	2024/08/21
GSE247185	200247185	dna_repair	Impact of immune repertoire in Muscle – Invasive Bladder Cancer (MIBC) on predicting response and survival after neoadjuvant cisplatin-based chemotherapy (NAC)	Homo sapiens	Expression profiling by high throughput sequencing	13	GPL24676	39119802	2024/08/16
GSE274122	200274122	dna_repair	HPV induced R-loop formation represses innate immune gene expression while activating DNA damage repair pathways [HFK RNA seq]	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL18573		2024/08/12
GSE274120	200274120	dna_repair	HPV induced R-loop formation represses innate immune gene expression while activating DNA damage repair pathways [H3K9me3 ChIP seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7	GPL18573		2024/08/12
GSE274119	200274119	dna_repair	HPV induced R-loop formation represses innate immune gene expression while activating DNA damage repair pathways [gH2AX ChIP seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7	GPL20301		2024/08/12
GSE274005	200274005	dna_repair	HPV induced R-loop formation represses innate immune gene expression while activating DNA damage repair pathways	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL18573		2024/08/12
GSE240700	200240700	dna_repair	Gene expression profiling of pancreatic neuroendocrine carcinoma and mixed neuroendocrine-non-neuroendocrine neoplasm	Homo sapiens	Other	15	GPL30235		2024/08/11
GSE231321	200231321	dna_repair	Phosphorylation of 53BP1 by ATM enforce neurodevelopmental programs in cortical organoids	Homo sapiens	Expression profiling by high throughput sequencing	30	GPL18573		2024/08/11
GSE242786	200242786	dna_repair	Molecular differentiation between complete and incomplete responders to neoadjuvant therapy in rectal cancer	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL11154	39011117,41126128,42373231	2024/08/09
GSE274109	200274109	dna_repair	HPV induced R-loop formation represses innate immune gene expression while activating DNA damage repair pathways [H3K36me3 ChIP seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7	GPL20301		2024/08/07
GSE273937	200273937	dna_repair	Unraveling Heterogeneity in Tumor Evolution Induced by Diverse Radiation Modes: Insights from Systems Biology	Homo sapiens	Expression profiling by high throughput sequencing	7	GPL20301		2024/08/05
GSE269942	200269942	dna_repair	YAP1 status defines two intrinsic subtypes of LCNEC with distinct molecular features and therapeutic vulnerabilities	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	39150543,41279637,42019833	2024/08/05
GSE262217	200262217	dna_repair	Impaired B-cell function in ERCC2 deficiency	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676	39055713	2024/08/02
GSE239560	200239560	dna_repair	EZH2 directly methylates PARP1 and regulates its activity in cancer	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL28038	39602541	2024/08/01
GSE240377	200240377	dna_repair	Distinct functions of wild-type and mutant Δ133p53α R273H differentially regulate glioblastoma aggressiveness and therapy-induced senescence	Homo sapiens	Expression profiling by high throughput sequencing	72	GPL24676	38937431	2024/07/31
GSE272812	200272812	dna_repair,dna_repair_title	Neuronal DNA repair reveals strategies to influence CRISPR editing outcomes	Homo sapiens	Expression profiling by high throughput sequencing	24	GPL34281	38979269	2024/07/30
GSE272969	200272969	dna_repair,dna_repair_title	Mechanism of homology search expansion during recombinational DNA repair	Saccharomyces cerevisiae	Other	67	GPL27812	39178861	2024/07/29
GSE252485	200252485	dna_repair	RING1 missense variants reveal sensitivity of DNA damage repair to H2A monoubiquitination dosage during neurogenesis.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	30	GPL21697	39256363	2024/07/29
GSE252449	200252449	dna_repair	RING1 missense variants reveal sensitivity of DNA damage repair to H2A monoubiquitination dosage during neurogenesis [scRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	7	GPL18573	39256363	2024/07/29
GSE252447	200252447	dna_repair	RING1 missense variants reveal sensitivity of DNA damage repair to H2A monoubiquitination dosage during neurogenesis [bulk RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL11154	39256363	2024/07/29
GSE226204	200226204	dna_repair	Neurological Cockayne Syndrome Results from R-Loops Induced by Stalled RNA Polymerase II during Transcription Elongation	Homo sapiens; Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Other; Expression profiling by high throughput sequencing	37	GPL24676	39019869	2024/07/29
GSE230874	200230874	dna_repair,dna_repair_title	The DNA-repair protein APE1 contributes with hnRNPA2B1 to motif-enriched miRNA secretion	Homo sapiens	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	16	GPL24676	38664500	2024/07/24
GSE223469	200223469	dna_repair	m3C HAC-Seq analysis in HEK293T WT cells, METTL2A/2B knockout cells, METTL6 knockout cells, METTL2A/2B/6 knockout cells.	Homo sapiens	Other	16	GPL18573	38982125	2024/07/17
GSE223418	200223418	dna_repair	Ribosome Footprinting (RiboSeq) analysis of mRNA translation in HEK293T WT and METTL2A/2B/6 knockout cells	Homo sapiens	Expression profiling by high throughput sequencing; Other	12	GPL24676	38982125	2024/07/17
GSE272180	200272180	dna_repair	Transcriptome analysis of Auricularia auricula-judae in response to gamma radiation	Auricularia auricula-judae	Expression profiling by high throughput sequencing	2	GPL34701		2024/07/13
GSE267536	200267536	dna_repair	Nr5a2 is dispensable for ZGA but essential for morula development [ATAC-seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	23	GPL17021		2024/07/12
GSE223673	200223673	dna_repair	Nr5a2 is dispensable for ZGA but essential for morula development [RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	514	GPL17021		2024/07/12
GSE266483	200266483	dna_repair	RAD52 resolves replication-transcription collisions to mitigate R-loop induced genome instability	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL24676	39237529	2024/07/11
GSE252239	200252239	dna_repair,dna_repair_title	KHSRP has oncogenic functions and regulates the expression and alternative splicing of DNA repair genes in breast cancer MDA-MB-231 cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	38926398	2024/07/03
GSE226309	200226309	dna_repair	Embryonic genome instability upon DNA replication timing program emergence	Mus musculus	Other	1691	GPL21273	39198647	2024/06/24
GSE193754	200193754	dna_repair	Human bladder cancer cell line high throughput sequencing - genes regulated by hMSH2 - untreated	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2024/06/20
GSE193753	200193753	dna_repair	Human bladder cancer cell line high throughput sequencing - genes regulated by hMSH2 - CDDP therapy	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2024/06/20
GSE269135	200269135	dna_repair	DSB profiles in human spermatozoa highlight the role of TMEJ in the male germline	Homo sapiens	Other	6	GPL24676	39040993	2024/06/19
GSE216861	200216861	dna_repair	A HDAC4-HDAC2 complex composes an epigenetic sensor that links the DNA damage response to the senescent program by erasing H2BK120 acetylation [II]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	9	GPL21697	38874468	2024/06/18
GSE216677	200216677	dna_repair	A HDAC4-HDAC2 complex composes an epigenetic sensor that links the DNA damage response to the senescent program by erasing H2BK120 acetylation [I]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	42	GPL28038	38874468,41978259	2024/06/18
GSE260451	200260451	dna_repair	Activity of DNA polymerase kappa across the genome in human fibroblasts	Homo sapiens	Other	18	GPL24676	38950369	2024/06/17
GSE268693	200268693	dna_repair	Small molecules that induce proliferation of human iPSC-cardiomyocytes	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL18573	39171295	2024/06/16
GSE189929	200189929	dna_repair	The role of RPA1 in T cells [thymus]	Mus musculus	Expression profiling by high throughput sequencing	2	GPL24247		2024/06/15
GSE189548	200189548	dna_repair	The role of RPA1 in T cell	Mus musculus	Expression profiling by high throughput sequencing	2	GPL24247		2024/06/15
GSE189467	200189467	dna_repair	The role of RPA1 in T cells [spleen]	Mus musculus	Expression profiling by high throughput sequencing	2	GPL24247		2024/06/15
GSE252500	200252500	dna_repair	Capmatinib shows superior efficacy for MET-fusion driven pediatric high-grade glioma and synergizes with radiotherapy (mouse methylation array)	Mus musculus	Methylation profiling by array	3	GPL32685	38849845	2024/06/12
GSE252458	200252458	dna_repair	Capmatinib shows superior efficacy for MET-fusion driven pediatric high-grade glioma and synergizes with radiotherapy [human methylation array]	Homo sapiens	Methylation profiling by genome tiling array	9	GPL21145	38849845	2024/06/12
GSE247864	200247864	dna_repair	Capmatinib shows superior efficacy for MET-fusion driven pediatric high-grade glioma and synergizes with radiotherapy [RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	36	GPL24247	38849845	2024/06/12
GSE223117	200223117	dna_repair	Conserved intronic secondary structures with concealed branch sites regulate alternative splicing of poison exons	Drosophila melanogaster; Homo sapiens	Expression profiling by high throughput sequencing	29	GPL24676	38499485	2024/06/12
GSE268447	200268447	dna_repair	lncRNA-ZFAS1, an emerging gate-keeper in DNA damage-dependent transcriptional regulation [OE CTD ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL24676	40411394,41066419	2024/06/02
GSE268446	200268446	dna_repair	lncRNA-ZFAS1, an emerging gate-keeper in DNA damage-dependent transcriptional regulation [H3.3 ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24676	40411394,41066419	2024/06/02
GSE268445	200268445	dna_repair	lncRNA-ZFAS1, an emerging gate-keeper in DNA damage-dependent transcriptional regulation [GRO-seq]	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676	40411394,41066419	2024/06/02
GSE268444	200268444	dna_repair	lncRNA-ZFAS1, an emerging gate-keeper in DNA damage-dependent transcriptional regulation [CDK9 ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL24676	40411394,41066419	2024/06/02
GSE261073	200261073	dna_repair	ASH1L guards cis-regulatory elements against cyclobutane pyrimidine dimer induction [ChIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	48	GPL24676	38884271	2024/06/02
GSE260917	200260917	dna_repair	ASH1L guards cis-regulatory elements against cyclobutane pyrimidine dimer induction	Homo sapiens	Other	11	GPL24676	38884271	2024/06/02
GSE249813	200249813	dna_repair	ALDH18A1promotes the tumor progression of esophageal cancer by binding to and regulating genes associated with tumorigenesis [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	40770266	2024/06/02
GSE249244	200249244	dna_repair	ALDH18A1promotes the tumor progression of esophageal cancer by binding to and regulating genes associated with tumorigenesis [IRIP-seq]	Homo sapiens	Other	4	GPL24676	40770266	2024/06/02
GSE243603	200243603	dna_repair	Elf1 promotes TC-NER in yeast by using its C-terminal domain to bind TFIIH	Saccharomyces cerevisiae	Other	16	GPL27831	39043658	2024/05/31
GSE203465	200203465	dna_repair	The PCNA-Pol d complex couples lagging strand DNA synthesis to parental histone transfer	Saccharomyces cerevisiae	Genome binding/occupancy profiling by high throughput sequencing	274	GPL19756	38838138	2024/05/31
GSE245266	200245266	dna_repair	Effect of BMN/PAZA combination therapy on lung cancer cells	Mus musculus	Expression profiling by high throughput sequencing	5	GPL19057	38482976	2024/05/29
GSE268350	200268350	dna_repair	UV-induced reorganization of 3D genome mediates DNA damage response [Hi-C]	Homo sapiens	Other	4	GPL24676	39910043	2024/05/27
GSE268349	200268349	dna_repair	UV-induced reorganization of 3D genome mediates DNA damage response [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	39910043	2024/05/27
GSE267235	200267235	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers [WGS]	Homo sapiens	Other	2	GPL24676		2024/05/23
GSE249657	200249657	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers	Homo sapiens	Other; Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	42	GPL24676		2024/05/23
GSE249656	200249656	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL21697		2024/05/23
GSE249655	200249655	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers [KAS-seq]	Homo sapiens	Other	16	GPL21697		2024/05/23
GSE249654	200249654	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers [H3K36me3_CHIP]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	8	GPL24676		2024/05/23
GSE249653	200249653	dna_repair	Enhancing transcription replication conflict targets ecDNA positive cancers [GRO-seq]	Homo sapiens	Other	8	GPL24676		2024/05/23
GSE267669	200267669	dna_repair	Catabolite control protein C (CcpC) contributes to virulence and hydrogen peroxide-induced oxidative stress responses in Listeria monocytogenes	Listeria monocytogenes serotype 4b str. F2365	Expression profiling by high throughput sequencing	9	GPL34483	38881664	2024/05/16
GSE266621	200266621	dna_repair	Determine whether AsiDNA and belinostat alter chromatin accessbility genome-wide in glioblastoma cells. [NicE-Seq]	Homo sapiens	Other	16	GPL18573		2024/05/13
GSE266620	200266620	dna_repair	Effect of AsiDNA and belinostat on gene expression in U87 cells. [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676		2024/05/13
GSE266619	200266619	dna_repair	Determine whether AsiDNA and belinostat alter H1.2 occupancy genome-wide. [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	16	GPL24676		2024/05/13
GSE244345	200244345	dna_repair	Structural and functional investigation of the DHH/DHHA1 family proteins in Deinococcus radiodurans	Deinococcus radiodurans	Expression profiling by high throughput sequencing	4	GPL31018	38804263	2024/05/10
GSE233122	200233122	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [RNAseq_siRNA_MAPKi]	Homo sapiens	Expression profiling by high throughput sequencing	36	GPL24676	38690580	2024/05/08
GSE233121	200233121	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [QuantSeq_Q_siCTU2]	Homo sapiens	Expression profiling by high throughput sequencing	72	GPL24676	38690580	2024/05/08
GSE233120	200233120	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [QuantSeq_BRAF]	Homo sapiens	Expression profiling by high throughput sequencing	96	GPL24676	38690580	2024/05/08
GSE232711	200232711	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair	Homo sapiens	Expression profiling by high throughput sequencing	24	GPL20301	38690580	2024/05/08
GSE232709	200232709	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [MAPK inhibitors]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	38690580	2024/05/08
GSE232604	200232604	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	38690580	2024/05/08
GSE232551	200232551	dna_repair,dna_repair_title	Metabolism-dependent secondary effect of anti-MAPK cancer therapy on DNA repair [glutamine]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL20301	38690580	2024/05/08
GSE249818	200249818	dna_repair	PRICKLE4 Underlies IDH mutant Tumors Resistance against PARP Inhibition	Mus musculus	Expression profiling by high throughput sequencing	12	GPL24247	41236163	2024/05/01
GSE249561	200249561	dna_repair	Histone Lactylation Antagonizes Senescence and Skeletal Muscle Aging by Modulating Aging-Related Pathways [RNA-Seq II]	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	20	GPL24247	40388671	2024/05/01
GSE226007	200226007	dna_repair	Histone Lactylation Antagonizes Senescence and Skeletal Muscle Aging by Modulating Aging-Related Pathways [snRNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	8	GPL19057	40388671	2024/05/01
GSE226006	200226006	dna_repair	Histone Lactylation Antagonizes Senescence and Skeletal Muscle Aging by Modulating Aging-Related Pathways [CUT&Tag]	Mus musculus; Homo sapiens	Other; Genome binding/occupancy profiling by high throughput sequencing	32	GPL24676	40388671	2024/05/01
GSE226005	200226005	dna_repair	Histone Lactylation Antagonizes Senescence and Skeletal Muscle Aging by Modulating Aging-Related Pathways [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	40388671	2024/05/01
GSE266289	200266289	dna_repair	Mutational analysis of TLK1 and MDM1	Homo sapiens	Other	4	GPL15520		2024/04/30
GSE226782	200226782	dna_repair	Novel human cellular model of CDA IV enables comprehensive analysis revealing molecular basis of disease phenotype.	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	37084386	2024/04/29
GSE264670	200264670	dna_repair	Transcriptome analysis of Streptococcus mutans quorum sensing-induced cells	Streptococcus mutans UA159	Expression profiling by high throughput sequencing	6	GPL33790	39624001	2024/04/28
GSE264575	200264575	dna_repair	Simultaneous targeting of peripheral and brain tumors with a therapeutic nanoparticle to disrupt metabolic adaptability at both sites	Homo sapiens	Expression profiling by high throughput sequencing	29	GPL24676	38709930	2024/04/26
GSE261485	200261485	dna_repair	RYBP coordinates with Trithorax complex and selectively recruits Polycomb complex for cell fate control	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	96	GPL17021	39604829	2024/04/26
GSE249574	200249574	dna_repair	Cancer-stromal cell interactions in breast cancer brain metastases induce glycocalyx-mediated resistance to HER2-targeting therapies	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	64	GPL18573	38709925	2024/04/24
GSE249573	200249573	dna_repair	Cancer-stromal cell interactions in breast cancer brain metastases induce glycocalyx-mediated resistance to HER2-targeting therapies [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	40	GPL18573	38709925	2024/04/24
GSE249459	200249459	dna_repair	Cancer-stromal cell interactions in breast cancer brain metastases induce glycocalyx-mediated resistance to HER2-targeting therapies [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	24	GPL18573	38709925	2024/04/24
GSE241913	200241913	dna_repair	Transcriptome of ovarian cancer cells overexpressing SYNCRIP or SNU13	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL18573	38898005	2024/04/24
GSE241910	200241910	dna_repair	Effect of therapy-induced secretomes on the transcriptome of ovarian cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	10	GPL16791	38898005	2024/04/24
GSE241909	200241909	dna_repair	Transcriptomic profiles of ovarian cancer cells incubated with autologous ascitic fluids from patients before and after chemotherapy	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL16791	38898005	2024/04/24
GSE241908	200241908	dna_repair	Transcriptomic profiles of ovarian cancer cells isolated from paired cancer ascites before and after chemotherapy	Homo sapiens	Expression profiling by high throughput sequencing	14	GPL16791	38898005	2024/04/24
GSE240331	200240331	dna_repair	Defective transfer of parental histone decreases frequency of homologous recombination in budding yeast	Saccharomyces cerevisiae	Genome binding/occupancy profiling by high throughput sequencing; Other	92	GPL21656	38554108	2024/04/24
GSE247589	200247589	dna_repair	Enhancing Precise Genome Editing in Human Pluripotent Stem Cells through Dual Inhibition of DNA Damage Response and Repair Pathways [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	5	GPL24676	38734692	2024/04/22
GSE172389	200172389	dna_repair	UV- and g-radiation induced molecular changes for rapid lipid accumulation in Chlorella sorokiniana	Chlorella sorokiniana	Expression profiling by high throughput sequencing	6	GPL30017		2024/04/19
GSE263890	200263890	dna_repair	Combined bioinformatic and clinical assay uncovers resistance and susceptibility mechanisms of human glioblastomas to temozolomide and identifies new survival biomarkers outperforming MGMT promoter methylation	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL21290	39525666	2024/04/17
GSE229874	200229874	dna_repair,dna_repair_title	Genome-wide profiling of DNA repair proteins in single cells	Homo sapiens	Other; Genome binding/occupancy profiling by high throughput sequencing	55	GPL18573	39572529	2024/04/17
GSE263946	200263946	dna_repair	Rapid PTEFb-dependent transcriptional reorganization underpins the glioma adaptive response to radiotherapy [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL24676	38816355	2024/04/16
GSE253991	200253991	dna_repair	Primordial germ cell DNA demethylation and development require DNA translesion synthesis	Mus musculus	Methylation profiling by high throughput sequencing	10	GPL19057		2024/04/15
GSE227796	200227796	dna_repair	Rapid PTEFb-dependent transcriptional reorganization underpins the glioma adaptive response to radiotherapy [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL24676	38816355	2024/04/15
GSE227795	200227795	dna_repair	Rapid PTEFb-dependent transcriptional reorganization underpins the glioma adaptive response to radiotherapy [CUT&RUN]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	30	GPL24676	38816355	2024/04/15
GSE253471	200253471	dna_repair,dna_repair_title	The tardigrade Hypsibius exemplaris dramatically upregulates DNA repair pathway genes in response to ionizing radiation	Hypsibius exemplaris	Expression profiling by high throughput sequencing	24	GPL33664	38614079	2024/04/12
GSE253470	200253470	dna_repair,dna_repair_title	The tardigrade Hypsibius exemplaris dramatically upregulates DNA repair pathway genes in response to ionizing radiation [Bleo_RNA-seq]	Hypsibius exemplaris	Expression profiling by high throughput sequencing	12	GPL33664	38614079	2024/04/12
GSE240501	200240501	dna_repair,dna_repair_title	The tardigrade Hypsibius exemplaris dramatically upregulates DNA repair pathway genes in response to ionizing radiation [IR_RNA-seq]	Hypsibius exemplaris	Expression profiling by high throughput sequencing	12	GPL33664	38614079	2024/04/12
GSE227792	200227792	dna_repair	Rapid PTEFb-dependent transcriptional reorganization underpins the glioma adaptive response to radiotherapy [ATAC-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6	GPL24676	38816355	2024/04/12
GSE225320	200225320	dna_repair	Gene expression profiling of human fresh and cryopreserved sperm	Homo sapiens	Expression profiling by array	11	GPL10332	38612939	2024/04/09
GSE254126	200254126	dna_repair	A rewiring of DNA replication mediated by MRE11 exonuclease underlies primed-to-naive cell de-differentiation	Mus musculus	Expression profiling by high throughput sequencing	12	GPL21626	38581679	2024/04/03
GSE262951	200262951	dna_repair	The TP53-activated E3 ligase RNF144B is a tumour suppressor that prevents genomic instability	Mus musculus	Expression profiling by high throughput sequencing	6	GPL17021	38685100	2024/04/02
GSE262486	200262486	dna_repair	Genome-wide CPD repair maps of Caenorhabditis elegans	Caenorhabditis elegans	Other	8	GPL32326		2024/04/02
GSE261987	200261987	dna_repair	Effect of Rosa roxburghii fruit extracts to gene expression of mesenchymal stem cells	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL29480	38890904	2024/04/01
GSE262289	200262289	dna_repair	POLB regulates proliferation and apoptosis of bovine primary myocytes	Bos taurus	Expression profiling by high throughput sequencing	5	GPL26012		2024/03/29
GSE249151	200249151	dna_repair	Transcriptome analysis during VCD exposure-induced POI in mice	Mus musculus	Expression profiling by high throughput sequencing	15	GPL24247		2024/03/27
GSE236860	200236860	dna_repair	FOXL2 interaction with different binding partners regulates the dynamics of granulosa cell differentiation across ovarian development [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	12	GPL24247	38517962	2024/03/24
GSE236859	200236859	dna_repair	FOXL2 interaction with different binding partners regulates the dynamics of granulosa cell differentiation across ovarian development [RNA-Seq]	Mus musculus	Expression profiling by high throughput sequencing	9	GPL24247	38517962	2024/03/24
GSE236785	200236785	dna_repair	FOXL2 interaction with different binding partners regulates the dynamics of granulosa cell differentiation across ovarian development [ATAC-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	9	GPL24247	38517962	2024/03/24
GSE259267	200259267	dna_repair	Genomic Analysis of Human Brain Metastases Treated with Stereotactic Radiosurgery Reveals Unique Signature Based on Treatment Failure. [WES]	Homo sapiens	Other	38	GPL24676	38623341	2024/03/21
GSE256463	200256463	dna_repair	Genomic Analysis of Human Brain Metastases Treated with Stereotactic Radiosurgery Reveals Unique Signature Based on Treatment Failure. [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	46	GPL24676	38623341	2024/03/21
GSE233894	200233894	dna_repair,dna_repair_title	H3K4 methylation regulates development, DNA repair, and virulence in Mucorales	Mucor lusitanicus	Expression profiling by high throughput sequencing	6	GPL33451	38481304	2024/03/20
GSE204813	200204813	dna_repair	Co-expression analysis reveals gene cluster associated with methylation of enhancers and chromosomal instability under TP63 and TRIM29 regulation.	Homo sapiens	Methylation profiling by genome tiling array; Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	21	GPL16791	38481282	2024/03/19
GSE204812	200204812	dna_repair	Co-expression analysis reveals gene cluster associated with methylation of enhancers and chromosomal instability under TP63 and TRIM29 regulation [ChIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL16791	38481282	2024/03/19
GSE204811	200204811	dna_repair	Co-expression analysis reveals gene cluster associated with methylation of enhancers and chromosomal instability under TP63 and TRIM29 regulation [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	13	GPL16791	38481282	2024/03/19
GSE204810	200204810	dna_repair	Co-expression analysis reveals gene cluster associated with methylation of enhancers and chromosomal instability under TP63 and TRIM29 regulation [methylation]	Homo sapiens	Methylation profiling by genome tiling array	4	GPL21145	38481282	2024/03/19
GSE251890	200251890	dna_repair,dna_repair_title	Dual-inhibition of NAMPT and PAK4 induces anti-tumor effects in platinum-resistant ovarian cancer by suppressing mitochondrial function and expression of genes related to inflammation and DNA repair.	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL30173		2024/03/14
GSE255124	200255124	dna_repair	The Cdc14 phosphatase, Clp1, does not affect genome expression	Schizosaccharomyces pombe	Expression profiling by array	8	GPL34165	38415071	2024/03/11
GSE252475	200252475	dna_repair	RAD51AP1 associated with RNA in HEK293T cells	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL11154	38403248	2024/03/11
GSE216935	200216935	dna_repair,dna_repair_title	H2A.Z is required to initiate DNA repair to prevent premature aging	Mus musculus	Expression profiling by high throughput sequencing	6	GPL21103	38281187	2024/03/04
GSE254780	200254780	dna_repair	Formation of Memory Assemblies through the DNA Sensing Tlr9 Pathway	Mus musculus	Expression profiling by high throughput sequencing	5	GPL24247	38538785	2024/03/01
GSE225262	200225262	dna_repair	Causative mechanisms and clinical impact of immunoglobulin deficiencies in ataxia telangiectasia	Homo sapiens	Other	10	GPL15520	38280573	2024/02/29
GSE253636	200253636	dna_repair	TET1 catalytic activity is required for reprogrammign of imprinting control regions and the patterning of sperm-specific hypomethylated regions [RNA-seq: Female PGCs]	Mus musculus	Expression profiling by high throughput sequencing	12	GPL32159		2024/02/27
GSE249772	200249772	dna_repair	TET1 catalytic activity is required for reprogrammign of imprinting control regions and the patterning of sperm-specific hypomethylated regions [RNA-Seq]	Mus musculus	Expression profiling by high throughput sequencing	13	GPL32159		2024/02/27
GSE224458	200224458	dna_repair	TET1 catalytic activity is required for reprogrammign of imprinting control regions and the patterning of sperm-specific hypomethylated regions [CUT&RUN]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	2	GPL21103		2024/02/27
GSE224349	200224349	dna_repair	TET1 catalytic activity is required for reprogrammign of imprinting control regions and the patterning of sperm-specific hypomethylated regions [Mouse Methylation285 12v1-0 BeadChip]	Mus musculus	Methylation profiling by genome tiling array	36	GPL31950	38569549	2024/02/27
