accession	queries	title	taxon	gdstype	n_samples_geo	status	skip_reason	gpl	pubmed	cldn4_present	n_nhej	n_ifn	n_sensors	genes_nhej	genes_ifn	genes_sensors	coverage_ok	n_columns	design	cldn4_mean	cldn4_std	n_pairs	pair_stems	spearman_n	rho_nhej	p_nhej	rho_ifn	p_ifn	rho_composite	p_composite	rho_cgas	p_cgas	rho_sting	p_sting	scale	file_used	joint_paired	joint_spearman	joint_call	call_basis	ratio_orient	delta_nhej	delta_ifn	delta_cgas	delta_sting	contrast_note	nhej_genes_up_in_high	nhej_genes_down_in_high	ifn_genes_up_in_high	ifn_genes_down_in_high	delta_cldn4	fdr_nhej	fdr_ifn	fdr_composite
GSE150273	dna_repair	DNA damage invokes mitophagy through a pathway involving Spata18	Mus musculus	Expression profiling by array	40.0	scored		GPL21810	32453416	True	5.0	18.0	2.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	TBK1,IRF3	True	40.0	log_ratio	-0.578625	0.4154756122505868	0.0		40.0	-0.6768321559348387	1.6259205260421254e-06	-0.032654594518969	0.8414570570402348	0.6060805344770723	3.403220209971204e-05					as_deposited	GSE150273_series_matrix.txt.gz		mixed	mixed	spearman						multi-sample log ratios; Spearman across samples, not one collapsed contrast						5.040353630730589e-05	0.9330736247530013	0.0013643317169180695
GSE149760	dna_repair,dna_repair_title	ELOF1 is a transcription-coupled DNA repair factor that directs RNA polymerase II ubiquitylation	Homo sapiens	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	101.0	scored		GPL16791	34108663	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	19.0	single_channel	2.162085821718836	2.210329219037513	0.0		19.0	0.5690599504058778	0.0109962685979674	0.6001318665746854	0.0065972906128675	-0.0381740684359637	0.8766982132905629	0.1809468998761862	0.4584896544845936	0.6257077774712995	0.0041642391861464	log2(x+1)	GSE149760_RNAseq_CountTable_hg19_20200417.txt.gz		mixed	mixed	spearman												0.06723462196594017	0.03851275494134989	0.9646899556281714
GSE150377	dna_repair	Transcriptomic analysis (RNA-seq) of BRCA1-proficient and BRCA1-deficient ovarian cancer cells treated with the triazene compound CT913 and its metabolite CT913-M1	Homo sapiens	Expression profiling by high throughput sequencing	12.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL21697	32980128																																													
GSE150298	dna_repair	Gene expression profiling of TNBC and OVCA cell lines in response to Azacitidine and Talazoparib	Homo sapiens	Expression profiling by array	10.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL13497	32651270																																													
GSE151238	dna_repair	setd2 knockout zebrafish is survivable and fertile: differential and developmental-stress-related requirements for Setd2 and histone H3K36 trimethylation in different vertebrate animals	Danio rerio	Expression profiling by high throughput sequencing	3.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24995	33088589																																													
GSE151317	dna_repair	Gene Expression Profiling of TNBC and OVCA in response to Azacitidine and Talazoparib (RNA-Seq)	Homo sapiens	Expression profiling by high throughput sequencing	15.0	scored		GPL24676	32651270	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	7.0	single_channel	9.51898732067338	0.2023757990837538	0.0		7.0	0.7500000000000002	0.0521814004570578	-0.4285714285714286	0.3373683110858243	-0.6785714285714287	0.0937502539598313	-0.2857142857142857	0.5345092286010406	-0.3214285714285715	0.4820720382996777	log2(x+1)	GSE151317_DESeq2_Normalized_Counts_Combo.txt.gz		NHEJ_up_IFN_down	NHEJ_up_IFN_down	spearman												0.19169279835191494	0.5935305512057849	0.3497156776343915
GSE151587	dna_repair	Tristetraprolin expression by keratinocytes protects against skin carcinogenesis	Mus musculus	Expression profiling by high throughput sequencing	18.0	scored		GPL24247	33497366	True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	18.0	single_channel	8.642944068604713	1.0351623055027377	0.0		18.0	0.5433884297520661	0.0197710584215319	0.2396694214876033	0.3381168758940554	-0.4772727272727273	0.0451890410481808	0.4557239513497755	0.0573484910954656	0.5664083443714496	0.0142592867823228	log2(x+1)	GSE151587_FeatureCount.txt.gz		mixed	mixed	spearman												0.10215046851124816	0.5936856863842888	0.23560885939472329
GSE151273	dna_repair	Prpf31 is essential for the survival and differentiation of retinal progenitor cells by modulating alternative splicing 	Danio rerio	Expression profiling by high throughput sequencing	6.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL14875	33476374																																													
GSE152420	dna_repair	Pediatric MDS-Associated Germline Mutations in SAMD9 and SAMD9L Impair Multiple Pathways in Primary Hematopoietic Cells	Homo sapiens	Expression profiling by high throughput sequencing	15.0	scored		GPL20301	33731850	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	16.0	single_channel	4.051885905139631	0.7452823961841059	0.0		16.0	-0.0633752469869976	0.8156286482071178	-0.0058953718127439	0.982712332995994	-0.194547269820551	0.4702896610128081	-0.1090643785357634	0.6876308054769038	-0.2505533020416187	0.3492908003916066	log2(x+1)	GSE152420_SJNORM_CD34_n15_htseq_all_count.txt.gz		flat	flat	spearman												0.9142770009204474	0.9938467944248144	0.76041439793258
GSE15259	dna_repair	Effects of far-infrared rays on normal prostate epithelial cells (PrEC)	Homo sapiens	Expression profiling by array	4.0	scored		GPL6480		True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	4.0	single_channel	0.8571744037500002	1.564017545202241	0.0		4.0											as_deposited	GSE15259_series_matrix.txt.gz																		
GSE15159	dna_repair	Transcriptomic response of young adult N2, xpa1, and glp1 nematodes 3h after exposure to 50 J/m2 UVC radiation at 25°C	Caenorhabditis elegans	Expression profiling by array	24.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL200	19879883																																													
GSE152451	dna_repair	Intravenous injection of oncolytic virus M1 awakes antitumor T cells and overcomes resistance to checkpoint blockade	Mus musculus	Expression profiling by high throughput sequencing	8.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL23479	33311488																																													
GSE152932	dna_repair	RNA-seq analysis of Molm-13 cell with GADD45g overexpressed	Homo sapiens	Expression profiling by high throughput sequencing	4.0	skipped	only_raw_tar_or_no_gene_table	GPL20301																																														
GSE153062	dna_repair,dna_repair_title	Symmetric neural progenitor divisions require chromatin-mediated homologous recombination DNA repair by Ino80	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	21.0	skipped	over_25MB:GSE153062_RAW.tar	GPL24247	32737294																																													
GSE153539	dna_repair	An optogenetic switch for the Set2 methyltransferase provides evidence for transcription-dependent and independent dynamics of H3K36 methylation	Saccharomyces cerevisiae	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	134.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL21656	33020206																																													
GSE153304	dna_repair	Gene expression profiling of shRNA transduced rat hippocampal neurons	Rattus norvegicus	Expression profiling by array	8.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL22740	33444676																																													
GSE153683	dna_repair,dna_repair_title	Accumulating DNA damage and insufficient DNA repair in senescent cells underlie persistent DNA damage signaling	Homo sapiens	Expression profiling by high throughput sequencing	12.0	scored		GPL18573	39448567	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	4.0	single_channel	493.297941066	840.4817799741282	0.0		4.0											as_deposited	GSE153683_5day_p16_log2FC_over_Ven.csv.gz																		
GSE153755	dna_repair	Unfolded protein response (UPR) and endoplasmic reticulum (ER) stress in acromegaly	Danio rerio	Expression profiling by high throughput sequencing	33.0	skipped	over_25MB:GSE153755_All_samples_RPKM_values.txt.gz	GPL18413																																														
GSE15357	dna_repair	Molecular characterization of hybridoma subclones spontaneously switching at high frequencies in vitro	Mus musculus	Expression profiling by array	4.0	scored		GPL1261	19619554	True	7.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	4.0	single_channel	7.844576221768263	1.0119772990442173	0.0		4.0											log2(x+1)	GSE15357_series_matrix.txt.gz																		
GSE153966	dna_repair	Determine differences in gene expression between OPSCC cell lines with different sensitivity to IR	Homo sapiens	Expression profiling by high throughput sequencing	20.0	skipped	over_25MB:GSE153966_RAW.tar	GPL20301																																														
GSE153883	dna_repair	Effect of CBL0137 on DIPG cells	Homo sapiens	Expression profiling by array	6.0	scored		GPL28835	33852836	True	6.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	3.2258382675	0.330693508505569	0.0		6.0	0.1428571428571428	0.7871720116618076	-0.0857142857142857	0.8717434402332361	-0.1428571428571428	0.7871720116618076	0.4285714285714286	0.3965014577259473	-0.0857142857142857	0.8717434402332361	as_deposited	GSE153883_series_matrix.txt.gz		flat	flat	spearman												0.9003055769955408	0.9385597039157836	0.9323684301501515
GSE153441	dna_repair	Combination of CBL0137 and Panobinostat in DIPG	Homo sapiens	Expression profiling by array	12.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL28782	33852836																																													
GSE154169	dna_repair	RNA sequencing of Mtb H37Rv, MtbΔsufR and sufR complemented mycobacterium tuberculosis strains  upon treatment with 0.5 mM DETA-NO.	Mycobacterium tuberculosis H37Rv	Expression profiling by high throughput sequencing	17.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL20677	34392160																																													
GSE154209	dna_repair	SWI/SNF chromatin remodeling complex is required for initiation of sex-dependent differentiation in mouse germline	Mus musculus	Expression profiling by high throughput sequencing	8.0	scored		GPL19057	34912016	True	7.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	12.0	single_channel	0.2256035257692932	0.2793670878532819	0.0		12.0	0.6691450839745572	0.0173259907544145	0.8186349431603627	0.0011298473773867	-0.3523689537951126	0.2612848191100978	0.5	0.0978546142578125	0.9710144927536232	1.5348222951596348e-07	log2(x+1)	GSE154209_Female_Exp1_2_genes.fpkm_tracking.txt.gz		mixed	mixed	spearman												0.09440039811041596	0.010065893986152966	0.5566233468719857
GSE154286	dna_repair	Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study	Homo sapiens	Expression profiling by array	133.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL28856	32767058																																													
GSE154631	dna_repair	The SWI/SNF chromatin remodeling complex helps resolve R-loop-mediated transcription-replication conflicts	Homo sapiens	Other; Expression profiling by high throughput sequencing	6.0	skipped	over_25MB:GSE154631_RAW.tar	GPL18573	33986538																																													
GSE154674	dna_repair	RNA-seq in murine HSCs and CHIP-seq for H3K27me3 in K562 cells after CUX1 knockdown	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	10.0	scored		GPL21103	34473231,36725889	True	7.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	4.994958949183083	1.4329754918600337	0.0		6.0	0.3714285714285715	0.4684781341107872	0.3714285714285715	0.4684781341107872	0.2	0.7040000000000001	-0.7714285714285715	0.0723965014577259	-0.6571428571428573	0.1561749271137024	log2(x+1)	GSE154674_DESeq2_Results.txt.gz		mixed	mixed	spearman												0.7109382585680777	0.6940924006370602	0.899
GSE153986	dna_repair	Transcriptomic analysis of hepatotoxicity induced by pesticides imazalil, thiacloprid and clothianidin alone or in binary mixtures in a 28-day study in female Wistar rats	Rattus norvegicus	Expression profiling by high throughput sequencing	31.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL25947	33426623,35690182																																													
GSE155016	dna_repair	Coinduction of DNA Uptake and Fermentative Metabolism in Staphylococcus aureus During Infection	Staphylococcus aureus	Expression profiling by high throughput sequencing	4.0	skipped	over_25MB:GSE155016_RAW.tar	GPL19006	35314690																																													
GSE155782	dna_repair	A3shNT cell transcriptomics	Homo sapiens	Expression profiling by high throughput sequencing	6.0	scored		GPL21290	33211885	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	0.5974937501201927	0.6285052956679725	0.0		6.0	0.5246313898711126	0.2852521874184507	0.4937707198786941	0.3195369222243138	-0.3703280399090206	0.4699018628730875	-0.6572670690061994	0.1560690833960401	0.5246313898711126	0.2852521874184507	log2(x+1)	GSE155782_A3shNT_COUNT.txt.gz		mixed	mixed	spearman												0.546015443538597	0.5805859732859312	0.76041439793258
GSE155371	dna_repair	Insights into Epithelial Cell Senescence from Transcriptome and Secretome Analysis of Human Oral Keratinocytes [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	18.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL20301	33601339																																													
GSE155816	dna_repair	Single keratinocyte analysis uncovers Foxm1 as a Yap-dependent regulator of human epidermal stem cells (scRNA-Seq)	Homo sapiens	Expression profiling by high throughput sequencing	4.0	skipped	over_25MB:GSE155816_RAW.tar	GPL21697	33947848,39019868,39396994																																													
GSE156014	dna_repair	Dietary restriction delays but cannot heal irradiation-induced hair graying by preserving hair follicle stem cells in quiescence	Mus musculus	Expression profiling by high throughput sequencing	9.0	skipped	only_raw_tar_or_no_gene_table	GPL17021	37933912																																													
GSE15309	dna_repair	Cancer Genome Anatomy Project (CGAP) Human SAGE	Homo sapiens	Expression profiling by SAGE	327.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL4	11257097,12119410																																													
GSE154199	dna_repair	RNA sequencing of fibroblasts from patients with pathogenic KAT5 variants	Homo sapiens	Expression profiling by high throughput sequencing	11.0	scored		GPL20301	32822602	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	11.0	single_channel	5.200740652254988	0.9520552836359584	0.0		11.0	0.5181818181818182	0.1024915397909638	-0.7545454545454545	0.0072820410084291	-0.6818181818181819	0.020842853610945	-0.0454545454545454	0.8944269969053026	-0.4454545454545455	0.1697326049268118	log2(x+1)	GSE154199_normalized_readcounts_KAT5.xlsx		NHEJ_up_IFN_down	NHEJ_up_IFN_down	spearman												0.28903959184920075	0.04143389156061874	0.14858768531517882
GSE156543	dna_repair	Suppression of DDX39B sensitizes ovarian cancer cells to DNA-damaging chemotherapeutic agents via destabilizing BRCA1 mRNA	Homo sapiens	Expression profiling by high throughput sequencing	6.0	scored		GPL20795	32989256	True	7.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	6.0	single_channel	8.935793485466087	0.9119683497932498	0.0		6.0	-0.6	0.208	0.8285714285714287	0.0415626822157433	0.6	0.208	0.6571428571428573	0.1561749271137024	-0.8857142857142858	0.0188454810495626	log2(x+1)	GSE156543_Raw_gene_counts_matrix.txt.gz		NHEJ_down_IFN_up	NHEJ_down_IFN_up	spearman												0.43805399030942044	0.14945940524781293	0.5001311600591511
GSE156413	dna_repair	Loss of CBX2 induces genome instability and senescence-associated chromosomal rearrangements	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	8.0	scored		GPL28457		True	7.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	4.0	single_channel	3185.86298202325	5516.083622061919	1.0		4.0											as_deposited	GSE156413_Control-VS-Knockout.DEseq2_Method.GeneDiffExp.txt.gz	NHEJ_down_IFN_up		NHEJ_down_IFN_up	paired_delta		-7.20383138	0.953372111117651	16.420122899999996	134.782778	paired titles, high arm minus low arm, mean across genes of log values	4.0	3.0	9.0	8.0	-0.0331381669999999			
GSE156799	dna_repair	Compartment-specific transcriptomics of ozone-exposed murine lungs reveal sex- and cell type- associated perturbations relevant to mucoinflammatory lung diseases	Mus musculus	Expression profiling by high throughput sequencing	48.0	scored		GPL24247		True	8.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	48.0	single_channel	2.721199266276588	1.6376609190521156	0.0		48.0	0.625054277029961	2.0434522725374044e-06	0.480134607034303	0.0005532742583915	0.3155666521927919	0.0289003710069595	-0.5633955709943551	3.0569323519857264e-05	-0.281372123317412	0.0527015940222602	log2(x+1)	GSE156799_FPKM.txt.gz		mixed	mixed	spearman												6.123545310037088e-05	0.00565219952606771	0.18168834640039572
GSE155815	dna_repair	Single keratinocyte analysis uncovers Foxm1 as a Yap-dependent regulator of human epidermal stem cells (microarray)	Homo sapiens	Expression profiling by array	60.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL28718	33947848,39019868,39396994																																													
GSE157133	dna_repair	Chronic restraint stress increases transcriptomic indicators of biological aging in mouse bone marrow leukocytes	Mus musculus	Expression profiling by array	26.0	scored		GPL19462		True	7.0	15.0	2.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	MX1,MX2,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	TBK1,IRF3	True	26.0	single_channel	6.941810653307505	0.037564486383017	0.0		26.0	-0.0099145299145299	0.9616611834964592	-0.1227350427350427	0.5502971635239912	-0.0283760683760683	0.8905554093344162					log2(x+1)	GSE157133_series_matrix.txt.gz		flat	flat	spearman												0.975771336301712	0.7634523919877594	0.9710442257906319
GSE156915	dna_repair	In-depth clinical and biological exploration of DNA Damage Immune Response (DDIR) as a biomarker for oxaliplatin use in colorectal cancer	Homo sapiens	Expression profiling by array	361.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL29069	33028592																																													
GSE157146	dna_repair	Cobalt resistance via detoxification and mineralization in the iron-reducing bacterium Geobacter sulfurreducens	Geobacter sulfurreducens PCA	Expression profiling by high throughput sequencing	4.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL29085	33324382																																													
GSE157386	dna_repair	OTX2 homeoprotein regulates adult choroid plexus activity	Mus musculus	Expression profiling by high throughput sequencing	22.0	skipped	only_raw_tar_or_no_gene_table	GPL18480	34445655																																													
GSE157537	dna_repair	Transcriptome comparison between platyfish jp163A and jp163B strains	Xiphophorus maculatus	Expression profiling by high throughput sequencing	65.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24317	33133148																																													
GSE157832	dna_repair	Two aldehyde clearance systems are essential to prevent lethal formaldehyde accumulation in mice and humans	Mus musculus	Expression profiling by high throughput sequencing	4.0	skipped	over_25MB:GSE157832_RAW.tar	GPL17021	33147438																																													
GSE157937	dna_repair	Microgravity and space radiation exert either opposite or synergic effects on single molecular pathways	Homo sapiens	Expression profiling by high throughput sequencing	8.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL16791	34936031																																													
GSE157434	dna_repair	Quantitative RNAseq Analysis of Treatment Outcomes with Talazoparib, Romidepsin or Combination in MBL2 cell line	Mus musculus	Expression profiling by high throughput sequencing	8.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL24247	33017467																																													
GSE158041	dna_repair	CD137-CIS IO	Homo sapiens	Expression profiling by array	9.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL23159	34911975																																													
GSE158471	dna_repair	The CNOT4 Subunit of the CCR4-NOT Complex is Involved in mRNA Degradation, Efficient DNA Damage Repair, and XY Chromosome Crossover during Male Germ Cell Meiosis	Mus musculus	Expression profiling by high throughput sequencing	8.0	skipped	only_raw_tar_or_no_gene_table	GPL13112	34026442																																													
GSE157628	dna_repair,dna_repair_title	Transcriptome-wide Analysis of Intracranial Artery in Patients with Moyamoya Disease Showing Up-regulation of Immune Response, and Down-regulation of Oxidative Phosphorylation and DNA Repair	Homo sapiens	Expression profiling by array	20.0	low_coverage		GPL16699	34469870	True	4.0	18.0	2.0	PRKDC,XRCC5,XRCC6,LIG4	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	TBK1,IRF3	False	20.0	single_channel	-0.89662840875	1.02909870170929	0.0													as_deposited	GSE157628_series_matrix.txt.gz																		
GSE157574	dna_repair	Arsenic hexoxide has differential effects on cell proliferation and genome-wide gene expression in human primary mammary epithelial and MCF7 cells	Homo sapiens	Expression profiling by high throughput sequencing	12.0	skipped	open_file_has_no_CLDN4_or_unparsed	GPL20795	33580144																																													
GSE158090	dna_repair	Aberrant RNA methylation triggers recruitment of an alkylation repair complex	Homo sapiens	Expression profiling by high throughput sequencing	40.0	scored		GPL21290	34686315	True	8.0	18.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	19.0	single_channel	7.870211889623284	1.4493089038057416	0.0		19.0	0.143859649122807	0.5568219628907939	0.6807017543859648	0.0013370693862695	0.3508771929824562	0.1407749559086272	-0.183413795629651	0.4522810936263305	0.5853445056697474	0.0084652189959822	log2(x+1)	GSE158090_ascc3Exp_all.gene_counts.tsv.gz		mixed	mixed	spearman												0.774896199131306	0.01144786074529791	0.4290057130910368
GSE159293	dna_repair	Differences in Toxic Response induced by three Variants of the Diarrheic Shellfish Poisoning Phycotoxins in Human Intestinal Caco-2 Cells	Homo sapiens	Expression profiling by array	24.0	low_coverage		GPL4133	33302514	True	3.0	11.0	2.0	PRKDC,XRCC5,XRCC6	ISG15,MX2,OAS2,OAS3,IFIT2,IFIT3,IFI44,EIF2AK2,IRF7,STAT1,CXCL10	TBK1,IRF3	False	24.0	single_channel	6.8566331154907525	1.2202846702082972	0.0													log2(x+1)	GSE159293_series_matrix.txt.gz																		
GSE160108	dna_repair,dna_repair_title	Arginine methylation of the intrinsically disordered C-terminus of METTL14 controls N6-methyladenosine function in DNA repair	Mus musculus	Expression profiling by high throughput sequencing; Other	30.0	skipped	no_open_matrix_under_25MB	GPL21103	33459381																																													
GSE159891	dna_repair	Effect of vitrification on global gene expression dynamics of bovine elongating embryos	Bos taurus	Expression profiling by high throughput sequencing	20.0	scored		GPL15749	33602389	True	8.0	14.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C,PAXX	ISG15,MX1,MX2,OAS2,IFIT1,IFIT2,IFIT3,IFI44,EIF2AK2,IRF7,STAT1,RSAD2,ISG20,CXCL10	CGAS,STING1,TBK1,IRF3	True	21.0	single_channel	1618644.4346714283	7238379.801425388	0.0		21.0	0.7272727272727273	0.0001873217916042	0.612987012987013	0.0031305775706129	-0.4285714285714285	0.052571540420705	0.7232482786993994	0.0002115638797215	-0.0683634239544964	0.7684202915323669	as_deposited	GSE159891_Gutierrez_et_al.__bovine_RNAseq.txt.gz		mixed	mixed	spearman												0.002673052232574219	0.023068764229352435	0.259680301308867
GSE159826	dna_repair	A FOXO-dependent replication checkpoint restricts proliferation of damaged cells	Homo sapiens	Expression profiling by high throughput sequencing	4.0	scored		GPL11154		True	7.0	17.0	4.0	PRKDC,XRCC4,XRCC5,XRCC6,LIG4,NHEJ1,DCLRE1C	ISG15,MX1,MX2,OAS1,OAS2,OAS3,IFIT1,IFIT2,IFIT3,IFI44,IFI44L,EIF2AK2,IRF7,STAT1,RSAD2,BST2,ISG20	CGAS,STING1,TBK1,IRF3	True	7.0	single_channel	8.92451716961828	10.893984597033498	0.0		7.0	0.5357142857142858	0.2152174556780129	0.7500000000000002	0.0521814004570578	0.6071428571428572	0.1482311614811616	1.0	0.0	0.6071428571428572	0.1482311614811616	log2(x+1)	GSE159826_readcounts_normalized_10mil.xlsx		mixed	mixed	spearman												0.44787151077438336	0.1743906282932898	0.4386068678124023
