case_id	CLDN4_protein	cohort	CD274_protein	STAT1_protein	ISG15_protein	MX1_protein	HLA-A_protein	IFN_core_protein	MHC1_protein
C3N-01842		LUAD	22.1156690562257	28.5719967026476	27.1641020169571	25.0307852195488	27.4179410506702	-0.6166337401940741	-0.4227670305619542
C3N-02089	22.5664900184424	LUAD	23.8514415485068	28.6243590715267	27.5246764031288	25.1199756839914	27.9554209065121	-0.3060845775064008	-0.239292532981792
C3L-01682	22.5812742648168	LUAD	22.2607652832459	28.5695956382527	27.1919923588853	25.7194239626682	27.702918885083	-0.00521827386093332	0.4555083731334979
C3N-01016	22.8077305689692	LUAD	22.0908931121112	28.2100393718035	28.6016982210647	26.3543483877086	27.3305090514415	0.11679077096350146	-0.45868290678065504
C3N-00580	22.956394458931	LUAD	23.7912377988602	29.063494544713	28.6952094134061	26.2105751606154	28.601568042184	0.15417647056265923	-0.25402308971440274
11LU013	24.2288100347116	LUAD	22.1905549523789	28.27808307938	28.3080548047966	26.8066026345371	27.912700178875	0.1253645663617266	0.25737098559456667
C3N-02000	22.6138202897042	LUAD	21.3774959515645	28.0964520691551	27.885981771953	27.1857539949059	26.3798052752513	0.0791105705206498	-0.7166312100751776
C3N-01489	23.4378993502263	LUAD	22.3373637636749	28.8598741732391	28.9208592576693	26.7930788645208	27.8477706782853	0.40548921399720145	0.16678895545064723
C3N-00737	22.8389478624937	LUAD	22.0299547142215	28.6332514398106	27.61939829149	25.9577204534399	27.4966123957846	-0.15438184451929188	0.33097208781630694
C3N-01405	22.74180487393	LUAD	23.668614703374	29.2015726202354	28.5148155470866	26.2421887265313	28.1429899877546	0.49529606853601904	0.748349207691377
C3N-01416	22.8022385013355	LUAD	22.9935070818084	29.2171995252832	28.3073993460964	27.0447063489109	28.3689147001873	0.7170481041855785	-0.4326243996435122
C3N-02149	23.4279584707319	LUAD	22.298382371291	28.2858108832051	29.0390076631163	26.9217865446104	27.4418069661028	0.1906728347618684	0.004971717330917817
C3N-02424	22.4020229349542	LUAD	23.3706442892221	29.1231732459172	28.3847109817302	27.0679085316019	29.6543737395204	0.6812068420304076	2.536229439232439
C3L-00279	23.2860645112057	LUAD	22.2392233804118	28.599917111336	28.4247713587542	26.6834324325168	27.9920613734985	0.45143057977109535	0.114896889109652
C3N-02379	23.5417998945134	LUAD	22.9157140943382	28.9069319345277	28.5811962258788	27.2412318355473	28.6910631010155	0.6499802495669015	0.8286154733960424
C3L-00095	22.7377013762395	LUAD	21.4691146071279	28.0494367610832	27.6802379954155	24.8392133265253	27.5072227172958	-0.38238151707042106	-0.8922115483163715
C3N-00559	23.5373723891433	LUAD	21.937347391602	27.6357638973341	26.808794826845	25.4291091007517	27.7669966587292	-0.947593162982084	0.21607269163011056
C3N-02572	23.2219729497678	LUAD	21.7256321530984	28.2124076686153	27.5729761717951	26.4449623176347	28.109588754688	-0.04900532920862301	-0.07828021625648662
11LU016	23.1247733514201	LUAD	23.6227767261129	28.6955212767043	28.8598043761716	27.0815929797045	28.8540612514767	0.6939417544758885	0.25451577298476025
C3L-02345	23.0881877526733	LUAD	21.5824311000751	28.7743883002922	27.4658886362711	25.1944837236946	27.8539701741441	0.212562820902366	0.2787241248722499
C3L-00510	23.1292447486031	LUAD	21.9983458014509	28.8075781381441	28.3591268978295	27.4426858428862	28.6565127653661	0.8727349419725323	0.6414212499928508
C3L-00093	22.6538741788685	LUAD	21.0399017334299	28.2142024086838	27.266863225758	26.4375551070773	26.8591255110669	0.1762785845934287	-1.1108740585268793
C3L-00913	22.2374648973275	LUAD	22.1133142049458	28.3845378491189	28.316467186154	26.3552110225956	28.0972655726191	0.4821532892282076	0.09306405338077162
11LU022	22.6898994877278	LUAD	22.1425474415594	28.7400715391831	29.0702512996722	27.4440539895665	26.9904090960209	0.6274289481614244	-1.119585230734474
C3L-00412	23.3303204083114	LUAD	21.5795801062089	28.0578365612527	27.6172448952811	26.0377028299955	28.1188510521504	-0.24414088905355597	0.13596916332595074
C3N-01415	23.6366902249778	LUAD	21.7086426054824	28.4665008043922	28.5605253497596	27.4104389280583	26.6649982547155	0.4086806337200045	-0.4939655502141213
C3N-00549	23.6160125139896	LUAD	21.2837518567054	27.4473554011993	27.0764860784755	25.5216308554638	28.113905023712	-1.713993881655277	-0.031660766830189556
C3N-02433	22.7954243706539	LUAD	21.2674484819583	27.7019322314658	27.1184950327429	25.8986061138013	27.5742853012762	-0.5867086123017443	-0.4540084971468348
C3N-01021	22.893751041462	LUAD	21.9286773182284	27.7426436703571	27.1889396610133	25.5797219147042	28.4646092322679	-0.7078878240132356	-0.3565565276018324
C3L-01330	23.9091447507019	LUAD	24.188758573108	29.5587932047071	28.0880937224139	26.0136580407878	26.4518593884977	0.7507715435458382	-0.26412416498794933
C3N-00203	22.7256513326753	LUAD	22.148018825336	27.8975986697861	27.3571093374722	26.4876124980192	27.8604977686749	-0.1536408319306892	-0.712975472521872
C3N-00574	23.5742067301739	LUAD	22.4158490937356	28.2689288048129	28.37940529437	26.8478356691771	27.0069690359487	-0.037844092051500314	0.026211277566762448
11LU035	23.7962370228291	LUAD	22.3013959184687	28.1456663765819	27.9009866048606	26.4929288651361	27.1278885307435	0.1754148126122145	-0.8298939778693093
C3N-01071	22.7761210374651	LUAD	21.7955090071757	28.5699971796422	28.2168518481186	26.3488398319353	28.0213172041563	-0.12274325109891719	0.24506544679869716
C3N-00550	23.5374327819564	LUAD	21.5750329949096	28.2438797811954	27.5743038968507	25.9595686626086	27.5934220769974	-0.32345814762363273	0.5833081309247379
C3N-00167	22.5282200233318	LUAD	21.2126359154953	28.245774431195	28.7733044908765	27.6148841377743	26.8898657134781	0.6480722678596156	-0.31801140386759924
C3L-00001	22.2505932145858	LUAD	21.6110161204245	28.3432862548493	28.6699718165916	27.3802164533501	27.8874205425332	0.6318577788666125	0.01596820811706708
C3N-01074	23.2922695578876	LUAD	22.0092995240433	27.7391902399575	28.3070398829533	26.2003341147932	26.7293995093338	-0.8145033250881873	-0.2831112573357235
C3L-01632	23.2057692073973	LUAD	20.9343231955155	27.6695144289319	28.1786222849666	25.3863091271091	27.4017526335167	-0.5896616039052409	-0.9657705062051867
C3N-02155	23.1315863737099	LUAD	21.4034756781926	28.0642930161709	28.9643682411292	27.8979528141432	27.5055327153443	0.0382219501982433	-0.05957776314400994
C3N-00217	23.1796512868201	LUAD	21.4895201728204	27.9690104382654	27.4402318600173	25.7933964247087	28.8704994267247	-0.7239535050233356	0.265693980604025
C3N-02002	23.0423185151942	LUAD	21.368708683975	27.7089510023213	27.336881326162	26.1311192762445	27.791845974616	-0.6819660629075107	-0.9515448554512481
C3N-02145	23.0912934238736	LUAD	23.1396948709487	27.7896487973629	27.5895294175842	26.1345267574056	28.3677276889595	-0.35714941648796367	-0.07549445481094048
C3L-02219	23.1144638152865	LUAD	22.8723584067634	28.2146209875062	27.0071710031743	25.0578640798939	27.8485535316285	-0.8607621890202048	-0.4244453729317769
C3N-02586	23.0831956652913	LUAD	22.0971058069846	28.5479092115661	27.8744675974304	27.0517771311514	29.4344788276137	0.2664296497581896	0.9868975947154484
C3N-00180	23.1521648288664	LUAD	22.1757410718275	27.599516333437	28.5365130688276	24.9715648295436	27.6511961103134	-1.2846345649887234	0.8023260048529396
C3L-01862	22.8498798230815	LUAD	21.8135173358701	28.8082759480691	27.1490535585306	25.1946760503456	27.4144221335864	-0.1622119653454643	-0.020036573137485178
C3N-00704		LUAD	22.9123431849999	28.6603867263332	28.1812410089307	27.1971000665515	29.3999959564499	0.2836112976580886	1.4218488775196108
C3N-02158		LUAD	22.0288006481934	28.3960789511033	29.5136775772964	28.1147189835635	27.2215406448325	0.8925235194389017	-0.9257324738794231
