names,scores,logfoldchanges,pvals,pvals_adj
RHCG,1.8732977,0.72518456,0.06102728121342575,0.11152196657009568
PGGT1B,1.8711405,-0.02397281,0.0613256060965563,0.11204444558861763
KCNC3,1.8708086,0.07317435,0.061371609240949955,0.11211714851516591
PGM3,1.8703108,0.060070388,0.061440667533063154,0.11223195092324083
TMEM218,1.8690662,0.11781073,0.061613594794741856,0.11251367861920643
CCDC30,1.8684855,0.45086747,0.0616944319634421,0.11264990191524428
PPP6R3,1.8679047,0.189025,0.061775356904115196,0.11278625790756389
GTF3A,1.8678217,0.1155981,0.06178692477894802,0.11279597057683777
ADRA2C,1.867075,-0.05837313,0.061891116354486846,0.11297475465597077
ROBO2,1.866909,0.08185252,0.0619142897738284,0.11300562868131879
KAT5,1.866826,0.09024071,0.061925879175946226,0.11301535551590752
VPS37D,1.8663282,0.24047561,0.06199545329540305,0.11313089238268587
SHLD1,1.8659134,-0.07249659,0.062053481127983666,0.11322533806382547
SLC46A1,1.8651667,0.24836443,0.062158044480149756,0.11340466670036821
COPB1,1.8650837,0.19630684,0.06216967162372423,0.1134144181308704
DCTN2,1.8649178,0.19726543,0.062192931309253956,0.11344538637223014
ZNF529,1.864254,0.44043195,0.06228604205888633,0.11360374997869015
VEPH1,1.864171,0.45644695,0.06229768900670981,0.11361351445985779
POGLUT1,1.8625116,0.020119766,0.06253100655833636,0.11402750115127741
ZNF177,1.861516,0.35415757,0.062671343652775,0.1142372543379995
NAPSA,1.861516,0.26688898,0.062671343652775,0.1142372543379995
MARCH10,1.8611841,0.7478066,0.0627181805210922,0.11431108661759488
SPTY2D1,1.8611012,0.028484546,0.06272989425948862,0.11432089451509671
ACSF3,1.8603544,0.028918613,0.06283539933048923,0.11450161139732735
ERFE,1.8591099,0.5300718,0.0630115671153133,0.11479945717355444
CCDC157,1.8585291,0.24181418,0.06309391836186913,0.11493789184528995
SEC61A1,1.8581972,0.13909861,0.06314101614456386,0.11501208399332169
PKIB,1.8575335,0.3208775,0.06323529888499954,0.11517220044097021
GPR157,1.8565378,-0.07895348,0.06337694112422838,0.11540689107481288
TMC7,1.8553762,0.37272936,0.06354252164207595,0.11569673658138145
ERGIC3,1.8540487,0.18163525,0.06373219398673716,0.11603038503858067
HEATR4,1.8508129,0.91927874,0.06419648017061755,0.11685209281308315
TOR2A,1.8500662,0.073594674,0.06430401876410446,0.11703603697432985
MPST,1.847411,0.031137263,0.06468758323238849,0.11767482266165954
SPRYD4,1.8469132,-0.010615133,0.0647597113362965,0.11778229586481571
TRO,1.8460006,0.018989488,0.06489211854325826,0.11799933683132971
HYDIN,1.8460006,1.0099475,0.06489211854325826,0.11799933683132971
GALK1,1.8455027,-0.035709947,0.06496443474319023,0.11811893850526872
GGT1,1.8454198,0.995444,0.06497649390432621,0.11812896721599205
LENG1,1.8435944,-0.07135815,0.06524226298644693,0.11858825752057255
ITSN1,1.8417691,-0.08446028,0.06550892793796274,0.11906097614658628
FAM126A,1.8398608,0.06615133,0.0657886742106922,0.1195333067155421
MESP1,1.8396119,0.35870928,0.06582523534166712,0.11958769987150213
EAF1,1.8395289,0.0346044,0.065837426106193,0.1195978117825621
ZNF569,1.839446,0.11567875,0.0658496187314861,0.11960792503868786
SLC22A4,1.8387822,0.674967,0.06594722674546152,0.11977316744827131
USP44,1.8382014,0.116551846,0.06603273153901391,0.11991639698962059
RAB11FIP1,1.8372887,0.18149848,0.06616728077395394,0.12014865417543659
KIAA0825,1.836625,-0.006820516,0.06626527657678374,0.12031449643374
EPC2,1.8359612,0.15287605,0.06636339191707312,0.12046840767007753
UROS,1.8330573,0.10909055,0.06679405459214116,0.12120143406894404
C12orf45,1.8329743,-0.17139375,0.06680639297409487,0.12121163943329996
ROS1,1.8326424,0.19911794,0.06685576526979474,0.12128902928505723
CFAP97D2,1.8325595,0.9514548,0.06686811303669335,0.12129924082108372
ZNF674,1.8324765,-0.06633952,0.06688046268118235,0.12130945371077914
ATP7B,1.8318127,0.17252114,0.06697932745440645,0.1214765720850311
SLC52A3,1.8306512,1.0873731,0.06715263029612178,0.12177864738682939
ADIPOQ,1.8304023,0.21971287,0.0671898145967578,0.12182160519386045
UBE3B,1.8297385,0.025063206,0.06728905558988638,0.12198928706208262
SLC10A2,1.8296555,0.44583163,0.0673014691917622,0.12199954044772397
FRS3,1.828494,-0.053203925,0.06747545759334736,0.12229037605990362
ZXDB,1.828328,0.4656513,0.0675003432651503,0.12232319784839976
KLF10,1.8271664,0.103287354,0.06767475449359223,0.1226146470165416
ITLN2,1.8268346,0.9914959,0.06772465431176694,0.12269274302963659
STK11,1.8267516,0.19331938,0.06773713399439356,0.12270303833040207
ZBTB49,1.8239306,0.040113077,0.06816257004077268,0.12341178186200676
MAPT,1.8220222,0.7127281,0.06845160897379758,0.12389782402285619
BAD,1.8216074,0.13376462,0.06851457665610551,0.12399936364638324
SHOC2,1.8207777,0.08319143,0.06864065485275483,0.12420264027831843
MTRR,1.819782,-0.03167332,0.06879220031199997,0.12442697046714112
SLC12A7,1.819782,0.21048945,0.06879220031199997,0.12442697046714112
PNMA8A,1.819699,0.5105861,0.06880484150083208,0.12443736762317385
COG5,1.8180397,0.15746027,0.06905806637567781,0.12483280988085625
RBM26,1.817127,0.009419327,0.06919766607630175,0.1250601126915082
JOSD2,1.816961,0.025785737,0.06922307272661682,0.12509350670006142
PZP,1.8166292,1.0050168,0.06927390901314767,0.12517284350058602
SWSAP1,1.8161314,0.17358908,0.06935022093185089,0.12529819240219217
ADAP1,1.8158824,0.49415,0.0693884027729873,0.12534208877934158
MYO18A,1.8146379,0.13986982,0.06957957101396199,0.1256622644572885
MARCH5,1.8124807,0.12767349,0.06991195358233254,0.12621204980218495
FGFRL1,1.8121488,0.17168142,0.0699632048473878,0.12629194451653755
DNMT3B,1.8113191,0.4040405,0.07009146793093553,0.12648553284258088
ARF6,1.8113191,0.14535543,0.07009146793093553,0.12648553284258088
