ModelID,TACSTD2,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000752,0.4854268271702416,3.4475791965488827,0.1505596765753814,1.782408564927373,0.0426443374084937,0.5260688116675876,0.5160151470036647,0.9560566524124028,8.031329024180659,5.730368236349007,1.0285691521967708,NCI-H196,NCIH196,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,NCIH196_LUNG,other
ACH-000731,5.03738222200308,2.38404980679516,1.9411063109464315,5.9342805936400245,0.2868811477881615,3.613531652917927,0.0426443374084937,3.4905701304462013,9.495475320333885,9.32622722597644,8.578674597253432,HCC-2279,HCC2279,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC2279_LUNG,NSCLC
ACH-000875,9.138297402341518,6.255123014847789,6.458283563635973,8.640027973286244,0.1505596765753814,6.797920863449441,0.6959938131099002,8.843795457570762,10.750706986224948,10.609825127584497,10.34207466799914,NCI-H2347,NCIH2347,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2347_LUNG,NSCLC
ACH-000442,3.4918530963296748,4.141596278383818,1.6915341649192002,5.204766750654613,0.137503523749935,1.5558161550616396,0.2141248053528473,1.8439838440483265,9.131419714040543,7.6303035332750175,3.5668151540108965,RERF-LC-Sq1,RERFLCSQ1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,RERFLCSQ1_LUNG,NSCLC
ACH-000841,8.132319783167718,2.469885976274464,6.786073551578548,8.3387809438947,0.0976107966264223,8.551900479999613,0.1763227726404628,8.828136484194108,11.871289227811705,12.3482855418512,9.73432010771955,NCI-H2087,NCIH2087,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2087_LUNG,NSCLC
ACH-000860,7.492414035336726,1.7949356628035362,5.061344188288391,7.9341036373619165,0.1505596765753814,6.341096237957642,0.0426443374084937,9.276659499350671,10.23744899563932,9.706219712481662,9.929539521819418,NCI-H358,NCIH358,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH358_LUNG,NSCLC
ACH-000929,8.766860143829545,5.281698250098829,4.143230134776893,8.915401388260412,0.4005379295837288,8.613863116455487,0.0565835283663675,8.784700272420455,10.399598369120117,10.429615964201735,10.190442018782823,NCI-H2110,NCIH2110,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2110_LUNG,NSCLC
ACH-000311,7.302227645681221,4.9740703670240265,3.6158870739160567,8.631649992945023,0.0,8.639268345957685,0.0285691521967709,8.232612794056818,9.7300455028792,9.539837338703853,9.68608026353771,NCI-H2122,NCIH2122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2122_LUNG,NSCLC
ACH-000390,7.742882021000409,5.95489421979703,3.0143552929770703,8.913009056991898,0.1110313123887439,6.125981653854716,0.0840642647884745,8.082202276351051,7.375213239556386,8.460619713273038,7.808320689163326,LUDLU-1,LUDLU1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,LUDLU1_LUNG,NSCLC
ACH-000496,4.558879853475442,4.780835001738229,2.035623909730721,7.153298682854903,0.0426443374084937,2.2016338611696504,0.0565835283663675,4.340562269026414,8.923327485419192,8.232612794056818,8.327642458875573,NCI-H1792,NCIH1792,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1792_LUNG,NSCLC
ACH-000062,3.534808661231747,3.727920454563199,2.4776773275653072,5.811471030529836,0.1110313123887439,3.91456452349394,0.2509615735332187,1.879705766282288,10.703644072582216,10.472081550133607,7.636552121483813,RERF-LC-MS,RERFLCMS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCMS_LUNG,NSCLC
ACH-000878,4.805808348701467,3.656496370553495,3.3701642805402097,7.320755428706466,0.3334237337251918,4.676944359106912,0.0285691521967709,7.378164779871632,11.727877921653192,12.175674291896126,8.585676157663732,HCC-15,HCC15,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC15_LUNG,NSCLC
ACH-000515,0.5945485495503542,0.2986583155645151,2.277984747299765,3.114367024952,0.3673710656485294,5.587064898363171,0.2509615735332187,7.919459269111574,6.92671109909728,6.575312330687437,6.295723024539968,HCC-33,HCC33,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,HCC33_LUNG,NET
ACH-003119,4.297191416565856,0.0,2.8155754288625725,5.628481994383899,0.0840642647884745,6.885574364371426,0.0,8.701756963037951,8.260684356379658,8.447124563584216,7.355791546753647,NCI-H1450,NCIH1450,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1450_LUNG,NET
ACH-000825,8.219700960636958,2.2839217723076173,0.5260688116675876,7.353499735245657,0.070389327891398,2.403267722339301,0.1763227726404628,3.4462562298895643,7.82572203760072,7.19544603212575,8.337220478132874,HOP-92,HOP92,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,HOP92_LUNG,NSCLC
ACH-000743,2.983677694698067,0.4114262457264649,7.093496794891906,8.47585500126892,3.9990980337056072,6.642123916153487,1.6825732973475784,8.26636491235763,9.052676724303575,8.417219615099091,6.890689877685267,COR-L95,CORL95,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL95_LUNG,NET
ACH-000813,4.5496691707264905,5.516015147003665,1.613531652917927,5.012568673503056,0.0,6.904724928390404,0.0,7.668104938266769,10.266318057157454,9.878740665742711,9.725110589340602,T3M-10,T3M10,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,T3M10_LUNG,NSCLC
ACH-000257,1.831877241191673,1.5945485495503542,5.092968509324141,6.856363275069203,1.570462931026041,6.03760186043555,2.9653225483672547,8.021257620560519,8.2145619783118,8.121740711802673,7.502792032462974,COR-L279,CORL279,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL279_LUNG,NET
ACH-000521,0.4329594072761062,6.769507291436245,2.821710215034674,1.070389327891398,0.1243281350022017,4.77082904603249,0.1890338243900171,3.5447326559326235,7.664127242758463,8.445925298579272,1.4168397419128291,NCI-H2030,NCIH2030,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2030_LUNG,NSCLC
ACH-000029,8.195347598322218,1.2448870591235344,2.280956313831056,8.249540152313218,0.0,8.29172326198192,0.0285691521967709,9.068160231542544,10.2940463132715,10.74382460692961,10.29978040285854,HCC-827-GR5,HCC827GR5,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC827GR5_LUNG,NSCLC
ACH-000150,8.589388984726849,4.730639955916791,6.157650096861711,9.901002620158811,0.0976107966264223,8.178166854784443,0.0,9.51621217996458,11.6627573730834,10.948221202429142,11.471827603706927,HCC2935,HCC2935,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC2935_LUNG,NSCLC
ACH-002531,8.845960418293286,7.442362984514697,1.0908534304511135,8.178266467781853,0.0,8.262000855660977,0.0,8.271789815010347,9.503925093737044,10.234697700419645,9.713059959747415,SNU-2535,SNU2535,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU2535_LUNG,NSCLC
ACH-000869,6.552745936748446,6.80025280637239,4.443606651475615,8.339627347580395,0.5945485495503542,6.771489469500598,0.0426443374084937,9.52385595362096,12.18220810708361,12.062585866511256,8.936048963676615,NCI-H1568,NCIH1568,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1568_LUNG,NSCLC
ACH-003061,0.6507645591169022,3.967168607532628,2.724650271732968,5.731454807698346,0.3219280948873623,5.179909090014935,4.030336078370959,10.298864478668811,7.950876622293117,8.411722821951354,7.928725622870757,NCI-H774,NCIH774,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH774_LUNG,NET
ACH-000431,0.4005379295837288,0.2265085298086797,0.5058909297299573,1.879705766282288,1.6825732973475784,0.3103401206121505,0.4956951626240687,1.565597175854225,1.722466024471091,2.5160151470036647,1.3219280948873624,NCI-H1694,NCIH1694,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1694_LUNG,NET
ACH-001489,0.0,3.9439213265534856,3.598126959919604,5.876762490781555,1.4489009511451276,6.878970510151082,4.704871964456353,9.267723051627422,8.379248388690087,7.136581051666501,6.553667688483063,COR-L32,CORL32,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,CORL32_LUNG,NSCLC
ACH-000703,1.070389327891398,2.550900664647523,6.323370069061268,7.445345986064033,2.090853430451113,6.948016736776081,0.3334237337251918,9.055146837489822,7.863504883165746,7.293793489121389,8.513253856333177,DMS 79,DMS79,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS79_LUNG,NET
ACH-003152,0.0,1.560714954474479,0.0,0.2986583155645151,0.0840642647884745,0.6780719051126377,0.0976107966264223,0.0,5.140369670651527,9.539740425726224,0.0,ABM-T0796,ABMT0796,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000337,7.42097076340615,4.241840183564671,1.1176950426697545,7.350497247084133,0.1505596765753814,7.445014845868423,0.0,8.29664094468348,10.627807441666208,10.78773934936344,8.800932246980112,NCI-H3122,NCIH3122,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH3122_LUNG,NSCLC
ACH-000444,3.582556003014061,2.875780063068488,0.8237493603082727,1.6735564239901446,0.0840642647884745,0.2986583155645151,0.070389327891398,3.405992359675837,8.83595564549158,9.142362378963403,8.222988054127347,LU99,LU99,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,LU99_LUNG,NSCLC
ACH-000298,1.0071955014042038,0.070389327891398,6.73226919950145,8.810507370724526,3.264536430999025,6.066735028732031,1.3673710656485294,8.370948898825132,9.51064550409004,9.786269627648466,6.907251224292033,NCI-H2029,NCIH2029,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2029_LUNG,NET
ACH-000886,8.03842520687726,0.2509615735332187,1.5360529002402097,7.349612971824522,0.137503523749935,7.553437305754408,0.0,9.53377746290374,10.081882836898666,10.046987545079482,10.829643463949967,NCI-H2009,NCIH2009,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2009_LUNG,NSCLC
ACH-000888,8.835545165508693,4.093391153253013,2.873813198359087,7.454587186925478,0.1110313123887439,0.8953026213333066,0.3103401206121505,5.915042791371977,11.267196339033372,9.816263695577332,8.731285084860028,NCI-H1793,NCIH1793,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1793_LUNG,NSCLC
ACH-000659,0.4436066514756145,0.6040713236688608,6.47929524299885,6.321206566969903,5.059614856297222,5.012568673503056,0.7570232465074596,8.144301348327696,7.890629085276818,6.861086905995394,4.778208576398088,SCLC-21H,SCLC21H,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SCLC21H_LUNG,NET
ACH-000030,8.783784026219614,4.351204277257994,4.346956889378885,9.117279460053922,0.01435529297707,8.294161218694752,0.01435529297707,8.264536430999026,11.302810255067474,10.901922788086054,10.683784164130593,PC-14,PC14,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,PC14_LUNG,NSCLC
ACH-000775,1.8237493603082728,1.38404980679516,5.676944359106912,8.956985924612576,0.2986583155645151,7.583308464847678,1.6182386555954549,9.284847229418633,11.466433393742472,11.112178833722592,9.998872453994275,NCI-H727,NCIH727,Cell Line,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,LUCA,NCIH727_LUNG,NET
ACH-000559,1.232660756790275,0.925999418556223,6.683556107495676,6.854993016757,0.7824085649273732,6.774128144293584,0.0285691521967709,8.990330918676214,8.184131493940587,7.697245609319359,4.368069876532083,NCI-H1836,NCIH1836,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1836_LUNG,NET
ACH-000510,0.1634987322828795,4.335569005556748,0.9927684307689242,1.819668183496456,0.2016338611696504,0.5849625007211562,0.1890338243900171,0.7824085649273732,7.694183743333149,8.868297842988568,1.0908534304511135,NCI-H1299,NCIH1299,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1299_LUNG,NSCLC
ACH-000844,2.572889668420581,1.3617683594191536,6.891662207993943,8.439249118590352,0.070389327891398,6.36387192485753,7.813781191217037,8.816535710481011,9.361921848112084,9.195347598322218,7.2595549714638254,DMS 454,DMS454,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS454_LUNG,NET
ACH-002497,4.85598969730848,6.128458384146928,0.933572638261024,5.420549772116318,0.1243281350022017,4.797531839571962,0.0,8.060587860595636,8.04018011040107,8.291539097942621,6.662917554868155,NCI-H920,NCIH920,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH920_LUNG,NSCLC
ACH-000925,7.058099988493412,3.0461417816447205,8.078364326814611,9.36187799586609,0.2387868595871165,7.783914954166059,4.602884408718419,8.13381009110603,9.124767535822471,8.631286208828696,7.578561389947287,DV-90,DV90,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,DV90_LUNG,NSCLC
ACH-000143,4.371558862611963,1.0285691521967708,0.0840642647884745,0.4750848829487829,0.0976107966264223,6.555049212807179,0.0,7.770696925052418,7.473299871141315,6.448900951145128,7.078844629235234,HCC2429,HCC2429,Cell Line,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,HCC2429_LUNG,NSCLC
ACH-001591,0.0426443374084937,0.6870606883398922,3.77082904603249,6.861583231807768,1.5058909297299574,5.439955517478156,0.2750070474998697,9.249421637305398,8.401775506935758,8.355747507771335,6.776893568522074,NCI-H1417,NCIH1417,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1417_LUNG,NET
ACH-000382,0.6599245584023783,0.2750070474998697,5.31397137105902,7.717676423066396,1.918386234446348,6.3275077345872095,0.4541758931858022,7.69856577247536,8.010556078374215,7.440703092436186,4.19377174339668,COR-L24,CORL24,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL24_LUNG,NET
ACH-002035,4.531069492725954,8.691569059404342,0.1763227726404628,1.5410191531335593,0.6690267655096305,5.317955218312439,0.0565835283663675,2.344828496997441,9.139628089455853,9.919012268320737,0.4541758931858022,LCAM1,LCAM1,Cell Line,Lung,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,NSCLCPD,LCAM1_LUNG,NSCLC
ACH-000695,0.6507645591169022,0.8155754288625725,7.051154549878513,4.310340120612151,2.752748591407134,6.04023491675437,0.1634987322828795,7.990728003718974,8.257906365364088,7.01535929497916,3.003602236680196,COR-L47,CORL47,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL47_LUNG,NET
ACH-000015,0.1505596765753814,0.2509615735332187,3.0617761975866897,1.15704371014558,0.1634987322828795,0.1110313123887439,0.0976107966264223,6.805808348701467,1.752748591407134,1.280956313831056,1.2203299548795556,NCI-H1581,NCIH1581,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH1581_LUNG,NSCLC
ACH-000791,10.143893360756412,5.400879436282184,6.498889086976805,9.783653086390071,0.2750070474998697,8.146186791490736,0.137503523749935,9.736435757300187,10.691569059404342,10.356782068619465,10.851827107217376,RERF-LC-Ad1,RERFLCAD1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,RERFLCAD1_LUNG,NSCLC
ACH-001075,9.616107697600578,6.184081890370264,1.4382928515791469,8.258141995893771,0.0976107966264223,8.146034009482275,0.1763227726404628,7.528415039279976,10.502533490310112,10.30560578958543,8.113064930023551,NCI-H292,NCIH292,Cell Line,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,LUMEC,NCIH292_LUNG,NSCLC
ACH-000900,0.4436066514756145,7.321928094887363,2.1009776477248208,1.292781749227846,0.1763227726404628,0.7824085649273732,0.0565835283663675,2.408711861029429,10.329572125765376,10.942807706242776,3.119356177039676,NCI-H23,NCIH23,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH23_LUNG,NSCLC
ACH-000666,4.462706750670158,6.82781902461732,3.3305584000308026,1.263034405833794,0.2630344058337938,0.4222330006830478,0.2750070474998697,5.9701634246609965,12.510294399775043,12.601469034916756,1.565597175854225,NCI-H1355,NCIH1355,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1355_LUNG,NSCLC
ACH-000872,5.92837032301897,6.211985606275216,2.899175630480513,4.513490745588118,0.1243281350022017,4.351910961103077,0.070389327891398,7.647746217208096,9.933941408370972,10.596935142387233,5.8740592031411465,HCC515,HCC515,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC515_LUNG,NSCLC
ACH-000121,1.3448284969974411,6.211985606275216,2.063502942306158,7.188737187185129,0.137503523749935,4.460087240116833,0.2016338611696504,6.578485913474387,11.56838368843274,11.285460017986509,10.010388235311854,NCI-H2405,NCIH2405,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2405_LUNG,NSCLC
ACH-000781,1.7782085763980875,6.077883864438322,1.7311832415722,1.599317793698226,0.2750070474998697,4.017921907997263,0.7484612330040357,5.332707933640605,11.355626393637916,11.019521232703305,6.757956641362905,NCI-H2023,NCIH2023,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2023_LUNG,NSCLC
ACH-000830,0.3895668117627256,0.2387868595871165,6.383704292474052,6.280956313831056,0.632268215499513,4.477677327565307,0.01435529297707,8.472244052391146,8.313926036792171,7.00539998774259,7.234769540030633,NCI-H1436,NCIH1436,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1436_LUNG,NET
