ModelID,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000514,0.3334237337251918,2.62993940943954,5.560409266362118,3.361768359419153,NCI-H1092,NCIH1092,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1092_LUNG,NET
ACH-000414,0.7048719644563528,4.428946344769483,5.127633279725874,3.593353770980297,NCI-H1944,NCIH1944,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1944_LUNG,NSCLC
ACH-003071,0.879705766282288,2.8439838440483265,4.993221467368938,6.884353706847985,NCI-H748,NCIH748,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH748_LUNG,NET
ACH-000665,7.525207571284386,4.8283269264148165,7.105908508571158,1.819668183496456,SK-MES-1,SKMES1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SKMES1_LUNG,NSCLC
ACH-002522,3.428946344769483,2.899175630480513,1.5459683691052926,2.1473066987802936,SNU-2292,SNU2292,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU2292_LUNG,NSCLC
ACH-000803,1.4750848829487828,3.903038270112912,7.3474884972117955,6.531537419117717,COLO 668,COLO668,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,COLO668_LUNG,NET
ACH-001549,0.1505596765753814,0.0,7.003152448666922,5.269781238274379,Lu-135,LU135,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU135_LUNG,NET
ACH-000706,1.613531652917927,6.656067273725599,1.6780719051126378,1.070389327891398,EKVX,EKVX,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,EKVX_LUNG,NSCLC
ACH-000737,0.5160151470036647,0.3334237337251918,7.925584109389362,7.47994190147713,NCI-H1385,NCIH1385,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH1385_LUNG,NSCLC
ACH-003121,0.7398481026993275,0.0,5.414135532984451,5.886306263452426,NCI-H2679,NCIH2679,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2679_LUNG,NET
ACH-000251,0.3673710656485294,6.185271905593818,9.220378327695228,2.0250287944915226,NCI-H2887,NCIH2887,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2887_LUNG,NSCLC
ACH-002526,7.847809043407229,6.914325330085303,6.617798025902778,6.58781501278806,SNU-1327,SNU1327,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SNU1327_LUNG,NSCLC
ACH-000951,7.909533114946893,1.9297909977185967,8.997687581487513,7.141187525005,NCI-H2342,NCIH2342,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2342_LUNG,NSCLC
ACH-000826,9.267582613736998,6.880195728943098,8.59245703726808,7.983506695107868,CAL-12T,CAL12T,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,CAL12T_LUNG,NSCLC
ACH-000669,6.709290635723358,4.009884588931844,8.359793477311143,7.243935601566864,SW 900,SW900,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SW900_LUNG,NSCLC
ACH-002051,2.0840642647884744,1.0285691521967708,6.302501844112321,6.521364878446219,Lu-134-A,LU134A,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU134A_LUNG,NET
ACH-000589,6.179909090014935,3.3405622690264134,7.278356528010724,7.311157949208863,NCI-H1437,NCIH1437,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1437_LUNG,NSCLC
ACH-000628,9.605553595494404,7.211206928592899,7.769507291436245,7.011674533380918,NCI-H596,NCIH596,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NCIH596_LUNG,NSCLC
ACH-000264,0.5260688116675876,4.588564737401351,3.5360529002402097,1.2387868595871168,Calu-6,CALU6,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,CALU6_LUNG,NSCLC
ACH-000297,0.3561438102252753,0.4222330006830478,6.15704371014558,4.903520373723376,NCI-H889,NCIH889,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH889_LUNG,NET
ACH-000843,5.270528942380718,6.448074996441805,3.2078928516413328,3.316145742293356,HARA,HARA,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HARA_LUNG,NSCLC
ACH-002052,0.0,1.0285691521967708,2.805292455600712,6.817239510989448,Lu-139,LU139,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU139_LUNG,NET
ACH-000840,4.655351828612554,8.026302110867295,1.835924074254375,3.502075956045791,HCC-366,HCC366,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC366_LUNG,NSCLC
ACH-000912,1.1309308698264486,7.961970533384498,0.9411063109464316,0.3673710656485294,NCI-H2286,NCIH2286,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2286_LUNG,NET
ACH-000508,1.922197848396367,0.7398481026993275,7.228818690495881,5.94766615679601,COR-L88,CORL88,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL88_LUNG,NET
ACH-000667,4.516015147003665,6.477029653013065,5.751410160064371,3.844988156682612,HCC-44,HCC44,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC44_LUNG,NSCLC
