gene	spearman_r	spearman_p	n_expr	padj
BEST1	-0.0277298041006033	0.005135126620812499	581	0.009728240372332103
CYP7B1	-0.02773292350607129	0.0051301213610534194	302	0.009719560896988794
AC073136.1	-0.02773523158044857	0.005126420765418729	53	0.00971415444173274
OR4D9	-0.027739650054381244	0.005119343239710792	10	0.009701544549941023
ENPP2	-0.02775077487885096	0.005101562548409955	95	0.009670245577673544
SRP72P2	-0.027750939831167633	0.005101299327265711	79	0.009670245577673544
ATP5PDP1	-0.027754573645481964	0.005095503814034549	61	0.00966035759040619
CYB561	-0.027755917322414468	0.005093362312284124	6105	0.009657095777746176
AC243756.1	-0.027765057814939965	0.005078816113184781	38	0.009632700843743385
AC068472.1	-0.02776723541657462	0.00507535621612669	37	0.009626934663484165
SMC1A	-0.027791316744963015	0.0050372362325484315	4845	0.009556209139210646
AL359918.1	-0.02779979461374126	0.005023877754172073	447	0.009531654915235652
RPL7P25	-0.02780366677945299	0.0050177870888505486	23	0.00952088677674364
PPIE	-0.027814934116869593	0.005000102252153693	3735	0.009488115938112293
AC092427.1	-0.0278235902258502	0.004986554208721431	38	0.009464756345854546
AL354696.1	-0.0278280037754356	0.004979659158510422	71	0.009452451322237012
MRPL19	-0.027828321883398215	0.004979162528817142	3954	0.009452290828933842
CDHR5	-0.027830620693066268	0.004975574961415195	16	0.009446262081190343
AC107068.1	-0.027831070155905205	0.004974873794122091	175	0.00944571269676124
PMPCA	-0.02783685760166167	0.004965853289190411	2562	0.00942936612147762
AC005759.1	-0.027852672814964955	0.0049412785507708746	45	0.009384256283952834
AC139494.6	-0.027853360335409232	0.004940212734057924	68	0.009383461992497948
RPS29P15	-0.027853876122746743	0.004939413280121398	30	0.009383044457095207
TEAD4	-0.027857146104429818	0.00493434763409904	1834	0.00937575099660071
LNCOC1	-0.027884319984513635	0.004892432998280508	151	0.009299190264713151
MROH8	-0.027887652213032896	0.0048873153949192255	106	0.00929100286164903
UBAC2-AS1	-0.027892528448314798	0.004879835247899735	242	0.009278320699297425
AL358176.3	-0.027906179935168463	0.004858948905501667	81	0.009240906226216502
ZNF25	-0.02791627069587481	0.004843562376167183	482	0.009213171389379124
NOC2LP1	-0.027920549528541873	0.004837051271991284	79	0.009202312521932161
PJA2	-0.027921744420953753	0.004835234417849166	4827	0.009199619034225627
PRR16	-0.027922138138558636	0.004834635898805081	12	0.009199243322006716
AC092754.1	-0.02792216735594409	0.004834591485983383	58	0.009199243322006716
ADAMTS9-AS2	-0.027924133232595696	0.004831604040042305	55	0.009194999873101337
PPIAP2	-0.02792891640431037	0.004824342263384912	40	0.009181941821898697
