study	panel	symbol	probe	mapped_via	raw_symbol	alias_note	description	GSM557400	GSM557401	GSM557402	GSM557400_scan	GSM557401_scan	GSM557402_scan	GSM558700	GSM558701	GSM558702	GSM558700_scan	GSM558701_scan	GSM558702_scan
GSE22493	IFN_IMMUNE	B2M	26941	ORF	B2M		B2M--Beta-2-microglobulin							-2.5564	2.2296	-3.1844	-2.5919	-1.6978	-3.4089
GSE22493	IFN_IMMUNE	TAP1	4277	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)							-0.8625	2.1763	-0.9434	-0.8253	-2.5807	-1.3404
GSE22493	IFN_IMMUNE	TAP1	34518	ORF	TAP1		TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)							-2.9434	2.5311	-2.0000	-3.1055	-3.0506	-2.0644
GSE22493	IFN_IMMUNE	TAP2	3841	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							1.3618	-3.0589	1.3103	0.6081	2.4295	0.2939
GSE22493	IFN_IMMUNE	TAP2	9889	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							-3.4739	-0.3771	-1.8365	-4.8447	-0.2462	-2.8717
GSE22493	IFN_IMMUNE	TAP2	15937	ORF	TAP2		TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)							-0.5564	-3.6439	-0.1681		3.3505	-1.2730
GSE22493	IFN_IMMUNE	PSMB8	16374	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)							1.7137	-0.0291	1.2079	1.3739	-0.5406	0.9342
GSE22493	IFN_IMMUNE	PSMB8	22422	ORF	PSMB8		PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)							-1.0589	2.1440	-1.4739	-0.8925	-2.5182	-1.3057
GSE22493	IFN_IMMUNE	PSMB9	25567	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)							2.1276	5.7371	2.3277	1.0350	-5.9887	1.8567
GSE22493	IFN_IMMUNE	PSMB9	28889	ORF	PSMB9		PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)							-0.2515	0.3674	1.0909	-0.1012	-0.0317	1.1096
GSE22493	IFN_IMMUNE	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.2515	0.4542	-3.0589	-0.9052	0.0735	-3.0956
GSE22493	IFN_IMMUNE	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.3959	0.0426	-0.6439	-1.1296	-0.1511	-0.2824
GSE22493	IFN_IMMUNE	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-1.9434	1.3334	-1.7859	-2.0099	-1.9720	-1.3320
GSE22493	IFN_IMMUNE	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-3.8365	1.3505	-6.6439	-4.2596	-1.4283	-7.0961
GSE22493	IFN_IMMUNE	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							2.3132	-0.8625	1.3448	1.5589	0.8163	0.9338
GSE22493	IFN_IMMUNE	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							0.1506	0.6690	-0.6439	0.5992	-0.0312	-0.0090
GSE22493	IFN_IMMUNE	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5146	3.8520	-2.3219	-1.0987	-3.7741	-1.8590
GSE22493	IFN_IMMUNE	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-1.5995	2.4854	-1.7370	-1.1958	-2.0604	-1.1969
GSE22493	IFN_IMMUNE	HLA-A	26212	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR							-3.1844	0.5460	1.6415	-4.5146	-1.1250	
GSE22493	IFN_IMMUNE	HLA-A	31702	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.6439	0.9260	1.7655	-2.6035	-0.3368	1.4506
GSE22493	IFN_IMMUNE	HLA-A	33565	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A							-2.3219		-2.0000	-1.9152		-1.7633
GSE22493	IFN_IMMUNE	HLA-B	24124	DESCRIPTION_PREFIX	HLA-B		HLA-B--Major histocompatibility complex, class I, B							-1.5564	2.3277	-2.1203	-1.6827	-2.0202	-1.8952
GSE22493	IFN_IMMUNE	HLA-C	4255	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-1.2515	1.0566	0.4542	-0.7898	-0.4466	0.9946
GSE22493	IFN_IMMUNE	HLA-C	7462	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-1.2515	0.5850	-1.2515	-0.7682	-0.4344	-0.6663
GSE22493	IFN_IMMUNE	HLA-C	21857	DESCRIPTION_PREFIX	HLA-C		HLA-C--Major histocompatibility complex, class I, C							-5.6439	1.2570	-3.3219	-5.7118	-1.4826	-3.2483
GSE22493	IFN_IMMUNE	HLA-E	22979	DESCRIPTION_PREFIX	HLA-E		HLA-E--Major histocompatibility complex, class I, E							0.8718	-1.5564	1.7991	1.0758	1.8898	1.8184
GSE22493	IFN_IMMUNE	HLA-F	16933	DESCRIPTION_PREFIX	HLA-F		HLA-F--Major histocompatibility complex, class I, F							-2.0000	2.6299	-1.8890	-1.6986	-2.1127	-1.6444
GSE22493	IFN_IMMUNE	HLA-F	22981	DESCRIPTION_PREFIX	HLA-F		HLA-F--Major histocompatibility complex, class I, F							-1.7859	-0.3219	-0.7612	-1.3930	0.9059	-0.1464
GSE22493	IFN_IMMUNE	TAPBP	7726	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							-1.3585	1.3103	-2.0000	-1.2448	-0.8896	-1.9227
GSE22493	IFN_IMMUNE	TAPBP	13774	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							2.0942	0.5460	0.8797	1.0976	-1.0748	0.1422
GSE22493	IFN_IMMUNE	TAPBP	30819	ORF	TAPBP		TAPBP--TAP binding protein (tapasin)							-2.9434	-0.8625			0.6057	
GSE22493	IFN_IMMUNE	CXCL10	17150	ORF	CXCL10		CXCL10--Chemokine (C-X-C motif) ligand 10								6.5048	-0.4540		-7.1189	-1.5656
GSE22493	IFN_IMMUNE	CXCL11	21687	ORF	CXCL11		CXCL11--Chemokine (C-X-C motif) ligand 11							-3.6439	1.6960	2.9241	-4.6323	-2.0780	
GSE22493	IFN_IMMUNE	CXCL9	32064	ORF	CXCL9		CXCL9--Chemokine (C-X-C motif) ligand 9									-0.1361			-1.2767
GSE22493	IFN_IMMUNE	CCL5	26892	ORF	CCL5		CCL5--Chemokine (C-C motif) ligand 5									-0.8625			-1.5236
GSE22493	IFN_IMMUNE	CCL2	3171	ORF	CCL2		CCL2--Chemokine (C-C motif) ligand 2							1.1763	0.6599	0.2510	-0.1679	-1.0711	-0.7138
GSE22493	IFN_IMMUNE	IL6	23724	ORF	IL6		IL6--Interleukin 6 (interferon, beta 2)							-1.2176	1.2388	-1.2515	-1.2229	-0.8731	-1.8472
GSE22493	IFN_IMMUNE	IL6	30154	ORF	IL6		IL6--Interleukin 6 (interferon, beta 2)									-0.1844	-8.9189		-1.2818
GSE22493	IFN_IMMUNE	TNF	9985	ORF	TNF		TNF--Tumor necrosis factor (TNF superfamily, member 2)							-0.4941	1.6088	-0.5778	-1.2098	-2.2500	-1.6676
GSE22493	IFN_IMMUNE	NFKB1	13757	ORF	NFKB1		NFKB1--Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)							-0.6215	0.6960	-2.1844	-0.6325	-0.3857	-2.3169
GSE22493	IFN_IMMUNE	RELA	2825	ORF	RELA		RELA--V-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)							1.8520	-2.3959	2.5084	0.5421	1.8391	1.5240
GSE22493	IFN_IMMUNE	IL15	4994	ORF	IL15		IL15--Interleukin 15							-0.3040	1.1570	0.6323	-0.9731	-1.6095	-0.3034
GSE22493	IFN_IMMUNE	IL15	11042	ORF	IL15		IL15--Interleukin 15							2.0875	-0.3585	0.9709	0.7370	-0.2566	-0.1328
GSE22493	IFN_IMMUNE	IL15	17090	ORF	IL15		IL15--Interleukin 15							0.9184	-1.0000	-0.2009	0.2901	0.8911	-1.2410
GSE22493	IFN_IMMUNE	IFNB1	28512	ORF	IFNB1		IFNB1--Interferon, beta 1, fibroblast								4.4919	-3.0589		-5.0444	
GSE22493	IFN_IMMUNE	IFNG	6958	ORF	IFNG		IFNG--Interferon, gamma							-0.2688	-0.8110	-3.4739	-1.5990	0.3219	-4.5134
GSE22493	IFN_IMMUNE	IFNAR1	5619	ORF	IFNAR1		IFNAR1--Interferon (alpha, beta and omega) receptor 1							-1.3585	-1.2176	-0.1844	-2.2317	1.5443	-0.7888
GSE22493	IFN_IMMUNE	IFNAR2	35947	ORF	IFNAR2		IFNAR2--Interferon (alpha, beta and omega) receptor 2							0.0841	1.2449	-2.6439	-0.3265	-1.8422	-3.2946
GSE22493	IFN_IMMUNE	IFNGR1	7583	ORF	IFNGR1		IFNGR1--Interferon gamma receptor 1							0.6415	0.1375	-2.2515	0.0737	-0.3460	-3.3961
GSE22493	IFN_IMMUNE	IFNGR2	11755	ORF	IFNGR2		IFNGR2--Interferon gamma receptor 2 (interferon gamma transducer 1)							-1.7859	1.0496	1.2869	-2.0221	-0.9319	0.5884
GSE22493	TJ	CLDN1	1201	ORF	CLDN1		CLDN1--Claudin 1							-1.3959	0.2750	-0.8625	-1.0610	-0.1468	-0.6264
GSE22493	TJ	CLDN2	2740	ORF	CLDN2		CLDN2--Claudin 2							1.8400		-2.0000	0.4975		-2.9552
GSE22493	TJ	CLDN3	26927	ORF	CLDN3		CLDN3--Claudin 3							-0.7859	-0.8625	-1.0291	-1.3026	0.4503	-1.4596
GSE22493	TJ	CLDN4	17169	ORF	CLDN4		CLDN4--Claudin 4								-1.7370	-0.7131		1.2183	-1.6435
GSE22493	TJ	CLDN6	16532	ORF	CLDN6		CLDN6--Claudin 6							0.1506	-0.5564	-1.0893	-0.3518	0.3618	-2.1903
GSE22493	TJ	CLDN7	31719	ORF	CLDN7		CLDN7--Claudin 7							0.5059	-0.3585	-0.9434	-0.4637	-0.0618	-1.5075
GSE22493	TJ	CLDN8	35177	ORF	CLDN8		CLDN8--Claudin 8									-3.3219			-4.5110
GSE22493	TJ	CLDN9	18043	ORF	CLDN9		CLDN9--Claudin 9							0.1375	1.4906	5.4601	-1.0605	-2.1301	4.6521
GSE22493	TJ	CLDN10	8594	ORF	CLDN10		CLDN10--Claudin 10							-1.8365	1.2630		-3.1610	-1.8413	
GSE22493	TJ	CLDN10	14642	ORF	CLDN10		CLDN10--Claudin 10							-1.4739	-0.1203		-2.6870	0.0943	
GSE22493	TJ	CLDN10	20690	ORF	CLDN10		CLDN10--Claudin 10							-0.0589	2.9317	-1.4344	-1.3923	-3.2910	-2.4837
GSE22493	TJ	CLDN12	1162	ORF	CLDN12		CLDN12--Claudin 12							0.0841	-0.8890	0.7740	-0.1281	0.9453	0.2643
GSE22493	TJ	CLDN18	10628	ORF	CLDN18		CLDN18--Claudin 18							-1.9434	-0.8625	1.9107	-3.2278	0.6521	0.7832
GSE22493	TJ	TJP1	3895	ORF	TJP1		TJP1--Tight junction protein 1 (zona occludens 1)							-2.6439	-1.7859	-1.1844	-3.7162	1.6630	-2.2613
GSE22493	TJ	TJP1	34136	ORF	TJP1		TJP1--Tight junction protein 1 (zona occludens 1)							0.2987	0.0000	-0.1047	0.4533	-0.1567	-0.0120
GSE22493	TJ	TJP2	6241	ORF	TJP2		TJP2--Tight junction protein 2 (zona occludens 2)							0.8400	2.8679		-0.4903	-3.1375	
GSE22493	TJ	TJP3	12980	ORF	TJP3		TJP3--Tight junction protein 3 (zona occludens 3)							-4.3219	1.7004	1.7655	-5.5154	-2.2442	0.6845
GSE22493	TJ	OCLN	1771	ORF	OCLN		OCLN--Occludin							-1.9434	-1.1203		-3.0852	0.5126	
GSE22493	TJ	OCLN	32012	ORF	OCLN		OCLN--Occludin							1.6736	1.7312	-0.3040	1.0614	-2.3219	-1.3800
GSE22493	TJ	MARVELD2	11722	ORF	MARVELD2		MARVELD2--MARVEL domain containing 2							2.6439	-2.1844		1.2970	1.6208	
GSE22493	TJ	MARVELD2	17770	ORF	MARVELD2		MARVELD2--MARVEL domain containing 2							0.4222	0.1243	-2.2515	-0.2121	-0.1668	-3.3269
GSE22493	TJ	MARVELD3	3345	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3							-4.0589	-0.6666		-5.2780	0.3870	
GSE22493	TJ	MARVELD3	27538	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3									1.7613			0.8194
GSE22493	TJ	MARVELD3	33586	ORF	MARVELD3		MARVELD3--MARVEL domain containing 3							0.2265	-1.3959	-2.9434	-1.1135	0.7948	-3.6682
GSE22493	TJ	F11R	14780	ORF	F11R		F11R--F11 receptor							-1.1844	0.3896	-1.0291	-1.3433	-0.9899	-1.0143
GSE22493	TJ	F11R	20828	ORF	F11R		F11R--F11 receptor							-0.8625	0.6508	0.5059	-1.9610	-0.9787	-0.6484
GSE22493	TJ	F11R	26876	ORF	F11R		F11R--F11 receptor							-0.0439	1.0215	1.0072	-0.8015	-1.2935	-0.1427
GSE22493	TJ	F11R	32924	ORF	F11R		F11R--F11 receptor							-1.5995	2.8420	1.3505	-2.1473	-3.3716	0.4394
GSE22493	TJ	JAM2	33660	ORF	JAM2		JAM2--Junctional adhesion molecule 2								-5.0589			4.7279	
GSE22493	TJ	JAM3	19379	ORF	JAM3		JAM3--Junctional adhesion molecule 3							1.3730	0.7824	1.0566	0.2024	-1.0521	0.4842
GSE22493	TJ	CGN	5621	ORF	CGN		CGN--Cingulin							-0.1844	2.1667	1.4330	-1.5036	-2.5245	0.2801
GSE22493	TJ	CDH1	15899	ORF	CDH1		CDH1--Cadherin 1, type 1, E-cadherin (epithelial)							-0.3040	2.6803	-1.8890	-1.0370	-2.9009	-3.0338
GSE22493	TJ	CDH1	21947	ORF	CDH1		CDH1--Cadherin 1, type 1, E-cadherin (epithelial)							1.1635	-1.3219	-0.0291	0.8856	1.0952	-0.2221
GSE22493	TJ	CTNNB1	18644	ORF	CTNNB1		CTNNB1--Catenin (cadherin-associated protein), beta 1, 88kDa							0.3448	-0.5353	-0.6439	-0.0702	-0.0355	-1.7010
GSE22493	TJ	CTNNB1	24692	ORF	CTNNB1		CTNNB1--Catenin (cadherin-associated protein), beta 1, 88kDa							0.0000	0.4957	-0.9714	-0.0135	-0.1503	-1.0645
GSE22493	TJ	CTNNA1	28609	ORF	CTNNA1		CTNNA1 PROTEIN (FRAGMENT)							1.1440	-1.3959	-3.0589	-0.1999	0.7711	-4.2295
GSE22493	TJ	CRB3	249	ORF	CRB3		CRB3--Crumbs homolog 3 (Drosophila)							0.1375	-0.3959	1.8156	-0.1427	-0.0080	1.3663
GSE22493	TJ	CRB3	6297	ORF	CRB3		CRB3--Crumbs homolog 3 (Drosophila)							2.0036	-0.2688	1.2630	1.3540	-0.3730	0.4526
